equipmentID,zoneID,equipmentType,status,powerRating
E0095,Z019,FireSafety,Off,117.0
E0096,Z019,Lighting,Running,232.0
E0097,Z020,FireSafety,Running,110.0
E0098,Z020,AirPurifier,Off,166.0
E0099,Z020,CoffeeMachine,Running,1060.0
E0100,Z020,AirPurifier,Running,188.0
E0101,Z020,NetworkSwitch,Running,134.0
E0102,Z020,FireSafety,Running,250.0
E0103,Z021,UPS,Running,1239.0
E0104,Z021,HVACUnit,Running,3341.0
E0105,Z021,AirPurifier,Running,127.0
E0106,Z021,SoundSystem,Running,78.0
E0107,Z021,HVACUnit,Maintenance,3750.0
E0108,Z021,Lighting,Running,454.0
E0109,Z021,SecurityCam,Maintenance,20.0
E0110,Z022,SoundSystem,Running,289.0
E0111,Z022,HVACUnit,Off,7758.0
E0112,Z022,CoffeeMachine,Running,905.0
E0113,Z022,SecurityCam,Off,27.0
E0114,Z022,AirPurifier,Off,141.0
E0115,Z022,SecurityCam,Running,38.0
E0116,Z022,Lighting,Running,386.0
E0117,Z023,NetworkSwitch,Off,108.0
E0118,Z023,CoffeeMachine,Running,1239.0
E0119,Z023,SecurityCam,Running,44.0
E0120,Z023,UPS,Running,1594.0
E0121,Z023,Lighting,Running,473.0
E0122,Z024,SoundSystem,Running,210.0
E0123,Z024,AirPurifier,Off,89.0
E0124,Z024,SecurityCam,Running,28.0
E0125,Z024,AccessControl,Running,95.0
E0126,Z024,UPS,Running,1664.0
E0127,Z024,ProjectorSystem,Running,483.0
E0128,Z025,ProjectorSystem,Off,712.0
E0129,Z025,NetworkSwitch,Running,133.0
E0130,Z025,Lighting,Running,235.0
E0131,Z025,Lighting,Running,342.0
E0132,Z025,UPS,Running,1267.0
E0133,Z026,SecurityCam,Running,21.0
E0134,Z026,HVACUnit,Running,4021.0
E0135,Z026,UPS,Running,794.0
E0136,Z026,AirPurifier,Running,160.0
E0137,Z026,SoundSystem,Running,130.0
E0138,Z027,FireSafety,Running,207.0
E0139,Z027,SecurityCam,Running,28.0
E0140,Z027,AirPurifier,Running,133.0
E0141,Z027,SoundSystem,Running,153.0
E0142,Z027,SmartThermostat,Maintenance,11.0
E0143,Z027,SecurityCam,Off,42.0
E0144,Z028,SoundSystem,Running,81.0
E0145,Z028,ProjectorSystem,Running,547.0
E0146,Z028,UPS,Off,1818.0
E0147,Z029,UPS,Running,1881.0
E0148,Z029,AirPurifier,Running,178.0
E0149,Z029,CoffeeMachine,Running,1376.0
E0150,Z029,SecurityCam,Off,24.0
E0151,Z029,Lighting,Running,401.0
E0152,Z030,FireSafety,Off,250.0
E0153,Z030,Lighting,Maintenance,211.0
E0154,Z030,SmartThermostat,Running,13.0
E0155,Z030,Lighting,Running,223.0
E0156,Z031,ProjectorSystem,Off,678.0
E0157,Z031,AirPurifier,Running,179.0
E0158,Z031,CoffeeMachine,Running,803.0
E0159,Z031,SecurityCam,Running,33.0
E0160,Z031,CoffeeMachine,Off,1012.0
E0161,Z032,SmartThermostat,Running,13.0
E0162,Z032,AirPurifier,Off,171.0
E0163,Z032,FireSafety,Running,157.0
E0164,Z032,AirPurifier,Running,189.0
E0165,Z032,FireSafety,Running,186.0
E0166,Z032,SoundSystem,Running,122.0
E0167,Z032,HVACUnit,Running,3532.0
E0168,Z032,SecurityCam,Running,19.0
E0169,Z033,AirPurifier,Running,139.0
E0170,Z033,AirPurifier,Running,189.0
E0171,Z033,ProjectorSystem,Off,799.0
E0172,Z033,ProjectorSystem,Maintenance,367.0
E0173,Z034,SoundSystem,Running,138.0
E0174,Z034,Lighting,Running,332.0
E0175,Z034,AccessControl,Running,62.0
E0176,Z034,NetworkSwitch,Running,42.0
E0177,Z035,UPS,Running,1897.0
E0178,Z035,ProjectorSystem,Maintenance,432.0
E0179,Z035,FireSafety,Running,201.0
E0180,Z035,FireSafety,Running,218.0
E0181,Z035,CoffeeMachine,Running,1204.0
E0182,Z035,SecurityCam,Off,18.0
E0183,Z035,ProjectorSystem,Running,762.0
E0184,Z035,SmartThermostat,Running,14.0
E0185,Z036,HVACUnit,Maintenance,5872.0
E0186,Z036,SoundSystem,Running,225.0
E0187,Z036,NetworkSwitch,Running,79.0
E0188,Z037,SmartThermostat,Maintenance,5.0
E0189,Z037,CoffeeMachine,Running,1481.0
E0190,Z037,SmartThermostat,Running,8.0
E0191,Z038,SoundSystem,Running,185.0
E0192,Z038,CoffeeMachine,Running,1202.0
E0193,Z038,FireSafety,Running,159.0
E0194,Z038,SecurityCam,Off,18.0
E0195,Z038,SmartThermostat,Running,6.0
E0196,Z038,Lighting,Running,155.0
E0197,Z038,SecurityCam,Running,23.0
E0198,Z039,AccessControl,Running,74.0
E0199,Z039,HVACUnit,Off,6473.0
E0200,Z039,AirPurifier,Maintenance,86.0
E0201,Z039,HVACUnit,Running,5994.0
E0202,Z039,HVACUnit,Off,6324.0
E0203,Z039,AccessControl,Running,50.0
E0204,Z040,SecurityCam,Running,17.0
E0205,Z040,AirPurifier,Running,163.0
E0206,Z040,SecurityCam,Running,25.0
E0207,Z041,ProjectorSystem,Running,567.0
E0208,Z041,FireSafety,Running,261.0
E0209,Z041,AccessControl,Off,28.0
E0210,Z041,CoffeeMachine,Running,1448.0
E0211,Z042,HVACUnit,Running,3966.0
E0212,Z042,NetworkSwitch,Off,26.0
E0213,Z042,HVACUnit,Running,5472.0
E0214,Z043,AccessControl,Running,87.0
E0215,Z043,NetworkSwitch,Running,150.0
E0216,Z043,ProjectorSystem,Off,712.0
E0217,Z043,Lighting,Maintenance,87.0
E0218,Z043,NetworkSwitch,Running,58.0
E0219,Z043,SmartThermostat,Running,10.0
E0220,Z043,SmartThermostat,Maintenance,11.0
E0221,Z044,ProjectorSystem,Running,477.0
E0222,Z044,HVACUnit,Running,3392.0
E0223,Z044,AirPurifier,Running,146.0
E0224,Z044,AirPurifier,Running,112.0
E0225,Z044,HVACUnit,Off,3789.0
E0226,Z044,ProjectorSystem,Running,485.0
E0227,Z044,SoundSystem,Running,119.0
E0228,Z044,SoundSystem,Maintenance,81.0
E0229,Z045,UPS,Off,1375.0
E0230,Z045,NetworkSwitch,Maintenance,140.0
E0231,Z045,SecurityCam,Running,29.0
E0232,Z045,UPS,Running,1573.0
E0233,Z046,SmartThermostat,Off,9.0
E0234,Z046,CoffeeMachine,Running,1020.0
E0235,Z046,HVACUnit,Off,6523.0
E0236,Z046,SmartThermostat,Running,15.0
E0237,Z046,HVACUnit,Off,6619.0
E0238,Z046,ProjectorSystem,Off,385.0
E0239,Z046,SmartThermostat,Maintenance,8.0
E0240,Z047,FireSafety,Running,276.0
E0241,Z047,ProjectorSystem,Running,737.0
E0242,Z047,AccessControl,Running,62.0
E0243,Z047,SmartThermostat,Off,14.0
E0244,Z047,CoffeeMachine,Maintenance,1259.0
E0245,Z047,SoundSystem,Running,78.0
E0246,Z047,SoundSystem,Running,173.0
E0247,Z047,CoffeeMachine,Running,1194.0
E0248,Z048,SecurityCam,Running,45.0
E0249,Z048,ProjectorSystem,Running,553.0
E0250,Z048,NetworkSwitch,Off,138.0
E0251,Z048,ProjectorSystem,Running,294.0
E0252,Z048,HVACUnit,Off,3790.0
E0253,Z048,NetworkSwitch,Running,54.0
E0254,Z048,FireSafety,Running,298.0
E0255,Z049,SoundSystem,Running,183.0
E0256,Z049,SmartThermostat,Running,14.0
E0257,Z049,NetworkSwitch,Off,137.0
E0258,Z049,NetworkSwitch,Off,53.0
E0259,Z049,SmartThermostat,Off,15.0
E0260,Z050,SmartThermostat,Maintenance,10.0
E0261,Z050,SmartThermostat,Off,9.0
E0262,Z050,AirPurifier,Running,154.0
E0263,Z050,SecurityCam,Running,26.0
E0264,Z050,ProjectorSystem,Running,202.0
E0265,Z050,HVACUnit,Running,6079.0
E0266,Z050,SoundSystem,Maintenance,235.0
E0267,Z050,FireSafety,Running,286.0
E0268,Z051,FireSafety,Off,136.0
E0269,Z051,ProjectorSystem,Running,741.0
E0270,Z051,NetworkSwitch,Running,90.0
E0271,Z051,UPS,Off,1371.0
E0272,Z051,UPS,Maintenance,1559.0
E0273,Z051,ProjectorSystem,Off,713.0
E0274,Z051,HVACUnit,Off,3340.0
E0275,Z052,NetworkSwitch,Running,127.0
E0276,Z052,ProjectorSystem,Running,269.0
E0277,Z052,SoundSystem,Running,118.0
E0278,Z052,FireSafety,Maintenance,131.0
E0279,Z052,Lighting,Running,259.0
E0280,Z052,AccessControl,Running,40.0
E0281,Z052,CoffeeMachine,Maintenance,1156.0
E0282,Z053,NetworkSwitch,Running,101.0
E0283,Z053,AccessControl,Maintenance,33.0
E0284,Z053,HVACUnit,Off,3866.0
E0285,Z053,Lighting,Off,437.0
E0286,Z053,SmartThermostat,Running,7.0
E0287,Z053,CoffeeMachine,Running,1096.0
E0288,Z053,AirPurifier,Running,137.0
E0289,Z054,UPS,Running,1154.0
E0290,Z054,FireSafety,Maintenance,212.0
E0291,Z054,AirPurifier,Off,120.0
E0292,Z054,SmartThermostat,Maintenance,11.0
E0293,Z054,SmartThermostat,Running,9.0
E0294,Z054,AccessControl,Running,32.0
E0295,Z055,SoundSystem,Off,217.0
E0296,Z055,NetworkSwitch,Running,51.0
E0297,Z055,HVACUnit,Running,7636.0
E0298,Z055,FireSafety,Running,164.0
E0299,Z055,HVACUnit,Running,3928.0
E0300,Z056,HVACUnit,Running,7952.0
E0301,Z056,SoundSystem,Running,105.0
E0302,Z056,AccessControl,Maintenance,86.0
E0303,Z056,HVACUnit,Running,5474.0
E0304,Z057,SmartThermostat,Off,9.0
E0305,Z057,UPS,Running,1462.0
E0306,Z057,ProjectorSystem,Off,318.0
E0307,Z058,FireSafety,Running,122.0
E0308,Z058,SmartThermostat,Running,8.0
E0309,Z058,CoffeeMachine,Off,1293.0
E0310,Z058,CoffeeMachine,Running,1182.0
E0311,Z058,SecurityCam,Running,32.0
E0312,Z058,AccessControl,Running,85.0
E0313,Z058,CoffeeMachine,Off,1016.0
E0314,Z058,NetworkSwitch,Running,134.0
E0315,Z059,NetworkSwitch,Off,57.0
E0316,Z059,SecurityCam,Maintenance,18.0
E0317,Z059,CoffeeMachine,Off,967.0
E0318,Z059,NetworkSwitch,Running,136.0
E0319,Z059,UPS,Off,966.0
E0320,Z060,ProjectorSystem,Off,360.0
E0321,Z060,UPS,Off,1888.0
E0322,Z060,UPS,Running,1057.0
E0323,Z061,CoffeeMachine,Running,1024.0
E0324,Z061,Lighting,Off,487.0
E0325,Z061,SoundSystem,Maintenance,135.0
E0326,Z061,UPS,Running,1358.0
E0327,Z061,FireSafety,Running,160.0
E0328,Z062,Lighting,Maintenance,345.0
E0329,Z062,NetworkSwitch,Off,69.0
E0330,Z062,FireSafety,Maintenance,265.0
E0331,Z062,SmartThermostat,Off,11.0
E0332,Z062,SoundSystem,Running,203.0
E0333,Z062,ProjectorSystem,Off,605.0
E0334,Z062,CoffeeMachine,Off,1234.0
E0335,Z062,Lighting,Maintenance,461.0
E0336,Z063,CoffeeMachine,Running,1086.0
E0337,Z063,AirPurifier,Off,136.0
E0338,Z063,FireSafety,Running,210.0
E0339,Z063,CoffeeMachine,Maintenance,966.0
E0340,Z063,SecurityCam,Running,39.0
E0341,Z064,AirPurifier,Running,171.0
E0342,Z064,SoundSystem,Off,156.0
E0343,Z064,FireSafety,Maintenance,217.0
E0344,Z064,SoundSystem,Running,108.0
E0345,Z064,AccessControl,Running,54.0
E0346,Z064,AirPurifier,Running,80.0
E0347,Z064,CoffeeMachine,Off,1453.0
E0348,Z064,ProjectorSystem,Running,515.0
E0349,Z065,NetworkSwitch,Off,114.0
E0350,Z065,FireSafety,Running,109.0
E0351,Z065,Lighting,Running,280.0
E0352,Z065,AccessControl,Running,52.0
E0353,Z065,Lighting,Off,404.0
E0354,Z065,Lighting,Maintenance,76.0
E0355,Z066,SecurityCam,Maintenance,33.0
E0356,Z066,SmartThermostat,Running,8.0
E0357,Z066,Lighting,Running,476.0
E0358,Z066,NetworkSwitch,Running,127.0
E0359,Z067,CoffeeMachine,Maintenance,1061.0
E0360,Z067,SoundSystem,Running,246.0
E0361,Z067,SmartThermostat,Off,8.0
E0362,Z067,UPS,Running,1973.0
E0363,Z067,HVACUnit,Running,3385.0
E0364,Z068,HVACUnit,Running,6909.0
E0365,Z068,UPS,Off,861.0
E0366,Z068,HVACUnit,Running,5728.0
E0367,Z068,SmartThermostat,Running,11.0
E0368,Z068,SecurityCam,Maintenance,35.0
E0369,Z068,FireSafety,Running,269.0
E0370,Z069,UPS,Off,1886.0
E0371,Z069,SecurityCam,Running,30.0
E0372,Z069,HVACUnit,Maintenance,5853.0
E0373,Z070,SecurityCam,Running,26.0
E0374,Z070,Lighting,Running,483.0
E0375,Z070,ProjectorSystem,Running,774.0
E0376,Z070,HVACUnit,Running,4802.0
E0377,Z070,NetworkSwitch,Running,58.0
E0378,Z070,Lighting,Running,287.0
E0379,Z070,AirPurifier,Running,184.0
E0380,Z071,UPS,Off,521.0
E0381,Z071,Lighting,Running,85.0
E0382,Z071,ProjectorSystem,Running,421.0
E0383,Z071,SoundSystem,Running,211.0
E0384,Z071,SecurityCam,Running,30.0
E0385,Z071,UPS,Running,1735.0
E0386,Z071,SmartThermostat,Running,6.0
E0387,Z072,ProjectorSystem,Maintenance,497.0
E0388,Z072,SecurityCam,Maintenance,28.0
E0389,Z072,AccessControl,Running,80.0
E0390,Z072,UPS,Maintenance,1909.0
E0391,Z072,Lighting,Off,205.0
E0392,Z072,HVACUnit,Running,4850.0
E0393,Z072,UPS,Running,1659.0
E0394,Z073,NetworkSwitch,Running,35.0
E0395,Z073,SecurityCam,Running,23.0
E0396,Z073,HVACUnit,Running,7722.0
E0397,Z074,AirPurifier,Running,102.0
E0398,Z074,AccessControl,Running,34.0
E0399,Z074,UPS,Running,1711.0
E0400,Z074,HVACUnit,Running,3017.0
E0401,Z074,UPS,Off,1951.0
E0402,Z074,ProjectorSystem,Running,559.0
E0403,Z074,SoundSystem,Running,250.0
E0404,Z074,SmartThermostat,Running,8.0
E0405,Z075,UPS,Running,1923.0
E0406,Z075,SmartThermostat,Running,7.0
E0407,Z075,SoundSystem,Maintenance,261.0
E0408,Z075,Lighting,Running,110.0
E0409,Z075,SoundSystem,Running,161.0
E0410,Z076,NetworkSwitch,Running,113.0
E0411,Z076,AccessControl,Running,36.0
E0412,Z076,AccessControl,Off,38.0
E0413,Z076,AirPurifier,Off,128.0
E0414,Z076,UPS,Running,1884.0
E0415,Z076,SmartThermostat,Running,8.0
E0416,Z076,Lighting,Running,247.0
E0417,Z077,NetworkSwitch,Running,135.0
E0418,Z077,AirPurifier,Off,198.0
E0419,Z077,CoffeeMachine,Off,1104.0
E0420,Z077,FireSafety,Running,275.0
E0421,Z078,SecurityCam,Off,49.0
E0422,Z078,HVACUnit,Off,3989.0
E0423,Z078,CoffeeMachine,Running,1487.0
E0424,Z078,HVACUnit,Running,3795.0
E0425,Z079,SmartThermostat,Running,5.0
E0426,Z079,AirPurifier,Running,170.0
E0427,Z079,UPS,Running,1878.0
E0428,Z079,SoundSystem,Off,59.0
E0429,Z079,SoundSystem,Off,86.0
E0430,Z079,Lighting,Running,121.0
E0431,Z079,HVACUnit,Running,7538.0
E0432,Z079,SoundSystem,Running,159.0
E0433,Z080,Lighting,Running,361.0
E0434,Z080,AirPurifier,Running,190.0
E0435,Z080,SmartThermostat,Running,9.0
E0436,Z080,HVACUnit,Running,4277.0
E0437,Z081,UPS,Running,655.0
E0438,Z081,SoundSystem,Running,68.0
E0439,Z081,AccessControl,Running,64.0
E0440,Z081,CoffeeMachine,Running,866.0
E0441,Z081,AccessControl,Running,46.0
E0442,Z081,SecurityCam,Running,33.0
E0443,Z081,CoffeeMachine,Running,1377.0
E0444,Z082,CoffeeMachine,Maintenance,811.0
E0445,Z082,NetworkSwitch,Running,123.0
E0446,Z082,AccessControl,Maintenance,27.0
E0447,Z083,SecurityCam,Running,35.0
E0448,Z083,AirPurifier,Off,200.0
E0449,Z083,SoundSystem,Off,99.0
E0450,Z084,AirPurifier,Running,174.0
E0451,Z084,HVACUnit,Running,3399.0
E0452,Z084,CoffeeMachine,Running,870.0
E0453,Z085,AirPurifier,Running,177.0
E0454,Z085,SmartThermostat,Running,14.0
E0455,Z085,HVACUnit,Off,4722.0
E0456,Z085,HVACUnit,Running,6251.0
E0457,Z085,SoundSystem,Running,260.0
E0458,Z085,SmartThermostat,Running,12.0
E0459,Z086,Lighting,Running,453.0
E0460,Z086,AirPurifier,Running,111.0
E0461,Z086,AccessControl,Running,75.0
E0462,Z086,UPS,Maintenance,911.0
E0463,Z086,UPS,Running,812.0
E0464,Z086,FireSafety,Off,128.0
E0465,Z087,AirPurifier,Running,88.0
E0466,Z087,SecurityCam,Off,23.0
E0467,Z087,SoundSystem,Running,249.0
E0468,Z087,UPS,Running,809.0
E0469,Z087,Lighting,Running,296.0
E0470,Z088,FireSafety,Off,294.0
E0471,Z088,CoffeeMachine,Running,1421.0
E0472,Z088,HVACUnit,Running,4987.0
E0473,Z088,HVACUnit,Running,4787.0
E0474,Z088,SecurityCam,Running,47.0
E0475,Z088,CoffeeMachine,Running,1224.0
E0476,Z088,SecurityCam,Off,22.0
E0477,Z089,SecurityCam,Running,36.0
E0478,Z089,HVACUnit,Running,4188.0
E0479,Z089,FireSafety,Running,166.0
E0480,Z089,SecurityCam,Running,46.0
E0481,Z089,FireSafety,Off,284.0
E0482,Z090,HVACUnit,Off,4184.0
E0483,Z090,NetworkSwitch,Running,57.0
E0484,Z090,ProjectorSystem,Running,562.0
E0485,Z090,SmartThermostat,Running,6.0
E0486,Z091,SmartThermostat,Running,15.0
E0487,Z091,NetworkSwitch,Running,85.0
E0488,Z091,ProjectorSystem,Maintenance,329.0
E0489,Z091,HVACUnit,Maintenance,4999.0
E0490,Z091,FireSafety,Running,255.0
E0491,Z091,Lighting,Running,73.0
E0492,Z091,NetworkSwitch,Running,88.0
E0493,Z091,SoundSystem,Off,65.0
E0494,Z092,NetworkSwitch,Running,75.0
E0495,Z092,CoffeeMachine,Running,829.0
E0496,Z092,CoffeeMachine,Running,1374.0
E0497,Z093,UPS,Running,1376.0
E0498,Z093,CoffeeMachine,Running,1412.0
E0499,Z093,AirPurifier,Running,119.0
E0500,Z093,Lighting,Running,494.0
E0501,Z094,NetworkSwitch,Running,64.0
E0502,Z094,HVACUnit,Running,4663.0
E0503,Z094,UPS,Running,1122.0
E0504,Z094,AccessControl,Running,49.0
E0505,Z094,ProjectorSystem,Running,565.0
E0506,Z095,UPS,Running,1190.0
E0507,Z095,FireSafety,Off,118.0
E0508,Z095,ProjectorSystem,Off,392.0
E0509,Z095,AirPurifier,Running,163.0
E0510,Z095,UPS,Off,1527.0
E0511,Z095,AirPurifier,Running,122.0
E0512,Z096,Lighting,Running,215.0
E0513,Z096,AirPurifier,Running,84.0
E0514,Z096,UPS,Off,1718.0
E0515,Z097,Lighting,Running,483.0
E0516,Z097,Lighting,Running,194.0
E0517,Z097,SmartThermostat,Running,6.0
E0518,Z097,UPS,Off,539.0
E0519,Z098,ProjectorSystem,Off,322.0
E0520,Z098,CoffeeMachine,Off,1461.0
E0521,Z098,CoffeeMachine,Running,1402.0
E0522,Z098,SecurityCam,Maintenance,34.0
E0523,Z098,AccessControl,Running,27.0
E0524,Z098,ProjectorSystem,Off,672.0
E0525,Z099,AirPurifier,Running,192.0
E0526,Z099,SmartThermostat,Running,6.0
E0527,Z099,HVACUnit,Running,5587.0
E0528,Z099,CoffeeMachine,Off,1237.0
E0529,Z099,NetworkSwitch,Running,35.0
E0530,Z100,SecurityCam,Running,17.0
E0531,Z100,SecurityCam,Running,32.0
E0532,Z100,SmartThermostat,Running,6.0
E0533,Z100,AirPurifier,Off,87.0
E0534,Z100,Lighting,Running,165.0
E0535,Z100,NetworkSwitch,Running,136.0
E0536,Z101,SecurityCam,Maintenance,25.0
E0537,Z101,AccessControl,Maintenance,100.0
E0538,Z101,SecurityCam,Running,24.0
E0539,Z101,FireSafety,Running,289.0
E0540,Z101,HVACUnit,Running,4937.0
E0541,Z102,SecurityCam,Running,20.0
E0542,Z102,Lighting,Off,190.0
E0543,Z102,SmartThermostat,Running,11.0
E0544,Z102,NetworkSwitch,Running,143.0
E0545,Z103,UPS,Off,969.0
E0546,Z103,FireSafety,Running,190.0
E0547,Z103,FireSafety,Running,255.0
E0548,Z103,SmartThermostat,Running,10.0
E0549,Z103,HVACUnit,Running,5348.0
E0550,Z103,UPS,Off,517.0
E0551,Z103,SoundSystem,Running,167.0
E0552,Z103,HVACUnit,Running,3465.0
E0553,Z104,HVACUnit,Maintenance,4090.0
E0554,Z104,NetworkSwitch,Running,110.0
E0555,Z104,AccessControl,Running,43.0
E0556,Z104,CoffeeMachine,Running,1324.0
E0557,Z104,SecurityCam,Running,42.0
E0558,Z104,ProjectorSystem,Off,658.0
E0559,Z105,CoffeeMachine,Running,907.0
E0560,Z105,SmartThermostat,Running,11.0
E0561,Z105,UPS,Running,1718.0
E0562,Z105,CoffeeMachine,Running,1205.0
E0563,Z105,SmartThermostat,Running,13.0
E0564,Z106,FireSafety,Running,157.0
E0565,Z106,SecurityCam,Running,17.0
E0566,Z106,FireSafety,Off,260.0
E0567,Z106,HVACUnit,Running,4348.0
E0568,Z106,UPS,Running,856.0
E0569,Z107,AccessControl,Maintenance,53.0
E0570,Z107,AccessControl,Off,51.0
E0571,Z107,FireSafety,Running,227.0
E0572,Z107,Lighting,Running,323.0
E0573,Z107,FireSafety,Running,177.0
E0574,Z107,AccessControl,Off,70.0
E0575,Z108,AirPurifier,Running,152.0
E0576,Z108,SmartThermostat,Running,10.0
E0577,Z108,SecurityCam,Running,25.0
E0578,Z109,CoffeeMachine,Off,1416.0
E0579,Z109,NetworkSwitch,Running,78.0
E0580,Z109,HVACUnit,Running,6738.0
E0581,Z109,Lighting,Maintenance,277.0
E0582,Z109,HVACUnit,Running,6486.0
E0583,Z110,Lighting,Running,464.0
E0584,Z110,SmartThermostat,Off,11.0
E0585,Z110,AccessControl,Running,85.0
E0586,Z110,AccessControl,Running,27.0
E0587,Z110,FireSafety,Running,242.0
E0588,Z110,Lighting,Running,224.0
E0589,Z111,AccessControl,Running,95.0
E0590,Z111,UPS,Running,938.0
E0591,Z111,AccessControl,Maintenance,69.0
E0592,Z112,FireSafety,Running,157.0
E0593,Z112,ProjectorSystem,Running,730.0
E0594,Z112,SecurityCam,Running,45.0
E0595,Z112,SoundSystem,Off,207.0
E0596,Z112,AirPurifier,Off,140.0
E0597,Z112,FireSafety,Maintenance,198.0
E0598,Z113,SecurityCam,Running,43.0
E0599,Z113,SecurityCam,Running,30.0
E0600,Z113,FireSafety,Running,177.0
E0601,Z113,HVACUnit,Running,4311.0
E0602,Z113,UPS,Running,1086.0
E0603,Z113,NetworkSwitch,Running,145.0
E0604,Z113,HVACUnit,Maintenance,5447.0
E0605,Z114,AirPurifier,Running,118.0
E0606,Z114,HVACUnit,Maintenance,7769.0
E0607,Z114,CoffeeMachine,Running,1429.0
E0608,Z114,CoffeeMachine,Running,1172.0
E0609,Z114,HVACUnit,Running,3166.0
E0610,Z115,UPS,Maintenance,1969.0
E0611,Z115,FireSafety,Running,202.0
E0612,Z115,NetworkSwitch,Running,30.0
E0613,Z115,SecurityCam,Running,24.0
E0614,Z115,UPS,Off,1735.0
E0615,Z115,AccessControl,Running,71.0
E0616,Z116,HVACUnit,Running,6184.0
E0617,Z116,UPS,Running,553.0
E0618,Z116,ProjectorSystem,Maintenance,555.0
