sensorID,zoneID,equipmentID,sensorType,currentReading,lastUpdateTime
S0083,Z026,,Temperature,65.5,2025-07-01 16:30:54
S0084,Z026,,Humidity,60.2,2025-06-30 06:47:35
S0085,Z026,E0801,Smoke,8.0,2025-07-01 05:38:10
S0086,Z026,,Smoke,9.2,2025-07-01 19:23:42
S0087,Z027,E3221,AirQuality,28.8,2025-07-01 13:12:32
S0088,Z027,,CO2,1067.6,2025-07-01 06:16:17
S0089,Z027,E3123,AirQuality,73.3,2025-07-01 01:01:57
S0090,Z027,,Sound,72.5,2025-06-30 06:02:47
S0091,Z027,,Humidity,45.3,2025-07-01 22:36:16
S0092,Z028,,Temperature,69.8,2025-07-01 20:28:44
S0093,Z028,E3429,Temperature,80.2,2025-07-01 09:10:33
S0094,Z029,E0787,Sound,36.4,2025-07-01 11:14:51
S0095,Z029,E1490,Temperature,67.1,2025-07-01 04:15:59
S0096,Z029,,Vibration,17.9,2025-07-01 09:55:31
S0097,Z030,E1848,Occupancy,4.0,2025-07-01 03:05:21
S0098,Z030,,Occupancy,13.0,2025-06-30 15:24:31
S0099,Z030,,Occupancy,11.0,2025-06-30 07:16:48
S0100,Z031,,Occupancy,11.0,2025-07-01 19:40:20
S0101,Z031,,Motion,0.0,2025-07-01 05:12:21
S0102,Z031,,Smoke,1.5,2025-07-01 21:47:10
S0103,Z032,,Smoke,1.3,2025-07-01 14:19:42
S0104,Z032,E1122,Temperature,80.5,2025-07-01 20:07:45
S0105,Z032,E0628,Smoke,3.5,2025-07-01 07:24:14
S0106,Z033,,Sound,47.7,2025-07-01 11:08:13
S0107,Z033,,Humidity,68.6,2025-07-01 18:29:20
S0108,Z033,E2645,Pressure,29.6,2025-07-01 05:28:23
S0109,Z034,E2506,Light,188.8,2025-07-01 11:43:43
S0110,Z034,,Vibration,79.8,2025-07-01 21:33:21
S0111,Z034,E0057,CO2,996.2,2025-07-01 06:50:37
S0112,Z035,E3569,AirQuality,53.1,2025-07-01 20:47:36
S0113,Z035,,Humidity,39.5,2025-07-01 01:55:17
S0114,Z035,,Sound,59.1,2025-07-01 16:02:53
S0115,Z036,,Sound,66.7,2025-07-01 03:21:29
S0116,Z036,,Humidity,69.2,2025-07-01 00:48:38
S0117,Z037,E4458,Smoke,7.4,2025-07-01 07:30:47
S0118,Z037,E5306,AirQuality,53.6,2025-07-01 03:05:30
S0119,Z037,,Sound,51.0,2025-07-01 17:05:24
S0120,Z037,,Motion,1.0,2025-07-01 13:44:46
S0121,Z037,,Motion,1.0,2025-07-01 06:14:04
S0122,Z038,E1558,Humidity,44.8,2025-07-01 08:23:25
S0123,Z038,,Sound,44.2,2025-07-01 18:32:58
S0124,Z039,E3290,Motion,1.0,2025-07-01 06:39:49
S0125,Z039,,Occupancy,0.0,2025-07-01 10:22:41
S0126,Z039,,Vibration,3.4,2025-07-01 10:13:01
S0127,Z040,,Smoke,7.4,2025-07-01 14:19:16
S0128,Z040,E3458,Occupancy,16.0,2025-07-01 18:50:56
S0129,Z040,,Sound,50.8,2025-06-29 13:24:37
S0130,Z040,E2944,Occupancy,12.0,2025-06-29 03:44:58
S0131,Z040,,CO2,1167.9,2025-07-01 02:31:37
S0132,Z041,,Temperature,70.4,2025-06-29 16:51:53
S0133,Z041,,Vibration,66.1,2025-07-01 16:11:34
S0134,Z041,,Sound,63.0,2025-07-01 07:45:32
S0135,Z041,,Smoke,4.9,2025-07-01 10:29:42
S0136,Z041,,Occupancy,19.0,2025-07-01 01:10:56
S0137,Z042,,Sound,73.1,2025-06-30 12:20:18
S0138,Z042,,Smoke,3.6,2025-07-01 01:23:16
S0139,Z042,,Light,221.1,2025-07-01 09:36:07
S0140,Z043,,Light,521.5,2025-07-01 12:55:10
S0141,Z043,,Occupancy,19.0,2025-07-01 10:32:26
S0142,Z043,,Sound,73.9,2025-07-01 11:36:15
S0143,Z043,,Occupancy,11.0,2025-06-30 18:59:26
S0144,Z043,,Humidity,63.8,2025-06-30 16:30:55
S0145,Z044,E1752,Smoke,4.7,2025-07-01 09:48:24
S0146,Z044,,CO2,610.3,2025-07-01 23:17:44
S0147,Z044,,Temperature,76.0,2025-07-01 14:33:27
S0148,Z044,,Humidity,47.8,2025-07-01 13:56:33
S0149,Z044,,CO2,752.6,2025-06-30 19:25:07
S0150,Z045,,Pressure,29.7,2025-07-01 16:18:00
S0151,Z045,,Occupancy,24.0,2025-07-01 07:20:08
S0152,Z046,,CO2,1041.9,2025-06-30 16:08:05
S0153,Z046,,CO2,696.7,2025-06-29 06:00:13
S0154,Z046,,Vibration,87.6,2025-07-01 13:39:30
S0155,Z046,E4908,Light,568.5,2025-06-30 20:08:49
S0156,Z046,,Smoke,5.4,2025-07-01 04:59:47
S0157,Z047,,Temperature,67.8,2025-06-29 21:35:59
S0158,Z047,,Temperature,67.1,2025-07-01 04:06:31
S0159,Z048,,Sound,68.9,2025-07-01 19:08:35
S0160,Z048,,Light,71.2,2025-06-29 13:04:00
S0161,Z048,,Light,248.6,2025-07-01 00:35:48
S0162,Z048,,Temperature,69.0,2025-07-01 01:05:01
S0163,Z048,,Pressure,30.1,2025-07-01 21:03:07
S0164,Z049,E0603,Vibration,89.4,2025-07-01 18:14:33
S0165,Z049,,Light,458.3,2025-06-29 11:51:40
S0166,Z049,,AirQuality,63.0,2025-07-01 05:58:42
S0167,Z049,E4734,Sound,47.7,2025-07-01 08:00:56
S0168,Z049,,CO2,1145.9,2025-07-01 00:39:05
S0169,Z050,E1337,Temperature,76.3,2025-07-01 15:54:29
S0170,Z050,,CO2,570.5,2025-07-01 14:47:36
S0171,Z051,,Occupancy,9.0,2025-07-01 15:36:36
S0172,Z051,E1193,Vibration,80.0,2025-07-01 02:09:55
S0173,Z051,E3847,CO2,353.1,2025-06-30 19:04:50
S0174,Z051,,CO2,892.4,2025-07-01 11:59:45
S0175,Z051,E2809,CO2,1039.2,2025-07-01 15:47:27
S0176,Z052,E0592,Occupancy,16.0,2025-07-01 11:05:05
S0177,Z052,,Motion,1.0,2025-07-01 04:28:57
S0178,Z052,,Motion,1.0,2025-07-01 01:42:23
S0179,Z053,,Light,559.3,2025-07-01 11:30:20
S0180,Z053,,AirQuality,71.8,2025-07-01 05:34:09
S0181,Z053,E3302,Sound,38.7,2025-06-30 02:14:56
S0182,Z053,,Temperature,65.8,2025-07-01 09:07:30
S0183,Z053,,Light,73.6,2025-07-01 11:36:29
S0184,Z054,,Humidity,51.8,2025-07-01 04:37:09
S0185,Z054,,Motion,0.0,2025-06-30 15:34:51
S0186,Z054,,AirQuality,52.4,2025-07-01 21:33:09
S0187,Z054,,Temperature,77.1,2025-07-01 15:10:41
S0188,Z055,,Light,854.3,2025-07-01 18:29:33
S0189,Z055,,Smoke,3.1,2025-06-30 08:21:34
S0190,Z055,E4146,Vibration,43.9,2025-07-01 08:37:34
S0191,Z056,,Temperature,71.8,2025-07-01 06:40:26
S0192,Z056,,Motion,0.0,2025-07-01 15:24:07
S0193,Z056,,CO2,1103.2,2025-07-01 22:10:21
S0194,Z056,E3562,Motion,0.0,2025-07-01 17:21:40
S0195,Z056,E5109,Pressure,29.9,2025-07-01 16:57:39
S0196,Z057,E3245,Light,574.3,2025-07-01 04:40:58
S0197,Z057,,Occupancy,1.0,2025-07-01 13:28:02
S0198,Z058,,CO2,737.0,2025-07-01 17:07:41
S0199,Z058,E0336,Sound,56.9,2025-07-01 09:29:01
S0200,Z058,,Temperature,73.5,2025-07-01 07:28:16
S0201,Z059,E3990,CO2,568.6,2025-07-01 20:06:25
S0202,Z059,,Motion,1.0,2025-07-01 05:33:48
S0203,Z060,E5179,Vibration,1.5,2025-07-01 04:28:35
S0204,Z060,E3713,Pressure,30.3,2025-07-01 00:50:52
S0205,Z061,,Motion,0.0,2025-07-01 16:32:45
S0206,Z061,,Vibration,32.8,2025-07-01 12:30:26
S0207,Z061,,Humidity,35.5,2025-06-29 02:24:53
S0208,Z062,E1191,Light,827.4,2025-07-01 02:29:58
S0209,Z062,,CO2,834.3,2025-07-01 05:15:37
S0210,Z062,,Vibration,6.3,2025-07-01 05:14:57
S0211,Z062,,CO2,1120.6,2025-07-01 18:08:55
S0212,Z062,,Pressure,29.5,2025-06-29 04:01:04
S0213,Z063,,Sound,73.5,2025-07-01 09:42:07
S0214,Z063,,Vibration,93.2,2025-06-30 06:44:24
S0215,Z064,,Vibration,47.3,2025-07-01 15:48:42
S0216,Z064,,Pressure,29.6,2025-07-01 21:37:47
S0217,Z064,,Occupancy,21.0,2025-07-01 23:06:28
S0218,Z064,,Humidity,59.2,2025-07-01 10:17:18
S0219,Z064,,Humidity,69.2,2025-07-01 12:24:46
S0220,Z065,,Smoke,2.8,2025-06-29 04:46:23
S0221,Z065,E4575,Temperature,82.9,2025-07-01 04:02:31
S0222,Z065,E5437,Occupancy,25.0,2025-07-01 14:24:15
S0223,Z065,E4329,Temperature,66.5,2025-07-01 06:20:33
S0224,Z066,E0715,Humidity,54.5,2025-07-01 12:17:22
S0225,Z066,,Sound,66.9,2025-06-29 14:43:42
S0226,Z066,E5236,CO2,440.8,2025-07-01 19:17:35
S0227,Z066,,Light,597.7,2025-06-30 07:52:34
S0228,Z066,E4605,Pressure,29.8,2025-07-01 03:17:42
S0229,Z067,,Light,774.3,2025-07-01 01:55:45
S0230,Z067,,Temperature,81.0,2025-07-01 18:59:42
S0231,Z068,E0105,Motion,1.0,2025-07-01 14:45:22
S0232,Z068,,Vibration,59.6,2025-07-01 12:14:21
S0233,Z068,,Pressure,30.2,2025-07-01 06:08:56
S0234,Z068,,Temperature,82.9,2025-07-01 15:27:36
S0235,Z068,,Motion,1.0,2025-07-01 01:25:47
S0236,Z069,E0940,AirQuality,92.9,2025-06-29 23:03:34
S0237,Z069,E4494,Light,978.5,2025-07-01 02:35:15
S0238,Z069,E4528,Humidity,30.1,2025-07-01 20:42:43
S0239,Z070,E1214,AirQuality,33.7,2025-06-29 06:44:54
S0240,Z070,,Humidity,54.9,2025-07-01 18:53:04
S0241,Z070,,Occupancy,2.0,2025-07-01 04:06:32
S0242,Z070,,Vibration,42.4,2025-06-29 05:37:10
S0243,Z070,,AirQuality,58.2,2025-07-01 15:32:28
S0244,Z071,,Smoke,9.7,2025-07-01 19:14:46
S0245,Z071,E2735,Temperature,73.8,2025-07-01 10:26:54
S0246,Z071,E1721,Occupancy,23.0,2025-07-01 07:37:13
S0247,Z072,E1698,AirQuality,39.5,2025-06-29 16:18:29
S0248,Z072,,AirQuality,55.9,2025-07-01 11:34:47
S0249,Z072,E0938,Sound,68.2,2025-06-29 22:07:10
S0250,Z073,,Light,145.2,2025-07-01 01:49:58
S0251,Z073,,Vibration,82.6,2025-07-01 09:16:13
S0252,Z073,,Humidity,41.3,2025-07-01 19:15:18
S0253,Z073,E4610,Vibration,99.5,2025-07-01 07:07:49
S0254,Z073,,Light,216.6,2025-06-29 07:09:16
S0255,Z074,E3201,CO2,932.6,2025-07-01 12:09:20
S0256,Z074,,Temperature,65.7,2025-07-01 22:05:16
S0257,Z075,E4905,Pressure,29.7,2025-07-01 13:43:47
S0258,Z075,E2709,Vibration,4.8,2025-07-01 11:18:28
S0259,Z076,,Temperature,65.7,2025-07-01 09:39:59
S0260,Z076,E4170,Vibration,30.5,2025-07-01 20:10:34
S0261,Z076,,Sound,43.5,2025-07-01 12:09:37
S0262,Z077,E4669,Smoke,4.0,2025-07-01 22:23:12
S0263,Z077,,Humidity,46.0,2025-06-29 06:33:23
S0264,Z077,E0765,Vibration,87.0,2025-07-01 23:21:22
S0265,Z077,,Pressure,29.8,2025-06-30 09:27:10
S0266,Z078,,Light,342.3,2025-07-01 07:28:25
S0267,Z078,,Vibration,1.8,2025-07-01 05:50:55
S0268,Z078,,Occupancy,3.0,2025-07-01 08:40:45
S0269,Z079,,Motion,0.0,2025-06-30 10:20:03
S0270,Z079,,AirQuality,41.3,2025-07-01 05:48:53
S0271,Z080,,Humidity,40.4,2025-06-30 01:52:10
S0272,Z080,,Temperature,78.9,2025-07-01 11:02:20
S0273,Z081,,Motion,0.0,2025-07-01 02:49:01
S0274,Z081,E4476,Smoke,8.6,2025-06-29 08:27:40
S0275,Z081,,Light,319.4,2025-07-01 20:56:53
S0276,Z081,,Temperature,77.6,2025-06-30 01:43:52
S0277,Z081,E2717,Occupancy,15.0,2025-07-01 13:55:24
S0278,Z082,E3403,Temperature,66.8,2025-07-01 18:46:59
S0279,Z082,,Occupancy,6.0,2025-06-30 08:17:28
S0280,Z082,,Occupancy,4.0,2025-07-01 13:01:13
S0281,Z082,,Sound,50.9,2025-07-01 17:06:32
S0282,Z082,E0068,Occupancy,4.0,2025-07-01 01:48:02
S0283,Z083,,Temperature,71.3,2025-07-01 09:52:40
S0284,Z083,,Temperature,74.9,2025-07-01 11:18:44
S0285,Z084,,Occupancy,22.0,2025-07-01 18:59:03
S0286,Z084,,Sound,51.8,2025-06-30 01:38:39
S0287,Z084,,Smoke,6.5,2025-07-01 13:30:36
S0288,Z084,,Pressure,30.1,2025-07-01 05:56:21
S0289,Z084,E3650,AirQuality,27.5,2025-07-01 15:28:40
S0290,Z085,E4535,Motion,0.0,2025-07-01 01:13:58
S0291,Z085,E2774,Humidity,30.4,2025-07-01 16:16:13
S0292,Z085,,Humidity,55.6,2025-07-01 10:59:19
S0293,Z085,E2233,Pressure,29.5,2025-06-29 21:07:49
S0294,Z085,,Light,269.5,2025-06-30 04:43:08
S0295,Z086,,Vibration,89.9,2025-07-01 13:23:27
S0296,Z086,,Pressure,30.2,2025-07-01 16:47:29
S0297,Z087,,Temperature,68.1,2025-06-30 08:26:43
S0298,Z087,,Smoke,3.9,2025-07-01 15:48:10
S0299,Z088,,Vibration,19.9,2025-07-01 12:45:47
S0300,Z088,,Sound,53.4,2025-07-01 17:12:04
S0301,Z088,,Smoke,2.5,2025-07-01 05:29:35
S0302,Z089,,Humidity,63.4,2025-07-01 22:56:41
S0303,Z089,,Motion,1.0,2025-07-01 13:11:39
S0304,Z089,E0819,AirQuality,40.1,2025-07-01 05:03:27
S0305,Z089,,Temperature,81.1,2025-07-01 02:29:08
S0306,Z090,,AirQuality,33.2,2025-07-01 13:30:08
S0307,Z090,E0493,Occupancy,20.0,2025-07-01 08:36:10
S0308,Z091,,Vibration,40.0,2025-07-01 17:18:04
S0309,Z091,,Motion,1.0,2025-07-01 18:01:23
S0310,Z091,E1230,Vibration,50.5,2025-06-30 15:48:23
S0311,Z092,,Vibration,94.8,2025-06-29 10:21:21
S0312,Z092,E4378,Motion,0.0,2025-07-01 12:09:11
S0313,Z092,E2273,Occupancy,11.0,2025-07-01 22:06:02
S0314,Z092,,Humidity,41.8,2025-07-01 10:15:08
S0315,Z093,,Pressure,29.8,2025-07-01 02:20:05
S0316,Z093,,Occupancy,12.0,2025-07-01 15:00:30
S0317,Z094,E4589,Light,393.2,2025-07-01 09:53:23
S0318,Z094,,Sound,56.5,2025-07-01 03:37:15
S0319,Z095,E4929,Temperature,74.6,2025-07-01 13:25:48
S0320,Z095,,Occupancy,5.0,2025-07-01 07:27:31
S0321,Z095,,Occupancy,20.0,2025-06-30 16:18:58
S0322,Z096,,Light,969.6,2025-07-01 18:54:21
S0323,Z096,,CO2,693.9,2025-07-01 18:17:57
S0324,Z096,,Temperature,73.3,2025-07-01 10:29:28
S0325,Z096,,Vibration,6.4,2025-07-01 05:38:40
S0326,Z097,E1859,Sound,65.8,2025-07-01 17:14:49
S0327,Z097,,Light,916.7,2025-07-01 11:22:19
S0328,Z098,,CO2,1196.9,2025-07-01 14:21:34
S0329,Z098,E0373,Light,116.0,2025-07-01 22:59:25
S0330,Z098,,Light,895.3,2025-07-01 09:18:39
S0331,Z098,,Sound,63.6,2025-06-29 06:17:00
S0332,Z098,,AirQuality,79.1,2025-07-01 18:31:50
S0333,Z099,,AirQuality,40.1,2025-06-29 18:15:25
S0334,Z099,,Smoke,8.1,2025-07-01 03:01:37
S0335,Z099,,Humidity,34.0,2025-06-30 17:58:19
S0336,Z100,E2226,Temperature,80.9,2025-07-01 17:14:38
S0337,Z100,E1420,AirQuality,45.3,2025-06-29 13:44:46
S0338,Z100,,Occupancy,24.0,2025-06-29 13:50:23
S0339,Z100,E2109,Sound,36.7,2025-07-01 08:23:35
S0340,Z100,,Smoke,2.3,2025-07-01 10:04:07
S0341,Z101,,AirQuality,58.4,2025-07-01 09:04:18
S0342,Z101,,Pressure,30.3,2025-07-01 21:55:36
S0343,Z101,,Pressure,29.8,2025-07-01 03:21:01
S0344,Z101,,Temperature,81.4,2025-07-01 04:57:16
S0345,Z101,,Humidity,56.7,2025-06-30 16:16:46
S0346,Z102,,Sound,45.6,2025-07-01 08:51:59
S0347,Z102,,Sound,71.5,2025-06-30 14:20:59
S0348,Z102,,Motion,0.0,2025-07-01 22:01:32
S0349,Z102,,Temperature,80.9,2025-07-01 03:22:30
S0350,Z103,,Temperature,82.3,2025-07-01 20:29:19
S0351,Z103,,Pressure,30.2,2025-07-01 21:28:48
S0352,Z104,,Sound,75.7,2025-07-01 15:18:20
S0353,Z104,,Pressure,30.1,2025-07-01 06:50:11
S0354,Z104,,CO2,1151.0,2025-07-01 08:00:27
S0355,Z104,,Motion,1.0,2025-06-29 07:31:07
S0356,Z105,,Smoke,0.1,2025-07-01 22:11:16
S0357,Z105,E0359,Humidity,34.3,2025-07-01 13:59:02
S0358,Z105,,Vibration,80.8,2025-07-01 11:45:13
S0359,Z105,E4363,CO2,303.4,2025-07-01 11:05:03
S0360,Z106,,Vibration,78.5,2025-07-01 09:50:56
S0361,Z106,,Occupancy,4.0,2025-07-01 13:40:31
S0362,Z106,,Pressure,30.3,2025-07-01 22:54:27
S0363,Z106,,Motion,0.0,2025-07-01 18:39:04
S0364,Z106,,Occupancy,18.0,2025-06-30 00:56:22
S0365,Z107,,Pressure,30.4,2025-06-29 01:56:38
S0366,Z107,,Vibration,33.1,2025-07-01 03:14:10
S0367,Z107,,Humidity,33.2,2025-06-30 11:40:47
S0368,Z107,,Temperature,71.1,2025-07-01 11:42:39
S0369,Z108,,Humidity,39.7,2025-07-01 22:32:51
S0370,Z108,E1079,Motion,1.0,2025-07-01 13:56:00
S0371,Z108,,Sound,42.6,2025-06-29 15:25:20
S0372,Z108,,Motion,0.0,2025-07-01 20:42:50
S0373,Z108,E4413,AirQuality,47.1,2025-07-01 07:14:53
S0374,Z109,E2603,Temperature,78.9,2025-07-01 11:50:07
S0375,Z109,E3168,Sound,55.8,2025-07-01 04:32:14
S0376,Z109,,CO2,480.5,2025-07-01 16:52:30
S0377,Z109,,CO2,393.6,2025-07-01 13:01:23
S0378,Z110,E2349,Light,622.9,2025-07-01 00:49:37
S0379,Z110,,Vibration,68.0,2025-07-01 19:41:43
S0380,Z111,,Pressure,30.2,2025-06-29 13:37:02
S0381,Z111,,CO2,940.3,2025-07-01 09:10:37
S0382,Z111,,CO2,757.0,2025-07-01 08:01:18
S0383,Z111,,Sound,64.3,2025-06-29 12:39:14
S0384,Z111,,Light,858.2,2025-07-01 01:28:24
S0385,Z112,,Occupancy,10.0,2025-07-01 08:32:38
S0386,Z112,E3897,Temperature,71.6,2025-07-01 02:02:52
S0387,Z112,,Motion,1.0,2025-07-01 08:30:17
S0388,Z112,,Motion,1.0,2025-07-01 22:43:22
S0389,Z113,,AirQuality,55.2,2025-06-29 20:10:52
S0390,Z113,,Pressure,29.6,2025-07-01 01:09:02
S0391,Z113,,Temperature,74.6,2025-07-01 02:04:50
S0392,Z113,,Pressure,30.2,2025-07-01 07:34:23
S0393,Z113,E4958,Light,338.8,2025-07-01 13:05:50
S0394,Z114,,CO2,494.7,2025-07-01 07:38:46
S0395,Z114,E4247,Light,608.7,2025-07-01 20:52:29
S0396,Z114,E1585,Sound,40.1,2025-06-29 20:22:25
S0397,Z114,,CO2,441.8,2025-07-01 09:33:38
S0398,Z114,,Motion,0.0,2025-07-01 16:49:10
S0399,Z115,E1428,CO2,636.6,2025-06-30 14:39:32
S0400,Z115,E3523,CO2,607.3,2025-07-01 16:25:21
S0401,Z115,,Vibration,15.1,2025-07-01 02:02:56
S0402,Z115,E3921,Motion,1.0,2025-06-30 03:47:21
S0403,Z115,,Smoke,4.7,2025-07-01 03:32:45
S0404,Z116,,Vibration,52.7,2025-07-01 06:33:09
S0405,Z116,,CO2,913.8,2025-07-01 05:41:22
S0406,Z116,E3525,Motion,0.0,2025-07-01 12:59:29
S0407,Z117,,Humidity,35.2,2025-06-29 02:05:21
S0408,Z117,,Vibration,47.7,2025-07-01 13:46:16
S0409,Z117,,Humidity,30.4,2025-07-01 14:05:16
S0410,Z117,,CO2,1108.4,2025-07-01 01:20:25
S0411,Z118,,Light,712.8,2025-07-01 15:57:33
S0412,Z118,,Pressure,30.3,2025-07-01 17:16:53
S0413,Z118,E4023,Motion,1.0,2025-07-01 10:33:28
S0414,Z118,,Motion,0.0,2025-07-01 13:50:00
S0415,Z119,E3685,Pressure,30.4,2025-07-01 11:52:12
S0416,Z119,E0488,Humidity,59.8,2025-06-29 08:26:51
S0417,Z120,,CO2,900.8,2025-06-30 01:02:14
S0418,Z120,,Occupancy,5.0,2025-07-01 22:31:53
S0419,Z120,,AirQuality,35.3,2025-07-01 20:44:02
S0420,Z121,E1102,CO2,492.1,2025-07-01 22:40:00
S0421,Z121,,Smoke,1.1,2025-06-29 10:47:21
S0422,Z122,,Smoke,2.1,2025-07-01 10:20:33
S0423,Z122,,Vibration,51.2,2025-07-01 05:32:02
S0424,Z122,E1406,CO2,665.4,2025-07-01 09:51:45
S0425,Z123,,Pressure,29.7,2025-07-01 11:18:00
S0426,Z123,E2830,Temperature,74.6,2025-07-01 22:18:14
S0427,Z123,,Pressure,29.7,2025-07-01 08:03:28
S0428,Z123,E4565,Light,973.8,2025-07-01 18:53:06
S0429,Z123,,Occupancy,7.0,2025-07-01 07:57:57
S0430,Z124,,Motion,0.0,2025-06-29 12:29:03
S0431,Z124,,Occupancy,1.0,2025-07-01 17:36:47
S0432,Z124,,Sound,58.3,2025-07-01 10:24:48
S0433,Z125,,Temperature,72.7,2025-06-29 05:04:40
S0434,Z125,E3066,Sound,51.1,2025-07-01 22:58:00
S0435,Z125,,CO2,852.7,2025-07-01 11:40:35
S0436,Z126,E2853,Vibration,15.1,2025-07-01 17:04:20
S0437,Z126,,Occupancy,5.0,2025-07-01 15:09:03
S0438,Z126,,Temperature,67.9,2025-07-01 06:46:48
S0439,Z126,,Pressure,30.2,2025-07-01 05:40:46
S0440,Z126,,Vibration,49.8,2025-07-01 22:29:40
S0441,Z127,,CO2,889.6,2025-07-01 10:44:48
