taskID,equipmentID,supplierID,description,plannedStartTime,plannedEndTime,taskStatus
T0025,E0539,SUP004,Replace UPS Batteries,2025-06-04 22:25:17,2025-06-05 05:25:17,Cancelled
T0026,E0574,SUP007,Fire System Inspection,2025-07-02 21:22:08,2025-07-03 05:22:08,Completed
T0027,E4824,SUP008,HVAC Filter Replacement,2025-07-21 04:07:42,2025-07-21 02:07:42,InProgress
T0028,E0182,SUP004,HVAC Filter Replacement,2025-06-06 12:46:46,2025-06-07 12:46:46,InProgress
T0029,E0076,SUP003,HVAC Calibration,2025-06-12 17:55:11,2025-06-13 17:55:11,Scheduled
T0030,E4997,SUP012,Fire System Inspection,2025-06-17 23:12:57,2025-06-18 10:12:57,Scheduled
T0031,E3531,SUP007,Access Control Update,2025-07-01 05:12:35,2025-07-01 23:12:35,Cancelled
T0032,E0224,SUP004,Emergency System Test,2025-07-11 09:44:41,2025-07-12 02:44:41,Scheduled
T0033,E3363,SUP014,Replace LED Fixtures,2025-06-03 12:26:05,2025-06-03 19:26:05,Scheduled
T0034,E5108,SUP013,Clean HVAC Ducts,2025-06-29 16:37:05,2025-06-29 14:37:05,Scheduled
T0035,E4822,SUP007,HVAC Filter Replacement,2025-07-16 06:27:45,2025-07-17 05:27:45,Cancelled
T0036,E4049,SUP013,Replace Air Purifier Filters,2025-07-01 12:03:02,2025-07-02 10:03:02,InProgress
T0037,E4036,SUP006,Emergency System Test,2025-06-09 11:06:47,2025-06-09 13:06:47,Cancelled
T0038,E4816,SUP004,Sensor Battery Replacement,2025-07-21 12:05:33,2025-07-22 12:05:33,Scheduled
T0039,E4081,SUP002,Access Control Update,2025-07-16 12:52:17,2025-07-17 01:52:17,InProgress
T0040,E2141,SUP013,Replace Air Purifier Filters,2025-07-25 18:04:35,2025-07-26 15:04:35,Completed
T0041,E2676,SUP010,Replace Air Purifier Filters,2025-06-28 06:48:40,2025-06-28 15:48:40,InProgress
T0042,E4148,SUP012,Update Firmware,2025-07-11 15:15:02,2025-07-12 15:15:02,Cancelled
T0043,E3822,SUP012,Emergency System Test,2025-06-02 04:11:05,2025-06-02 07:11:05,Completed
T0044,E0055,SUP002,Access Control Update,2025-06-27 13:47:48,2025-06-27 15:47:48,InProgress
T0045,E5382,SUP001,Thermostat Calibration,2025-07-08 13:21:10,2025-07-08 15:21:10,Cancelled
T0046,E3420,SUP001,Replace Air Purifier Filters,2025-06-11 11:26:00,2025-06-12 05:26:00,InProgress
T0047,E0897,SUP013,HVAC Calibration,2025-07-10 16:02:44,2025-07-10 21:02:44,InProgress
T0048,E2427,SUP013,Sensor Battery Replacement,2025-06-24 09:37:59,2025-06-24 13:37:59,Completed
T0049,E3715,SUP005,HVAC Filter Replacement,2025-07-28 10:10:59,2025-07-28 06:10:59,Cancelled
T0050,E1934,SUP008,Replace Network Equipment,2025-07-16 18:21:28,2025-07-16 22:21:28,Cancelled
T0051,E1002,SUP015,HVAC Calibration,2025-06-28 15:53:21,2025-06-29 05:53:21,InProgress
T0052,E1779,SUP002,Security Camera Maintenance,2025-06-30 06:07:10,2025-06-30 04:07:10,Completed
T0053,E4551,SUP015,Emergency System Test,2025-06-10 04:05:51,2025-06-10 20:05:51,Cancelled
T0054,E3217,SUP014,Replace UPS Batteries,2025-06-26 05:01:51,2025-06-26 01:01:51,InProgress
T0055,E1348,SUP007,Thermostat Calibration,2025-06-12 08:59:00,2025-06-12 19:59:00,Scheduled
T0056,E4546,SUP013,Clean HVAC Ducts,2025-07-29 06:59:55,2025-07-30 02:59:55,InProgress
T0057,E5479,SUP015,Replace UPS Batteries,2025-07-03 07:32:23,2025-07-04 02:32:23,Cancelled
T0058,E3155,SUP009,HVAC Calibration,2025-06-23 18:17:11,2025-06-24 17:17:11,Scheduled
T0059,E5376,SUP013,Replace UPS Batteries,2025-07-28 13:53:00,2025-07-28 15:53:00,InProgress
T0060,E4258,SUP013,HVAC Calibration,2025-06-20 09:24:14,2025-06-21 07:24:14,Scheduled
T0061,E3646,SUP008,Lighting System Upgrade,2025-07-31 11:36:59,2025-08-01 07:36:59,Completed
T0062,E4734,SUP003,Replace LED Fixtures,2025-07-19 00:52:22,2025-07-18 20:52:22,Completed
T0063,E0655,SUP010,Emergency System Test,2025-07-14 02:43:51,2025-07-14 11:43:51,Cancelled
T0064,E3204,SUP006,Replace UPS Batteries,2025-06-16 22:42:58,2025-06-16 17:42:58,InProgress
T0065,E0160,SUP012,HVAC Filter Replacement,2025-06-16 21:08:06,2025-06-16 19:08:06,Completed
T0066,E0599,SUP006,Thermostat Calibration,2025-07-27 18:02:33,2025-07-27 21:02:33,Cancelled
T0067,E1814,SUP005,Replace Network Equipment,2025-07-28 12:24:28,2025-07-29 04:24:28,Cancelled
T0068,E2172,SUP013,HVAC Filter Replacement,2025-07-21 15:07:56,2025-07-22 01:07:56,InProgress
T0069,E0651,SUP007,Access Control Update,2025-06-08 15:16:18,2025-06-09 01:16:18,InProgress
T0070,E3697,SUP005,Thermostat Calibration,2025-06-03 06:51:18,2025-06-03 00:51:18,InProgress
T0071,E0289,SUP014,Replace Air Purifier Filters,2025-06-03 07:05:35,2025-06-03 16:05:35,Cancelled
T0072,E0764,SUP008,Access Control Update,2025-07-10 15:27:44,2025-07-10 21:27:44,InProgress
T0073,E5076,SUP015,Replace LED Fixtures,2025-07-01 05:11:15,2025-07-01 18:11:15,InProgress
T0074,E5246,SUP015,HVAC Calibration,2025-06-22 09:30:24,2025-06-22 14:30:24,Completed
T0075,E5025,SUP013,HVAC Filter Replacement,2025-07-29 15:57:38,2025-07-30 08:57:38,Cancelled
T0076,E3123,SUP008,Sensor Battery Replacement,2025-06-21 06:12:37,2025-06-21 23:12:37,InProgress
T0077,E3351,SUP005,Replace Air Purifier Filters,2025-07-13 23:02:27,2025-07-14 01:02:27,Scheduled
T0078,E2297,SUP007,Update Firmware,2025-07-10 15:18:20,2025-07-10 13:18:20,Scheduled
T0079,E2978,SUP010,Update Firmware,2025-07-28 21:36:14,2025-07-29 14:36:14,Completed
T0080,E2843,SUP001,Access Control Update,2025-07-22 12:01:35,2025-07-22 07:01:35,Cancelled
T0081,E3031,SUP003,Update Firmware,2025-07-31 04:22:25,2025-07-31 14:22:25,Completed
T0082,E0937,SUP002,Security Camera Maintenance,2025-06-08 08:21:32,2025-06-08 03:21:32,Cancelled
T0083,E3175,SUP004,Security Camera Maintenance,2025-07-11 20:56:32,2025-07-12 07:56:32,Cancelled
T0084,E4514,SUP012,Thermostat Calibration,2025-06-16 12:14:11,2025-06-16 19:14:11,Scheduled
T0085,E2875,SUP002,Lighting System Upgrade,2025-06-19 10:25:29,2025-06-20 07:25:29,InProgress
T0086,E5349,SUP008,Fire System Inspection,2025-06-28 18:24:41,2025-06-29 01:24:41,Completed
T0087,E3072,SUP007,Replace UPS Batteries,2025-06-28 14:18:35,2025-06-29 05:18:35,InProgress
T0088,E2552,SUP005,Thermostat Calibration,2025-06-15 21:16:18,2025-06-15 20:16:18,Cancelled
T0089,E0760,SUP001,Update Firmware,2025-06-02 05:22:40,2025-06-02 14:22:40,Completed
T0090,E0765,SUP015,Update Firmware,2025-06-04 16:05:02,2025-06-05 14:05:02,Cancelled
T0091,E1271,SUP001,Update Firmware,2025-06-07 06:18:46,2025-06-07 15:18:46,InProgress
T0092,E4754,SUP009,HVAC Calibration,2025-07-27 06:35:09,2025-07-27 15:35:09,Completed
T0093,E1089,SUP004,Replace LED Fixtures,2025-07-10 03:28:49,2025-07-09 23:28:49,Completed
T0094,E3678,SUP002,Fire System Inspection,2025-07-24 08:24:15,2025-07-24 05:24:15,Completed
T0095,E4309,SUP013,Access Control Update,2025-06-08 12:04:21,2025-06-09 11:04:21,InProgress
T0096,E3664,SUP007,HVAC Calibration,2025-06-02 07:17:03,2025-06-02 23:17:03,Scheduled
T0097,E0997,SUP012,Lighting System Upgrade,2025-07-18 03:20:36,2025-07-18 17:20:36,InProgress
T0098,E4724,SUP007,Replace Network Equipment,2025-07-04 11:19:05,2025-07-04 18:19:05,Cancelled
T0099,E1303,SUP011,Update Firmware,2025-07-10 22:24:36,2025-07-11 03:24:36,Cancelled
T0100,E0602,SUP004,Replace LED Fixtures,2025-06-25 02:49:17,2025-06-25 18:49:17,Cancelled
