zoneID,floorID,zoneName,zoneFunction,areaSqFt,occupancyCapacity
Z112,F007,Break Room 19,Break Room,621.0,5
Z113,F008,Training Room 01,Training Room,1016.0,6
Z114,F008,Workshop 02,Workshop,2017.0,13
Z115,F008,Restroom 03,Restroom,937.0,6
Z116,F008,Hallway 04,Hallway,434.0,5
Z117,F008,Training Room 05,Training Room,1878.0,12
Z118,F008,Training Room 06,Training Room,971.0,6
Z119,F008,Kitchen 07,Kitchen,662.0,5
Z120,F008,Conference 08,Conference,809.0,8
Z121,F008,Reception 09,Reception,843.0,5
Z122,F008,Storage 10,Storage,1198.0,5
Z123,F008,Training Room 11,Training Room,819.0,5
Z124,F008,Reception 12,Reception,2285.0,15
Z125,F008,Hallway 13,Hallway,1524.0,7
Z126,F008,Storage 14,Storage,2182.0,10
Z127,F009,Storage 01,Storage,2269.0,11
Z128,F009,Kitchen 02,Kitchen,1957.0,13
Z129,F009,Break Room 03,Break Room,1067.0,7
Z130,F009,Data Center 04,Data Center,161.0,5
Z131,F009,ServerRoom 05,ServerRoom,2063.0,13
Z132,F009,Laboratory 06,Laboratory,2250.0,15
Z133,F009,Reception 07,Reception,505.0,5
Z134,F009,Laboratory 08,Laboratory,375.0,5
Z135,F009,Kitchen 09,Kitchen,1480.0,9
Z136,F009,Data Center 10,Data Center,532.0,5
Z137,F009,Lobby 11,Lobby,1910.0,12
Z138,F009,Laboratory 12,Laboratory,1742.0,11
Z139,F009,Hallway 13,Hallway,407.0,5
Z140,F009,Training Room 14,Training Room,493.0,5
Z141,F010,Reception 01,Reception,1513.0,10
Z142,F010,Laboratory 02,Laboratory,323.0,5
Z143,F010,Storage 03,Storage,1679.0,8
Z144,F010,Conference 04,Conference,2047.0,20
Z145,F010,ServerRoom 05,ServerRoom,984.0,6
Z146,F010,ServerRoom 06,ServerRoom,819.0,5
Z147,F010,Data Center 07,Data Center,2160.0,14
Z148,F010,Break Room 08,Break Room,1424.0,9
Z149,F010,ServerRoom 09,ServerRoom,2484.0,16
Z150,F010,Conference 10,Conference,1257.0,12
Z151,F011,Hallway 01,Hallway,980.0,5
Z152,F011,Storage 02,Storage,758.0,5
Z153,F011,Restroom 03,Restroom,430.0,5
Z154,F011,Reception 04,Reception,1430.0,9
Z155,F011,Laboratory 05,Laboratory,2058.0,13
Z156,F011,Kitchen 06,Kitchen,1612.0,10
Z157,F011,Restroom 07,Restroom,2430.0,16
Z158,F011,Restroom 08,Restroom,1609.0,10
Z159,F012,Hallway 01,Hallway,432.0,5
Z160,F012,Lobby 02,Lobby,760.0,5
Z161,F012,Reception 03,Reception,2450.0,16
Z162,F012,Kitchen 04,Kitchen,396.0,5
Z163,F012,Conference 05,Conference,429.0,5
Z164,F012,ServerRoom 06,ServerRoom,2069.0,13
Z165,F012,Workshop 07,Workshop,2226.0,14
Z166,F012,Conference 08,Conference,378.0,5
Z167,F013,Conference 01,Conference,1118.0,11
Z168,F013,Laboratory 02,Laboratory,2350.0,15
Z169,F013,Conference 03,Conference,1456.0,14
Z170,F013,Conference 04,Conference,977.0,9
Z171,F013,Conference 05,Conference,828.0,8
Z172,F013,Reception 06,Reception,1010.0,6
Z173,F013,Workshop 07,Workshop,267.0,5
Z174,F013,Kitchen 08,Kitchen,2331.0,15
Z175,F013,Workshop 09,Workshop,2230.0,14
Z176,F013,Workshop 10,Workshop,1805.0,12
Z177,F013,Workshop 11,Workshop,2437.0,16
Z178,F013,Conference 12,Conference,1474.0,14
Z179,F013,ServerRoom 13,ServerRoom,503.0,5
Z180,F013,Data Center 14,Data Center,2414.0,16
Z181,F013,Office 15,Office,293.0,5
Z182,F013,Workshop 16,Workshop,1452.0,9
Z183,F014,Laboratory 01,Laboratory,2224.0,14
Z184,F014,Office 02,Office,1172.0,11
Z185,F014,Laboratory 03,Laboratory,2192.0,14
Z186,F014,Laboratory 04,Laboratory,2225.0,14
Z187,F014,Lobby 05,Lobby,890.0,5
Z188,F014,Office 06,Office,1762.0,17
Z189,F014,Lobby 07,Lobby,619.0,5
Z190,F014,Workshop 08,Workshop,1766.0,11
Z191,F014,Hallway 09,Hallway,1877.0,9
Z192,F014,Restroom 10,Restroom,1386.0,9
Z193,F015,Workshop 01,Workshop,2363.0,15
Z194,F015,Hallway 02,Hallway,2070.0,10
Z195,F015,Kitchen 03,Kitchen,567.0,5
Z196,F015,Hallway 04,Hallway,854.0,5
Z197,F015,Hallway 05,Hallway,1497.0,7
Z198,F015,Workshop 06,Workshop,2412.0,16
Z199,F015,Reception 07,Reception,2419.0,16
Z200,F015,Office 08,Office,2379.0,23
Z201,F015,Conference 09,Conference,322.0,5
Z202,F015,Laboratory 10,Laboratory,1353.0,9
Z203,F015,Office 11,Office,2072.0,20
Z204,F015,Data Center 12,Data Center,238.0,5
Z205,F015,Laboratory 13,Laboratory,532.0,5
Z206,F015,Workshop 14,Workshop,2356.0,15
Z207,F015,Break Room 15,Break Room,1364.0,9
Z208,F015,Hallway 16,Hallway,1674.0,8
Z209,F016,Laboratory 01,Laboratory,451.0,5
Z210,F016,Workshop 02,Workshop,2120.0,14
Z211,F016,Data Center 03,Data Center,209.0,5
Z212,F016,Break Room 04,Break Room,2465.0,16
Z213,F016,Break Room 05,Break Room,2126.0,14
Z214,F016,Training Room 06,Training Room,628.0,5
Z215,F016,Break Room 07,Break Room,2295.0,15
Z216,F016,Hallway 08,Hallway,766.0,5
Z217,F016,Training Room 09,Training Room,1640.0,10
Z218,F016,Office 10,Office,587.0,5
Z219,F016,ServerRoom 11,ServerRoom,2190.0,14
Z220,F016,Hallway 12,Hallway,1435.0,7
Z221,F016,Laboratory 13,Laboratory,854.0,5
Z222,F016,Hallway 14,Hallway,1077.0,5
Z223,F016,Restroom 15,Restroom,2239.0,14
Z224,F016,Kitchen 16,Kitchen,649.0,5
Z225,F017,Reception 01,Reception,2030.0,13
Z226,F017,Lobby 02,Lobby,333.0,5
Z227,F017,Kitchen 03,Kitchen,2474.0,16
Z228,F017,Break Room 04,Break Room,428.0,5
Z229,F017,Workshop 05,Workshop,2291.0,15
Z230,F017,Lobby 06,Lobby,845.0,5
Z231,F017,Lobby 07,Lobby,1088.0,7
Z232,F017,Data Center 08,Data Center,1956.0,13
Z233,F017,Training Room 09,Training Room,1084.0,7
Z234,F017,Workshop 10,Workshop,1265.0,8
Z235,F017,Laboratory 11,Laboratory,2278.0,15
Z236,F017,Kitchen 12,Kitchen,948.0,6
Z237,F018,Laboratory 01,Laboratory,1178.0,7
Z238,F018,Reception 02,Reception,174.0,5
Z239,F018,Kitchen 03,Kitchen,2423.0,16
Z240,F018,Break Room 04,Break Room,1929.0,12
Z241,F018,Lobby 05,Lobby,1160.0,7
Z242,F018,Data Center 06,Data Center,2447.0,16
Z243,F018,Data Center 07,Data Center,1532.0,10
Z244,F018,Conference 08,Conference,846.0,8
Z245,F019,Data Center 01,Data Center,739.0,5
Z246,F019,Workshop 02,Workshop,1802.0,12
Z247,F019,Lobby 03,Lobby,1455.0,9
Z248,F019,Training Room 04,Training Room,665.0,5
Z249,F019,Break Room 05,Break Room,1442.0,9
Z250,F019,Kitchen 06,Kitchen,1422.0,9
Z251,F019,Training Room 07,Training Room,2085.0,13
Z252,F019,Data Center 08,Data Center,752.0,5
Z253,F019,Storage 09,Storage,594.0,5
Z254,F019,Reception 10,Reception,568.0,5
Z255,F019,Data Center 11,Data Center,1246.0,8
Z256,F019,Restroom 12,Restroom,779.0,5
Z257,F019,Break Room 13,Break Room,1512.0,10
Z258,F019,Data Center 14,Data Center,1453.0,9
Z259,F019,Conference 15,Conference,1236.0,12
Z260,F019,ServerRoom 16,ServerRoom,841.0,5
Z261,F019,Data Center 17,Data Center,1623.0,10
Z262,F020,Lobby 01,Lobby,2487.0,16
Z263,F020,Workshop 02,Workshop,1415.0,9
Z264,F020,Workshop 03,Workshop,1368.0,9
Z265,F020,Data Center 04,Data Center,494.0,5
Z266,F020,Hallway 05,Hallway,760.0,5
Z267,F020,ServerRoom 06,ServerRoom,2011.0,13
Z268,F020,ServerRoom 07,ServerRoom,927.0,6
Z269,F020,Office 08,Office,2354.0,23
Z270,F020,Kitchen 09,Kitchen,1596.0,10
Z271,F020,Workshop 10,Workshop,1850.0,12
Z272,F020,Storage 11,Storage,1029.0,5
Z273,F020,Restroom 12,Restroom,255.0,5
Z274,F020,Storage 13,Storage,702.0,5
Z275,F020,Break Room 14,Break Room,2222.0,14
Z276,F020,Restroom 15,Restroom,2103.0,14
Z277,F020,Laboratory 16,Laboratory,1451.0,9
Z278,F020,ServerRoom 17,ServerRoom,2379.0,15
Z279,F020,Workshop 18,Workshop,1996.0,13
Z280,F020,Reception 19,Reception,2066.0,13
Z281,F020,Conference 20,Conference,829.0,8
Z282,F021,Storage 01,Storage,1838.0,9
Z283,F021,Office 02,Office,2001.0,20
Z284,F021,Data Center 03,Data Center,1653.0,11
Z285,F021,Conference 04,Conference,2400.0,24
Z286,F021,Laboratory 05,Laboratory,318.0,5
Z287,F021,ServerRoom 06,ServerRoom,1587.0,10
Z288,F021,Office 07,Office,1629.0,16
Z289,F021,ServerRoom 08,ServerRoom,2175.0,14
Z290,F021,Conference 09,Conference,2477.0,24
Z291,F021,Laboratory 10,Laboratory,1925.0,12
Z292,F022,Laboratory 01,Laboratory,572.0,5
Z293,F022,ServerRoom 02,ServerRoom,1969.0,13
Z294,F022,Kitchen 03,Kitchen,870.0,5
Z295,F022,Conference 04,Conference,784.0,7
Z296,F022,Office 05,Office,1118.0,11
Z297,F022,ServerRoom 06,ServerRoom,1236.0,8
Z298,F022,ServerRoom 07,ServerRoom,975.0,6
Z299,F022,Office 08,Office,2293.0,22
Z300,F022,Conference 09,Conference,201.0,5
Z301,F022,Storage 10,Storage,2096.0,10
Z302,F022,ServerRoom 11,ServerRoom,2187.0,14
Z303,F022,Lobby 12,Lobby,1126.0,7
Z304,F022,Conference 13,Conference,1024.0,10
Z305,F022,Hallway 14,Hallway,2417.0,12
Z306,F022,Break Room 15,Break Room,1911.0,12
Z307,F022,Reception 16,Reception,1649.0,10
Z308,F022,Lobby 17,Lobby,467.0,5
Z309,F022,Data Center 18,Data Center,1203.0,8
Z310,F023,Restroom 01,Restroom,1621.0,10
Z311,F023,Reception 02,Reception,200.0,5
Z312,F023,Workshop 03,Workshop,1123.0,7
Z313,F023,Data Center 04,Data Center,2292.0,15
Z314,F023,Workshop 05,Workshop,1149.0,7
Z315,F023,Laboratory 06,Laboratory,1694.0,11
Z316,F023,Restroom 07,Restroom,210.0,5
Z317,F023,Lobby 08,Lobby,1289.0,8
Z318,F023,Break Room 09,Break Room,2079.0,13
Z319,F023,Break Room 10,Break Room,1582.0,10
Z320,F023,Kitchen 11,Kitchen,1695.0,11
Z321,F023,Kitchen 12,Kitchen,1719.0,11
Z322,F023,Kitchen 13,Kitchen,2332.0,15
Z323,F023,Storage 14,Storage,1869.0,9
Z324,F023,Storage 15,Storage,2491.0,12
Z325,F024,Lobby 01,Lobby,1925.0,12
Z326,F024,Kitchen 02,Kitchen,1796.0,11
Z327,F024,Break Room 03,Break Room,790.0,5
Z328,F024,Conference 04,Conference,305.0,5
Z329,F024,ServerRoom 05,ServerRoom,994.0,6
Z330,F024,Lobby 06,Lobby,180.0,5
Z331,F024,Data Center 07,Data Center,238.0,5
Z332,F024,Conference 08,Conference,284.0,5
Z333,F024,Storage 09,Storage,818.0,5
Z334,F024,Kitchen 10,Kitchen,327.0,5
Z335,F024,Training Room 11,Training Room,2072.0,13
Z336,F024,Break Room 12,Break Room,1124.0,7
Z337,F025,Storage 01,Storage,1224.0,6
Z338,F025,Training Room 02,Training Room,2296.0,15
Z339,F025,Training Room 03,Training Room,1022.0,6
Z340,F025,Data Center 04,Data Center,1296.0,8
Z341,F025,Kitchen 05,Kitchen,2037.0,13
Z342,F025,Data Center 06,Data Center,1474.0,9
Z343,F025,Reception 07,Reception,763.0,5
Z344,F025,ServerRoom 08,ServerRoom,856.0,5
Z345,F025,Storage 09,Storage,2138.0,10
Z346,F025,Conference 10,Conference,530.0,5
Z347,F025,Restroom 11,Restroom,2350.0,15
Z348,F025,ServerRoom 12,ServerRoom,1766.0,11
Z349,F025,Conference 13,Conference,507.0,5
Z350,F025,Reception 14,Reception,727.0,5
Z351,F025,Workshop 15,Workshop,865.0,5
Z352,F025,Lobby 16,Lobby,1814.0,12
Z353,F025,Break Room 17,Break Room,2345.0,15
Z354,F026,Training Room 01,Training Room,1619.0,10
Z355,F026,Laboratory 02,Laboratory,2472.0,16
Z356,F026,ServerRoom 03,ServerRoom,1122.0,7
Z357,F026,Storage 04,Storage,1338.0,6
Z358,F026,Office 05,Office,1106.0,11
Z359,F026,ServerRoom 06,ServerRoom,308.0,5
Z360,F026,Break Room 07,Break Room,1037.0,6
Z361,F026,Data Center 08,Data Center,726.0,5
Z362,F026,Restroom 09,Restroom,1490.0,9
Z363,F026,ServerRoom 10,ServerRoom,624.0,5
Z364,F026,Laboratory 11,Laboratory,2074.0,13
Z365,F026,Laboratory 12,Laboratory,183.0,5
Z366,F026,Kitchen 13,Kitchen,1759.0,11
Z367,F026,Data Center 14,Data Center,2488.0,16
Z368,F026,Training Room 15,Training Room,1608.0,10
Z369,F027,Conference 01,Conference,432.0,5
Z370,F027,Data Center 02,Data Center,2433.0,16
Z371,F027,Kitchen 03,Kitchen,967.0,6
Z372,F027,Kitchen 04,Kitchen,960.0,6
Z373,F027,Restroom 05,Restroom,2282.0,15
Z374,F027,Data Center 06,Data Center,449.0,5
Z375,F027,Conference 07,Conference,1944.0,19
Z376,F027,Reception 08,Reception,2271.0,15
Z377,F027,Storage 09,Storage,695.0,5
Z378,F027,Office 10,Office,1200.0,12
Z379,F027,Workshop 11,Workshop,882.0,5
Z380,F027,Training Room 12,Training Room,2236.0,14
Z381,F027,Office 13,Office,1718.0,17
Z382,F027,Restroom 14,Restroom,1175.0,7
Z383,F028,Storage 01,Storage,597.0,5
Z384,F028,Laboratory 02,Laboratory,1979.0,13
Z385,F028,Hallway 03,Hallway,1904.0,9
Z386,F028,Office 04,Office,479.0,5
Z387,F028,Kitchen 05,Kitchen,1894.0,12
Z388,F028,Laboratory 06,Laboratory,1483.0,9
Z389,F028,Break Room 07,Break Room,2496.0,16
Z390,F028,Kitchen 08,Kitchen,988.0,6
Z391,F028,Storage 09,Storage,2288.0,11
Z392,F028,Hallway 10,Hallway,2187.0,10
Z393,F028,Workshop 11,Workshop,253.0,5
Z394,F028,Storage 12,Storage,1491.0,7
Z395,F028,Hallway 13,Hallway,901.0,5
Z396,F028,Storage 14,Storage,159.0,5
Z397,F029,Data Center 01,Data Center,853.0,5
Z398,F029,Data Center 02,Data Center,2430.0,16
Z399,F029,Laboratory 03,Laboratory,280.0,5
Z400,F029,Data Center 04,Data Center,1118.0,7
Z401,F029,Data Center 05,Data Center,1930.0,12
Z402,F029,Conference 06,Conference,1211.0,12
Z403,F029,Training Room 07,Training Room,2474.0,16
Z404,F029,Restroom 08,Restroom,692.0,5
Z405,F029,Lobby 09,Lobby,2387.0,15
Z406,F029,Reception 10,Reception,2126.0,14
Z407,F029,Conference 11,Conference,2101.0,21
Z408,F029,Storage 12,Storage,694.0,5
Z409,F029,Conference 13,Conference,1445.0,14
Z410,F029,ServerRoom 14,ServerRoom,1413.0,9
Z411,F029,Lobby 15,Lobby,1522.0,10
Z412,F029,Storage 16,Storage,1888.0,9
Z413,F029,Break Room 17,Break Room,1119.0,7
Z414,F029,Office 18,Office,903.0,9
Z415,F029,Reception 19,Reception,2285.0,15
Z416,F029,Kitchen 20,Kitchen,1289.0,8
Z417,F030,Break Room 01,Break Room,741.0,5
Z418,F030,Laboratory 02,Laboratory,621.0,5
Z419,F030,Storage 03,Storage,498.0,5
Z420,F030,ServerRoom 04,ServerRoom,1295.0,8
Z421,F030,Hallway 05,Hallway,928.0,5
Z422,F030,Hallway 06,Hallway,757.0,5
Z423,F030,Storage 07,Storage,2122.0,10
Z424,F030,ServerRoom 08,ServerRoom,1445.0,9
Z425,F030,Restroom 09,Restroom,705.0,5
Z426,F030,ServerRoom 10,ServerRoom,1508.0,10
Z427,F031,Office 01,Office,1700.0,17
Z428,F031,Reception 02,Reception,2257.0,15
Z429,F031,Office 03,Office,1028.0,10
Z430,F031,Storage 04,Storage,1644.0,8
Z431,F031,Storage 05,Storage,1644.0,8
Z432,F031,Hallway 06,Hallway,1203.0,6
Z433,F031,Laboratory 07,Laboratory,1159.0,7
Z434,F031,Conference 08,Conference,565.0,5
Z435,F031,Laboratory 09,Laboratory,2339.0,15
Z436,F031,Training Room 10,Training Room,1261.0,8
Z437,F031,Training Room 11,Training Room,2022.0,13
Z438,F031,Reception 12,Reception,1614.0,10
Z439,F031,Workshop 13,Workshop,685.0,5
Z440,F032,Conference 01,Conference,1910.0,19
Z441,F032,Hallway 02,Hallway,2087.0,10
Z442,F032,ServerRoom 03,ServerRoom,952.0,6
Z443,F032,Data Center 04,Data Center,285.0,5
Z444,F032,Workshop 05,Workshop,413.0,5
Z445,F032,Data Center 06,Data Center,913.0,6
Z446,F032,Break Room 07,Break Room,2111.0,14
Z447,F032,Storage 08,Storage,946.0,5
Z448,F032,Office 09,Office,1180.0,11
Z449,F032,Lobby 10,Lobby,1555.0,10
Z450,F032,Office 11,Office,2071.0,20
Z451,F032,Hallway 12,Hallway,2444.0,12
Z452,F032,Restroom 13,Restroom,2413.0,16
Z453,F032,ServerRoom 14,ServerRoom,410.0,5
Z454,F032,Hallway 15,Hallway,2455.0,12
Z455,F032,Training Room 16,Training Room,1192.0,7
Z456,F032,Training Room 17,Training Room,1296.0,8
Z457,F032,Training Room 18,Training Room,623.0,5
Z458,F032,Workshop 19,Workshop,1266.0,8
Z459,F033,Training Room 01,Training Room,1796.0,11
Z460,F033,Storage 02,Storage,1328.0,6
Z461,F033,Training Room 03,Training Room,443.0,5
Z462,F033,Office 04,Office,1029.0,10
Z463,F033,ServerRoom 05,ServerRoom,1610.0,10
Z464,F033,Reception 06,Reception,1026.0,6
Z465,F033,Office 07,Office,749.0,7
Z466,F033,Data Center 08,Data Center,470.0,5
Z467,F033,ServerRoom 09,ServerRoom,1646.0,10
Z468,F033,Lobby 10,Lobby,273.0,5
Z469,F033,Conference 11,Conference,730.0,7
Z470,F033,Hallway 12,Hallway,681.0,5
Z471,F033,ServerRoom 13,ServerRoom,1383.0,9
Z472,F033,ServerRoom 14,ServerRoom,1113.0,7
Z473,F033,Break Room 15,Break Room,1306.0,8
Z474,F033,Reception 16,Reception,2366.0,15
Z475,F033,Restroom 17,Restroom,1926.0,12
Z476,F033,Workshop 18,Workshop,2023.0,13
Z477,F033,Laboratory 19,Laboratory,241.0,5
Z478,F034,Restroom 01,Restroom,882.0,5
Z479,F034,Restroom 02,Restroom,641.0,5
Z480,F034,Break Room 03,Break Room,1617.0,10
Z481,F034,Restroom 04,Restroom,781.0,5
Z482,F034,Laboratory 05,Laboratory,2328.0,15
Z483,F034,Workshop 06,Workshop,668.0,5
Z484,F034,ServerRoom 07,ServerRoom,1038.0,6
Z485,F034,Hallway 08,Hallway,292.0,5
Z486,F034,Lobby 09,Lobby,2023.0,13
Z487,F034,Reception 10,Reception,1875.0,12
Z488,F034,Hallway 11,Hallway,919.0,5
Z489,F034,Kitchen 12,Kitchen,2171.0,14
Z490,F034,Hallway 13,Hallway,1512.0,7
Z491,F034,Kitchen 14,Kitchen,2133.0,14
Z492,F035,Restroom 01,Restroom,1552.0,10
Z493,F035,Conference 02,Conference,1920.0,19
Z494,F035,Hallway 03,Hallway,1909.0,9
Z495,F035,Office 04,Office,685.0,6
Z496,F035,Kitchen 05,Kitchen,1588.0,10
Z497,F035,Storage 06,Storage,1407.0,7
Z498,F035,Hallway 07,Hallway,2177.0,10
Z499,F035,Office 08,Office,1827.0,18
Z500,F035,Restroom 09,Restroom,2073.0,13
Z501,F035,Reception 10,Reception,1452.0,9
Z502,F035,Conference 11,Conference,543.0,5
Z503,F035,ServerRoom 12,ServerRoom,524.0,5
Z504,F036,Kitchen 01,Kitchen,2415.0,16
Z505,F036,Workshop 02,Workshop,496.0,5
Z506,F036,Training Room 03,Training Room,1561.0,10
Z507,F036,Training Room 04,Training Room,1768.0,11
Z508,F036,Kitchen 05,Kitchen,1301.0,8
Z509,F036,Conference 06,Conference,1064.0,10
Z510,F036,Office 07,Office,485.0,5
Z511,F036,ServerRoom 08,ServerRoom,1131.0,7
Z512,F036,Workshop 09,Workshop,1268.0,8
Z513,F036,Data Center 10,Data Center,2004.0,13
Z514,F036,Data Center 11,Data Center,2285.0,15
Z515,F036,Lobby 12,Lobby,602.0,5
Z516,F036,Restroom 13,Restroom,1451.0,9
Z517,F036,Data Center 14,Data Center,1959.0,13
Z518,F036,Storage 15,Storage,699.0,5
Z519,F036,Storage 16,Storage,2001.0,10
Z520,F036,Office 17,Office,2393.0,23
Z521,F037,Laboratory 01,Laboratory,1793.0,11
Z522,F037,Laboratory 02,Laboratory,332.0,5
Z523,F037,Workshop 03,Workshop,622.0,5
Z524,F037,ServerRoom 04,ServerRoom,2316.0,15
Z525,F037,Reception 05,Reception,320.0,5
Z526,F037,Storage 06,Storage,1209.0,6
Z527,F037,Reception 07,Reception,2360.0,15
Z528,F037,Training Room 08,Training Room,1185.0,7
Z529,F037,Storage 09,Storage,1477.0,7
Z530,F037,Data Center 10,Data Center,1821.0,12
Z531,F037,Lobby 11,Lobby,552.0,5
Z532,F037,ServerRoom 12,ServerRoom,270.0,5
Z533,F037,Workshop 13,Workshop,236.0,5
Z534,F037,Restroom 14,Restroom,2157.0,14
Z535,F037,Reception 15,Reception,1680.0,11
Z536,F038,Storage 01,Storage,1795.0,8
Z537,F038,Break Room 02,Break Room,608.0,5
Z538,F038,Training Room 03,Training Room,2211.0,14
Z539,F038,Restroom 04,Restroom,1656.0,11
Z540,F038,Kitchen 05,Kitchen,700.0,5
Z541,F038,Office 06,Office,2047.0,20
Z542,F038,Hallway 07,Hallway,2301.0,11
Z543,F038,ServerRoom 08,ServerRoom,1407.0,9
Z544,F038,Restroom 09,Restroom,1979.0,13
