id,title,releaseYear,duration,rating,directorID,actorCharacterPairs,genres,genres_tru
movie_15,Movie 15 - Casino (1995),2009,162,8.4,director_0,"[{'actorID': 'actor_56', 'characterID': 'char_87'}, {'actorID': 'actor_15', 'characterID': 'char_261'}, {'actorID': 'actor_65', 'characterID': 'char_637'}, {'actorID': 'actor_23', 'characterID': 'char_659'}, {'actorID': 'actor_17', 'characterID': 'char_618'}, {'actorID': 'actor_53', 'characterID': 'char_202'}, {'actorID': 'actor_27', 'characterID': 'char_400'}]","[{'name': 'Biopic', 'description': 'Based on a real person’s life'}]",Crime|Drama
movie_16,Movie 16 - Sense and Sensibility (1995),2001,132,7.7,director_2,"[{'actorID': 'actor_15', 'characterID': 'char_672'}, {'actorID': 'actor_61', 'characterID': 'char_684'}, {'actorID': 'actor_26', 'characterID': 'char_676'}, {'actorID': 'actor_24', 'characterID': 'char_219'}, {'actorID': 'actor_19', 'characterID': 'char_313'}, {'actorID': 'actor_50', 'characterID': 'char_569'}]","[{'name': 'Horror', 'description': 'Scary and fear-inducing themes'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Drama|Romance
movie_17,Movie 17 - Four Rooms (1995),1982,129,5.6,director_2,"[{'actorID': 'actor_15', 'characterID': 'char_533'}, {'actorID': 'actor_56', 'characterID': 'char_157'}, {'actorID': 'actor_35', 'characterID': 'char_357'}, {'actorID': 'actor_31', 'characterID': 'char_316'}]","[{'name': 'Horror', 'description': 'Scary and fear-inducing themes'}]",Comedy
movie_18,Movie 18 - Ace Ventura: When Nature Calls (1995),1993,94,9.4,director_13,"[{'actorID': 'actor_34', 'characterID': 'char_437'}, {'actorID': 'actor_17', 'characterID': 'char_128'}, {'actorID': 'actor_65', 'characterID': 'char_558'}]","[{'name': 'Comedy', 'description': 'Light-hearted, humorous content'}, {'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Comedy
movie_19,Movie 19 - Money Train (1995),1993,178,7.6,director_19,"[{'actorID': 'actor_40', 'characterID': 'char_358'}, {'actorID': 'actor_4', 'characterID': 'char_404'}, {'actorID': 'actor_64', 'characterID': 'char_583'}, {'actorID': 'actor_55', 'characterID': 'char_315'}, {'actorID': 'actor_35', 'characterID': 'char_324'}]","[{'name': 'Horror', 'description': 'Scary and fear-inducing themes'}, {'name': 'Documentary', 'description': 'Non-fiction, informational film'}, {'name': 'Romance', 'description': 'Love-focused, emotional tales'}]",Action|Comedy|Crime|Drama|Thriller
movie_20,Movie 20 - Get Shorty (1995),1983,146,8.7,director_17,"[{'actorID': 'actor_10', 'characterID': 'char_255'}, {'actorID': 'actor_47', 'characterID': 'char_679'}]","[{'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'Western', 'description': 'American Frontier, cowboy themes'}]",Comedy|Crime|Thriller
movie_21,Movie 21 - Copycat (1995),2010,83,7.7,director_2,"[{'actorID': 'actor_57', 'characterID': 'char_340'}, {'actorID': 'actor_22', 'characterID': 'char_9'}, {'actorID': 'actor_38', 'characterID': 'char_506'}, {'actorID': 'actor_1', 'characterID': 'char_405'}, {'actorID': 'actor_4', 'characterID': 'char_672'}, {'actorID': 'actor_65', 'characterID': 'char_430'}]","[{'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}, {'name': 'History', 'description': 'Historical events and figures'}, {'name': 'Horror', 'description': 'Scary and fear-inducing themes'}]",Crime|Drama|Horror|Mystery|Thriller
movie_22,Movie 22 - Assassins (1995),2023,175,8.8,director_20,"[{'actorID': 'actor_10', 'characterID': 'char_604'}, {'actorID': 'actor_15', 'characterID': 'char_531'}, {'actorID': 'actor_51', 'characterID': 'char_600'}]","[{'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Drama', 'description': 'Serious, narrative-driven stories'}, {'name': 'Mystery', 'description': 'Investigation and revealing secrets'}]",Action|Crime|Thriller
movie_23,Movie 23 - Powder (1995),1998,172,6.3,director_34,"[{'actorID': 'actor_3', 'characterID': 'char_95'}, {'actorID': 'actor_32', 'characterID': 'char_559'}]","[{'name': 'Romance', 'description': 'Love-focused, emotional tales'}, {'name': 'Documentary', 'description': 'Non-fiction, informational film'}, {'name': 'Biopic', 'description': 'Based on a real person’s life'}]",Drama|Sci-Fi
movie_24,Movie 24 - Leaving Las Vegas (1995),1997,166,4.3,director_16,"[{'actorID': 'actor_27', 'characterID': 'char_379'}, {'actorID': 'actor_28', 'characterID': 'char_481'}, {'actorID': 'actor_69', 'characterID': 'char_587'}]","[{'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}, {'name': 'Mystery', 'description': 'Investigation and revealing secrets'}, {'name': 'Comedy', 'description': 'Light-hearted, humorous content'}]",Drama|Romance
movie_25,Movie 25 - Othello (1995),2010,151,8.5,director_16,"[{'actorID': 'actor_59', 'characterID': 'char_639'}, {'actorID': 'actor_36', 'characterID': 'char_411'}, {'actorID': 'actor_13', 'characterID': 'char_186'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}]",Drama
movie_26,Movie 26 - Now and Then (1995),1981,97,8.9,director_34,"[{'actorID': 'actor_30', 'characterID': 'char_213'}, {'actorID': 'actor_21', 'characterID': 'char_607'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}]",Children|Drama
movie_27,Movie 27 - Persuasion (1995),1982,120,4.8,director_29,"[{'actorID': 'actor_68', 'characterID': 'char_137'}, {'actorID': 'actor_70', 'characterID': 'char_669'}, {'actorID': 'actor_32', 'characterID': 'char_41'}, {'actorID': 'actor_31', 'characterID': 'char_411'}]","[{'name': 'Mystery', 'description': 'Investigation and revealing secrets'}, {'name': 'Biopic', 'description': 'Based on a real person’s life'}]",Drama|Romance
movie_28,"Movie 28 - City of Lost Children, The (Cité des enfants perdus, La) (1995)",1990,123,9.6,director_13,"[{'actorID': 'actor_64', 'characterID': 'char_393'}, {'actorID': 'actor_12', 'characterID': 'char_715'}]","[{'name': 'Crime', 'description': 'Focus on criminal acts and detection'}, {'name': 'Musical', 'description': 'Song and dance-driven narratives'}, {'name': 'Adventure', 'description': 'Exploration and quests'}]",Adventure|Drama|Fantasy|Mystery|Sci-Fi
movie_29,Movie 29 - Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),2018,122,4.8,director_23,"[{'actorID': 'actor_42', 'characterID': 'char_1'}, {'actorID': 'actor_45', 'characterID': 'char_550'}, {'actorID': 'actor_28', 'characterID': 'char_459'}, {'actorID': 'actor_65', 'characterID': 'char_52'}, {'actorID': 'actor_9', 'characterID': 'char_55'}]","[{'name': 'Thriller', 'description': 'Suspenseful, tension-building plots'}, {'name': 'War', 'description': 'Stories focused on warfare and conflict'}]",Crime|Drama
movie_30,Movie 30 - Dangerous Minds (1995),2019,117,8.4,director_23,"[{'actorID': 'actor_5', 'characterID': 'char_677'}, {'actorID': 'actor_41', 'characterID': 'char_330'}, {'actorID': 'actor_45', 'characterID': 'char_114'}, {'actorID': 'actor_56', 'characterID': 'char_633'}, {'actorID': 'actor_47', 'characterID': 'char_22'}, {'actorID': 'actor_2', 'characterID': 'char_446'}, {'actorID': 'actor_27', 'characterID': 'char_102'}]","[{'name': 'Action', 'description': 'High-intensity, fast-paced movies'}, {'name': 'Drama', 'description': 'Serious, narrative-driven stories'}]",Drama
movie_31,Movie 31 - Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1982,80,8.7,director_34,"[{'actorID': 'actor_53', 'characterID': 'char_693'}, {'actorID': 'actor_18', 'characterID': 'char_679'}, {'actorID': 'actor_55', 'characterID': 'char_735'}, {'actorID': 'actor_11', 'characterID': 'char_738'}, {'actorID': 'actor_52', 'characterID': 'char_390'}, {'actorID': 'actor_23', 'characterID': 'char_609'}, {'actorID': 'actor_24', 'characterID': 'char_741'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}]",Mystery|Sci-Fi|Thriller
movie_32,Movie 32 - Babe (1995),2023,117,7.6,director_20,"[{'actorID': 'actor_5', 'characterID': 'char_245'}, {'actorID': 'actor_65', 'characterID': 'char_379'}, {'actorID': 'actor_66', 'characterID': 'char_566'}]","[{'name': 'Crime', 'description': 'Focus on criminal acts and detection'}]",Children|Drama
movie_33,Movie 33 - Dead Man Walking (1995),2016,140,5.4,director_8,"[{'actorID': 'actor_49', 'characterID': 'char_39'}, {'actorID': 'actor_63', 'characterID': 'char_259'}, {'actorID': 'actor_30', 'characterID': 'char_377'}, {'actorID': 'actor_35', 'characterID': 'char_261'}, {'actorID': 'actor_57', 'characterID': 'char_380'}, {'actorID': 'actor_20', 'characterID': 'char_171'}, {'actorID': 'actor_9', 'characterID': 'char_659'}]","[{'name': 'History', 'description': 'Historical events and figures'}]",Crime|Drama
movie_34,Movie 34 - It Takes Two (1995),1992,115,4.7,director_11,"[{'actorID': 'actor_21', 'characterID': 'char_501'}, {'actorID': 'actor_50', 'characterID': 'char_58'}]","[{'name': 'Action', 'description': 'High-intensity, fast-paced movies'}, {'name': 'Drama', 'description': 'Serious, narrative-driven stories'}, {'name': 'Mystery', 'description': 'Investigation and revealing secrets'}]",Children|Comedy
movie_35,Movie 35 - Clueless (1995),2020,100,4.7,director_13,"[{'actorID': 'actor_30', 'characterID': 'char_275'}, {'actorID': 'actor_2', 'characterID': 'char_439'}, {'actorID': 'actor_28', 'characterID': 'char_379'}, {'actorID': 'actor_14', 'characterID': 'char_708'}, {'actorID': 'actor_50', 'characterID': 'char_515'}, {'actorID': 'actor_69', 'characterID': 'char_445'}]","[{'name': 'Musical', 'description': 'Song and dance-driven narratives'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Comedy', 'description': 'Light-hearted, humorous content'}]",Comedy|Romance
movie_36,"Movie 36 - Cry, the Beloved Country (1995)",2004,143,6.1,director_13,"[{'actorID': 'actor_12', 'characterID': 'char_718'}, {'actorID': 'actor_14', 'characterID': 'char_173'}, {'actorID': 'actor_45', 'characterID': 'char_519'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}, {'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Drama
movie_37,Movie 37 - Richard III (1995),2005,142,9,director_24,"[{'actorID': 'actor_17', 'characterID': 'char_232'}, {'actorID': 'actor_43', 'characterID': 'char_239'}, {'actorID': 'actor_6', 'characterID': 'char_141'}, {'actorID': 'actor_60', 'characterID': 'char_607'}, {'actorID': 'actor_64', 'characterID': 'char_633'}]","[{'name': 'Romance', 'description': 'Love-focused, emotional tales'}]",Drama|War
movie_38,Movie 38 - Dead Presidents (1995),2016,80,7.4,director_6,"[{'actorID': 'actor_8', 'characterID': 'char_237'}, {'actorID': 'actor_41', 'characterID': 'char_175'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}, {'name': 'War', 'description': 'Stories focused on warfare and conflict'}]",Action|Crime|Drama
movie_39,Movie 39 - Restoration (1995),2011,108,6.1,director_19,"[{'actorID': 'actor_50', 'characterID': 'char_684'}, {'actorID': 'actor_15', 'characterID': 'char_429'}, {'actorID': 'actor_38', 'characterID': 'char_431'}, {'actorID': 'actor_14', 'characterID': 'char_211'}, {'actorID': 'actor_12', 'characterID': 'char_696'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}]",Drama
movie_40,Movie 40 - Mortal Kombat (1995),2010,143,7.1,director_29,"[{'actorID': 'actor_35', 'characterID': 'char_509'}, {'actorID': 'actor_13', 'characterID': 'char_472'}, {'actorID': 'actor_36', 'characterID': 'char_479'}]","[{'name': 'Thriller', 'description': 'Suspenseful, tension-building plots'}, {'name': 'Adventure', 'description': 'Exploration and quests'}, {'name': 'Drama', 'description': 'Serious, narrative-driven stories'}]",Action|Adventure|Fantasy
movie_41,Movie 41 - To Die For (1995),2003,170,6.2,director_26,"[{'actorID': 'actor_74', 'characterID': 'char_426'}, {'actorID': 'actor_23', 'characterID': 'char_686'}, {'actorID': 'actor_71', 'characterID': 'char_73'}, {'actorID': 'actor_70', 'characterID': 'char_487'}]","[{'name': 'Musical', 'description': 'Song and dance-driven narratives'}]",Comedy|Drama|Thriller
movie_42,Movie 42 - How to Make an American Quilt (1995),1982,116,4.1,director_9,"[{'actorID': 'actor_39', 'characterID': 'char_580'}, {'actorID': 'actor_61', 'characterID': 'char_251'}, {'actorID': 'actor_20', 'characterID': 'char_212'}, {'actorID': 'actor_62', 'characterID': 'char_422'}, {'actorID': 'actor_66', 'characterID': 'char_226'}, {'actorID': 'actor_3', 'characterID': 'char_736'}, {'actorID': 'actor_25', 'characterID': 'char_446'}]","[{'name': 'Documentary', 'description': 'Non-fiction, informational film'}, {'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}]",Drama|Romance
movie_43,Movie 43 - Seven (a.k.a. Se7en) (1995),1995,107,6.8,director_10,"[{'actorID': 'actor_71', 'characterID': 'char_265'}, {'actorID': 'actor_65', 'characterID': 'char_71'}, {'actorID': 'actor_29', 'characterID': 'char_446'}]","[{'name': 'Action', 'description': 'High-intensity, fast-paced movies'}, {'name': 'History', 'description': 'Historical events and figures'}, {'name': 'Adventure', 'description': 'Exploration and quests'}]",Mystery|Thriller
movie_44,Movie 44 - Pocahontas (1995),1980,170,8.9,director_27,"[{'actorID': 'actor_14', 'characterID': 'char_514'}, {'actorID': 'actor_2', 'characterID': 'char_158'}, {'actorID': 'actor_42', 'characterID': 'char_242'}, {'actorID': 'actor_36', 'characterID': 'char_306'}, {'actorID': 'actor_56', 'characterID': 'char_129'}, {'actorID': 'actor_49', 'characterID': 'char_573'}, {'actorID': 'actor_34', 'characterID': 'char_369'}]","[{'name': 'Biopic', 'description': 'Based on a real person’s life'}]",Animation|Children|Drama|Musical|Romance
movie_45,Movie 45 - When Night Is Falling (1995),1992,165,4.2,director_13,"[{'actorID': 'actor_19', 'characterID': 'char_593'}, {'actorID': 'actor_21', 'characterID': 'char_733'}, {'actorID': 'actor_17', 'characterID': 'char_174'}, {'actorID': 'actor_30', 'characterID': 'char_201'}, {'actorID': 'actor_13', 'characterID': 'char_302'}, {'actorID': 'actor_51', 'characterID': 'char_92'}]","[{'name': 'Adventure', 'description': 'Exploration and quests'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}]",Drama|Romance
movie_46,"Movie 46 - Usual Suspects, The (1995)",2000,132,5.4,director_23,"[{'actorID': 'actor_35', 'characterID': 'char_5'}, {'actorID': 'actor_1', 'characterID': 'char_31'}]","[{'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'Comedy', 'description': 'Light-hearted, humorous content'}]",Crime|Mystery|Thriller
movie_47,Movie 47 - Mighty Aphrodite (1995),2004,153,9.1,director_16,"[{'actorID': 'actor_22', 'characterID': 'char_368'}, {'actorID': 'actor_4', 'characterID': 'char_163'}]","[{'name': 'Thriller', 'description': 'Suspenseful, tension-building plots'}]",Comedy|Drama|Romance
movie_48,Movie 48 - Lamerica (1994),2001,131,9.2,director_16,"[{'actorID': 'actor_58', 'characterID': 'char_70'}, {'actorID': 'actor_3', 'characterID': 'char_704'}]","[{'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'Documentary', 'description': 'Non-fiction, informational film'}]",Adventure|Drama
movie_49,"Movie 49 - Big Green, The (1995)",1980,122,7.7,director_19,"[{'actorID': 'actor_38', 'characterID': 'char_52'}, {'actorID': 'actor_67', 'characterID': 'char_506'}, {'actorID': 'actor_53', 'characterID': 'char_486'}, {'actorID': 'actor_14', 'characterID': 'char_293'}]","[{'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'War', 'description': 'Stories focused on warfare and conflict'}]",Children|Comedy
movie_50,Movie 50 - Georgia (1995),2013,137,9.2,director_2,"[{'actorID': 'actor_36', 'characterID': 'char_186'}, {'actorID': 'actor_72', 'characterID': 'char_258'}, {'actorID': 'actor_39', 'characterID': 'char_381'}, {'actorID': 'actor_69', 'characterID': 'char_517'}]","[{'name': 'War', 'description': 'Stories focused on warfare and conflict'}]",Drama
movie_51,Movie 51 - Home for the Holidays (1995),2005,157,4,director_3,"[{'actorID': 'actor_24', 'characterID': 'char_591'}, {'actorID': 'actor_67', 'characterID': 'char_134'}, {'actorID': 'actor_7', 'characterID': 'char_162'}, {'actorID': 'actor_26', 'characterID': 'char_675'}, {'actorID': 'actor_36', 'characterID': 'char_687'}, {'actorID': 'actor_32', 'characterID': 'char_654'}, {'actorID': 'actor_52', 'characterID': 'char_374'}]","[{'name': 'Musical', 'description': 'Song and dance-driven narratives'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}, {'name': 'Sci-Fi', 'description': 'Futuristic or science-based concepts'}]",Drama
movie_52,"Movie 52 - Postman, The (Postino, Il) (1994)",2020,173,7,director_26,"[{'actorID': 'actor_68', 'characterID': 'char_625'}, {'actorID': 'actor_9', 'characterID': 'char_36'}, {'actorID': 'actor_4', 'characterID': 'char_580'}, {'actorID': 'actor_13', 'characterID': 'char_687'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}]",Comedy|Drama|Romance
movie_53,"Movie 53 - Indian in the Cupboard, The (1995)",2009,113,9.9,director_0,"[{'actorID': 'actor_60', 'characterID': 'char_680'}, {'actorID': 'actor_13', 'characterID': 'char_179'}, {'actorID': 'actor_39', 'characterID': 'char_526'}, {'actorID': 'actor_16', 'characterID': 'char_447'}, {'actorID': 'actor_32', 'characterID': 'char_53'}, {'actorID': 'actor_54', 'characterID': 'char_80'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}]",Adventure|Children|Fantasy
movie_54,Movie 54 - Eye for an Eye (1996),1986,140,5.3,director_26,"[{'actorID': 'actor_27', 'characterID': 'char_414'}, {'actorID': 'actor_16', 'characterID': 'char_121'}, {'actorID': 'actor_41', 'characterID': 'char_638'}, {'actorID': 'actor_66', 'characterID': 'char_641'}, {'actorID': 'actor_56', 'characterID': 'char_34'}, {'actorID': 'actor_21', 'characterID': 'char_179'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}, {'name': 'Crime', 'description': 'Focus on criminal acts and detection'}, {'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Drama|Thriller
movie_55,Movie 55 - Mr. Holland's Opus (1995),2006,116,7.8,director_29,"[{'actorID': 'actor_60', 'characterID': 'char_514'}, {'actorID': 'actor_3', 'characterID': 'char_469'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}, {'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}]",Drama
movie_56,Movie 56 - Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1988,176,9.5,director_15,"[{'actorID': 'actor_4', 'characterID': 'char_218'}, {'actorID': 'actor_27', 'characterID': 'char_385'}, {'actorID': 'actor_44', 'characterID': 'char_224'}, {'actorID': 'actor_0', 'characterID': 'char_535'}, {'actorID': 'actor_29', 'characterID': 'char_86'}, {'actorID': 'actor_18', 'characterID': 'char_249'}, {'actorID': 'actor_71', 'characterID': 'char_367'}]","[{'name': 'Drama', 'description': 'Serious, narrative-driven stories'}, {'name': 'Family', 'description': 'Suitable for all ages'}, {'name': 'Mystery', 'description': 'Investigation and revealing secrets'}]",Comedy|Crime
movie_57,Movie 57 - Two if by Sea (1996),2021,152,9.9,director_32,"[{'actorID': 'actor_25', 'characterID': 'char_569'}, {'actorID': 'actor_33', 'characterID': 'char_407'}, {'actorID': 'actor_54', 'characterID': 'char_551'}, {'actorID': 'actor_71', 'characterID': 'char_153'}, {'actorID': 'actor_69', 'characterID': 'char_56'}]","[{'name': 'Comedy', 'description': 'Light-hearted, humorous content'}, {'name': 'Film Noir', 'description': 'Dark, cynical crime dramas'}]",Comedy|Romance
movie_58,Movie 58 - Bio-Dome (1996),1985,83,7.9,director_16,"[{'actorID': 'actor_3', 'characterID': 'char_311'}, {'actorID': 'actor_21', 'characterID': 'char_471'}]","[{'name': 'Western', 'description': 'American Frontier, cowboy themes'}]",Comedy
movie_59,Movie 59 - Lawnmower Man 2: Beyond Cyberspace (1996),1988,89,9,director_4,"[{'actorID': 'actor_43', 'characterID': 'char_362'}, {'actorID': 'actor_50', 'characterID': 'char_527'}, {'actorID': 'actor_12', 'characterID': 'char_125'}, {'actorID': 'actor_53', 'characterID': 'char_475'}, {'actorID': 'actor_30', 'characterID': 'char_370'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}, {'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'Comedy', 'description': 'Light-hearted, humorous content'}]",Action|Sci-Fi|Thriller
