policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL05137569,GRP82469,2019-03-12,2021-07-29,Life,29,2019,EUR,PAA,Cancelled
POL49877077,GRP48570,2023-11-22,2025-04-15,Health,17,2023,GBP,PAA,Cancelled
POL10324873,GRP82344,2024-07-24,2026-05-15,Motor,22,2024,GBP,PAA,Active
POL78506412,GRP73186,2021-03-25,2023-10-11,Life,31,2021,EUR,PAA,Cancelled
POL11552059,GRP41909,2019-05-19,2021-06-07,Property,25,2019,EUR,PAA,Active
POL54848964,GRP58850,2021-06-15,2022-09-08,Life,15,2021,USD,PAA,Expired
POL77546570,GRP75534,2023-03-23,2023-09-19,Life,6,2023,GBP,GMM,Active
POL69505440,GRP06583,2025-08-12,2026-06-08,Property,10,2025,USD,GMM,Active
POL37595913,GRP90608,2018-04-20,2020-09-06,Health,29,2018,EUR,GMM,Active
POL32450366,GRP50211,2020-06-05,2022-06-25,Life,25,2020,USD,GMM,Expired
POL81704949,GRP68878,2023-05-21,2025-04-10,Life,23,2023,GBP,GMM,Expired
POL14767652,GRP01325,2025-05-19,2026-11-10,Life,18,2025,GBP,PAA,Expired
POL49005766,GRP36359,2023-11-15,2025-02-07,Property,15,2023,USD,GMM,Cancelled
POL01694187,GRP07735,2019-08-10,2022-03-27,Health,32,2019,GBP,PAA,Active
POL03593769,GRP50562,2020-03-07,2021-09-28,Motor,19,2020,USD,PAA,Expired
POL12023272,GRP68586,2021-05-30,2022-09-22,Property,16,2021,GBP,GMM,Expired
POL56075786,GRP80076,2023-03-08,2024-02-01,Motor,11,2023,USD,GMM,Cancelled
POL43821916,GRP91810,2021-07-25,2023-02-15,Life,19,2021,EUR,GMM,Active
POL39311086,GRP22842,2025-05-22,2027-09-09,Property,28,2025,USD,PAA,Active
POL53134192,GRP01245,2025-06-20,2027-03-12,Motor,21,2025,EUR,PAA,Active
POL42546016,GRP88773,2024-04-12,2026-01-02,Property,21,2024,EUR,PAA,Active
POL80169176,GRP96882,2025-12-26,2027-05-20,Health,17,2025,EUR,PAA,Expired
POL04999254,GRP31131,2020-01-19,2020-11-14,Motor,10,2020,GBP,GMM,Active
POL35556641,GRP82693,2023-12-02,2025-10-22,Property,23,2023,EUR,GMM,Cancelled
POL34672703,GRP39561,2022-06-13,2024-08-01,Health,26,2022,GBP,PAA,Active
POL52447732,GRP76820,2021-02-03,2023-09-21,Life,32,2021,USD,PAA,Active
POL08070425,GRP14085,2022-01-28,2024-03-18,Motor,26,2022,EUR,GMM,Expired
POL14542889,GRP53378,2018-10-16,2020-04-08,Motor,18,2018,USD,GMM,Expired
POL86220427,GRP80976,2020-11-05,2021-10-31,Motor,12,2020,GBP,PAA,Expired
POL85211100,GRP76709,2021-02-18,2021-11-15,Health,9,2021,EUR,PAA,Expired
POL00301332,GRP71629,2024-07-18,2025-08-12,Motor,13,2024,EUR,GMM,Cancelled
POL59619262,GRP65685,2024-05-21,2026-10-08,Motor,29,2024,GBP,PAA,Cancelled
POL82093250,GRP84921,2024-01-26,2026-05-15,Property,28,2024,GBP,GMM,Expired
POL42938810,GRP89848,2018-02-08,2020-10-25,Life,33,2018,USD,GMM,Cancelled
POL44653044,GRP67843,2025-05-21,2027-03-12,Life,22,2025,GBP,GMM,Expired
POL26526394,GRP08077,2020-12-14,2021-08-11,Health,8,2020,EUR,PAA,Expired
POL07237735,GRP13374,2021-08-02,2022-04-29,Life,9,2021,EUR,GMM,Expired
POL59495076,GRP72369,2018-11-22,2021-06-09,Health,31,2018,EUR,GMM,Cancelled
POL95046635,GRP63768,2022-05-20,2024-01-10,Health,20,2022,EUR,GMM,Cancelled
POL85640838,GRP16036,2024-07-04,2027-03-21,Life,33,2024,USD,PAA,Expired
POL37952159,GRP79093,2023-07-31,2024-05-26,Property,10,2023,GBP,PAA,Cancelled
POL47502305,GRP28562,2022-04-16,2023-08-09,Life,16,2022,USD,PAA,Cancelled
POL87583602,GRP01837,2019-10-13,2022-03-01,Motor,29,2019,USD,PAA,Expired
POL81699839,GRP81488,2022-05-15,2025-02-28,Health,34,2022,GBP,GMM,Active
POL08369416,GRP98562,2022-02-08,2024-07-27,Motor,30,2022,USD,GMM,Active
POL66114128,GRP70166,2019-03-26,2019-10-22,Motor,7,2019,USD,GMM,Cancelled
POL39346985,GRP18989,2020-03-28,2022-11-13,Motor,32,2020,USD,PAA,Cancelled
POL11126444,GRP33662,2022-02-28,2023-12-20,Motor,22,2022,GBP,PAA,Cancelled
POL51671957,GRP70914,2018-12-03,2019-06-01,Life,6,2018,USD,PAA,Cancelled
POL71101957,GRP24747,2018-01-26,2020-05-15,Health,28,2018,EUR,PAA,Cancelled
POL82253511,GRP59587,2020-01-12,2020-11-07,Life,10,2020,EUR,GMM,Expired
POL63314292,GRP55239,2019-12-14,2021-12-03,Property,24,2019,USD,PAA,Cancelled
POL92747204,GRP40334,2020-09-28,2023-03-17,Motor,30,2020,USD,PAA,Expired
POL47770647,GRP42016,2023-09-12,2024-05-09,Property,8,2023,USD,PAA,Cancelled
POL89566475,GRP44636,2018-01-11,2018-11-07,Life,10,2018,USD,GMM,Active
POL32365352,GRP96018,2024-03-27,2025-12-17,Life,21,2024,USD,GMM,Expired
POL32389428,GRP90010,2021-04-12,2023-07-31,Life,28,2021,EUR,GMM,Cancelled
POL59486197,GRP38490,2020-10-15,2021-05-13,Motor,7,2020,GBP,PAA,Expired
POL66002756,GRP65577,2024-03-01,2025-05-25,Life,15,2024,EUR,GMM,Active
POL17894074,GRP88352,2019-04-20,2020-08-12,Health,16,2019,EUR,GMM,Expired
POL80628713,GRP75274,2022-09-15,2023-06-12,Life,9,2022,USD,PAA,Cancelled
POL16096379,GRP59126,2020-04-11,2021-03-07,Motor,11,2020,EUR,PAA,Active
POL21703612,GRP99610,2023-06-09,2025-11-25,Property,30,2023,EUR,PAA,Expired
POL64452708,GRP73337,2019-09-04,2020-06-30,Property,10,2019,USD,GMM,Expired
POL97279448,GRP22293,2022-03-14,2024-08-30,Motor,30,2022,EUR,GMM,Active
POL19070855,GRP52058,2024-08-03,2025-09-27,Motor,14,2024,GBP,GMM,Expired
POL81158258,GRP23236,2023-03-11,2024-10-01,Motor,19,2023,GBP,GMM,Cancelled
POL13772582,GRP64257,2023-12-31,2024-12-25,Life,12,2023,USD,GMM,Active
POL87802881,GRP93362,2019-09-07,2022-07-23,Property,35,2019,USD,GMM,Expired
POL52974994,GRP25839,2023-08-09,2025-08-28,Motor,25,2023,GBP,PAA,Expired
POL75131205,GRP77752,2018-09-24,2020-11-12,Motor,26,2018,GBP,PAA,Cancelled
POL12615910,GRP14110,2020-01-20,2021-09-11,Life,20,2020,EUR,GMM,Expired
POL67355584,GRP97354,2024-03-22,2025-02-15,Health,11,2024,GBP,PAA,Expired
POL93131768,GRP83899,2020-10-13,2021-09-08,Property,11,2020,USD,PAA,Active
POL66744881,GRP59564,2023-07-11,2024-12-02,Motor,17,2023,USD,PAA,Expired
POL09983266,GRP17712,2022-11-15,2025-05-03,Motor,30,2022,EUR,GMM,Active
POL11197883,GRP38961,2024-06-20,2025-02-15,Property,8,2024,EUR,PAA,Active
POL50111904,GRP99446,2022-02-15,2024-12-01,Life,34,2022,USD,GMM,Active
POL70651965,GRP08485,2020-03-17,2021-10-08,Property,19,2020,GBP,GMM,Cancelled
POL59420814,GRP19714,2021-08-04,2024-01-21,Life,30,2021,EUR,GMM,Cancelled
POL04703583,GRP99715,2021-01-02,2023-12-18,Health,36,2021,GBP,GMM,Cancelled
POL48084386,GRP67004,2023-04-11,2025-03-01,Health,23,2023,EUR,PAA,Cancelled
POL82735385,GRP66733,2024-08-06,2026-11-24,Health,28,2024,USD,GMM,Cancelled
POL38478000,GRP93891,2023-08-11,2024-11-03,Life,15,2023,USD,PAA,Cancelled
POL36945999,GRP09348,2023-11-22,2025-03-16,Life,16,2023,EUR,PAA,Expired
POL41792792,GRP31164,2019-08-18,2021-02-08,Motor,18,2019,USD,GMM,Expired
POL43878243,GRP08704,2025-11-23,2027-04-17,Life,17,2025,USD,PAA,Active
POL93131161,GRP09230,2022-06-27,2023-06-22,Property,12,2022,GBP,PAA,Expired
POL20041440,GRP20153,2021-04-01,2023-10-18,Property,31,2021,USD,PAA,Expired
POL54827699,GRP00171,2025-06-26,2027-08-15,Property,26,2025,USD,GMM,Expired
POL23203420,GRP43524,2022-04-07,2023-06-01,Motor,14,2022,USD,PAA,Active
POL96819465,GRP72023,2018-09-15,2019-11-09,Life,14,2018,GBP,PAA,Cancelled
POL07749225,GRP10859,2020-04-20,2022-02-09,Health,22,2020,EUR,PAA,Cancelled
POL10638265,GRP90130,2022-02-16,2024-02-06,Health,24,2022,USD,GMM,Cancelled
POL69146049,GRP92072,2019-12-22,2021-07-14,Property,19,2019,GBP,PAA,Cancelled
POL63169738,GRP94778,2024-12-09,2027-01-28,Life,26,2024,USD,PAA,Cancelled
POL75058890,GRP91212,2023-06-01,2025-07-20,Life,26,2023,GBP,PAA,Cancelled
POL32052378,GRP32092,2021-05-14,2023-03-05,Health,22,2021,GBP,PAA,Expired
POL37923530,GRP69480,2021-08-22,2024-01-09,Property,29,2021,EUR,PAA,Cancelled
POL60942464,GRP97898,2021-09-14,2022-09-09,Property,12,2021,EUR,PAA,Active
POL27129168,GRP83218,2022-12-09,2025-05-27,Health,30,2022,USD,GMM,Expired
POL98072335,GRP82955,2018-02-19,2019-01-15,Life,11,2018,USD,PAA,Active
POL10870769,GRP95100,2024-10-30,2027-01-18,Health,27,2024,USD,GMM,Cancelled
POL11874443,GRP05241,2019-08-31,2022-07-16,Life,35,2019,USD,PAA,Cancelled
POL05720147,GRP11213,2021-02-21,2022-06-16,Motor,16,2021,USD,PAA,Cancelled
POL64644475,GRP94168,2021-08-20,2022-06-16,Life,10,2021,GBP,GMM,Active
POL57931857,GRP09913,2024-08-24,2025-08-19,Life,12,2024,EUR,GMM,Expired
POL75472366,GRP32440,2025-10-02,2028-07-18,Motor,34,2025,EUR,GMM,Expired
POL77206330,GRP43637,2023-02-21,2024-12-12,Property,22,2023,EUR,PAA,Cancelled
POL69269748,GRP30048,2024-12-19,2026-05-13,Property,17,2024,GBP,GMM,Active
POL73481947,GRP04694,2023-01-15,2025-09-01,Motor,32,2023,GBP,GMM,Cancelled
POL22768735,GRP71815,2019-11-06,2022-09-21,Health,35,2019,EUR,PAA,Cancelled
POL32434816,GRP90462,2023-06-08,2026-04-23,Life,35,2023,USD,PAA,Cancelled
POL64657375,GRP75756,2022-04-05,2024-08-22,Health,29,2022,GBP,PAA,Expired
POL59301791,GRP55542,2024-01-23,2026-12-08,Property,35,2024,EUR,GMM,Active
POL79633030,GRP82801,2024-09-20,2025-10-15,Health,13,2024,GBP,PAA,Cancelled
POL55449606,GRP85176,2022-05-15,2023-03-11,Life,10,2022,EUR,PAA,Cancelled
POL68840756,GRP49520,2023-07-27,2026-02-11,Life,31,2023,EUR,GMM,Active
POL23041889,GRP46159,2025-11-16,2027-08-08,Property,21,2025,EUR,GMM,Expired
POL30031547,GRP20953,2025-04-06,2026-01-31,Property,10,2025,USD,PAA,Active
POL09373908,GRP29832,2019-11-28,2022-08-14,Life,33,2019,EUR,PAA,Cancelled
POL97884120,GRP77944,2021-08-28,2023-04-20,Life,20,2021,EUR,GMM,Expired
POL85478172,GRP24137,2025-02-27,2026-08-21,Motor,18,2025,USD,GMM,Cancelled
POL46066398,GRP48010,2020-03-12,2021-06-05,Property,15,2020,EUR,PAA,Expired
POL05109824,GRP54444,2019-11-27,2020-05-25,Property,6,2019,EUR,PAA,Expired
POL61622045,GRP24879,2022-09-30,2024-07-21,Motor,22,2022,EUR,GMM,Active
POL99118207,GRP79496,2019-01-25,2019-08-23,Motor,7,2019,USD,PAA,Expired
POL84280073,GRP50815,2020-08-29,2022-05-21,Health,21,2020,EUR,PAA,Cancelled
POL28725826,GRP72106,2023-10-15,2024-11-08,Life,13,2023,GBP,PAA,Active
POL16936917,GRP53182,2021-11-05,2022-08-02,Life,9,2021,EUR,PAA,Expired
POL40504197,GRP11499,2019-04-09,2021-05-28,Health,26,2019,USD,GMM,Active
POL05457574,GRP37411,2021-04-08,2023-07-27,Motor,28,2021,EUR,PAA,Active
POL49051433,GRP80027,2021-08-31,2022-08-26,Motor,12,2021,EUR,GMM,Cancelled
POL70323394,GRP38412,2024-05-17,2024-12-13,Motor,7,2024,USD,PAA,Expired
POL99559808,GRP25519,2023-01-05,2024-04-29,Motor,16,2023,EUR,GMM,Cancelled
POL39889356,GRP06811,2022-06-05,2023-09-28,Property,16,2022,EUR,PAA,Active
POL85075185,GRP73800,2025-01-31,2026-08-24,Motor,19,2025,GBP,PAA,Active
POL33806046,GRP62665,2023-08-14,2026-04-30,Life,33,2023,GBP,GMM,Cancelled
POL84626012,GRP03014,2020-03-01,2022-12-16,Motor,34,2020,EUR,GMM,Active
POL87401354,GRP55812,2024-03-22,2025-12-12,Motor,21,2024,USD,PAA,Active
POL58117891,GRP88910,2023-05-10,2024-05-04,Life,12,2023,EUR,PAA,Active
POL28260982,GRP28911,2023-08-05,2025-10-23,Life,27,2023,GBP,GMM,Expired
POL43449264,GRP73671,2018-10-10,2021-05-27,Life,32,2018,USD,PAA,Expired
POL03064991,GRP73030,2025-07-09,2026-05-05,Health,10,2025,GBP,PAA,Cancelled
POL05026476,GRP18935,2018-02-03,2019-05-29,Life,16,2018,USD,PAA,Expired
POL31731993,GRP28868,2018-05-22,2019-08-15,Motor,15,2018,USD,GMM,Active
POL54114022,GRP52058,2019-01-24,2021-07-12,Health,30,2019,GBP,GMM,Expired
POL88819680,GRP86424,2025-01-19,2027-03-10,Life,26,2025,GBP,GMM,Expired
POL01281981,GRP24967,2025-02-24,2027-12-11,Life,34,2025,EUR,GMM,Expired
POL91438433,GRP10101,2022-02-19,2024-02-09,Motor,24,2022,USD,PAA,Expired
POL82336801,GRP62956,2024-01-16,2025-01-10,Health,12,2024,EUR,PAA,Expired
POL29687629,GRP07942,2025-06-05,2027-02-25,Property,21,2025,EUR,PAA,Expired
POL46415014,GRP22191,2025-01-24,2027-01-14,Life,24,2025,GBP,PAA,Active
POL04523995,GRP74646,2020-07-15,2022-12-02,Health,29,2020,EUR,GMM,Expired
POL02631630,GRP13349,2018-09-14,2019-03-13,Property,6,2018,GBP,GMM,Expired
POL24001409,GRP94592,2025-11-07,2028-01-26,Health,27,2025,GBP,GMM,Expired
POL02380017,GRP57457,2019-01-16,2020-08-08,Motor,19,2019,USD,PAA,Active
POL69150091,GRP38977,2019-12-13,2022-01-31,Property,26,2019,USD,PAA,Cancelled
POL57879455,GRP40384,2021-02-10,2023-08-29,Health,31,2021,EUR,PAA,Expired
POL31390322,GRP46494,2018-10-09,2019-11-03,Health,13,2018,GBP,PAA,Active
POL51217569,GRP38814,2022-05-16,2024-12-01,Health,31,2022,EUR,GMM,Active
POL73874442,GRP22263,2018-04-01,2019-11-22,Motor,20,2018,USD,GMM,Expired
POL19866450,GRP21415,2020-12-31,2021-09-27,Property,9,2020,EUR,GMM,Expired
POL51673689,GRP14715,2021-12-30,2022-10-26,Health,10,2021,GBP,GMM,Active
POL87508954,GRP00143,2025-12-19,2028-06-06,Life,30,2025,USD,PAA,Cancelled
POL74986118,GRP02908,2024-09-04,2027-01-22,Life,29,2024,GBP,GMM,Cancelled
POL03015275,GRP46969,2022-08-11,2025-01-27,Property,30,2022,USD,GMM,Expired
POL03021826,GRP72151,2021-12-29,2024-04-17,Life,28,2021,GBP,GMM,Expired
POL19979399,GRP31393,2021-05-16,2022-05-11,Health,12,2021,GBP,PAA,Cancelled
POL14505793,GRP34134,2018-04-21,2019-01-16,Life,9,2018,GBP,GMM,Cancelled
POL25083337,GRP73551,2025-06-01,2027-12-18,Life,31,2025,GBP,GMM,Active
POL74759821,GRP27980,2020-11-08,2022-01-02,Health,14,2020,GBP,GMM,Expired
POL33017313,GRP03126,2022-06-27,2023-07-22,Motor,13,2022,GBP,GMM,Active
POL53727119,GRP76829,2022-03-16,2023-03-11,Health,12,2022,EUR,GMM,Expired
POL90005499,GRP26239,2023-10-19,2026-01-06,Property,27,2023,GBP,GMM,Cancelled
POL23778179,GRP11256,2021-04-26,2023-08-14,Life,28,2021,EUR,PAA,Active
POL17754315,GRP25800,2018-06-24,2020-01-15,Motor,19,2018,USD,GMM,Active
POL70272781,GRP12689,2022-09-12,2024-11-30,Health,27,2022,USD,PAA,Cancelled
POL85604439,GRP76494,2025-12-01,2028-10-16,Health,35,2025,EUR,PAA,Active
POL11525078,GRP24673,2024-11-15,2025-07-13,Health,8,2024,GBP,PAA,Cancelled
POL29763896,GRP97433,2021-03-17,2024-01-01,Health,34,2021,GBP,GMM,Active
POL11200435,GRP70182,2025-10-08,2028-02-25,Life,29,2025,USD,GMM,Cancelled
POL13498533,GRP53569,2019-10-08,2020-07-04,Motor,9,2019,EUR,GMM,Expired
POL06140576,GRP73671,2019-08-28,2020-07-23,Motor,11,2019,EUR,GMM,Cancelled
POL00809125,GRP41921,2019-11-06,2021-12-25,Motor,26,2019,USD,PAA,Active
POL19689875,GRP66564,2025-10-20,2026-05-18,Life,7,2025,EUR,GMM,Expired
POL80468984,GRP01536,2018-08-11,2020-10-29,Property,27,2018,USD,PAA,Expired
POL76047552,GRP61501,2018-02-20,2020-06-09,Motor,28,2018,GBP,PAA,Cancelled
POL62028507,GRP20448,2018-08-01,2021-06-16,Health,35,2018,GBP,PAA,Cancelled
POL41947773,GRP28201,2024-04-05,2026-01-25,Motor,22,2024,GBP,PAA,Cancelled
POL44168836,GRP47563,2024-12-18,2026-10-09,Motor,22,2024,EUR,GMM,Expired
POL47213249,GRP06629,2019-07-08,2021-04-28,Health,22,2019,EUR,GMM,Active
POL44234385,GRP51279,2022-11-20,2023-10-16,Health,11,2022,USD,PAA,Expired
POL99829851,GRP37889,2024-05-24,2025-04-19,Motor,11,2024,EUR,PAA,Cancelled
POL70471855,GRP52660,2024-08-27,2025-11-20,Motor,15,2024,USD,PAA,Cancelled
POL01515262,GRP61276,2024-09-19,2025-12-13,Health,15,2024,EUR,PAA,Expired
POL20889269,GRP73935,2024-07-04,2026-05-25,Property,23,2024,USD,PAA,Active
POL99144322,GRP14531,2019-10-18,2022-06-04,Life,32,2019,USD,PAA,Active
POL00301813,GRP31410,2021-06-08,2022-06-03,Motor,12,2021,GBP,GMM,Expired
POL19226035,GRP07363,2022-01-17,2023-05-12,Motor,16,2022,USD,GMM,Active
POL02339422,GRP85812,2021-12-09,2024-03-28,Property,28,2021,EUR,PAA,Cancelled
POL93393654,GRP78592,2025-04-11,2026-03-07,Health,11,2025,GBP,PAA,Expired
POL74016788,GRP64423,2020-04-05,2022-03-26,Motor,24,2020,GBP,PAA,Cancelled
POL12864197,GRP76077,2025-03-27,2027-07-15,Property,28,2025,USD,PAA,Expired
POL80118527,GRP16330,2020-06-20,2022-05-11,Life,23,2020,GBP,PAA,Expired
POL96200113,GRP49466,2025-01-31,2025-09-28,Property,8,2025,GBP,GMM,Cancelled
POL70559634,GRP61346,2024-03-18,2025-07-11,Health,16,2024,GBP,PAA,Cancelled
POL49355828,GRP49372,2021-05-04,2022-01-29,Motor,9,2021,GBP,GMM,Active
POL94307892,GRP49378,2022-10-24,2023-12-18,Health,14,2022,USD,GMM,Active
POL55663179,GRP31609,2023-04-19,2025-02-07,Health,22,2023,USD,GMM,Active
POL69470720,GRP24111,2019-08-08,2022-05-24,Health,34,2019,EUR,GMM,Expired
POL70651646,GRP66094,2025-10-19,2027-08-10,Life,22,2025,EUR,GMM,Active
POL59993848,GRP03757,2021-06-29,2022-06-24,Health,12,2021,USD,PAA,Cancelled
POL39532711,GRP36301,2020-10-12,2021-10-07,Life,12,2020,GBP,PAA,Active
POL90190292,GRP31302,2023-07-24,2025-07-13,Motor,24,2023,USD,PAA,Active
POL10450789,GRP47448,2022-08-30,2023-08-25,Property,12,2022,USD,PAA,Active
POL23890183,GRP78929,2021-05-31,2022-09-23,Life,16,2021,GBP,GMM,Expired
POL11968772,GRP85673,2023-05-17,2025-11-02,Life,30,2023,EUR,GMM,Active
POL65373219,GRP20772,2022-08-30,2024-03-22,Health,19,2022,GBP,GMM,Expired
POL90955202,GRP98569,2021-08-30,2023-05-22,Health,21,2021,EUR,PAA,Expired
POL43038192,GRP17791,2020-01-19,2021-10-10,Property,21,2020,EUR,PAA,Cancelled
POL72233930,GRP49126,2020-02-14,2022-01-04,Motor,23,2020,EUR,PAA,Active
POL77364706,GRP78080,2020-08-16,2021-04-13,Health,8,2020,EUR,PAA,Expired
POL35941175,GRP81487,2023-12-30,2026-09-15,Motor,33,2023,EUR,PAA,Cancelled
POL60390056,GRP78795,2024-07-05,2026-01-26,Life,19,2024,EUR,GMM,Active
POL96686272,GRP25082,2021-01-13,2023-04-03,Life,27,2021,USD,GMM,Cancelled
POL13863490,GRP93487,2023-07-01,2025-11-17,Property,29,2023,EUR,GMM,Active
POL20945557,GRP26021,2022-06-05,2023-08-29,Life,15,2022,EUR,PAA,Expired
POL38583805,GRP58465,2019-01-05,2021-12-20,Motor,36,2019,USD,PAA,Active
POL62993857,GRP84109,2021-12-26,2022-10-22,Health,10,2021,USD,PAA,Active
POL71576363,GRP54816,2019-11-25,2020-12-19,Health,13,2019,EUR,PAA,Cancelled
POL59776779,GRP24589,2024-03-28,2024-10-24,Health,7,2024,EUR,GMM,Expired
POL26201618,GRP95720,2022-01-25,2023-01-20,Life,12,2022,USD,PAA,Active
POL59331377,GRP97894,2021-09-03,2024-07-19,Health,35,2021,USD,GMM,Expired
POL82367795,GRP94466,2023-09-30,2024-12-23,Property,15,2023,GBP,GMM,Active
POL10315616,GRP07448,2019-09-16,2022-02-02,Life,29,2019,EUR,PAA,Expired
POL61039668,GRP82247,2019-11-05,2021-01-28,Property,15,2019,GBP,GMM,Active
POL18341063,GRP53251,2024-08-14,2026-08-04,Life,24,2024,EUR,GMM,Expired
POL47245976,GRP25646,2023-02-12,2023-08-11,Life,6,2023,EUR,GMM,Expired
POL48366039,GRP83992,2019-02-22,2021-05-12,Property,27,2019,EUR,PAA,Expired
POL62264769,GRP93492,2021-03-06,2022-01-30,Health,11,2021,EUR,GMM,Active
POL87995453,GRP84731,2019-10-03,2021-04-25,Property,19,2019,USD,PAA,Active
POL74707342,GRP02356,2023-10-12,2025-02-03,Property,16,2023,USD,GMM,Expired
POL34132952,GRP13922,2023-02-06,2025-11-22,Life,34,2023,GBP,PAA,Cancelled
POL74598469,GRP91486,2023-07-09,2024-10-31,Motor,16,2023,GBP,GMM,Active
POL48534421,GRP40903,2023-03-06,2024-10-26,Motor,20,2023,USD,GMM,Active
POL47517792,GRP77699,2019-10-10,2021-07-01,Property,21,2019,GBP,PAA,Expired
POL32182234,GRP31440,2022-11-04,2023-07-02,Property,8,2022,GBP,PAA,Expired
POL48460290,GRP94256,2019-09-14,2022-04-01,Property,31,2019,GBP,PAA,Active
POL90103970,GRP89578,2021-05-10,2023-03-01,Health,22,2021,USD,PAA,Cancelled
POL71312103,GRP56682,2020-08-26,2023-07-12,Life,35,2020,EUR,GMM,Active
POL55277488,GRP64607,2018-11-30,2021-08-16,Health,33,2018,GBP,PAA,Cancelled
POL58636358,GRP22053,2025-02-23,2026-10-16,Health,20,2025,EUR,PAA,Active
POL60861728,GRP86623,2023-01-03,2023-07-02,Health,6,2023,EUR,PAA,Active
POL89515243,GRP39103,2020-04-10,2021-09-02,Health,17,2020,GBP,GMM,Expired
POL11805583,GRP35186,2018-02-22,2020-01-13,Property,23,2018,GBP,PAA,Expired
POL00768351,GRP27676,2020-12-23,2023-03-13,Life,27,2020,EUR,PAA,Active
POL56143114,GRP07723,2021-05-30,2023-03-21,Motor,22,2021,EUR,PAA,Cancelled
POL32037972,GRP43674,2019-01-16,2020-09-07,Life,20,2019,GBP,PAA,Cancelled
POL14082033,GRP23352,2024-09-16,2026-09-06,Life,24,2024,GBP,GMM,Active
POL75913016,GRP64571,2021-10-25,2024-01-13,Life,27,2021,EUR,GMM,Active
POL14043915,GRP96202,2019-03-04,2020-03-28,Property,13,2019,EUR,PAA,Cancelled
POL75898363,GRP18893,2024-05-21,2026-12-07,Property,31,2024,GBP,PAA,Active
POL00420191,GRP80608,2025-11-01,2027-08-23,Motor,22,2025,EUR,PAA,Expired
POL60972469,GRP04596,2018-05-28,2019-01-23,Health,8,2018,GBP,GMM,Expired
POL70935353,GRP03048,2021-09-05,2024-05-22,Property,33,2021,USD,GMM,Active
POL18295811,GRP49112,2025-03-22,2027-08-09,Health,29,2025,GBP,PAA,Cancelled
POL19356345,GRP20168,2024-04-20,2027-01-05,Health,33,2024,GBP,PAA,Cancelled
POL22589356,GRP47263,2023-02-11,2023-09-09,Health,7,2023,EUR,GMM,Expired
POL62239660,GRP58214,2024-06-24,2025-11-16,Property,17,2024,USD,GMM,Active
POL92661377,GRP60778,2018-02-19,2020-04-09,Property,26,2018,EUR,PAA,Expired
POL00836171,GRP29386,2019-07-09,2021-12-25,Motor,30,2019,USD,GMM,Expired
POL66569484,GRP07349,2022-01-02,2022-09-29,Life,9,2022,EUR,PAA,Cancelled
POL59064939,GRP74155,2023-04-19,2023-11-15,Property,7,2023,GBP,GMM,Active
POL85105191,GRP03805,2022-01-23,2024-11-08,Life,34,2022,USD,PAA,Active
POL49452900,GRP91611,2018-05-28,2020-02-17,Health,21,2018,EUR,PAA,Cancelled
POL26539976,GRP30969,2019-07-07,2021-11-23,Motor,29,2019,EUR,GMM,Expired
POL17761910,GRP04329,2019-08-12,2021-05-03,Property,21,2019,USD,PAA,Cancelled
POL44660956,GRP70331,2020-11-10,2022-07-03,Motor,20,2020,EUR,PAA,Cancelled
POL02274810,GRP12777,2020-09-26,2021-08-22,Property,11,2020,USD,PAA,Active
