policy_group_id,period,csm_opening,csm_accretion,csm_release,csm_closing,risk_adjustment,loss_component,coverage_units,service_expense,insurance_revenue,reinsurance_asset_change
GRP53287,2022-06-09,27654.14,655.7,3652.83,24657.010000000002,3838.4,1234.37,31,3037.24,13260.52,3289.85
GRP72329,2023-01-25,308635.48,3351.84,6332.35,305654.97000000003,7166.02,1299.11,93,8208.0,25586.1,2569.25
GRP39103,2020-01-04,300985.02,506.57,5939.52,295552.07,1695.65,567.31,44,7248.43,5927.05,-1353.29
GRP40299,2021-09-06,215113.44,1116.56,3019.33,213210.67,5675.72,1374.27,25,1848.67,16627.49,-284.18
GRP89870,2019-02-12,129918.02,3666.75,7193.43,126391.34000000003,8682.53,485.19,83,5548.08,19751.39,-1995.74
GRP96245,2024-12-27,335280.93,3818.0,2722.84,336376.08999999997,2283.61,1669.22,67,8752.27,16288.74,1678.4
GRP43147,2022-07-30,339561.17,4861.49,3239.08,341183.57999999996,2891.55,27.94,57,3996.51,15574.89,3273.81
GRP42147,2025-01-12,11401.07,3171.75,9194.16,5378.66,1022.8,935.17,4,6476.4,27682.62,-1806.77
GRP50815,2025-12-30,367204.92,2075.21,9215.01,360065.12,2278.98,1908.82,17,1194.23,7183.54,3952.44
GRP78929,2020-01-11,495146.84,2019.69,3844.32,493322.21,9221.58,706.99,85,5332.03,12638.26,-2745.12
GRP36359,2025-08-22,449316.45,1661.27,6162.72,444815.00000000006,2207.97,1810.59,61,2018.55,20175.21,2296.76
GRP06049,2024-08-31,197408.41,2956.79,2610.57,197754.63,4870.26,614.55,83,1073.43,14841.71,-1670.93
GRP97125,2019-09-25,209557.66,4213.37,9252.05,204518.98,9836.6,1333.01,85,6780.17,11837.16,1830.82
GRP64166,2024-06-05,228783.13,1345.88,4592.18,225536.83000000002,7121.28,1330.29,74,5867.88,7878.42,-53.91
GRP81255,2023-11-26,259044.22,1747.58,8329.12,252462.68,1432.22,1487.09,63,2832.26,6115.87,-200.72
GRP61501,2018-11-15,123993.42,1069.65,8331.15,116731.92,3164.33,1435.68,66,8530.03,28891.84,1306.3
GRP24185,2018-07-24,218312.43,4193.67,6241.55,216264.55000000002,1203.73,398.1,90,8649.1,19509.89,-2045.11
GRP30610,2020-06-04,51844.69,1773.68,1872.43,51745.94,3560.3,1263.32,8,3983.95,5069.99,1865.91
GRP78080,2023-02-26,335475.97,3319.8,4174.92,334620.85,9272.99,884.59,69,9094.46,15708.24,3338.51
GRP66564,2019-10-24,307821.62,3274.98,1247.3,309849.3,1956.6,580.67,76,9305.19,12047.63,-2159.91
GRP35267,2022-01-19,16361.95,2409.26,7757.71,11013.5,6339.25,765.33,3,4796.37,12351.39,-2143.93
GRP35152,2024-01-16,206588.18,4811.56,727.04,210672.69999999998,1289.73,521.77,7,5290.56,16748.91,-3036.33
GRP37234,2022-02-18,488166.7,4191.12,9982.2,482375.62,5444.89,1495.58,49,6846.32,24076.05,2209.99
GRP30695,2020-02-18,326046.3,105.67,686.83,325465.13999999996,2155.72,742.74,51,2674.72,16212.47,-4388.37
GRP16131,2021-06-10,486695.03,4052.21,7952.19,482795.05000000005,3897.86,1241.08,49,6329.61,23171.92,2062.51
GRP20141,2023-12-03,324071.74,999.95,2801.7,322269.99,1776.3,1790.26,89,5817.49,22240.07,1949.81
GRP64977,2025-12-21,289438.49,4546.22,3779.86,290204.85,2172.39,716.47,35,8119.18,22109.17,-1284.22
GRP68073,2019-10-01,152072.08,1519.74,6333.45,147258.36999999997,7524.59,1265.9,85,6171.09,9943.8,-2026.38
GRP27562,2020-08-13,427177.63,3550.75,2092.1,428636.28,3564.65,1794.88,15,5348.92,27302.76,-3374.52
GRP84858,2024-04-29,197697.93,3100.6,9391.11,191407.41999999998,5294.34,441.98,46,8925.46,6691.32,-4878.25
GRP45177,2025-12-22,399706.51,3901.29,2010.75,401597.05,2090.64,1085.12,93,2796.23,25725.3,4051.13
GRP12917,2022-12-23,244804.68,4681.94,1121.1,248365.52,7184.9,1608.48,73,3605.86,29012.41,-1438.11
GRP86166,2019-11-15,51977.62,224.73,8554.97,43647.380000000005,8583.74,714.42,65,8041.73,13646.33,2820.27
GRP52363,2022-09-05,173886.22,3912.6,5740.81,172058.01,3487.13,479.48,77,8418.86,14522.2,683.92
GRP03201,2021-02-08,209642.44,4203.4,2513.71,211332.13,5207.89,712.54,89,5492.16,7585.06,1946.88
GRP53200,2018-03-23,379823.83,4402.14,8830.01,375395.96,3475.49,1317.7,91,4465.9,28444.35,4312.5
GRP46162,2019-07-07,163289.54,737.18,6425.2,157601.52,8418.34,340.13,85,3909.73,21228.08,-1477.93
GRP55275,2020-06-04,224964.34,2212.64,1362.75,225814.23,6586.87,318.28,55,2647.13,28301.59,4802.79
GRP70166,2020-09-24,331810.68,3750.42,829.49,334731.61,1264.9,1407.6,29,3818.34,13727.28,4161.24
GRP30610,2019-08-26,322153.93,431.51,2746.74,319838.7,3727.24,1704.05,32,5313.76,20972.44,4139.37
GRP59126,2021-10-04,214551.48,582.55,4447.96,210686.07,5526.36,1678.42,42,7299.46,16737.21,-4302.55
GRP61656,2023-11-12,261647.46,3936.95,9875.14,255709.26999999996,1759.42,334.79,17,5587.08,5122.85,1129.97
GRP88192,2019-01-03,62573.78,3597.04,5836.83,60333.98999999999,4124.13,1110.18,50,9621.39,14885.53,8.97
GRP51779,2025-03-20,310526.46,2824.14,9054.36,304296.24000000005,9687.11,1444.12,51,4654.14,24959.53,-3914.12
GRP55023,2025-01-29,194394.66,746.78,5324.26,189817.18,1681.73,646.27,69,9092.03,22928.15,2161.6
GRP09615,2023-11-09,87028.67,890.89,9302.44,78617.12,5089.92,1975.91,87,4651.17,24878.29,-3653.53
GRP17712,2019-04-17,485322.39,4055.9,5659.43,483718.86000000004,4463.69,1331.41,87,2810.32,14064.81,-3234.77
GRP34313,2021-01-12,321867.51,912.96,3680.68,319099.79000000004,4888.43,560.76,8,4157.71,23510.59,1259.4
GRP18024,2019-08-11,24892.4,2507.34,8194.39,19205.350000000002,2936.06,1133.07,64,8142.16,6788.03,2971.09
GRP95505,2019-09-27,372376.73,3852.14,4461.37,371767.5,3151.87,1984.51,45,2518.42,6738.06,3583.42
GRP98445,2021-05-09,256607.0,1874.62,2336.01,256145.61,2768.68,807.49,73,8976.5,7762.47,-4100.18
GRP09672,2018-10-15,406180.55,3836.94,4816.48,405201.01,3659.42,1706.39,20,6848.85,5284.48,-4466.14
GRP14060,2022-02-05,406163.53,1521.13,4000.55,403684.11000000004,6397.89,1753.82,35,1680.8,14250.98,4656.19
GRP22390,2020-12-24,491380.16,2681.73,8598.71,485463.17999999993,9802.57,315.08,62,6842.68,22740.16,-2110.98
GRP27882,2024-10-17,341269.8,3637.18,7991.25,336915.73,7748.72,838.9,19,3906.96,19385.93,-426.01
GRP55482,2025-11-13,257586.25,3677.72,6350.85,254913.12,3237.87,1889.83,91,6397.06,25859.87,1561.98
GRP26775,2025-02-25,249970.95,4202.03,2996.89,251176.09,5583.14,867.13,2,8840.48,14357.27,-769.13
GRP71218,2018-11-02,172566.25,1127.26,704.74,172988.77000000002,8411.66,459.48,37,3334.51,18094.59,4215.75
GRP43923,2022-09-20,456754.55,144.32,1183.38,455715.49,2871.78,963.2,16,5269.6,16389.57,2954.57
GRP19376,2021-09-24,42232.99,2046.45,9217.72,35061.719999999994,6518.36,1479.37,10,4393.54,17325.85,-2905.33
GRP69781,2022-10-21,444099.9,137.37,657.71,443579.56,1891.88,1955.05,72,9624.46,5633.0,3257.81
GRP20448,2018-04-22,62754.88,591.36,8951.79,54394.45,7820.98,196.45,23,7806.59,9866.44,1005.54
GRP36359,2019-08-04,493997.43,2847.84,4193.53,492651.74,1485.23,1693.42,36,1457.55,20918.84,-1152.24
GRP31410,2019-08-27,19551.28,4479.0,7414.87,16615.41,4171.57,723.82,87,9561.76,22555.41,-1873.27
GRP03870,2025-08-24,83516.67,2512.19,2863.3,83165.56,7365.22,194.89,45,8903.34,7046.58,-691.69
GRP57390,2020-10-25,130014.19,2617.33,3714.74,128916.77999999998,1818.92,1873.13,14,2893.33,5151.49,-2958.56
GRP71247,2022-08-08,45584.65,3698.53,722.56,48560.62,8812.79,104.73,19,8560.38,27339.81,1442.58
GRP26775,2024-07-06,480516.41,2548.0,615.91,482448.5,7923.91,790.99,28,2701.39,18403.15,-4374.81
GRP38543,2018-04-26,59709.24,939.41,1142.18,59506.47,3365.9,1673.65,30,1213.59,19715.22,-3817.16
GRP09913,2023-03-19,70358.55,2200.24,2543.97,70014.82,7611.89,116.22,71,2379.2,21369.2,56.82
GRP81256,2018-04-25,310453.21,4978.95,6567.27,308864.89,3743.56,1781.72,59,8513.3,8899.95,-1543.25
GRP24317,2018-04-02,445368.83,3855.95,1259.95,447964.83,9685.3,1305.88,44,8569.67,10532.93,4835.84
GRP11534,2025-01-14,124999.01,4907.61,3173.56,126733.06,7349.35,438.81,46,7950.97,6036.1,-3740.96
GRP00244,2025-05-11,70081.3,4519.66,8892.81,65708.15000000001,2371.02,1381.26,37,7539.49,13089.8,-2619.86
GRP90010,2023-03-15,265770.63,366.42,7237.28,258899.77,9584.22,743.43,3,5787.62,21951.59,-655.39
GRP87272,2018-02-19,183911.7,419.16,8152.17,176178.69,8054.41,1231.82,24,9231.77,24673.83,-4950.79
GRP14110,2020-06-05,490081.98,4594.77,2096.51,492580.24,6818.13,762.1,48,5278.57,23344.46,-68.97
GRP03014,2024-07-19,173600.52,518.29,1795.86,172322.95,7692.38,641.23,35,7544.43,15747.65,-2053.27
GRP32301,2025-02-25,424573.67,4747.49,1128.87,428192.29,4369.12,1395.45,91,8331.7,10742.78,-4528.23
GRP46459,2021-08-31,297394.29,1167.54,4227.87,294333.95999999996,3867.58,394.39,17,1134.89,17833.7,3328.95
GRP49378,2025-05-17,157680.95,3519.63,640.64,160559.94,8289.07,1602.23,26,1437.96,13237.61,-3157.27
GRP22632,2022-05-17,172906.61,4796.96,4431.59,173271.97999999998,7212.67,296.49,69,2854.13,27862.19,1713.68
GRP93986,2019-02-10,174076.87,4299.78,3546.67,174829.97999999998,2691.19,1259.48,22,4225.35,26634.97,-2866.2
GRP04047,2025-03-10,488993.79,3400.59,4103.46,488290.92,8856.4,1535.12,5,2032.41,5432.91,-1082.45
GRP18989,2018-12-12,230925.58,1141.43,3570.08,228496.93,9268.64,1698.97,84,2896.77,14295.38,4947.8
GRP98556,2024-08-26,357844.04,3618.28,2984.49,358477.83,3685.82,1597.26,98,5070.8,12141.24,-3048.2
GRP42963,2023-10-02,258541.15,2904.62,2806.3,258639.47,3908.23,698.29,69,7973.87,13975.57,-2674.79
GRP02908,2018-06-28,329606.94,1667.95,2719.04,328555.85000000003,8553.42,1493.42,51,3700.58,16988.55,3918.49
GRP42646,2018-12-08,460140.3,3804.03,9383.88,454560.45,1815.74,1233.82,73,1476.95,19011.91,-614.35
GRP66031,2018-12-17,310658.44,575.91,6235.48,304998.87,6455.52,290.59,54,8493.42,19825.92,4585.21
GRP82270,2022-08-02,19061.27,3764.24,4350.62,18474.890000000003,2471.23,397.23,2,9909.02,21125.13,-1415.04
GRP30969,2019-10-09,365987.01,1450.48,3153.02,364284.47,2406.1,886.37,70,2311.77,5166.27,-3764.78
GRP72248,2023-08-04,90380.46,2870.05,8211.41,85039.1,1980.23,1623.29,27,2985.34,12053.82,3467.11
GRP00430,2024-04-24,153860.98,3387.76,2211.51,155037.23,8682.8,227.32,96,1671.96,25311.54,4963.4
GRP39295,2022-03-15,167060.52,4522.66,2735.28,168847.9,2699.73,920.61,22,6113.23,8190.1,-2782.83
GRP01604,2023-09-05,436538.17,1451.73,9229.36,428760.54,8285.12,183.33,99,3608.25,6368.61,-951.94
GRP94834,2023-09-04,154750.3,3893.16,7346.24,151297.22,8337.98,833.1,67,3925.14,11323.37,906.02
GRP38453,2024-03-17,262344.22,1412.18,6625.83,257130.56999999998,7809.79,355.0,84,4341.19,26959.44,-281.22
GRP29193,2018-10-13,484573.31,3917.04,636.56,487853.79,1557.53,646.88,38,3736.14,21918.21,3489.35
GRP01604,2022-05-26,115489.23,2737.28,8571.17,109655.34,6795.3,1822.22,57,2134.29,7917.03,-1225.45
GRP08704,2024-08-14,17295.46,245.16,7379.94,10160.68,1774.13,1596.35,2,3702.33,20132.73,3608.35
GRP07448,2024-04-03,59282.85,3139.65,670.07,61752.43,6778.0,569.5,43,4862.1,11765.86,-3475.96
GRP95282,2022-04-29,94074.28,115.46,7822.91,86366.83,4372.48,1854.25,5,2207.48,13800.59,-3024.54
GRP37189,2021-07-22,425949.7,1630.67,2203.96,425376.41,2002.38,1577.27,91,4497.65,23217.31,-3603.33
GRP78795,2020-04-19,477232.31,3913.04,767.01,480378.33999999997,6123.44,1622.04,3,6419.5,16506.76,2103.13
GRP34651,2018-08-02,486213.93,3383.42,3276.86,486320.49,5410.36,1480.21,1,2895.12,11679.63,-2482.28
GRP73521,2021-12-26,265462.24,1417.48,4955.8,261923.91999999998,9433.12,1195.18,55,5496.13,9555.29,1584.02
GRP35971,2019-10-22,414302.61,4932.17,5869.12,413365.66,5174.89,1246.8,52,6026.53,14056.88,3581.28
GRP37267,2024-02-17,155957.35,659.85,6237.63,150379.57,7486.71,1490.24,37,2493.84,27615.07,-732.02
GRP60728,2020-10-24,333809.51,3330.08,3935.98,333203.61000000004,3022.09,1064.6,97,8246.85,7615.5,-4947.24
GRP44549,2024-10-03,452728.42,4203.08,4234.99,452696.51,4695.84,626.4,3,2204.08,9701.96,-1040.75
GRP47791,2018-01-31,467633.55,4650.26,7173.39,465110.42,7362.43,1062.65,15,6965.13,11999.28,2680.13
GRP61476,2025-03-06,244638.36,1871.19,4275.78,242233.77,3098.9,461.41,12,1138.3,22372.85,-195.61
GRP56458,2020-08-27,56029.78,2816.74,4385.32,54461.2,6210.59,1013.66,81,3431.1,27079.35,-4979.26
GRP77545,2018-06-08,78442.41,2916.55,8746.67,72612.29000000001,3298.31,787.94,41,2137.93,25856.82,-4415.64
GRP56349,2021-03-10,115989.82,4818.64,983.44,119825.02,4373.71,1634.79,41,2950.55,16507.04,-3986.35
GRP04276,2019-02-09,229294.94,1163.49,4806.47,225651.96,4217.87,1240.61,10,3418.35,21262.26,750.69
GRP21415,2019-07-01,363929.85,4727.57,9121.79,359535.63,6628.51,1112.44,8,7240.09,5645.15,-3658.99
GRP05669,2023-03-08,268098.62,4408.88,6363.28,266144.22,1483.63,412.25,97,7474.12,16408.5,-2389.13
GRP57399,2024-06-18,291488.02,4983.14,3242.25,293228.91000000003,5754.02,615.98,71,6884.81,10212.97,-1991.85
GRP93983,2024-07-15,384066.43,4810.19,8410.66,380465.96,2494.08,429.6,32,5058.18,17689.85,-506.36
GRP58214,2024-03-28,476350.56,3453.22,4056.44,475747.33999999997,6906.25,1260.35,8,5669.99,6147.56,2881.64
GRP26223,2023-11-22,464019.84,3208.38,5015.15,462213.07,8101.62,209.28,82,7536.37,7410.4,4012.04
GRP12155,2025-03-12,418083.29,2445.39,1023.27,419505.41,6853.89,139.27,13,4191.16,24091.15,-1837.28
GRP80319,2025-03-21,130249.73,3945.12,7450.14,126744.71,3112.61,1407.74,3,8995.13,26514.96,1561.26
GRP88192,2021-10-16,413233.62,4708.08,6765.23,411176.47000000003,5621.74,1144.13,61,8798.0,18912.45,-294.62
GRP73517,2024-07-18,303385.63,3214.6,8507.28,298092.94999999995,6502.23,1251.28,25,8200.98,22800.19,2381.34
GRP05669,2025-08-11,337468.83,1072.84,6693.26,331848.41000000003,6831.85,835.07,99,8630.61,24262.65,-2536.28
GRP29341,2020-04-22,377069.06,3484.78,6250.84,374303.0,8976.59,434.22,90,3015.65,17082.2,1492.77
GRP20857,2018-10-02,496429.83,4285.2,6512.92,494202.11000000004,1420.16,127.59,97,1370.64,21093.87,-234.17
GRP93986,2020-05-18,335688.21,1046.67,8025.11,328709.77,5722.74,461.16,33,1944.76,17295.59,2932.2
GRP95067,2023-04-25,383564.21,3147.56,7347.5,379364.27,9441.76,839.56,8,4836.64,21723.67,-2753.25
GRP54142,2019-12-19,312890.74,3076.68,6170.12,309797.3,8144.72,1737.79,42,6229.33,22308.97,-4644.46
GRP58545,2019-12-27,241682.77,928.92,4794.15,237817.54,2889.28,169.85,44,7921.33,11258.75,2824.7
GRP83218,2024-12-05,457308.7,3239.07,8188.34,452359.43,4148.2,1150.16,23,7374.04,11959.66,1030.04
GRP11256,2022-07-20,395588.03,3132.75,9852.85,388867.93000000005,9904.05,840.35,58,3606.79,17011.05,2875.1
GRP03441,2023-12-11,420933.49,758.52,8942.59,412749.42,2153.04,976.05,47,1027.62,12304.19,3547.91
GRP57106,2019-09-21,317894.37,1928.43,6286.53,313536.26999999996,9276.07,679.83,4,5534.34,27177.11,1966.47
GRP14715,2019-05-08,162222.07,4519.67,2679.14,164062.6,5380.23,1170.69,44,8871.02,5169.97,4589.41
GRP64912,2020-06-25,141602.67,1118.47,5766.09,136955.05000000002,3711.98,904.04,21,8456.47,21987.55,3753.02
GRP37687,2019-12-06,305822.99,2066.43,2750.43,305138.99,5714.22,1593.98,62,5072.28,22427.53,-4302.0
GRP25519,2025-08-23,289333.0,3799.25,9941.82,283190.43,8711.55,935.63,86,6841.72,20325.59,267.2
GRP77249,2018-04-20,188662.89,2620.26,939.96,190343.19000000003,1476.84,257.02,5,3273.79,17184.86,950.07
GRP91967,2019-10-10,196392.73,2578.15,1606.75,197364.13,3669.58,1159.37,94,3828.64,7398.79,-2287.25
GRP51072,2022-04-22,430962.83,2157.05,9286.48,423833.4,7662.01,1816.05,67,1021.61,25140.2,-1260.21
GRP44549,2018-06-02,472940.46,1746.55,3778.69,470908.32,5164.94,890.13,100,7211.4,14508.12,-2896.83
GRP95970,2024-12-27,352207.98,3187.61,7812.84,347582.74999999994,8098.17,1363.34,41,4818.02,20749.9,1209.0
GRP68732,2024-04-27,218070.73,3787.37,1753.01,220105.09,8377.89,594.09,80,6669.86,22147.4,-3396.87
GRP82693,2020-11-20,154930.9,974.2,7093.53,148811.57,5986.78,1838.32,51,1672.78,10092.32,-4247.23
GRP03757,2019-06-12,156984.34,3891.76,8718.13,152157.97,2966.56,430.24,29,2118.09,14803.05,1332.02
GRP99610,2020-07-29,240441.51,1970.01,5879.55,236531.97000000003,1649.15,1594.63,17,5309.56,9130.27,-164.05
GRP49379,2020-08-14,487738.33,802.71,1069.06,487471.98000000004,8808.68,1192.2,59,4130.59,17903.28,-1243.89
GRP82805,2025-06-09,79541.26,4890.51,7660.11,76771.65999999999,3718.88,819.1,3,4265.27,7720.33,-881.53
GRP86608,2024-08-18,265220.37,1318.29,6244.86,260293.8,9734.75,73.97,85,5476.33,17518.39,-3763.43
GRP73956,2019-09-02,45588.51,2476.27,759.93,47304.85,8719.25,1700.43,65,9019.93,26554.27,2536.63
GRP31367,2022-12-31,142323.56,872.04,2469.78,140725.82,2602.53,661.71,50,1427.09,8540.81,3233.02
GRP83504,2020-08-05,240267.87,1350.9,4635.29,236983.47999999998,7674.64,1799.09,53,1732.4,26090.75,4783.16
GRP90466,2022-01-03,357022.76,2882.83,4696.16,355209.43000000005,7445.28,1036.7,53,9589.98,14574.42,2344.82
GRP31260,2021-08-10,129573.15,1869.29,4010.7,127431.74,6306.82,191.27,68,7398.87,14951.74,-2824.28
GRP50211,2022-12-07,336224.63,881.51,6285.05,330821.09,9387.35,321.64,5,7772.56,22378.69,-4150.32
GRP29461,2025-07-11,401267.23,933.84,7723.47,394477.60000000003,8807.43,1440.52,23,1461.35,12536.46,-1142.82
GRP36477,2023-07-11,380025.23,290.16,3071.27,377244.11999999994,5880.2,815.28,58,9580.71,26140.36,1934.31
GRP00896,2025-11-12,373681.79,690.61,6389.21,367983.18999999994,3645.35,1648.37,85,2883.18,11176.58,2786.87
GRP69024,2024-10-15,133183.02,359.98,7099.86,126443.14,2883.4,1543.38,35,7597.77,13252.89,1737.01
GRP16279,2021-07-30,19173.48,3804.2,3418.89,19558.79,9429.59,395.19,100,1729.89,28560.65,2212.17
GRP57657,2019-11-08,408528.63,3513.86,6430.52,405611.97,4291.35,757.62,80,4146.37,12704.98,-2069.62
GRP88910,2022-06-21,447321.12,4823.99,5530.16,446614.95,9958.37,882.14,78,5719.49,17840.52,4710.2
GRP11499,2024-03-21,249778.54,1115.99,8909.89,241984.64,6190.12,1144.38,85,2824.54,25889.56,-1865.22
GRP61678,2021-08-02,203078.98,2527.87,8248.86,197357.99,7268.45,1963.39,43,2387.5,14011.05,2220.16
GRP66020,2020-09-01,232399.41,241.86,3425.88,229215.38999999998,4135.99,845.21,25,3080.53,16092.45,-240.59
GRP12689,2022-03-23,131255.51,2869.5,823.47,133301.54,1885.47,1842.0,8,4669.07,8197.02,3238.81
GRP91967,2025-03-18,398758.19,2722.9,883.19,400597.9,4257.99,1197.1,95,6391.81,20742.05,2037.84
GRP57657,2018-03-25,298196.39,1535.47,5635.99,294095.87,6157.4,1119.31,81,1619.92,23869.51,-2169.05
GRP41817,2024-04-15,47566.48,2321.65,5086.8,44801.33,7033.42,99.84,39,5740.3,6973.28,-807.17
GRP83683,2021-07-10,363897.66,3295.89,923.43,366270.12,7888.22,1723.56,16,4756.57,11612.01,4501.12
GRP81488,2025-02-08,425290.08,2119.49,6472.33,420937.24,4729.26,1827.4,34,8103.9,12485.01,-3704.9
GRP22053,2020-04-18,490172.37,1033.37,2324.17,488881.57,6699.66,1525.75,84,8025.4,23149.43,-4014.73
GRP00511,2023-08-01,449650.14,2778.57,5159.8,447268.91000000003,8752.9,95.64,49,5914.19,22630.19,-3024.31
GRP41622,2018-02-04,172209.85,2620.56,5111.27,169719.14,3449.46,243.67,66,5988.9,14180.43,-904.26
GRP82693,2019-06-13,243021.73,2096.3,3092.58,242025.45,8461.85,1118.79,56,7999.87,22720.92,-3334.11
GRP73131,2020-09-16,301359.76,4394.72,3360.84,302393.63999999996,8181.8,1461.83,38,7079.06,5717.57,3689.52
GRP91822,2023-02-20,77400.74,1076.27,7544.23,70932.78000000001,7995.3,1729.03,40,8406.41,22497.6,682.96
GRP57400,2019-02-09,293977.86,208.59,7717.4,286469.05,7847.39,931.21,27,8487.03,23471.75,-382.14
GRP72980,2025-02-10,25553.34,4450.41,6126.02,23877.73,1255.73,642.46,95,8989.65,9454.39,-1297.87
GRP44725,2018-12-05,69436.22,2598.37,5212.01,66822.58,3841.71,1913.34,79,1957.83,22027.95,-4135.52
GRP15098,2024-07-29,259663.64,3896.97,5391.24,258169.37,8225.4,1836.66,46,4725.68,14774.74,141.91
GRP54142,2019-11-06,184436.35,3172.59,8554.78,179054.16,5932.18,905.2,12,6472.44,9915.88,2764.63
GRP50135,2021-10-19,447124.1,2364.13,4053.99,445434.24,8886.32,789.94,39,4657.4,18820.0,-632.07
GRP31367,2022-06-21,421519.76,3172.07,6842.23,417849.60000000003,6068.27,1271.2,6,2450.92,27806.88,4994.53
GRP67843,2022-02-23,68292.63,1585.81,1709.53,68168.91,6628.25,1277.01,56,1408.33,19830.56,329.1
GRP04477,2018-08-06,196791.08,105.17,7294.77,189601.48,4728.36,1724.16,75,8287.33,26774.03,1520.71
GRP89714,2024-07-26,131971.27,668.25,9504.01,123135.51,1182.45,724.41,7,4245.25,6613.62,1812.71
GRP07723,2021-11-15,296743.64,727.54,7256.67,290214.51,7623.42,362.85,28,4628.21,23146.96,-2712.18
GRP72151,2023-11-03,396744.06,2340.33,1042.09,398042.3,1322.17,1244.4,60,3250.43,14964.84,124.52
GRP64607,2020-09-23,106123.23,4589.82,4853.29,105859.76,3338.83,205.16,56,1443.08,21798.07,-186.38
GRP42323,2020-11-13,476480.31,2356.68,8687.79,470149.2,4222.1,237.33,4,1004.25,24571.93,-1949.85
GRP29361,2021-05-21,426558.1,4303.19,9315.26,421546.02999999997,2336.89,963.67,95,9173.29,17655.03,-1253.36
GRP32653,2023-11-24,276110.51,2058.21,1546.36,276622.36000000004,9887.9,1554.07,71,4360.81,15179.6,-4218.51
GRP99067,2018-02-04,194791.66,1343.77,3026.77,193108.66,2810.5,1453.38,72,6221.12,9375.56,-3635.34
GRP33705,2021-11-15,306752.33,4548.16,3508.27,307792.22,3496.68,1283.16,29,6626.06,14413.87,4174.23
GRP00244,2021-05-13,378975.77,3830.07,5851.24,376954.60000000003,8694.46,542.72,59,1591.43,21671.73,3654.1
GRP94256,2024-09-21,447266.81,4498.23,7397.76,444367.27999999997,8156.49,1410.06,40,4717.3,24801.11,-2591.28
GRP93986,2025-07-14,17429.38,4471.87,6286.92,15614.33,7680.74,511.11,62,4522.7,28746.01,4620.77
GRP17211,2025-12-01,208535.33,112.31,6669.59,201978.05,9301.64,380.24,21,7709.74,18131.61,-4175.45
GRP18621,2021-06-10,492520.93,3502.27,9403.61,486619.59,1784.97,262.26,28,2906.19,26617.6,2647.39
