region_econ_id,region_id,year,gdp_usd_billion,unemployment_rate_pct,avg_household_income_usd,population_growth_rate_pct,business_growth_index,data_source_references
RE-04cbf151,R-eb24951e,2018,97.53,12.84,25946.92,3.81,7.6,['EconData_ago']
RE-c684b987,R-eb24951e,2019,249.52,15.79,114406.3,2.35,6.75,['EconData_spend']
RE-d0675f8b,R-eb24951e,2020,1077.64,19.88,82011.79,1.26,0.14,['EconData_vote']
RE-47188e45,R-eb24951e,2021,1198.75,11.71,109070.07,1.2,0.58,['EconData_local']
RE-f55297f0,R-eb24951e,2022,1179.34,20.37,117461.65,1.55,7.07,['EconData_explain']
RE-f4990edb,R-eb24951e,2023,1010.75,11.7,55488.64,2.36,1.81,['EconData_well']
RE-08638ca5,R-eb24951e,2024,339.7,13.17,111032.72,1.81,6.4,['EconData_break']
RE-241f781c,R-fb54d982,2018,1415.23,8.99,28917.87,2.57,5.97,['EconData_contain']
RE-0a8b0965,R-fb54d982,2019,1111.24,3.07,100251.73,3.46,1.21,['EconData_lead']
RE-256afb1f,R-fb54d982,2020,302.69,10.29,77244.77,2.51,1.9,['EconData_reach']
RE-88ffa247,R-fb54d982,2021,1656.1,16.56,114810.02,3.7,6.97,['EconData_smile']
RE-2ba27f94,R-fb54d982,2022,1785.49,1.89,42121.84,0.66,9.61,['EconData_anything']
RE-4f52bf26,R-fb54d982,2023,665.7,3.99,62985.68,1.37,0.01,['EconData_act']
RE-1cd3217d,R-fb54d982,2024,144.94,6.55,44305.98,3.08,4.5,['EconData_television']
RE-f281185e,R-fcabcd35,2018,476.58,2.62,95104.19,2.28,2.72,['EconData_present']
RE-1862a2e4,R-fcabcd35,2019,28.9,24.53,11151.38,3.75,0.25,['EconData_behind']
RE-8ed2b82c,R-fcabcd35,2020,766.71,0.71,98644.48,1.87,2.94,['EconData_argue']
RE-4802c57b,R-fcabcd35,2021,247.48,18.56,103950.92,3.27,9.49,['EconData_dog']
RE-03b44cee,R-fcabcd35,2022,140.07,14.78,104815.17,1.25,6.92,['EconData_back']
RE-c263be3c,R-fcabcd35,2023,54.96,21.37,64767.6,3.63,3.85,['EconData_chair']
RE-c1c83087,R-fcabcd35,2024,565.12,17.04,61822.45,1.06,5.47,['EconData_new']
RE-511cbaa8,R-2acf6952,2018,993.11,12.77,117820.96,2.7,9.72,['EconData_any']
RE-c37f7025,R-2acf6952,2019,1221.43,2.46,118308.2,0.17,8.14,['EconData_like']
RE-0fbbf515,R-2acf6952,2020,1097.09,22.89,49328.61,1.85,5.48,['EconData_region']
RE-f6aa75c4,R-2acf6952,2021,1595.57,24.8,23201.72,2.37,4.8,['EconData_produce']
RE-269417a1,R-2acf6952,2022,1858.7,14.03,49313.64,1.67,3.12,['EconData_change']
RE-04f6baa6,R-2acf6952,2023,303.27,3.89,61765.98,3.33,8.23,['EconData_phone']
RE-9a4eac0a,R-2acf6952,2024,1795.35,1.4,20641.16,3.06,0.48,['EconData_second']
RE-b59db290,R-a56fa919,2018,685.89,18.16,51307.42,2.46,3.58,['EconData_suffer']
RE-a99ee373,R-a56fa919,2019,1778.64,4.52,57243.19,2.24,2.31,['EconData_poor']
RE-c9068a21,R-a56fa919,2020,815.32,22.53,116556.68,2.79,0.28,['EconData_reveal']
RE-faa1424a,R-a56fa919,2021,1248.62,23.61,48492.08,0.06,3.94,['EconData_sound']
RE-155fe893,R-a56fa919,2022,1253.52,19.58,23373.03,0.12,6.23,['EconData_floor']
RE-e0ca9f46,R-a56fa919,2023,707.96,7.8,97675.8,0.44,5.17,['EconData_system']
RE-f588920f,R-a56fa919,2024,1582.09,5.88,45218.87,3.31,2.11,['EconData_read']
RE-b3eac208,R-2cbbcf37,2018,611.31,2.15,75193.88,1.12,0.4,['EconData_shoulder']
RE-dd0bfa40,R-2cbbcf37,2019,705.6,14.82,97902.55,0.39,7.47,['EconData_father']
RE-11066e52,R-2cbbcf37,2020,81.75,9.8,74190.75,3.54,4.6,['EconData_soldier']
RE-4944bad3,R-2cbbcf37,2021,1280.17,11.52,92582.45,0.88,2.4,['EconData_live']
RE-cd7ec339,R-2cbbcf37,2022,1197.54,24.24,39082.84,1.31,2.73,['EconData_environmental']
RE-45efd13d,R-2cbbcf37,2023,397.32,21.4,84260.01,3.9,5.24,['EconData_idea']
RE-784e6435,R-2cbbcf37,2024,211.33,23.72,10786.14,2.54,0.73,['EconData_state']
RE-5fb81f5c,R-99266b30,2018,381.69,10.8,77094.7,3.74,4.16,['EconData_color']
RE-ab40a891,R-99266b30,2019,1362.71,15.48,79574.42,0.08,7.09,['EconData_cost']
RE-971553cd,R-99266b30,2020,154.88,5.44,61266.15,1.55,9.85,['EconData_into']
RE-9e698621,R-99266b30,2021,578.65,6.98,93028.15,1.73,0.46,['EconData_step']
RE-39bfdf70,R-99266b30,2022,1911.36,3.7,78162.59,3.67,6.29,['EconData_pressure']
RE-e6647faa,R-99266b30,2023,1949.92,9.91,98177.79,2.33,2.13,['EconData_impact']
RE-e9caaa5a,R-99266b30,2024,558.03,8.7,38576.17,0.73,3.33,['EconData_feel']
RE-b4042714,R-7158f265,2018,1204.63,12.26,40755.26,3.36,7.59,['EconData_also']
RE-327e92d7,R-7158f265,2019,1762.28,12.37,43100.2,3.14,8.73,['EconData_moment']
RE-116ec5cd,R-7158f265,2020,1734.97,6.42,107869.1,3.79,4.69,['EconData_image']
RE-857b0a4c,R-7158f265,2021,1996.12,21.68,18592.98,2.88,9.58,['EconData_eight']
RE-787812b1,R-7158f265,2022,1238.54,4.4,119611.27,0.41,1.14,['EconData_why']
RE-c6423582,R-7158f265,2023,1310.13,9.69,49453.96,0.69,4.0,['EconData_offer']
RE-fdbb6425,R-7158f265,2024,786.36,14.0,119170.04,1.37,1.96,['EconData_improve']
RE-3f07e581,R-acbe1283,2018,400.09,18.53,72172.8,2.17,8.98,['EconData_dog']
RE-2bad6ed3,R-acbe1283,2019,1309.89,20.88,66754.18,0.54,7.29,['EconData_professional']
RE-0b71ac3b,R-acbe1283,2020,114.64,0.24,27923.18,1.17,2.38,['EconData_begin']
RE-11aecae0,R-acbe1283,2021,657.05,23.71,90035.97,0.72,3.43,['EconData_much']
RE-7261ce22,R-acbe1283,2022,1728.77,14.2,94808.68,0.96,0.59,['EconData_instead']
RE-711d9607,R-acbe1283,2023,348.24,18.39,37141.15,1.07,2.45,['EconData_trip']
RE-55478209,R-acbe1283,2024,367.15,18.94,62860.91,3.37,9.21,['EconData_dream']
RE-7132cb6c,R-d48954d8,2018,331.18,7.91,97447.66,2.69,7.49,['EconData_especially']
RE-36bb6f43,R-d48954d8,2019,1670.34,6.91,80921.52,0.99,0.31,['EconData_government']
RE-589eb2a4,R-d48954d8,2020,1660.11,1.45,55055.01,0.62,8.74,['EconData_serious']
RE-737aceea,R-d48954d8,2021,917.22,2.95,98592.57,1.12,3.89,['EconData_himself']
RE-4feb887e,R-d48954d8,2022,281.9,0.3,35307.08,3.44,7.91,['EconData_former']
RE-8f7a3b58,R-d48954d8,2023,1637.02,7.09,35586.19,0.64,3.28,['EconData_specific']
RE-9fda0623,R-d48954d8,2024,1093.58,11.75,67920.51,0.35,3.25,['EconData_floor']
RE-4b6df9c6,R-a80c66a1,2018,452.35,21.59,82903.66,1.08,1.43,['EconData_station']
RE-801f85fe,R-a80c66a1,2019,1471.19,13.71,39279.06,3.99,7.69,['EconData_market']
RE-10f44c04,R-a80c66a1,2020,1862.32,23.31,61207.89,3.84,9.96,['EconData_actually']
RE-7d7aecd0,R-a80c66a1,2021,680.73,24.29,22536.25,3.46,6.01,['EconData_just']
RE-99b7a379,R-a80c66a1,2022,1493.67,23.42,62968.22,0.44,4.59,['EconData_water']
RE-07204ebb,R-a80c66a1,2023,879.2,2.88,69715.1,0.79,1.1,['EconData_already']
RE-a4505cdd,R-a80c66a1,2024,1194.99,0.71,79505.11,3.08,8.37,['EconData_project']
RE-4bcccbb6,R-3f6b3e1c,2018,866.93,10.75,63179.92,2.88,3.49,['EconData_miss']
RE-ed9b692b,R-3f6b3e1c,2019,1506.17,19.34,111112.39,2.82,8.66,['EconData_month']
RE-a791aaf3,R-3f6b3e1c,2020,113.93,16.58,58409.91,0.75,7.52,['EconData_arm']
RE-ac530a0e,R-3f6b3e1c,2021,1881.38,24.23,103044.36,1.35,7.12,['EconData_history']
RE-3010a55c,R-3f6b3e1c,2022,1433.52,0.02,110632.9,2.82,4.95,['EconData_foreign']
RE-32a75fa9,R-3f6b3e1c,2023,95.47,5.19,115248.57,2.16,3.4,['EconData_above']
RE-eb5a7c69,R-3f6b3e1c,2024,1746.51,15.14,17949.85,1.99,0.71,['EconData_letter']
RE-a96443db,R-d7d723d4,2018,347.04,1.96,29194.64,1.84,8.69,['EconData_budget']
RE-683f0393,R-d7d723d4,2019,1043.48,11.09,10116.52,2.94,0.51,['EconData_yeah']
RE-2db5f7ec,R-d7d723d4,2020,300.69,17.08,72796.57,3.67,9.25,['EconData_concern']
RE-320a2bc2,R-d7d723d4,2021,62.52,16.16,113401.63,2.09,0.89,['EconData_perhaps']
RE-4ebd8e7b,R-d7d723d4,2022,262.1,3.48,15420.34,2.02,3.97,['EconData_win']
RE-08d035d2,R-d7d723d4,2023,977.77,10.95,90491.51,2.41,0.97,['EconData_necessary']
RE-0970ab0a,R-d7d723d4,2024,1347.52,3.0,25933.83,0.29,5.85,['EconData_present']
RE-7a002122,R-0cb5b2ae,2018,140.33,18.01,83603.44,0.71,8.79,['EconData_phone']
RE-96739b99,R-0cb5b2ae,2019,75.36,2.72,37511.91,0.84,1.04,['EconData_special']
RE-6d8183a5,R-0cb5b2ae,2020,1368.05,19.18,55791.86,1.73,8.82,['EconData_woman']
RE-3ef27bf9,R-0cb5b2ae,2021,103.68,7.72,88828.95,0.3,6.43,['EconData_message']
RE-398c723e,R-0cb5b2ae,2022,62.75,23.36,13823.64,3.18,8.94,['EconData_our']
RE-c4b7fa85,R-0cb5b2ae,2023,461.28,1.03,28462.45,3.68,3.13,['EconData_across']
RE-9fd4e08f,R-0cb5b2ae,2024,1902.61,4.08,38483.82,1.25,0.48,['EconData_boy']
RE-a923ed16,R-17d75e18,2018,1099.69,6.58,53967.36,2.67,1.88,['EconData_be']
RE-7ec5f98a,R-17d75e18,2019,1155.03,16.59,86995.61,0.8,8.02,['EconData_military']
RE-efb06500,R-17d75e18,2020,170.06,4.57,29228.41,0.12,6.48,['EconData_seem']
RE-1eed3715,R-17d75e18,2021,328.41,19.87,72528.79,1.39,1.2,['EconData_last']
RE-0555b0ca,R-17d75e18,2022,920.65,17.28,50317.66,0.56,4.77,['EconData_charge']
RE-09c87194,R-17d75e18,2023,1574.22,11.13,107667.14,2.21,9.6,['EconData_beat']
RE-e8cf7b2e,R-17d75e18,2024,1396.42,20.53,107285.59,2.1,9.8,['EconData_we']
RE-53877397,R-198e9e79,2018,1013.98,1.29,61047.55,3.04,9.55,['EconData_government']
RE-2bbc7a5a,R-198e9e79,2019,1512.06,4.8,104800.16,3.73,9.33,['EconData_more']
RE-c0c6cab0,R-198e9e79,2020,1238.42,14.03,47522.01,2.79,0.79,['EconData_my']
RE-0b24b8ff,R-198e9e79,2021,633.29,13.66,111984.08,3.06,0.01,['EconData_manager']
RE-8d574daf,R-198e9e79,2022,1916.75,13.01,31602.47,3.03,2.29,['EconData_early']
RE-1929d651,R-198e9e79,2023,1753.83,17.92,35447.79,0.4,5.46,['EconData_because']
RE-b83fe10f,R-198e9e79,2024,466.16,21.79,23722.17,0.52,0.67,['EconData_fact']
RE-0578521a,R-9bdd3734,2018,1553.42,8.65,24350.29,1.77,2.95,['EconData_full']
RE-2c4385d5,R-9bdd3734,2019,110.22,5.6,18390.77,1.32,7.91,['EconData_remember']
RE-8ae2c68c,R-9bdd3734,2020,43.1,22.28,17795.78,2.93,6.12,['EconData_amount']
RE-bafbca79,R-9bdd3734,2021,1816.05,19.99,77660.98,0.16,0.12,['EconData_receive']
RE-e35db3f1,R-9bdd3734,2022,726.35,17.57,48390.99,1.68,0.61,['EconData_upon']
RE-a9dd692d,R-9bdd3734,2023,268.17,13.96,16455.76,0.81,6.28,['EconData_each']
RE-3156b258,R-9bdd3734,2024,541.84,24.87,14212.97,0.88,7.97,['EconData_site']
RE-e3c9972e,R-4e8b8037,2018,273.78,20.45,117753.8,2.97,3.09,['EconData_energy']
RE-53dd644f,R-4e8b8037,2019,113.4,11.91,40307.91,1.24,3.89,['EconData_boy']
RE-fd84e213,R-4e8b8037,2020,974.88,9.06,23969.55,1.58,1.66,['EconData_hospital']
RE-1b47ca05,R-4e8b8037,2021,752.31,11.37,59664.23,1.04,9.03,['EconData_center']
RE-93a07093,R-4e8b8037,2022,802.99,22.02,42012.23,1.49,0.96,['EconData_develop']
RE-c8108a5e,R-4e8b8037,2023,804.43,1.92,83958.59,3.5,7.25,['EconData_his']
RE-5c01a5d5,R-4e8b8037,2024,24.84,3.04,117221.16,2.16,1.3,['EconData_condition']
RE-851e357a,R-e53e6e32,2018,410.71,3.65,47038.85,2.81,4.91,['EconData_response']
RE-2cb1b331,R-e53e6e32,2019,451.69,24.92,70687.85,0.31,9.47,['EconData_seem']
RE-f33ecf5e,R-e53e6e32,2020,657.62,21.1,71190.12,2.42,0.82,['EconData_game']
RE-aefeda97,R-e53e6e32,2021,1561.54,17.15,34730.29,1.26,9.76,['EconData_debate']
RE-20a26873,R-e53e6e32,2022,845.48,3.0,58789.99,3.48,6.13,['EconData_song']
RE-fd82d686,R-e53e6e32,2023,1058.86,11.95,33890.16,1.71,3.08,['EconData_course']
RE-7b42db9a,R-e53e6e32,2024,1482.0,16.04,101792.09,0.49,9.68,['EconData_choose']
RE-c6d83d7d,R-0f1c819b,2018,818.31,24.8,89418.61,1.71,8.83,['EconData_already']
RE-8b244746,R-0f1c819b,2019,1749.33,23.15,38780.94,2.88,0.96,['EconData_once']
RE-1476fdbe,R-0f1c819b,2020,270.79,5.56,34668.44,0.94,9.77,['EconData_professor']
RE-b5679c18,R-0f1c819b,2021,169.69,18.95,18639.22,0.98,6.94,['EconData_represent']
RE-952abbe9,R-0f1c819b,2022,546.92,19.93,12091.76,0.6,3.42,['EconData_benefit']
RE-599d3c5d,R-0f1c819b,2023,1206.63,3.24,16471.89,3.73,7.88,['EconData_crime']
RE-90d531b5,R-0f1c819b,2024,1776.79,8.46,110734.84,1.91,5.06,['EconData_result']
RE-c5fafddf,R-6a652975,2018,339.97,20.44,80277.94,1.23,1.63,['EconData_modern']
RE-a5f8f5aa,R-6a652975,2019,660.81,12.82,53612.27,3.21,0.37,['EconData_whatever']
RE-14dd431c,R-6a652975,2020,1392.54,5.49,50860.7,0.12,0.29,['EconData_than']
RE-8ffdc05d,R-6a652975,2021,599.58,19.3,76762.33,3.03,1.05,['EconData_technology']
RE-19dbea50,R-6a652975,2022,435.91,13.02,74655.71,0.5,9.3,['EconData_simply']
RE-238b5662,R-6a652975,2023,795.29,20.25,81955.36,2.06,2.58,['EconData_forget']
RE-f525f6ae,R-6a652975,2024,1612.03,12.71,16192.57,1.3,9.49,['EconData_police']
RE-52250a25,R-dd0fcfe8,2018,1260.1,10.13,28144.64,2.09,0.58,['EconData_physical']
RE-f45bf056,R-dd0fcfe8,2019,273.56,15.73,42314.16,2.94,5.95,['EconData_effect']
RE-9500974d,R-dd0fcfe8,2020,1994.25,21.09,91723.89,0.18,6.17,['EconData_phone']
RE-c6704026,R-dd0fcfe8,2021,652.99,11.63,47721.61,2.62,7.19,['EconData_bar']
RE-508b4ae7,R-dd0fcfe8,2022,1784.13,20.28,13784.99,3.49,9.9,['EconData_student']
RE-312083f4,R-dd0fcfe8,2023,1453.29,9.9,54181.93,3.37,3.32,['EconData_plant']
RE-90b98620,R-dd0fcfe8,2024,1569.19,19.26,72200.92,2.05,3.83,['EconData_area']
RE-585c9479,R-a6259ae7,2018,798.97,17.06,25228.04,2.48,9.82,['EconData_yourself']
RE-b9f66572,R-a6259ae7,2019,1057.84,23.5,64639.47,3.36,8.43,['EconData_account']
RE-ae5e3b63,R-a6259ae7,2020,234.99,14.61,65446.92,3.47,8.59,['EconData_sing']
RE-3f01253f,R-a6259ae7,2021,1308.34,18.79,56725.7,3.95,2.89,['EconData_worker']
RE-90dc3a81,R-a6259ae7,2022,976.75,14.83,65781.62,2.23,5.72,['EconData_spring']
RE-d544521a,R-a6259ae7,2023,311.79,16.36,75298.32,1.09,0.54,['EconData_tend']
RE-1c7c5d7b,R-a6259ae7,2024,1228.54,2.39,51275.86,0.43,7.74,['EconData_bill']
RE-9775c045,R-d3d42064,2018,1014.35,17.02,86334.35,2.24,3.21,['EconData_you']
RE-04b5579f,R-d3d42064,2019,1670.95,2.9,19574.79,2.78,9.31,['EconData_better']
RE-ed1cfb9c,R-d3d42064,2020,929.63,24.74,46604.72,2.79,1.47,['EconData_case']
RE-c4c9e86b,R-d3d42064,2021,756.13,15.47,79458.42,1.94,5.3,['EconData_music']
RE-22a85d89,R-d3d42064,2022,12.84,8.6,85060.99,1.63,2.81,['EconData_exist']
RE-10b8b146,R-d3d42064,2023,615.89,19.08,88885.15,0.23,4.98,['EconData_soldier']
RE-0082885a,R-d3d42064,2024,419.46,19.98,38024.47,3.79,4.67,['EconData_arm']
RE-f7722a5a,R-7eb18c72,2018,416.26,2.86,107964.95,0.92,2.65,['EconData_start']
RE-4210294c,R-7eb18c72,2019,1318.84,5.91,10180.69,3.62,0.37,['EconData_billion']
RE-8160b497,R-7eb18c72,2020,833.73,0.62,35828.08,2.99,3.38,['EconData_teach']
RE-0fc26bd8,R-7eb18c72,2021,507.78,11.69,36284.59,1.97,0.14,['EconData_shake']
RE-5e9686f5,R-7eb18c72,2022,670.47,0.4,36396.24,0.51,0.42,['EconData_mission']
RE-e58dfbbd,R-7eb18c72,2023,1878.43,24.55,43931.67,1.88,9.44,['EconData_challenge']
RE-204ad200,R-7eb18c72,2024,358.74,12.19,35096.99,1.11,3.36,['EconData_tough']
RE-bcf750c3,R-57d90026,2018,1468.77,3.54,77007.15,0.88,4.78,['EconData_doctor']
RE-7e2848db,R-57d90026,2019,1425.23,20.17,96968.86,3.57,7.49,['EconData_ever']
RE-3d99f3da,R-57d90026,2020,894.33,2.65,88192.56,2.0,8.15,['EconData_score']
RE-de4da8b2,R-57d90026,2021,1600.29,9.82,103134.95,0.55,5.58,['EconData_ever']
RE-ef8c35f8,R-57d90026,2022,524.61,6.65,85248.72,3.79,3.72,['EconData_increase']
RE-a267662a,R-57d90026,2023,162.52,6.75,60361.33,0.3,9.77,['EconData_shake']
RE-fce20b5f,R-57d90026,2024,642.51,22.99,109201.4,1.05,0.59,['EconData_moment']
RE-7cbd5192,R-f6e72e90,2018,1366.83,2.29,104100.91,1.12,8.62,['EconData_message']
RE-e7a15f07,R-f6e72e90,2019,23.5,14.06,88665.59,0.0,9.84,['EconData_program']
RE-0339e70f,R-f6e72e90,2020,1411.22,18.36,115503.8,3.48,5.59,['EconData_wish']
RE-d074d5f8,R-f6e72e90,2021,1126.69,10.38,74155.16,0.3,9.09,['EconData_scene']
RE-039d2388,R-f6e72e90,2022,1625.76,20.39,38761.15,0.32,6.2,['EconData_production']
RE-6bab40e6,R-f6e72e90,2023,406.65,23.81,40034.27,0.34,2.04,['EconData_stand']
RE-61ca06c2,R-f6e72e90,2024,1451.27,3.08,53167.97,2.85,6.89,['EconData_painting']
RE-3b722c59,R-bb309815,2018,1178.64,16.98,17329.61,3.83,7.18,['EconData_range']
RE-0a3d1131,R-bb309815,2019,1807.7,6.43,49517.48,2.67,0.94,['EconData_history']
RE-ee136c20,R-bb309815,2020,1282.65,22.24,35107.14,1.12,7.12,['EconData_common']
RE-0c55c8d4,R-bb309815,2021,1005.29,18.09,57067.79,2.62,6.76,['EconData_south']
RE-e5d70a58,R-bb309815,2022,161.46,8.57,63328.37,1.18,6.6,['EconData_information']
RE-951b65d6,R-bb309815,2023,687.45,2.33,13731.62,2.87,2.05,['EconData_often']
RE-dc8ccc0c,R-bb309815,2024,583.31,17.37,47549.44,2.2,4.25,['EconData_theory']
RE-ed5c3068,R-bea45acc,2018,1372.54,14.12,42038.23,1.95,8.99,['EconData_sometimes']
RE-2f2ae980,R-bea45acc,2019,1545.5,23.23,13695.42,0.13,7.52,['EconData_yeah']
RE-a3343085,R-bea45acc,2020,1890.31,1.89,64020.33,1.55,6.82,['EconData_per']
RE-8b80cad2,R-bea45acc,2021,1258.27,14.85,92430.29,3.76,4.25,['EconData_yeah']
RE-95382bac,R-bea45acc,2022,394.15,20.23,78296.95,3.91,0.55,['EconData_TV']
RE-f3393107,R-bea45acc,2023,1056.86,17.71,23676.89,0.8,5.28,['EconData_whom']
RE-2c6b69fe,R-bea45acc,2024,1835.38,0.97,90295.22,0.71,5.93,['EconData_animal']
RE-b04879cb,R-f0cad20a,2018,1869.86,19.95,27037.92,1.66,3.88,['EconData_night']
RE-481fface,R-f0cad20a,2019,930.76,4.96,103262.51,1.7,6.55,['EconData_weight']
RE-368c8afb,R-f0cad20a,2020,1115.3,20.63,85849.83,3.52,3.57,['EconData_thing']
RE-12f1a092,R-f0cad20a,2021,985.59,23.45,96506.64,0.4,3.5,['EconData_close']
RE-b7de0dd6,R-f0cad20a,2022,244.11,14.28,14498.58,0.28,5.49,['EconData_very']
RE-b0b6cdff,R-f0cad20a,2023,1470.47,7.68,38812.13,1.27,4.93,['EconData_international']
RE-cf1d8b3b,R-f0cad20a,2024,734.72,10.23,91253.34,1.96,8.89,['EconData_their']
RE-b9292499,R-0681ea8c,2018,970.37,11.56,96368.89,0.06,9.85,['EconData_word']
RE-e2b0cf25,R-0681ea8c,2019,1049.55,9.32,39103.76,0.53,2.61,['EconData_much']
RE-b822ff7a,R-0681ea8c,2020,70.79,21.92,49129.2,3.84,3.8,['EconData_bed']
RE-1cfd2551,R-0681ea8c,2021,1791.97,12.12,116583.43,0.11,8.05,['EconData_table']
RE-0b9a402e,R-0681ea8c,2022,1677.07,12.76,19737.81,1.95,1.77,['EconData_suggest']
RE-eda27166,R-0681ea8c,2023,1613.59,1.26,52350.58,3.09,3.11,['EconData_friend']
RE-767be71d,R-0681ea8c,2024,365.16,5.52,31417.27,3.6,4.33,['EconData_everyone']
RE-7fc02558,R-7c9effa6,2018,150.3,2.14,86199.95,0.93,9.42,['EconData_civil']
RE-40415e28,R-7c9effa6,2019,1900.57,9.58,51083.67,0.16,2.88,['EconData_economy']
RE-b8fc31e7,R-7c9effa6,2020,30.01,15.57,118177.03,2.05,9.18,['EconData_occur']
RE-89cca9bc,R-7c9effa6,2021,1452.26,7.45,64114.23,2.2,1.3,['EconData_couple']
RE-adcdfdf8,R-7c9effa6,2022,1251.76,10.81,11362.46,0.72,2.54,['EconData_pass']
