region_id,name,country,sub_region,population,major_metropolitan_areas,energy_regulatory_body,data_source_references
R-3f6b3e1c,East Jamesside,Kiribati,Florida,3529607,['Whitemouth'],RegBody_enjoy,['Source_two']
R-d7d723d4,South Lindseyside,Bolivia,Arkansas,12848244,['North Sarabury'],RegBody_compare,['Source_investment']
R-0cb5b2ae,Olsonfurt,United Kingdom,Arkansas,12145349,"['South Aaron', 'Bakermouth']",RegBody_feeling,['Source_land']
R-17d75e18,Mooreport,Cuba,Arkansas,8975847,['Lake Leeton'],RegBody_pattern,['Source_me']
R-198e9e79,North Susan,Belgium,Idaho,15515740,"['New Carlosbury', 'Wilsonshire', 'New Brooke']",RegBody_president,['Source_beat']
R-9bdd3734,Sandovalshire,Mali,Massachusetts,4288470,"['Jamesmouth', 'West Randy']",RegBody_remain,['Source_quite']
R-4e8b8037,Stephenland,Algeria,New Jersey,2744095,"['North Amandahaven', 'Davidstad', 'East Mikeburgh']",RegBody_left,['Source_these']
R-e53e6e32,Cherylhaven,Algeria,Texas,9937430,"['Sarahville', 'West Darrell', 'Lake Angelaview']",RegBody_father,['Source_point']
R-0f1c819b,Lake Matthew,Poland,South Dakota,12234457,"['Williamview', 'North Cynthiaview', 'North Matthewberg']",RegBody_public,['Source_everybody']
R-6a652975,Lake Scott,Romania,Nevada,6552134,"['North Charlesberg', 'Port Mikeside', 'South David']",RegBody_foot,['Source_his']
R-dd0fcfe8,West Jasonbury,Papua New Guinea,Connecticut,2433883,['Kimberlychester'],RegBody_pressure,['Source_so']
R-a6259ae7,East Michelle,South Georgia and the South Sandwich Islands,Idaho,7746997,"['Johnsonmouth', 'Phambury']",RegBody_example,['Source_collection']
R-d3d42064,South Monicafort,Cyprus,Illinois,2777374,['Baileybury'],RegBody_dog,['Source_agent']
R-7eb18c72,South Mark,Tonga,California,3489045,"['Michaelhaven', 'Frazierside']",RegBody_glass,['Source_wrong']
R-57d90026,North Natalieview,Christmas Island,Pennsylvania,9427246,"['Benjaminchester', 'Jessicamouth']",RegBody_least,['Source_police']
R-f6e72e90,South Rachelborough,Equatorial Guinea,Arizona,12341736,['Smithside'],RegBody_right,['Source_serve']
R-bb309815,West Ryan,Yemen,Texas,12521212,"['Cindyville', 'Williamchester']",RegBody_general,['Source_interesting']
R-bea45acc,Angelaborough,Italy,Texas,7129889,"['Byrdburgh', 'Richardtown', 'Justinchester']",RegBody_stock,['Source_particularly']
R-f0cad20a,Stevenmouth,Peru,Indiana,9058289,"['Leonburgh', 'West Zacharymouth', 'Port Stephaniebury']",RegBody_remember,['Source_force']
R-0681ea8c,Port James,Anguilla,Arizona,2495870,"['South Cheryl', 'South Robertshire', 'Lake Heather']",RegBody_miss,['Source_instead']
R-7c9effa6,East Diana,Albania,Wisconsin,5842460,"['Port Ronaldburgh', 'Williamsbury', 'South Dennismouth']",RegBody_region,['Source_nice']
R-8b751b5a,Stephaniemouth,New Zealand,Washington,8314491,['Rivasside'],RegBody_like,['Source_watch']
R-39c88911,Lake Michelle,Korea,Kentucky,15610878,"['Port Dana', 'Simsview']",RegBody_less,['Source_bank']
R-944c019e,Jimmymouth,Ghana,Ohio,9157945,"['East Edwardfurt', 'Lake Jason', 'Russellside']",RegBody_man,['Source_just']
R-5998ca70,East Marissafurt,United Kingdom,Wyoming,18788132,['Port Nicoleshire'],RegBody_husband,['Source_me']
R-83b28fdc,West Kennethfurt,Timor-Leste,Nebraska,10981122,['South Jeffrey'],RegBody_least,['Source_mention']
R-fc684011,South Matthewfurt,Saint Kitts and Nevis,Hawaii,7785577,['Calhounside'],RegBody_agreement,['Source_what']
R-78641362,Vargastown,Belize,Tennessee,10684847,"['Taylormouth', 'North Jorge']",RegBody_generation,['Source_development']
R-14e001ec,Murphyfurt,Fiji,Wisconsin,9083893,['Kingland'],RegBody_many,['Source_after']
R-bbebff2b,West Jeffreyland,Slovakia (Slovak Republic),Tennessee,7179409,"['Port Anthonybury', 'Port Andrew', 'East David']",RegBody_relationship,['Source_building']
R-47764717,South Holly,Seychelles,Mississippi,10658837,['New Catherine'],RegBody_small,['Source_serious']
R-edb6a5df,Port Loriport,Botswana,Pennsylvania,16851421,"['West Barbarafurt', 'Davidborough']",RegBody_bag,['Source_person']
R-b9d7f3f5,North Heidi,Gabon,Utah,15496513,['Port Tonyaton'],RegBody_hand,['Source_no']
R-4c26e26c,Stanleyland,Madagascar,Tennessee,8987903,['Alexanderchester'],RegBody_test,['Source_might']
R-9f5e9d89,South Susanmouth,Russian Federation,Georgia,8375445,"['Thompsonhaven', 'Christinaside', 'Marshallshire']",RegBody_executive,['Source_future']
R-4ffbf928,Port Sarah,Fiji,New Hampshire,18936388,"['Port Steven', 'Rogersfort', 'Hunterborough']",RegBody_hear,['Source_subject']
R-8aebf1be,Matthewview,Moldova,Alabama,8916145,"['North John', 'Freemanbury', 'Brewerfort']",RegBody_line,['Source_structure']
R-5a7b3dc2,North Kellyfurt,Puerto Rico,Kansas,19715450,"['Elizabethstad', 'Transtad']",RegBody_large,['Source_skill']
R-4d624965,Michaelmouth,Faroe Islands,Maryland,19680115,"['Jerryborough', 'Davidside']",RegBody_sound,['Source_road']
R-1fecbd7b,East Javier,Liberia,Louisiana,12246585,['Tinaborough'],RegBody_fine,['Source_dream']
R-2c300ce1,Harrytown,Russian Federation,Ohio,4741643,"['West Brandon', 'New Kellyberg', 'Garciatown']",RegBody_painting,['Source_feel']
R-175e8117,Mendozamouth,Colombia,Arkansas,16659643,['Shelleyfort'],RegBody_build,['Source_term']
R-b7bd8394,South Travisshire,Norfolk Island,Utah,1680963,['East Edwardshire'],RegBody_fly,['Source_bed']
R-85214140,North Angela,Israel,Rhode Island,5228503,"['Port Alexandra', 'Kerrport', 'Torreston']",RegBody_poor,['Source_sister']
R-99005516,Port Jaredborough,Estonia,Texas,5468105,"['East Johnside', 'East Aaronmouth', 'Carterbury']",RegBody_fight,['Source_seat']
R-59345c46,Jacquelinemouth,Barbados,Utah,14265337,"['West Kristin', 'South Danny', 'Lake Edward']",RegBody_exactly,['Source_the']
R-0d41e4eb,North Brian,Somalia,Maryland,2231636,"['Scottmouth', 'Hollyview']",RegBody_month,['Source_notice']
R-5ee22269,Kimton,Tuvalu,Nevada,12905018,"['Cassandratown', 'East Suzanneshire', 'Port Emilyview']",RegBody_part,['Source_amount']
R-9bacc603,South April,Kenya,Louisiana,15805148,"['New Ryan', 'Costafort', 'Rickymouth']",RegBody_religious,['Source_book']
R-569bcb65,West Robert,Lithuania,Maine,8536057,"['Cervantesside', 'South Christopherview', 'Darrellfurt']",RegBody_treatment,['Source_my']
R-80169c2c,Lake Mollymouth,Isle of Man,Arkansas,485239,"['New Michael', 'Garrettton', 'West Andrea']",RegBody_within,['Source_field']
R-8e2b4e52,Gilmorefort,British Virgin Islands,Alaska,3943718,"['Lake Eric', 'New Rickybury', 'South Staceyberg']",RegBody_moment,['Source_worker']
R-9fc778d0,Williamview,Israel,New Mexico,18117734,"['Sanchezside', 'South James']",RegBody_place,['Source_movie']
R-9d1cb80c,Port Chad,Sierra Leone,Nebraska,11514394,['Sarahhaven'],RegBody_example,['Source_tend']
R-a157d879,West Jessicashire,Mozambique,Texas,9948230,"['Grimesmouth', 'Reedside']",RegBody_source,['Source_of']
R-6ec8a464,Gibsonmouth,Trinidad and Tobago,Illinois,5406893,"['New Patrick', 'Williamsfort']",RegBody_season,['Source_white']
R-d6427eda,Hughesberg,Lithuania,Arizona,208894,"['New Tammy', 'Mollymouth', 'New Reneetown']",RegBody_seven,['Source_charge']
R-47faec94,Pittsberg,Belarus,New Mexico,8937869,"['Matthewfurt', 'Port Markside', 'Finleyfort']",RegBody_turn,['Source_number']
R-5d85d313,New Caseyport,Denmark,West Virginia,6094562,"['South Tiffanyville', 'Jacksonport', 'North Markton']",RegBody_finally,['Source_her']
R-5c7b66b6,Ryanbury,Marshall Islands,Nebraska,3670554,"['East Gregory', 'Harveybury', 'Durhamberg']",RegBody_each,['Source_main']
R-bd9a2183,Stevetown,United Arab Emirates,New Jersey,10114145,"['Ericaburgh', 'South Sierrashire', 'Daniellechester']",RegBody_road,['Source_enough']
R-284519e5,Bruceborough,Hungary,New Mexico,17134339,"['East Patrickstad', 'Victoriaport', 'Port Dominiqueview']",RegBody_across,['Source_others']
R-6329c1c4,New Julieport,Singapore,Iowa,6774349,['Jefferyborough'],RegBody_pressure,['Source_enough']
R-185542f8,Lake Colton,Niue,Tennessee,12646466,['West Kristinaton'],RegBody_particularly,['Source_his']
R-a3f87308,North Renee,Greece,West Virginia,18198556,"['Thompsonberg', 'Alyssaview', 'West Robin']",RegBody_yet,['Source_meet']
R-2091f3f4,Juliemouth,Spain,Delaware,119189,"['Mccartyberg', 'Port Erica', 'Coffeyside']",RegBody_history,['Source_believe']
R-8e22a48b,Smithside,British Virgin Islands,New Jersey,10976872,"['Emilyview', 'Carsonstad']",RegBody_box,['Source_Republican']
R-70c8e096,South Angel,Turks and Caicos Islands,Oklahoma,753531,['Rosebury'],RegBody_raise,['Source_at']
R-825dd421,Blankenshipport,Pakistan,Nebraska,12279613,"['East Brandonton', 'Wendyville']",RegBody_bill,['Source_easy']
R-058878ff,South Shawn,Paraguay,West Virginia,8134686,['Matthewsberg'],RegBody_value,['Source_join']
R-a070601c,Port Tracychester,Wallis and Futuna,Louisiana,8182309,"['Lake Mitchellmouth', 'Sampsonstad', 'Lake Michaelstad']",RegBody_ask,['Source_information']
R-111aef66,Jamesville,Yemen,New Jersey,2742648,['Lake Jasontown'],RegBody_apply,['Source_stop']
R-c51881a9,Johnberg,Solomon Islands,Oregon,16407133,['North Maria'],RegBody_once,['Source_despite']
R-ef8dbee4,Port Molly,Greenland,Wyoming,17974652,['Port Rachel'],RegBody_able,['Source_factor']
R-29039dee,East Amber,South Georgia and the South Sandwich Islands,Idaho,4408102,"['Lake Michelleberg', 'West Kristybury', 'Alfredview']",RegBody_area,['Source_card']
R-eb86d6dc,Foxland,Lebanon,New Hampshire,16047830,"['Williamville', 'Gordonton', 'Stephentown']",RegBody_ask,['Source_measure']
R-c8522931,Simmonsville,Liechtenstein,Virginia,5640741,"['Jonesland', 'Charleneland']",RegBody_card,['Source_face']
R-9019258d,Oscarhaven,French Polynesia,New Jersey,17805794,"['Garciaville', 'South Shannon', 'South Matthew']",RegBody_long,['Source_inside']
R-c26f98df,Blairmouth,Japan,Massachusetts,14298153,['Nicholasberg'],RegBody_right,['Source_wind']
R-b45d339d,Jonesland,Bermuda,Nevada,18195773,"['Lake Joanneberg', 'New Sueside', 'Elizabethchester']",RegBody_health,['Source_TV']
R-65f80bdb,Parrishton,France,Rhode Island,6849509,"['Michaelshire', 'East Diane', 'Port Daniel']",RegBody_through,['Source_only']
R-07075c2e,Dannyview,Montserrat,Iowa,10559463,"['Bruceside', 'New Sarahview']",RegBody_air,['Source_couple']
R-66d93466,Jacquelineport,Uruguay,Michigan,12629912,"['Adamberg', 'Jonestown']",RegBody_benefit,['Source_skin']
R-426cff89,South Robert,Guam,Hawaii,17466963,"['Larrymouth', 'North Ericton']",RegBody_represent,['Source_beat']
R-b1339728,Scottchester,Libyan Arab Jamahiriya,Rhode Island,4160227,['Perryborough'],RegBody_someone,['Source_music']
R-606cd2ca,West Russellport,Philippines,Utah,7639591,['Roseport'],RegBody_answer,['Source_discussion']
R-b4078017,Joyceton,Albania,Indiana,11444269,['Sierraberg'],RegBody_south,['Source_especially']
R-e5c7735b,Marktown,Luxembourg,West Virginia,19840364,"['Thompsonfurt', 'New Angelica', 'Charleston']",RegBody_least,['Source_after']
R-44f6c236,Morsemouth,Morocco,Nevada,7821369,"['Mckinneychester', 'Dariustown', 'Georgemouth']",RegBody_theory,['Source_road']
R-ad563373,Christopherville,Ecuador,Nevada,7489269,['Warrenfurt'],RegBody_truth,['Source_force']
R-2126d448,Jeffreyburgh,Belarus,North Carolina,2482132,"['New Williamstad', 'Jessicaberg', 'North Dwayne']",RegBody_decade,['Source_consumer']
R-7204d489,Port Katherine,Belarus,Idaho,2075475,['Marshallshire'],RegBody_soon,['Source_particularly']
R-05b8fedb,Maldonadoshire,Norway,South Dakota,2361579,['Michellemouth'],RegBody_city,['Source_less']
R-406d4edb,South Scottport,South Africa,Louisiana,11187340,['West Williamport'],RegBody_main,['Source_live']
R-fddf2da7,North Miguelport,Belarus,Tennessee,17352216,['New Brookefurt'],RegBody_maintain,['Source_partner']
R-7216cc17,South Reginashire,Pakistan,Illinois,9444146,"['Cassidyhaven', 'North Shannon', 'Toniland']",RegBody_mother,['Source_race']
R-598fad30,North John,Kazakhstan,New Hampshire,16387807,['West Nathan'],RegBody_fear,['Source_impact']
R-a850224c,Schroederton,Somalia,South Dakota,18193688,['Cameronville'],RegBody_open,['Source_resource']
R-3247b42e,Mitchellberg,Grenada,Colorado,19261026,"['West Kyle', 'Andersonland', 'Angelicamouth']",RegBody_tax,['Source_care']
R-fbb36ec8,Lake Ellenhaven,Guyana,Alaska,15960207,['Kyleborough'],RegBody_growth,['Source_yourself']
R-3b250403,Leeberg,Cape Verde,California,15970338,"['Meganville', 'Lake Matthewberg']",RegBody_picture,['Source_however']
R-05c9c710,East Henry,Puerto Rico,Wyoming,6489096,['Lake Samuel'],RegBody_item,['Source_his']
R-8292eb21,South Cheryl,Sao Tome and Principe,West Virginia,3352458,"['Youngbury', 'Tammyfort', 'West Erika']",RegBody_own,['Source_let']
R-49737733,Hammondfurt,Macao,North Dakota,14563677,"['Burchborough', 'Port John']",RegBody_put,['Source_medical']
R-8300a661,Angelaville,Rwanda,North Dakota,14312940,"['West Christopherburgh', 'Shannonhaven']",RegBody_choice,['Source_then']
R-99a2d752,Davisbury,Svalbard & Jan Mayen Islands,New Hampshire,15770747,"['Sarahchester', 'South Waynebury', 'Vangstad']",RegBody_door,['Source_ahead']
R-621c178e,Sarahmouth,Somalia,Georgia,1917683,"['North Justin', 'Hortonberg', 'Westtown']",RegBody_western,['Source_base']
R-b3f2f299,West Jasonberg,Mexico,Washington,3402355,['Rodriguezport'],RegBody_economy,['Source_fish']
R-26367c65,North Johnmouth,Bahrain,Delaware,13609728,"['Carlsontown', 'Lake Douglas', 'Smithstad']",RegBody_effect,['Source_own']
R-19a3d851,Lopezland,Malta,Mississippi,11485106,['New Amyhaven'],RegBody_once,['Source_again']
R-a08d300e,Markston,North Macedonia,Missouri,8443522,['Jontown'],RegBody_heavy,['Source_story']
R-24d2b364,West Johnville,Sierra Leone,Pennsylvania,6482351,"['Dennisstad', 'Lisaburgh', 'Pollardfort']",RegBody_program,['Source_court']
R-f4c5b4ee,North Jennifer,Western Sahara,New Jersey,15152972,['West Jamesborough'],RegBody_various,['Source_analysis']
R-dfe7f875,Sarahhaven,Indonesia,Ohio,14255998,['Kingborough'],RegBody_feeling,['Source_heavy']
R-d487d1c6,Port Dianaview,British Virgin Islands,Mississippi,9446424,"['Prestonmouth', 'Morganburgh']",RegBody_model,['Source_role']
R-ef6ff778,Richardsonhaven,Ethiopia,Colorado,8482113,['Millerburgh'],RegBody_offer,['Source_finally']
R-dc88e7c0,Curtismouth,Panama,Maine,14969000,"['Seanchester', 'Lake Scott', 'Williamsstad']",RegBody_possible,['Source_learn']
R-09ac51d0,Danielleton,Belarus,Texas,3385271,['Coxburgh'],RegBody_allow,['Source_character']
R-dbce3f17,Johnsonland,Dominica,Wyoming,18239121,['Michaelshire'],RegBody_alone,['Source_point']
R-ab6f1088,Lake Shannon,Heard Island and McDonald Islands,Mississippi,3229379,['Hinesshire'],RegBody_certain,['Source_next']
R-a914a245,Raymondview,Egypt,Delaware,5680474,"['Lake Jacobhaven', 'Mcintyreville']",RegBody_everybody,['Source_stage']
R-698357d7,Janeborough,New Zealand,Maine,16395412,"['Gonzalezberg', 'South Geraldmouth']",RegBody_begin,['Source_take']
R-422befe3,Elizabethland,Mexico,Ohio,7272169,"['Patriciaburgh', 'Port Michael']",RegBody_door,['Source_campaign']
R-77a44626,Port Dominic,Somalia,New York,2067477,['West Angelastad'],RegBody_manage,['Source_suggest']
R-304a4c7f,New Nicole,Bahrain,Maryland,12816227,['Keyfort'],RegBody_never,['Source_item']
R-78dea8a6,Morrowland,Brunei Darussalam,Massachusetts,13200380,"['South Stevenhaven', 'Davidside']",RegBody_push,['Source_people']
R-a44eabd5,Port Tammy,Jersey,North Carolina,15367547,"['Port Davidberg', 'Fredmouth']",RegBody_worry,['Source_security']
R-43552ae9,West Stacey,Maldives,Maine,14293775,"['West Jamesside', 'Davidport', 'New Danielleshire']",RegBody_year,['Source_partner']
R-01d7e687,East Donna,Saint Helena,Rhode Island,18748490,"['Meganshire', 'Port Michelleland', 'Lake Kelliview']",RegBody_rather,['Source_develop']
R-d07395e6,Montgomerytown,Luxembourg,South Dakota,16429982,['Dawnport'],RegBody_meeting,['Source_election']
R-4b9d37c1,Evansland,Portugal,Arkansas,6471915,"['South Robert', 'Harrisberg']",RegBody_form,['Source_training']
R-436b0a2d,Jessicastad,Iran,Florida,7404829,['Zacharyville'],RegBody_from,['Source_effort']
R-260d10b7,Martinezmouth,Egypt,Georgia,19534065,"['North Kellyfurt', 'Wrightburgh', 'Sarahmouth']",RegBody_customer,['Source_source']
R-73728750,South Wendy,Lao People's Democratic Republic,New York,18293052,['Tylerland'],RegBody_you,['Source_increase']
R-b89827af,Levyborough,Myanmar,Minnesota,10622831,['North Juanfort'],RegBody_feeling,['Source_not']
R-cecdf9dd,Port Danielberg,Turkmenistan,Kentucky,1782497,"['Kathrynstad', 'South Brettside', 'West Angela']",RegBody_back,['Source_imagine']
R-7fb7c420,Duranview,Sweden,South Carolina,16098367,"['East Theresafurt', 'Lauramouth', 'Kariborough']",RegBody_play,['Source_Mr']
R-6d9f2afc,Porterton,Argentina,Florida,17921635,['Lindahaven'],RegBody_loss,['Source_church']
R-5a6e0a3d,West Sarah,Ghana,Hawaii,2008561,"['Ewingport', 'Williamhaven', 'Ericksonport']",RegBody_may,['Source_team']
R-c93ff991,West Markville,Israel,Pennsylvania,2788094,['Lauratown'],RegBody_picture,['Source_matter']
R-89914391,Tammyshire,Morocco,Iowa,2399194,"['New Timothyhaven', 'Hernandezbury', 'New Stacyville']",RegBody_cut,['Source_after']
R-8e2f74c7,Edwardsberg,Isle of Man,Vermont,2380388,"['South Warren', 'Salaston', 'New Jared']",RegBody_garden,['Source_recognize']
R-8921e0cd,Foxmouth,Zimbabwe,Idaho,7992133,"['Barrmouth', 'Ericaview']",RegBody_poor,['Source_member']
R-5f667e26,East Joshua,French Southern Territories,Iowa,4122727,"['Kellieborough', 'Stewartstad', 'Keithshire']",RegBody_require,['Source_of']
R-96963b34,Huangfurt,Svalbard & Jan Mayen Islands,Minnesota,8361616,"['West Bobby', 'West Sandraview', 'Lewisside']",RegBody_experience,['Source_worker']
R-60acca8e,Derrickshire,Dominican Republic,Kansas,1433508,"['Lake Rebeccabury', 'North Craig', 'Jenniferville']",RegBody_responsibility,['Source_spend']
R-740ea7ff,North Tamara,Vanuatu,Hawaii,2850906,"['Delgadofort', 'Santosport']",RegBody_full,['Source_feeling']
R-cb827721,Port Christophershire,Djibouti,Ohio,19684792,"['East Robertburgh', 'Port Randyfort', 'Lake Suzanne']",RegBody_with,['Source_figure']
R-3ae39359,North Kennethville,Vanuatu,Michigan,17641677,"['Shawnside', 'Smallberg']",RegBody_today,['Source_mother']
R-3d357913,Nelsonville,Greenland,Hawaii,8849844,['Wongburgh'],RegBody_address,['Source_since']
R-764379f5,Krystalshire,Peru,Wisconsin,10642261,['East Cheryl'],RegBody_purpose,['Source_watch']
R-c018a70c,Wilcoxhaven,Greece,Colorado,9012544,"['Caldwellburgh', 'South Marcus']",RegBody_energy,['Source_according']
R-2af17ae3,Patrickmouth,Sao Tome and Principe,Louisiana,4491546,"['Kevinshire', 'West Desireebury', 'Lake Davidport']",RegBody_collection,['Source_into']
R-1fff4448,Hannahport,Heard Island and McDonald Islands,South Carolina,10166231,"['East Susan', 'Hernandezstad']",RegBody_just,['Source_science']
R-cf1e204c,Toddborough,Serbia,Kansas,10709146,['New Seanstad'],RegBody_bank,['Source_whose']
R-f7223355,North Mariahaven,Cook Islands,Oregon,412574,"['East Mark', 'Wilsonborough']",RegBody_series,['Source_past']
R-0d3d8b40,Davishaven,Kiribati,Arkansas,18990931,['Andersonchester'],RegBody_loss,['Source_organization']
R-15bd726e,New Stevenport,Saint Kitts and Nevis,Alaska,2558221,"['Scotttown', 'New Charles', 'Cooperland']",RegBody_number,['Source_as']
R-14fc0f93,South Anthonychester,Cocos (Keeling) Islands,Wyoming,7252271,"['Port Darlene', 'Brooksfurt', 'Kanefurt']",RegBody_how,['Source_be']
R-f033294b,Lake Michelle,British Indian Ocean Territory (Chagos Archipelago),Idaho,8998649,['Ricebury'],RegBody_they,['Source_about']
R-a2901103,West Stevenside,Jamaica,Ohio,11810793,['Morrowbury'],RegBody_magazine,['Source_half']
R-5fd348ee,West Jacob,Turkey,Washington,8296824,"['North Lisachester', 'East Jamieville']",RegBody_phone,['Source_along']
R-337fd5d6,Harperton,Ecuador,West Virginia,9662590,['South Scottside'],RegBody_director,['Source_somebody']
R-10f215c4,East Williamport,Djibouti,Washington,14803034,"['Barbaramouth', 'West Nancy', 'South Kevin']",RegBody_ask,['Source_onto']
R-8fff68c6,Lake Erika,Moldova,New York,10250790,"['West Shellyfurt', 'Heatherchester', 'West Nicholas']",RegBody_somebody,['Source_note']
R-d0092a7e,Allenbury,French Southern Territories,Virginia,17848304,['Port Steven'],RegBody_article,['Source_or']
R-1f3d3201,Faulknerside,Marshall Islands,Florida,18709364,"['Sanchezborough', 'Deborahmouth']",RegBody_throw,['Source_hospital']
R-a089ebc2,New Jennyborough,Austria,Louisiana,3575786,['Nunezton'],RegBody_TV,['Source_baby']
R-50de8659,Port Kathleen,Saint Kitts and Nevis,Texas,8974003,['South Jason'],RegBody_what,['Source_go']
R-c7da4ac7,Susantown,Croatia,Illinois,3691531,"['Lake Yvonnefort', 'Lake Cassandra', 'South Rose']",RegBody_old,['Source_fund']
R-dc66f8d4,Oscarside,Pakistan,Minnesota,18663105,['Josehaven'],RegBody_us,['Source_modern']
R-97fccb23,Garciafort,Senegal,Massachusetts,9238489,"['West Lawrence', 'New Michelleberg']",RegBody_admit,['Source_every']
R-fbdbea25,Phillipsborough,Greenland,Iowa,7167558,"['Hudsonbury', 'Piercemouth', 'Kathrynfort']",RegBody_several,['Source_quality']
R-33e53993,Murraystad,Chile,Florida,11605153,['Whiteside'],RegBody_quality,['Source_artist']
R-661c563b,Port Melanieton,Serbia,Alabama,8957829,"['Taylorbury', 'Lake Edwardborough', 'Brooksfort']",RegBody_receive,['Source_method']
R-e0d950fe,North Amandachester,American Samoa,Alaska,16492408,"['Amandaport', 'New Lisachester']",RegBody_sure,['Source_yard']
R-342f8454,North Samantha,Malta,Georgia,1804528,['East Christine'],RegBody_entire,['Source_teacher']
R-9e45362a,Josephfurt,Belgium,Mississippi,14312844,"['Stevensbury', 'West Gabriella']",RegBody_thus,['Source_be']
R-ca156c4e,North Richardfurt,Micronesia,New Mexico,1579306,['Lake Albertburgh'],RegBody_beautiful,['Source_money']
R-f9778880,Newmanmouth,Mongolia,Connecticut,11292300,['East Jasonshire'],RegBody_may,['Source_experience']
R-63dee4cd,North Gabrielleview,United Arab Emirates,Ohio,8889760,['East Sarahmouth'],RegBody_admit,['Source_despite']
R-9c0e1048,Port Lori,Swaziland,Montana,14925539,"['West Franciscobury', 'Rhodesside', 'Patrickberg']",RegBody_street,['Source_risk']
R-fbf5a618,New Juliestad,Austria,Connecticut,14450791,"['Hallland', 'Cassiefurt', 'Anthonyview']",RegBody_step,['Source_little']
R-093f42e3,Perezside,Wallis and Futuna,Missouri,424461,['Lopezshire'],RegBody_recent,['Source_husband']
R-288ec666,Port Christinebury,Rwanda,California,2624764,"['West Ericberg', 'Stewartville', 'North Sherrymouth']",RegBody_here,['Source_sort']
R-1a2e0446,Curtisland,Colombia,Nevada,5101431,"['Hawkinshaven', 'Garcialand', 'Angelamouth']",RegBody_treat,['Source_image']
R-c231ce4f,West Robertland,Saint Kitts and Nevis,Oklahoma,1308903,"['New Adriana', 'Jacksonview']",RegBody_fish,['Source_executive']
R-376b0f5f,Thomasburgh,Jordan,Louisiana,19645777,"['Evansland', 'Johnathanbury', 'Wheelerborough']",RegBody_lot,['Source_both']
R-0d8c6759,West Adam,Indonesia,Michigan,5069202,"['Brockmouth', 'Cookberg']",RegBody_first,['Source_full']
R-bc2c6466,South Leon,Indonesia,Massachusetts,4376362,['Jessicafort'],RegBody_parent,['Source_station']
R-1fd44718,West Nicholas,Svalbard & Jan Mayen Islands,Montana,10443433,"['Danielshire', 'New Wendy']",RegBody_couple,['Source_rest']
R-d4157c4c,Lake Stevenborough,Kazakhstan,Maine,1438649,"['Port Melaniechester', 'Taylorport']",RegBody_effort,['Source_entire']
R-f369ddb6,Lake Rodney,Honduras,California,7148998,"['Ewingfort', 'Fergusonchester', 'Port Tanyaside']",RegBody_phone,['Source_pull']
R-0dca526f,North Kaylastad,Chad,Tennessee,8472828,"['New Tonyafurt', 'Tammychester', 'North Coreybury']",RegBody_Mrs,['Source_skin']
R-56828cfd,South Neil,Kyrgyz Republic,Wyoming,3549181,"['West Whitney', 'Garciachester']",RegBody_wife,['Source_bed']
R-3b89d227,Port Sheliaberg,Guernsey,Maryland,18886573,"['Stanleyborough', 'Baileyville']",RegBody_left,['Source_seven']
