td_profile_id,market_id,total_line_miles,substation_count,avg_system_voltage_kv,planned_upgrades_count,projected_load_growth_pct,reliability_metric_sadi,distribution_automation_index
TD-365ae077,M-8cbe9c41,87734.34,3061,87.27,33,1.81,3.45,4.59
TD-d209c9ac,M-2d391598,20440.82,4340,95.56,18,2.54,3.56,9.47
TD-a1d9a2c7,M-54364054,98505.92,1180,394.54,12,2.5,3.79,1.56
TD-ce61211d,M-543bc987,5704.42,4649,359.3,17,1.92,3.73,3.95
TD-1c7761e1,M-5dbb024c,40080.08,3648,38.49,12,2.33,1.49,1.41
TD-ed48c2fa,M-d7094a6a,86302.95,4262,232.1,0,1.01,4.95,8.83
TD-0823fd2a,M-c7901f79,82561.59,222,416.74,3,4.51,3.74,5.18
TD-1f6ec274,M-0f22bd6e,50387.64,2199,92.08,16,3.98,4.41,2.04
TD-eb329e2c,M-dd17601e,99285.84,1741,230.48,28,3.54,2.21,9.47
TD-6e8c3f31,M-3b76123e,50999.93,4426,315.65,31,3.76,3.37,6.97
TD-0731701b,M-9f8dbe74,38180.94,2749,331.93,16,3.23,1.79,4.35
TD-01af09f4,M-a17da19b,91606.52,1091,44.22,23,4.63,1.76,7.15
TD-251b28c0,M-8bf74760,5294.66,1539,100.98,39,2.16,4.4,9.08
TD-2cd49800,M-695119c0,93059.79,3066,56.31,41,4.86,4.44,0.77
TD-bb8bbaa1,M-f6f0cf41,89902.31,2391,215.83,30,2.05,4.55,7.15
TD-3326354f,M-e66833a8,89468.23,492,285.6,3,1.48,2.86,5.1
TD-72c76b63,M-2d614002,63928.34,293,166.49,40,0.81,1.77,2.72
TD-1192f562,M-6738fd50,6481.05,3324,212.78,32,2.03,3.59,8.34
TD-ef580bb2,M-b2557679,19174.12,845,161.16,41,1.48,1.9,3.2
TD-e7424ac4,M-c93a5774,50618.02,1615,52.64,40,0.55,4.65,5.16
TD-9f782786,M-52dfc7db,31844.34,2309,241.93,31,4.28,2.53,2.62
TD-2b29465f,M-e0e868b8,9211.93,4983,50.37,29,4.06,3.46,4.05
TD-02fb963e,M-698d5911,60670.3,4578,334.61,13,2.68,0.96,0.93
TD-f0bfb890,M-499348dd,36644.78,3189,231.14,33,4.9,1.01,5.69
TD-4aa84a0f,M-be2cd154,47055.28,3158,237.8,37,3.81,2.85,6.64
TD-887e5e63,M-f2882440,16067.15,538,255.52,2,3.74,4.39,3.33
TD-f4288d4a,M-8fbc11f9,97906.17,1699,208.09,16,2.1,2.93,5.88
TD-4f220367,M-ef95db30,42256.0,3603,362.51,34,2.16,2.14,2.39
TD-dd05ec98,M-07b6174a,24821.77,4861,392.81,32,1.23,1.22,4.0
TD-549d662c,M-1dff21fa,14288.42,3835,455.83,44,2.67,3.02,0.67
TD-24831296,M-4c77fa59,33092.06,2193,466.86,27,2.97,3.22,2.08
TD-f88b88fb,M-5d90d649,81497.25,1659,36.02,50,2.82,1.42,9.01
TD-dfa5d824,M-53d3113d,46256.39,3924,385.09,27,3.17,4.15,2.22
TD-c033d8ad,M-0e2c9c15,31733.91,3040,411.74,45,0.78,1.94,8.75
TD-b33b3b3a,M-a604ddd7,37124.61,2457,232.16,15,0.52,2.95,8.18
TD-2af493a6,M-1ca90bd5,94143.55,63,282.92,36,4.66,1.06,7.22
TD-c5a86eda,M-4acdeb60,896.48,3742,390.5,14,3.0,3.72,1.67
TD-96323099,M-a744510c,48429.65,3893,252.09,47,4.78,1.02,8.79
TD-f271b0fc,M-091fbc81,50176.14,1149,181.99,44,3.8,3.44,9.22
TD-2820a2ed,M-adabedb4,19922.11,4937,61.71,28,4.58,1.16,0.48
TD-0d01dea9,M-681bcaa4,14241.45,2283,98.76,18,3.54,2.7,8.88
TD-7604fa97,M-953bf962,96434.77,2858,378.05,30,4.32,3.61,4.47
TD-2a55affd,M-e1e7eb86,47018.14,3500,469.49,43,3.11,3.34,1.08
TD-38339bf9,M-895c9966,36539.98,4997,235.91,49,2.29,3.96,4.07
TD-ea4988fb,M-a75b0fb3,4165.12,4993,370.84,24,2.86,1.56,2.88
TD-26771b15,M-32379237,26674.82,144,320.2,23,1.19,4.71,8.4
TD-ecc3d139,M-b33b1228,94503.15,3112,351.56,23,1.38,2.57,2.0
TD-1296d221,M-cd2dd21a,69486.3,1042,424.25,37,0.84,1.66,9.84
TD-e2f01005,M-7be77359,70371.7,3758,42.92,44,1.78,3.52,4.21
TD-71870d2e,M-8591a79c,76250.08,2741,263.16,40,3.14,0.87,9.45
TD-8bd6575b,M-71f37738,3810.47,788,53.48,25,3.69,4.59,4.19
TD-e9adc15f,M-0561ec79,3169.93,268,95.83,22,3.02,3.73,6.69
TD-29e38985,M-88903a99,84485.08,2755,312.21,35,4.63,1.41,3.19
TD-05bcb0ce,M-3bb0240f,50809.25,1696,200.26,5,3.2,0.99,5.7
TD-04a5821a,M-a6078d90,47252.17,748,415.1,24,1.59,4.53,5.05
TD-01e3d3ed,M-983b7cb7,41375.44,3174,431.38,43,4.24,4.16,0.23
TD-ae094bda,M-af339913,20846.08,4054,356.48,42,2.33,2.14,7.79
TD-25767fbd,M-66faef1f,14284.5,3219,284.59,16,4.36,3.17,1.66
TD-dc3758ff,M-2efe2269,72088.36,1053,168.48,2,4.15,3.6,7.35
TD-b6b93ae1,M-78f21383,65817.11,171,288.03,42,0.72,1.87,7.46
TD-28a31159,M-73339061,79012.08,2619,73.17,1,3.02,2.02,2.08
TD-e53d5f66,M-e14f07b2,14409.76,939,220.1,41,1.41,0.76,6.45
TD-c0b06150,M-8523af76,72576.55,1921,182.57,26,4.3,4.59,3.81
TD-958c47ad,M-49f0a33e,71305.56,1645,412.12,5,4.58,0.76,0.38
TD-12b28911,M-1e18dd3e,5336.28,4876,307.9,4,2.99,2.84,7.27
TD-2fa1a5fc,M-618ca280,80973.27,2538,431.63,34,4.85,1.28,6.44
TD-c50386fb,M-fb8e79ab,94840.7,2752,359.44,17,0.79,2.95,9.43
TD-2cac8422,M-bef20d74,75624.22,415,323.3,14,0.72,1.68,2.21
TD-3059906e,M-d0adc6a2,44403.8,3480,74.34,49,2.38,1.27,9.16
TD-19f9d479,M-359ebf3c,2570.78,675,98.53,8,3.53,2.43,0.67
TD-0c5f9715,M-b7a93c15,85319.65,4687,174.55,29,4.52,4.92,7.69
TD-c56aec49,M-c87e4415,84695.74,2847,458.61,14,0.83,4.23,9.98
TD-2cd6bed9,M-9d7bedc1,3729.95,2858,350.97,13,3.53,3.84,0.08
TD-3f6c61cc,M-7a56bd13,61326.01,4074,467.25,38,2.52,2.77,9.79
TD-6a5ba8b6,M-e227c14e,9556.98,4789,494.13,47,1.89,3.5,6.06
TD-ca28b11c,M-571ad44d,47489.65,3344,375.52,22,3.41,3.91,1.04
TD-bb8213fd,M-3886ada2,81248.22,3500,256.66,6,2.79,2.65,8.7
TD-388374c2,M-97e6afbf,12614.0,4349,286.44,13,2.34,1.56,5.45
TD-b0f91437,M-cf78ac61,90614.6,2929,44.48,46,3.45,4.46,7.82
TD-6ee0e6eb,M-f39ef012,16230.36,3290,113.28,10,1.33,2.45,4.44
TD-661f6e8a,M-de1f4917,83097.17,4218,38.23,44,3.6,2.51,3.97
TD-2cdcca2d,M-3ff11f2c,94965.28,2662,111.93,35,4.63,3.21,8.92
TD-795ddb37,M-2ccba9c5,53823.79,4991,33.32,18,3.11,1.59,3.18
TD-c3453051,M-6ce26b99,53592.52,1111,184.06,39,2.64,2.59,4.34
TD-73cee885,M-0d9d735d,97455.7,4064,210.54,1,2.97,1.35,5.57
TD-a9a68d0a,M-f3314018,95963.24,4360,44.51,1,4.66,4.63,9.41
TD-b127b8e3,M-ac814b03,29161.79,3612,84.07,49,2.24,2.67,5.83
TD-558e1c4d,M-fea77d9f,57208.55,1140,308.64,22,4.4,2.08,0.93
TD-27c2c379,M-b9e31290,53334.4,658,335.75,19,2.87,0.68,8.73
TD-ea2c9b15,M-bc6e9d53,36169.99,358,35.04,38,1.33,1.71,7.04
TD-e1ff619c,M-dac3617f,18176.61,3664,295.07,31,2.07,2.58,0.5
TD-ee2fd571,M-a243a3fd,23368.16,137,394.43,37,1.38,1.06,7.31
TD-4e4dd77c,M-d7aa5234,15077.56,109,62.8,32,2.26,3.32,4.93
TD-d32c5caf,M-b8395709,17174.44,189,220.5,41,3.2,1.17,1.81
TD-3b4d800c,M-3d47dd1e,22783.49,1549,223.57,13,4.19,3.35,0.16
TD-20186f0d,M-b6e689c3,16898.0,343,39.37,31,3.38,0.59,1.36
TD-e38e3653,M-92790223,26241.76,1416,455.49,41,3.7,1.13,7.02
TD-916cd2b3,M-5b92b0f3,57464.35,2978,144.71,50,3.81,1.8,0.25
TD-ce2032c4,M-415bd7d0,80916.35,4054,445.89,44,0.91,3.39,2.77
TD-f1edaf60,M-b5821dc0,39163.72,4896,204.61,26,3.55,4.59,2.56
TD-05fe3f10,M-a425a04c,72064.07,4447,454.8,50,1.44,3.41,2.53
TD-1d6e6179,M-f3c205f2,37330.5,2084,187.25,4,1.76,3.45,8.96
TD-8c842c07,M-5f6e32fe,97520.79,3432,198.29,32,1.39,3.86,2.68
TD-2b213e14,M-f94b6abf,19910.08,2431,295.25,14,3.48,4.67,6.55
TD-27f7e1bb,M-b2cf476a,94475.53,1311,432.13,31,1.47,4.9,8.3
TD-fd4e4e01,M-6c8fc7bc,51806.76,1969,105.04,42,4.15,2.63,5.25
TD-45ccc9ec,M-2bd56758,557.08,4161,453.81,18,1.6,3.98,6.5
TD-1e63f9e3,M-7c994297,77168.21,4998,294.92,42,4.23,1.63,2.44
TD-2e166420,M-acf6e18c,97542.14,3528,498.51,44,2.02,2.91,3.56
TD-e3252121,M-ac53985a,76339.58,2504,182.03,3,2.13,3.74,5.96
TD-74237266,M-a6507336,53247.97,3285,249.45,46,4.2,0.73,1.97
TD-cb9918b8,M-9906b6ea,17304.31,4944,387.21,36,0.71,2.6,2.27
TD-0551ea79,M-d75baa23,73856.57,1163,427.4,37,1.92,3.36,9.22
TD-1056eb3e,M-a08cf441,66728.74,40,145.87,1,0.79,1.12,5.59
TD-55671e68,M-a5f33221,35181.29,2903,50.96,8,3.6,3.36,3.0
TD-7f83ae64,M-8c016b44,34415.32,1516,481.05,6,1.9,2.05,8.85
TD-4d482196,M-3dd0e62c,14012.99,3802,311.62,49,3.58,3.53,2.33
TD-902849d2,M-84dda1da,22457.31,4027,322.75,48,1.99,0.85,7.22
TD-669e0f1b,M-0721df4a,90574.2,915,99.42,42,2.09,0.63,9.94
TD-68b2b8ec,M-4a9477d0,16770.3,2933,119.23,29,4.18,1.17,4.34
TD-e2be813d,M-b7cc4246,67596.84,1501,409.46,22,1.0,0.73,3.63
TD-271e1ea8,M-57e53b5a,22422.1,1577,291.72,43,2.08,1.82,9.55
TD-8db8ed34,M-58831473,26028.45,3534,489.17,38,4.21,3.32,5.85
TD-179a183f,M-04905d41,32485.48,643,255.59,19,2.05,2.11,7.56
TD-849da7be,M-1d7a7c89,22069.96,3718,359.22,48,2.38,2.63,5.44
TD-711b71f3,M-ab6e0147,10854.59,3733,126.3,28,1.63,0.93,8.43
TD-37b9531c,M-20f2be60,84601.02,2601,420.82,23,4.83,3.74,7.62
TD-2369d823,M-6bdc30f8,74741.64,3485,153.17,6,1.28,2.41,5.14
TD-3bcd8e59,M-8dcf1dc8,52619.33,4188,488.66,41,2.49,1.22,5.89
TD-da02970b,M-e3a58601,93297.64,3473,299.67,5,3.22,2.44,0.2
TD-0d3d9603,M-9a18f56e,84423.83,4897,189.92,4,2.46,2.72,0.59
TD-df211722,M-f3eeb557,33625.13,2703,369.76,37,2.93,4.63,1.25
TD-5fa3d64f,M-3bb92bab,67750.24,3431,238.81,43,4.12,4.76,9.52
TD-00102691,M-ffa06671,21609.77,1878,419.58,33,4.64,2.89,0.38
TD-fe983b70,M-04e7cf5e,50257.97,741,340.09,41,1.19,1.15,6.08
TD-876c9e30,M-240617a6,24304.93,2440,204.05,43,1.15,1.29,7.22
TD-66a52fee,M-a53f31f0,10795.99,2092,94.88,23,3.95,2.49,4.67
TD-4707b24a,M-1920312c,60677.22,524,84.46,21,1.82,0.61,2.85
TD-ae844f9a,M-68d1a130,25950.2,697,276.46,45,1.41,1.85,4.36
TD-3e70b7b3,M-14191145,61542.2,1844,460.47,5,4.49,3.59,8.56
TD-7e9a342c,M-64620b87,66480.8,4795,258.94,7,3.55,0.98,0.16
TD-4ef88a45,M-543c9564,14793.03,4789,86.56,43,4.71,3.22,3.9
TD-564e78f8,M-b898b8f4,78247.7,2784,410.76,28,1.46,1.23,1.12
TD-9d9f6791,M-ef57d20f,42793.34,684,380.28,46,2.77,1.53,6.19
TD-e0899fcc,M-a2670050,15757.42,4864,289.82,25,3.05,0.84,3.22
TD-2965243b,M-7f4b174c,21861.34,3773,236.21,30,1.01,0.62,1.37
TD-a35535a2,M-fda5899b,51433.09,3697,260.58,28,3.4,2.06,5.95
TD-10779216,M-2ed8a9da,61913.17,664,207.27,12,0.75,1.73,0.51
TD-ed933786,M-0e3f6d3b,80905.56,1455,35.75,49,3.41,3.84,5.21
TD-517775b9,M-7042f08a,56090.09,4547,319.23,13,3.85,1.89,3.46
TD-19a01ee9,M-e0e99f4d,5623.49,4870,180.67,25,2.54,2.28,2.38
TD-54882a76,M-aaf2e5d6,77933.23,2230,36.97,49,3.73,1.43,4.08
TD-ab5b6e31,M-cd4e46eb,69008.39,2851,171.98,4,2.91,3.76,2.4
TD-82ebd283,M-8ff82434,42454.02,4137,77.95,4,4.5,4.24,6.65
TD-677d42a8,M-0f5baee8,44696.08,588,55.63,48,1.91,1.6,2.81
TD-ca7dd4db,M-db9e48f9,6104.63,4469,178.01,9,0.51,1.56,6.58
TD-50ea66ab,M-4f3c6299,16988.99,1934,114.17,49,2.98,1.39,7.31
TD-91ea5d76,M-3e9b34bd,88160.24,3169,277.23,46,4.01,2.35,4.15
TD-1c10d2cc,M-379519be,1002.86,4403,297.01,42,3.56,3.42,7.01
TD-386ead93,M-6582f570,99036.68,3117,313.31,29,3.87,3.17,3.06
TD-ea73f4e3,M-b87d2832,48660.59,3950,119.02,2,0.6,1.08,2.57
TD-3c3c063e,M-ced677c6,71755.41,413,484.37,0,2.56,2.45,2.69
TD-90b2b0bf,M-d84c9793,36581.87,226,404.01,42,2.9,3.23,1.04
TD-80bac190,M-2b27b320,21747.49,53,280.08,5,3.94,4.47,5.84
TD-aefd70d4,M-67661835,8142.28,2170,405.92,19,2.13,4.71,4.2
TD-0efe7938,M-f1871984,47313.83,3240,193.7,24,4.2,3.2,4.54
TD-16a7e052,M-c3935c3e,49901.78,1936,238.1,46,3.58,1.02,7.55
TD-9bca31c0,M-a3b92c0f,50152.48,3402,383.29,27,1.58,2.09,1.07
TD-9f10e0a8,M-7fc40300,74244.3,3127,464.35,28,2.95,4.73,3.72
TD-a7f3fae0,M-579d4521,49492.45,3759,78.97,34,4.31,2.86,7.47
TD-4fdb004f,M-79d2a8a1,82334.11,382,110.46,8,1.48,3.45,7.17
TD-0601cdfc,M-dad1e07e,95540.89,3120,481.98,19,1.84,2.26,3.81
TD-b586567e,M-1171164e,49474.48,1678,372.75,0,1.84,3.56,0.72
TD-d81698b9,M-ca04cb73,45762.17,793,352.52,11,3.32,0.96,1.86
TD-0ce9e707,M-1da89a79,51184.73,924,313.65,34,3.82,1.43,9.23
TD-22d63463,M-edc5bbfb,26266.99,223,426.08,24,1.91,2.92,5.65
TD-617b4869,M-898a1b0f,59356.21,3958,465.9,13,2.2,3.01,9.61
TD-e5277688,M-651824b9,398.69,2280,285.78,31,3.57,4.64,2.28
TD-9709db5a,M-14844702,72920.76,646,390.49,36,4.89,3.86,1.45
TD-2eecc9e9,M-0c03aff1,95499.18,4865,86.06,41,1.25,4.71,3.83
TD-fc8938f2,M-267d6145,59871.18,2296,63.08,16,0.72,3.84,6.86
TD-ff0c159e,M-3fffec7f,57943.04,672,286.68,10,1.08,1.21,4.8
TD-43d19f65,M-fbb2cc80,51907.53,168,73.86,7,2.51,3.13,9.89
TD-9f4efcce,M-08534495,40107.81,438,429.01,30,2.01,2.52,6.13
TD-905dba37,M-b4f90c2b,79026.86,4266,339.43,36,2.65,1.78,6.14
TD-dfef3751,M-f62ba8b7,62465.78,466,180.44,8,0.98,1.06,2.79
TD-9570dff9,M-e1861117,85381.36,2751,494.32,22,2.83,0.93,6.2
TD-6a993bda,M-b30aab2a,66324.67,78,235.06,31,1.45,4.1,8.54
TD-b264b504,M-161bcc1a,86539.21,2568,222.78,15,0.93,2.34,8.29
TD-01d1d6bd,M-68ff69b5,16899.48,3777,491.16,23,4.25,2.52,1.78
TD-30b1d246,M-ae777451,86686.73,3395,81.27,38,1.87,2.35,4.88
TD-28d247db,M-fb859bd5,56099.32,582,74.41,13,2.87,3.6,5.9
TD-fd97e435,M-db9dbbe1,58118.12,4795,58.01,33,4.9,1.25,0.47
TD-593a4224,M-b4c19f58,76384.62,107,266.31,27,4.96,2.07,7.95
TD-5292a091,M-0c98ce7e,69591.17,942,214.67,44,1.38,4.64,8.02
TD-8c00380d,M-710ac684,24283.48,3852,319.7,33,1.98,3.1,7.54
TD-c1f713d5,M-6c8db73c,4636.36,4933,422.85,15,2.64,1.24,3.57
TD-f98d40c8,M-1a7bd85a,29655.77,4227,395.64,32,1.51,3.63,9.04
TD-75dc47f0,M-d00deebf,82050.86,1921,350.6,37,2.97,4.24,1.53
TD-79d33e32,M-141c89b6,85076.08,1785,314.95,9,1.15,1.95,9.61
TD-3e4a09bd,M-a06ca581,34268.37,3588,410.67,4,4.25,3.65,1.84
TD-9a26a364,M-e0703f0d,55809.38,547,326.91,16,4.24,4.4,8.98
TD-39f94395,M-2d4aa302,90469.9,871,415.43,11,3.68,2.33,0.37
TD-ed02817e,M-9cf28077,69651.73,3238,141.94,38,1.68,1.66,8.25
TD-54bc6663,M-85e61691,72360.46,4546,150.54,14,0.92,2.25,7.76
TD-4a45945c,M-3b60fd9f,60350.46,72,450.85,30,3.19,2.85,7.37
TD-7ffe210f,M-380e314c,77539.49,378,336.84,27,3.63,1.88,8.82
TD-3098146c,M-994bf608,57971.56,3808,96.33,17,4.62,0.64,9.85
TD-836a95b3,M-c6dcfe08,61166.77,1441,361.12,29,2.68,3.99,1.88
TD-6ae537e7,M-6a9288e9,65119.96,762,228.46,32,0.79,4.45,2.16
TD-86376e26,M-ecfe95e6,62207.84,1574,469.32,28,0.63,3.62,1.21
TD-c6b0b0a3,M-243aee0f,65720.55,2407,488.15,45,4.64,1.88,6.5
TD-4a25cab6,M-74dc7243,64669.3,2215,76.92,39,2.86,4.06,7.22
TD-5743ece5,M-2ccd0c1e,81094.76,503,225.31,15,1.33,1.56,3.13
TD-496349c1,M-1eaf2da5,90188.56,772,449.36,6,3.42,1.9,2.68
TD-37a4b72e,M-a8f7eae4,29723.44,4529,440.51,17,1.2,4.93,0.31
TD-29811575,M-3e7a6f08,69343.41,2005,410.57,48,2.16,3.64,3.08
TD-8f411837,M-f0d74610,41194.14,745,88.11,47,2.82,3.46,9.8
TD-57496432,M-11d86a93,41711.19,2245,36.77,36,1.78,1.89,3.52
TD-d8b891bb,M-58854648,62137.62,533,452.02,29,0.68,1.9,6.36
TD-c76ac963,M-fb9268f4,30078.18,2661,495.39,43,3.35,0.75,9.09
TD-19fda14b,M-f8918b22,17990.43,624,344.67,49,0.82,3.39,3.18
TD-e246d2f9,M-39c93eec,32020.55,2189,117.64,36,3.17,1.29,6.34
TD-4ccc9ee5,M-cafbefb4,17532.5,3935,211.5,24,2.45,3.49,9.99
TD-156bccf1,M-a9ccca87,60034.84,1376,299.12,14,1.54,2.23,5.69
TD-bc574c47,M-5d979d57,9377.23,536,324.93,34,4.02,1.36,6.77
TD-d766b473,M-3881ee68,83593.89,1889,398.87,19,1.07,3.44,8.59
TD-4d215613,M-efa728f5,29476.21,3102,231.31,11,2.81,1.35,4.1
TD-c8fbf81b,M-54833ab7,20237.02,2457,348.01,34,3.22,4.79,2.57
TD-69225060,M-3e38406f,47316.72,840,471.55,47,2.87,2.46,6.12
TD-bd7bf8f3,M-4558b2c8,73192.31,4160,235.99,23,4.15,1.29,2.49
TD-bdd7246a,M-de4d22a2,56245.8,3144,473.74,8,3.0,2.05,4.5
TD-5d268fee,M-33313a4d,20499.82,178,302.75,22,1.23,3.92,5.59
TD-e4cc7068,M-a875cb3b,90351.67,4285,409.85,23,3.24,4.46,9.21
TD-4d201203,M-dd05f86c,84368.45,68,149.16,27,4.13,3.22,9.6
TD-f142fb88,M-f411a732,28409.59,1717,183.71,6,4.28,2.62,3.28
TD-d8ad5112,M-412293ce,25935.57,1021,407.8,33,1.41,0.67,5.92
TD-f0c7a65e,M-4c6f4661,58911.42,2245,96.69,32,4.77,1.46,2.75
TD-238162aa,M-231f657e,28551.71,3293,344.47,33,4.83,2.43,5.89
TD-b33ebb02,M-ba4cc4d4,61167.92,2116,246.41,26,3.65,2.56,8.53
TD-928166cb,M-5cd63cb8,64283.53,3550,305.84,5,4.31,3.3,9.08
TD-50c32190,M-d6e4eae2,8171.28,1761,405.86,16,4.08,4.78,9.32
TD-bb3d70b2,M-9d2e7c34,44858.29,2759,216.15,22,2.38,3.78,0.0
TD-0c943cec,M-c423c352,33936.78,4447,372.96,27,4.75,3.59,3.84
TD-4f00362a,M-ce2fddba,66252.42,2137,295.91,46,3.57,1.42,6.94
TD-4fb261ce,M-31d1a735,96968.71,3015,318.2,40,4.93,3.09,3.28
TD-807d68b3,M-1db8faa0,88306.05,2280,184.4,1,3.41,4.02,4.09
TD-7debd33f,M-b2f0cd3c,70770.21,1879,259.25,19,0.71,4.21,7.49
TD-3b1fb852,M-e54b8d32,26502.92,1458,404.45,27,0.82,4.24,5.37
TD-1834971d,M-7ac47e65,16865.08,2713,407.32,7,1.85,0.65,1.3
TD-a485d0ff,M-7afb3764,5664.13,1972,284.67,45,5.0,2.43,1.72
TD-6c9d102d,M-6f20415e,37701.57,2465,273.11,50,0.82,2.35,7.56
TD-534a8435,M-1432b6ad,51778.45,2356,300.58,48,3.87,4.37,8.68
TD-9f973d3d,M-c8151a39,67150.2,1605,183.88,22,1.49,3.74,0.85
TD-b8ee73c5,M-9be6014d,77001.07,1158,238.14,36,2.2,2.0,9.67
TD-a74577c4,M-610a59c7,61077.95,1708,33.72,18,3.39,2.77,3.69
TD-bd8605a0,M-d5193971,90664.47,4012,247.66,33,2.19,2.64,8.92
TD-336e5c38,M-9bb29797,38790.4,3400,101.5,12,3.86,1.47,3.04
TD-2df2ab2a,M-97b91328,28197.77,4876,153.56,32,4.01,2.2,7.39
TD-ad494e4a,M-d8fec3cf,24536.06,860,283.88,43,4.83,1.38,3.71
TD-e8957297,M-f926d3cf,67994.79,728,255.66,47,4.56,2.52,2.2
TD-1c8d3283,M-6d1ac96c,12490.78,3658,173.78,22,2.57,4.49,1.73
TD-7f20f108,M-b1d9ac8a,41406.3,1114,214.25,25,2.5,1.91,0.41
TD-967e78f4,M-3c5de224,61463.9,4541,460.23,38,2.7,2.73,7.84
TD-cf829007,M-3594a284,96622.23,3067,319.4,43,1.79,1.58,2.85
TD-99f3fd07,M-3aa4c6dc,50293.3,2739,97.6,22,4.32,2.51,4.6
TD-b24297c8,M-9566fd44,25449.62,226,482.4,50,1.58,2.25,4.2
TD-9c9df708,M-d736abff,47584.45,205,156.82,9,0.6,4.4,4.21
TD-0fb8720b,M-1f429056,35533.68,2525,311.69,22,1.4,0.9,3.17
TD-53d80de7,M-5871bedf,47171.34,1702,337.36,13,0.77,3.15,7.89
TD-ea52db47,M-e69093b3,64370.64,382,299.65,17,3.82,4.08,3.73
TD-c2b3d706,M-48ee4492,35771.13,4148,103.06,47,1.81,1.69,2.44
TD-97e15c36,M-f8e83f19,98320.78,2733,338.74,27,2.14,2.04,1.8
TD-1f6bf56f,M-4bab8ab2,20108.45,1067,472.67,27,4.93,3.34,9.15
TD-a0082cbf,M-8ded6a21,67143.58,111,435.41,2,1.67,0.63,10.0
TD-d8a3b0b1,M-23b39d92,73712.56,575,60.99,15,4.17,3.13,7.53
TD-973460da,M-0082b853,36231.14,3453,69.33,38,3.6,3.19,5.68
TD-b80fa561,M-dcb6487b,73586.27,2576,497.02,5,2.96,3.57,3.18
TD-a8fb6f21,M-3ada0fc7,21582.14,3669,400.79,17,2.31,0.84,7.3
TD-03f6a5d4,M-83d517c4,47091.34,3483,464.19,32,3.39,3.42,5.11
TD-459797b6,M-dc0d2818,66926.06,2300,369.5,46,3.13,2.3,6.51
