epi_id,region_id,year,inflation_rate_pct,interest_rate_pct,govt_debt_gdp_ratio,govt_budget_balance_usd_billion,consumer_confidence_index,data_source_references
EPI-039fe129,R-680f6311,2022,1.75,6.11,171.81,-9.38,102.76,['EPI_especially']
EPI-1eb3f102,R-eb24951e,2024,9.04,9.23,88.18,244.25,87.51,['EPI_rise']
EPI-f000ca80,R-eb24951e,2024,3.89,7.81,185.18,-41.2,61.13,['EPI_crime']
EPI-fdc571c8,R-eb24951e,2025,5.84,7.32,35.22,-97.66,93.23,['EPI_under']
EPI-7b8ad410,R-eb24951e,2023,1.22,9.57,176.93,116.47,107.86,['EPI_build']
EPI-dc685777,R-eb24951e,2021,8.5,5.47,143.1,297.08,55.88,['EPI_fight']
EPI-a192c52c,R-eb24951e,2018,8.72,7.19,71.41,-0.27,76.92,['EPI_these']
EPI-0fff0153,R-eb24951e,2020,14.96,3.74,161.61,120.03,74.22,['EPI_agency']
EPI-f7ecb8c0,R-eb24951e,2020,0.88,8.42,150.55,194.24,94.48,['EPI_close']
EPI-effb7400,R-eb24951e,2024,12.67,2.39,88.09,101.3,118.38,['EPI_analysis']
EPI-85899888,R-eb24951e,2018,0.28,2.94,74.97,298.61,99.88,['EPI_phone']
EPI-5f4ae340,R-fb54d982,2026,14.5,9.5,52.75,-37.9,73.19,['EPI_condition']
EPI-e931f865,R-fb54d982,2022,0.7,6.82,157.99,233.54,84.42,['EPI_attack']
EPI-66d4247d,R-fb54d982,2024,3.41,3.61,174.82,204.39,108.77,['EPI_say']
EPI-3d9ea153,R-fb54d982,2020,1.71,5.01,127.28,-52.27,66.37,['EPI_article']
EPI-655ad608,R-fb54d982,2024,0.17,5.3,196.37,-48.71,95.47,['EPI_show']
EPI-c5a8058d,R-fb54d982,2022,3.28,8.0,49.92,-35.16,80.24,['EPI_carry']
EPI-7fd57ec1,R-fb54d982,2025,8.22,2.08,83.28,63.61,72.57,['EPI_radio']
EPI-e232c234,R-fb54d982,2025,10.06,2.1,43.93,-41.81,106.62,['EPI_set']
EPI-151ccaff,R-fb54d982,2021,3.46,4.46,37.36,64.98,71.56,['EPI_more']
EPI-493f80cc,R-fb54d982,2020,4.35,9.22,17.89,152.23,94.74,['EPI_employee']
EPI-d2e94b3d,R-fcabcd35,2023,0.87,4.95,83.56,197.94,89.95,['EPI_send']
EPI-47a9b896,R-fcabcd35,2020,8.69,5.68,51.59,58.25,98.03,['EPI_ever']
EPI-6f0c537f,R-fcabcd35,2019,11.2,1.13,152.37,79.32,99.99,['EPI_must']
EPI-097a640b,R-fcabcd35,2023,9.6,3.01,110.55,211.49,71.68,['EPI_kitchen']
EPI-a28dd5db,R-fcabcd35,2026,5.93,9.52,107.48,257.27,118.82,['EPI_cup']
EPI-272a70c7,R-fcabcd35,2024,11.04,4.01,159.3,17.67,98.52,['EPI_right']
EPI-e47e6d85,R-fcabcd35,2026,3.17,7.98,38.2,263.22,84.36,['EPI_toward']
EPI-03f517c6,R-fcabcd35,2018,3.45,9.67,78.69,259.58,116.8,['EPI_reveal']
EPI-ff15bbe4,R-fcabcd35,2019,9.72,2.87,131.64,114.49,111.54,['EPI_hotel']
EPI-ad32893f,R-fcabcd35,2025,11.29,0.73,28.98,289.02,85.43,['EPI_friend']
EPI-f68f4734,R-2acf6952,2024,11.59,9.98,96.35,-50.51,117.73,['EPI_walk']
EPI-8e11c654,R-2acf6952,2019,13.03,4.16,163.75,-82.31,78.34,['EPI_letter']
EPI-ddcc0b1c,R-2acf6952,2019,10.66,4.17,20.7,61.78,76.19,['EPI_their']
EPI-17a70175,R-2acf6952,2019,14.44,0.02,161.73,-16.91,85.6,['EPI_response']
EPI-c48e865a,R-2acf6952,2021,7.28,0.71,34.37,165.85,72.95,['EPI_statement']
EPI-f9df99d6,R-2acf6952,2022,13.47,1.09,187.12,-22.84,106.4,['EPI_wonder']
EPI-a0657b95,R-2acf6952,2024,9.39,1.29,70.48,299.78,90.5,['EPI_raise']
EPI-d97e5bf4,R-2acf6952,2023,13.19,9.53,102.51,204.31,105.15,['EPI_mind']
EPI-588695ba,R-2acf6952,2025,1.55,9.59,132.13,224.36,59.07,['EPI_skill']
EPI-49c95cce,R-2acf6952,2024,14.23,2.05,45.99,98.62,96.99,['EPI_former']
EPI-90ab062b,R-a56fa919,2026,4.74,2.61,110.15,-75.09,57.95,['EPI_ever']
EPI-fc6f1ff0,R-a56fa919,2020,5.5,4.5,195.43,-97.44,68.27,['EPI_cup']
EPI-bb2c32bb,R-a56fa919,2023,5.33,6.85,167.49,22.66,70.8,['EPI_produce']
EPI-e37126b4,R-a56fa919,2025,0.29,6.6,82.68,233.4,64.75,['EPI_long']
EPI-62de7f32,R-a56fa919,2024,14.83,4.7,145.39,145.91,94.91,['EPI_trip']
EPI-7421805d,R-a56fa919,2025,1.23,7.95,59.24,76.61,104.58,['EPI_true']
EPI-5e72f674,R-a56fa919,2018,3.85,3.05,137.11,157.17,57.32,['EPI_country']
EPI-b53e282c,R-a56fa919,2024,4.52,5.61,16.42,-7.47,64.25,['EPI_within']
EPI-f23824a3,R-a56fa919,2021,10.54,8.28,175.18,280.58,118.76,['EPI_pick']
EPI-182fcd7e,R-a56fa919,2022,11.76,0.73,42.86,232.27,81.37,['EPI_section']
EPI-121e0c2e,R-2cbbcf37,2022,14.43,2.03,156.82,166.8,81.57,['EPI_from']
EPI-4298c42e,R-2cbbcf37,2021,7.87,9.74,75.62,234.47,78.6,['EPI_when']
EPI-d62aba37,R-2cbbcf37,2020,11.0,0.36,77.49,292.03,100.46,['EPI_figure']
EPI-55d0f892,R-2cbbcf37,2023,4.77,4.54,33.05,185.85,54.23,['EPI_attack']
EPI-73c32058,R-2cbbcf37,2024,4.84,8.99,106.99,237.44,50.89,['EPI_senior']
EPI-10586554,R-2cbbcf37,2025,1.43,1.3,171.09,275.73,77.8,['EPI_recent']
EPI-534a4461,R-2cbbcf37,2021,2.76,2.47,22.28,50.84,68.25,['EPI_company']
EPI-79fb17ef,R-2cbbcf37,2018,3.9,7.13,11.66,183.75,78.74,['EPI_year']
EPI-3123678d,R-2cbbcf37,2025,7.08,6.7,18.19,180.43,51.84,['EPI_with']
EPI-ed844d87,R-2cbbcf37,2020,11.69,8.55,102.66,-44.56,108.98,['EPI_street']
EPI-9d55754c,R-99266b30,2024,7.15,9.04,55.87,230.97,66.65,['EPI_game']
EPI-6f113bb1,R-99266b30,2025,5.8,7.41,184.74,256.98,118.13,['EPI_service']
EPI-cb742f1e,R-99266b30,2019,10.77,7.78,153.01,-7.22,99.84,['EPI_continue']
EPI-2525e8db,R-99266b30,2021,3.89,6.4,187.84,3.69,74.18,['EPI_bill']
EPI-f17074ab,R-99266b30,2022,2.89,1.96,160.99,140.4,56.47,['EPI_size']
EPI-ec4635a2,R-99266b30,2020,2.16,0.13,22.13,234.02,112.04,['EPI_be']
EPI-a8b7fc6d,R-99266b30,2025,14.93,4.03,180.95,183.6,87.48,['EPI_simply']
EPI-a4e3fa55,R-99266b30,2018,9.04,2.48,164.31,83.43,52.25,['EPI_by']
EPI-d833967a,R-99266b30,2024,7.95,7.61,94.27,-60.8,76.22,['EPI_successful']
EPI-6915b2a2,R-99266b30,2020,11.82,4.13,34.87,250.28,89.33,['EPI_sit']
EPI-dc05da75,R-7158f265,2021,12.18,0.85,101.53,112.75,68.95,['EPI_whatever']
EPI-50c77d29,R-7158f265,2019,4.99,3.97,27.99,-57.63,75.62,['EPI_writer']
EPI-4840368c,R-7158f265,2021,14.6,3.35,124.98,-7.49,66.31,['EPI_run']
EPI-c652a441,R-7158f265,2025,14.37,7.11,18.33,207.25,73.81,['EPI_yeah']
EPI-17527766,R-7158f265,2022,12.29,8.16,57.63,52.02,55.42,['EPI_individual']
EPI-9c118e6f,R-7158f265,2019,5.86,3.02,60.5,59.91,64.32,['EPI_pass']
EPI-7cdba9a2,R-7158f265,2026,8.71,6.8,91.51,38.81,89.03,['EPI_tell']
EPI-89b3f396,R-7158f265,2022,14.14,9.39,104.15,146.96,55.33,['EPI_less']
EPI-8c6077c9,R-7158f265,2018,2.15,3.41,60.14,-66.79,106.4,['EPI_senior']
EPI-79aa5fbf,R-7158f265,2021,2.3,1.84,59.86,75.01,77.13,['EPI_customer']
EPI-88351928,R-acbe1283,2021,13.81,4.97,132.93,298.89,99.49,['EPI_trade']
EPI-be4ccd34,R-acbe1283,2018,3.55,6.57,73.62,194.37,94.3,['EPI_type']
EPI-2abb8a36,R-acbe1283,2023,9.77,8.19,50.61,240.95,82.11,['EPI_individual']
EPI-1b5651af,R-acbe1283,2020,3.75,5.74,172.59,136.17,107.93,['EPI_institution']
EPI-029f42e0,R-acbe1283,2018,9.27,6.2,63.6,-70.2,112.22,['EPI_hospital']
EPI-f701a044,R-acbe1283,2023,14.72,6.86,30.67,188.7,79.25,['EPI_expert']
EPI-0dad257b,R-acbe1283,2025,4.15,5.53,196.81,78.97,63.42,['EPI_about']
EPI-2fea819e,R-acbe1283,2025,14.43,3.32,186.2,-45.37,63.88,['EPI_six']
EPI-efc7072b,R-acbe1283,2019,2.22,6.08,161.53,90.05,51.02,['EPI_skin']
EPI-00e75f50,R-acbe1283,2020,8.4,3.06,142.92,127.85,79.86,['EPI_with']
EPI-383732fb,R-d48954d8,2025,13.0,0.87,162.25,287.54,116.96,['EPI_quality']
EPI-4e3c0687,R-d48954d8,2020,0.21,4.0,149.34,13.94,97.8,['EPI_vote']
EPI-bff52b46,R-d48954d8,2022,11.79,1.19,47.27,281.72,89.22,['EPI_network']
EPI-f4232455,R-d48954d8,2024,9.38,3.85,66.98,236.0,115.9,['EPI_along']
EPI-8e5261db,R-d48954d8,2018,13.48,0.87,160.57,-98.21,70.64,['EPI_and']
EPI-3ad8b741,R-d48954d8,2018,5.03,5.73,141.07,-30.61,52.29,['EPI_whatever']
EPI-e7aa86d0,R-d48954d8,2026,8.13,4.85,169.76,-96.69,72.16,['EPI_family']
EPI-2ec5a957,R-d48954d8,2024,14.32,9.64,175.02,-2.46,86.37,['EPI_debate']
EPI-e8ec5664,R-d48954d8,2018,13.93,0.15,178.33,-6.98,103.75,['EPI_music']
EPI-a9c9a304,R-d48954d8,2022,14.14,9.95,71.67,154.25,69.0,['EPI_indicate']
EPI-7396d720,R-a80c66a1,2026,5.24,2.49,179.33,264.54,95.39,['EPI_space']
EPI-f986d515,R-a80c66a1,2020,11.84,4.63,99.55,-82.76,84.0,['EPI_give']
EPI-cd39568f,R-a80c66a1,2025,2.62,4.46,156.7,178.47,84.18,['EPI_cover']
EPI-b1a24b24,R-a80c66a1,2026,2.36,3.27,10.91,260.68,100.5,['EPI_involve']
EPI-306e6f7f,R-a80c66a1,2022,5.11,2.55,30.34,-24.39,57.23,['EPI_too']
EPI-701b196e,R-a80c66a1,2024,0.23,2.64,195.2,261.02,59.13,['EPI_necessary']
EPI-caa4584e,R-a80c66a1,2026,11.07,8.56,180.13,204.36,51.88,['EPI_feeling']
EPI-2b34dfcd,R-a80c66a1,2020,13.01,9.0,119.73,153.67,116.68,['EPI_become']
EPI-5a0e9f89,R-a80c66a1,2026,9.55,9.23,161.36,197.66,96.26,['EPI_ok']
EPI-88db1ab4,R-a80c66a1,2026,8.95,7.91,151.77,74.33,79.62,['EPI_size']
EPI-d8c6da02,R-3f6b3e1c,2025,12.76,1.89,74.7,175.36,107.97,['EPI_since']
EPI-1d71c5a5,R-3f6b3e1c,2019,2.79,7.67,165.81,-81.74,85.89,['EPI_law']
EPI-53e935f7,R-3f6b3e1c,2024,8.97,5.03,178.78,-26.3,90.43,['EPI_seven']
EPI-ca11ef46,R-3f6b3e1c,2021,10.09,8.16,159.33,204.13,107.23,['EPI_ahead']
EPI-5b8321ae,R-3f6b3e1c,2022,4.22,0.54,118.07,-23.0,90.29,['EPI_free']
EPI-3aff40ad,R-3f6b3e1c,2024,14.97,5.45,100.97,114.24,56.0,['EPI_defense']
EPI-27603794,R-3f6b3e1c,2023,14.28,4.19,70.8,64.32,92.42,['EPI_practice']
EPI-3298ad2d,R-3f6b3e1c,2021,0.52,3.01,83.38,-64.75,85.88,['EPI_among']
EPI-10ddf774,R-3f6b3e1c,2026,2.03,4.67,53.18,151.76,55.31,['EPI_yourself']
EPI-6cfe2f13,R-3f6b3e1c,2024,11.9,2.96,186.99,271.28,80.57,['EPI_trial']
EPI-450b058e,R-d7d723d4,2022,14.61,9.73,12.46,244.1,54.32,['EPI_answer']
EPI-f5e9371e,R-d7d723d4,2020,14.85,4.51,54.39,215.27,110.6,['EPI_prevent']
EPI-2b9bf526,R-d7d723d4,2023,0.69,4.51,15.39,-16.06,88.47,['EPI_ability']
EPI-0641b4ca,R-d7d723d4,2023,4.4,3.4,93.21,146.21,119.0,['EPI_yard']
EPI-a08bd6aa,R-d7d723d4,2024,14.47,8.04,134.08,13.3,62.6,['EPI_test']
EPI-1e57a8a1,R-d7d723d4,2018,10.91,4.84,107.64,157.57,62.98,['EPI_herself']
EPI-e218f56f,R-d7d723d4,2019,1.04,8.96,97.63,-51.29,61.37,['EPI_or']
EPI-3510ad1c,R-d7d723d4,2024,6.53,3.87,81.79,138.93,106.67,['EPI_someone']
EPI-1231fb96,R-d7d723d4,2022,2.35,8.52,199.06,256.42,54.2,['EPI_factor']
EPI-d55c75dd,R-d7d723d4,2026,12.18,6.06,151.04,159.99,79.63,['EPI_woman']
EPI-b42b009b,R-0cb5b2ae,2024,1.33,4.62,100.56,246.33,111.48,['EPI_need']
EPI-88c9e99b,R-0cb5b2ae,2023,10.6,5.65,37.39,8.08,62.95,['EPI_space']
EPI-1677621b,R-0cb5b2ae,2025,3.64,4.87,59.02,153.81,97.57,['EPI_best']
EPI-20561372,R-0cb5b2ae,2023,10.48,5.47,86.3,-16.25,77.45,['EPI_election']
EPI-9aa4b2ab,R-0cb5b2ae,2025,13.35,9.38,98.15,22.65,71.89,['EPI_itself']
EPI-29b5d356,R-0cb5b2ae,2020,11.75,1.34,151.92,-3.85,77.74,['EPI_responsibility']
EPI-d610c24b,R-0cb5b2ae,2019,7.25,6.39,42.73,70.18,66.37,['EPI_some']
EPI-fb0e2723,R-0cb5b2ae,2019,0.09,5.93,44.01,-13.34,80.87,['EPI_quickly']
EPI-42eb1296,R-0cb5b2ae,2022,6.4,5.35,34.99,104.31,91.67,['EPI_person']
EPI-7cfd79c0,R-0cb5b2ae,2023,9.11,6.39,141.93,44.01,102.04,['EPI_toward']
EPI-58fae3f6,R-17d75e18,2018,5.13,7.89,168.91,44.05,117.09,['EPI_hair']
EPI-db788777,R-17d75e18,2022,14.71,5.91,65.77,-80.45,73.18,['EPI_kid']
EPI-c9e1b7c6,R-17d75e18,2018,1.99,2.34,17.3,232.52,61.48,['EPI_special']
EPI-8de93997,R-17d75e18,2021,13.49,4.6,82.88,3.07,96.71,['EPI_free']
EPI-dacba21c,R-17d75e18,2025,1.2,3.32,56.56,190.1,63.21,['EPI_week']
EPI-e659af92,R-17d75e18,2020,12.38,5.98,42.97,34.38,84.36,['EPI_job']
EPI-415062aa,R-17d75e18,2019,12.48,9.27,52.77,97.02,116.94,['EPI_gun']
EPI-14f98125,R-17d75e18,2021,14.33,0.71,14.49,133.52,51.64,['EPI_it']
EPI-d96f3270,R-17d75e18,2024,2.59,0.69,120.88,217.01,70.81,['EPI_individual']
EPI-42b2586c,R-17d75e18,2025,2.1,0.86,75.87,6.7,93.15,['EPI_individual']
EPI-517ed27e,R-198e9e79,2026,3.82,4.4,187.27,293.59,73.53,['EPI_education']
EPI-925465c7,R-198e9e79,2025,11.08,3.72,46.45,190.48,102.04,['EPI_decide']
EPI-9779753e,R-198e9e79,2020,13.31,2.96,126.18,-93.44,91.85,['EPI_answer']
EPI-2bfad746,R-198e9e79,2023,4.07,4.71,54.33,-65.81,57.05,['EPI_road']
EPI-82951f85,R-198e9e79,2019,11.23,1.32,86.37,-58.19,118.81,['EPI_old']
EPI-4b7aa282,R-198e9e79,2018,8.65,1.14,128.43,230.5,116.78,['EPI_act']
EPI-5e697813,R-198e9e79,2022,0.58,7.08,183.05,185.75,51.48,['EPI_common']
EPI-123116a5,R-198e9e79,2020,0.72,7.66,190.31,232.06,104.22,['EPI_wonder']
EPI-be21793a,R-198e9e79,2023,3.84,8.75,185.83,-70.78,59.48,['EPI_glass']
EPI-044b4449,R-198e9e79,2022,8.1,6.58,56.06,74.92,52.84,['EPI_especially']
EPI-c9cfd70c,R-9bdd3734,2023,13.81,5.43,86.82,54.77,67.84,['EPI_difficult']
EPI-36311d00,R-9bdd3734,2020,5.71,1.8,182.49,181.77,58.84,['EPI_management']
EPI-444abbff,R-9bdd3734,2024,8.98,3.0,30.55,97.83,95.08,['EPI_despite']
EPI-45b381b9,R-9bdd3734,2021,14.54,0.54,127.14,91.73,77.75,['EPI_blue']
EPI-5e1ce6bd,R-9bdd3734,2018,5.32,6.67,150.08,263.0,113.42,['EPI_trade']
EPI-bd288b06,R-9bdd3734,2020,8.0,4.29,197.5,6.62,56.98,['EPI_include']
EPI-f3721df9,R-9bdd3734,2021,0.59,5.7,199.16,25.33,82.31,['EPI_list']
EPI-970e6510,R-9bdd3734,2024,1.79,6.57,141.45,-62.03,109.72,['EPI_kind']
EPI-a27b9593,R-9bdd3734,2023,12.34,5.21,133.19,-31.23,50.05,['EPI_poor']
EPI-0647de65,R-9bdd3734,2020,1.48,1.82,47.92,116.86,93.59,['EPI_more']
EPI-09fd588e,R-4e8b8037,2020,2.3,7.35,166.51,6.25,102.98,['EPI_main']
EPI-957366e0,R-4e8b8037,2022,5.97,1.15,197.37,-31.09,76.07,['EPI_former']
EPI-a83979ad,R-4e8b8037,2018,9.25,2.2,68.87,155.3,68.97,['EPI_capital']
EPI-4dee2350,R-4e8b8037,2018,11.55,8.19,47.99,93.57,77.72,['EPI_sister']
EPI-b52aa1fe,R-4e8b8037,2023,4.8,5.25,135.6,29.87,90.99,['EPI_research']
EPI-e748a8a5,R-4e8b8037,2022,11.92,4.66,137.1,87.9,73.23,['EPI_seek']
EPI-957afd2d,R-4e8b8037,2026,13.59,5.11,193.31,202.02,86.19,['EPI_star']
EPI-0a5b0df0,R-4e8b8037,2022,15.0,6.65,178.91,-29.97,50.13,['EPI_south']
EPI-4e66ff89,R-4e8b8037,2020,0.23,2.06,43.17,173.43,56.55,['EPI_force']
EPI-c77410d9,R-4e8b8037,2019,4.54,3.74,121.47,73.94,60.43,['EPI_short']
EPI-e7ef4e69,R-e53e6e32,2022,7.78,0.33,130.9,-76.38,111.39,['EPI_information']
EPI-045168ab,R-e53e6e32,2025,9.79,3.87,74.7,201.31,109.64,['EPI_everybody']
EPI-1a8de5ce,R-e53e6e32,2019,12.64,8.04,24.84,191.66,101.13,['EPI_individual']
EPI-ff6d28b4,R-e53e6e32,2025,1.04,2.02,78.85,270.75,74.98,['EPI_agency']
EPI-f485e8d2,R-e53e6e32,2018,0.85,3.76,102.49,267.93,117.52,['EPI_say']
EPI-3c487a9a,R-e53e6e32,2026,8.91,8.83,77.15,286.26,96.13,['EPI_today']
EPI-26fbe225,R-e53e6e32,2019,12.08,6.69,42.66,214.67,61.19,['EPI_indicate']
EPI-7f371f04,R-e53e6e32,2019,8.97,3.17,102.48,-58.71,73.85,['EPI_crime']
EPI-4f568931,R-e53e6e32,2025,4.46,6.31,186.36,216.0,57.01,['EPI_white']
EPI-4f955092,R-e53e6e32,2020,12.38,4.56,159.37,-89.64,90.5,['EPI_forward']
EPI-82c370cd,R-0f1c819b,2019,3.02,3.75,58.73,-2.28,81.63,['EPI_sell']
EPI-60c225c9,R-0f1c819b,2018,5.38,2.73,138.86,8.97,87.71,['EPI_remain']
EPI-8c6c2fa4,R-0f1c819b,2018,12.27,7.15,184.21,-37.55,103.48,['EPI_avoid']
EPI-8e33ac97,R-0f1c819b,2018,13.41,8.8,73.34,40.27,96.13,['EPI_almost']
EPI-6f4397a9,R-0f1c819b,2022,1.27,9.18,10.71,-42.33,63.32,['EPI_exist']
EPI-2dbc1f31,R-0f1c819b,2025,0.23,6.96,160.55,-11.39,113.74,['EPI_office']
EPI-18695c53,R-0f1c819b,2024,14.34,4.87,24.25,251.41,51.64,['EPI_would']
EPI-3e489e09,R-0f1c819b,2018,0.12,7.66,186.75,48.43,70.49,['EPI_your']
EPI-c90c73e7,R-0f1c819b,2021,4.98,7.86,76.28,256.25,98.97,['EPI_continue']
EPI-cd2019bc,R-0f1c819b,2025,3.89,6.01,53.82,287.73,90.73,['EPI_song']
EPI-ba2f7359,R-6a652975,2025,13.66,2.57,173.53,-94.63,101.93,['EPI_mother']
EPI-390468bc,R-6a652975,2023,7.71,1.09,121.7,180.44,89.13,['EPI_argue']
