curve_id,maturity_months,discount_rate,as_of_date
CURVE_4,114,0.03,2024-06-05
CURVE_4,120,0.06,2020-02-26
CURVE_5,6,0.05,2018-02-16
CURVE_5,12,0.01,2022-12-14
CURVE_5,18,0.07,2020-05-09
CURVE_5,24,0.05,2021-05-31
CURVE_5,30,0.05,2018-07-29
CURVE_5,36,0.01,2019-11-06
CURVE_5,42,0.06,2019-07-13
CURVE_5,48,0.07,2025-03-01
CURVE_5,54,0.01,2024-12-18
CURVE_5,60,0.06,2025-06-04
CURVE_5,66,0.02,2020-07-24
CURVE_5,72,0.01,2025-08-21
CURVE_5,78,0.04,2021-11-24
CURVE_5,84,0.07,2021-03-17
CURVE_5,90,0.02,2022-09-12
CURVE_5,96,0.03,2025-10-23
CURVE_5,102,0.02,2018-08-21
CURVE_5,108,0.02,2023-04-30
CURVE_5,114,0.06,2022-05-29
CURVE_5,120,0.02,2022-07-06
CURVE_6,6,0.05,2019-08-04
CURVE_6,12,0.04,2024-01-18
CURVE_6,18,0.02,2019-09-01
CURVE_6,24,0.07,2025-05-23
CURVE_6,30,0.03,2020-02-12
CURVE_6,36,0.05,2018-05-02
CURVE_6,42,0.01,2021-07-25
CURVE_6,48,0.06,2025-08-30
CURVE_6,54,0.05,2023-12-13
CURVE_6,60,0.01,2020-09-30
CURVE_6,66,0.04,2021-02-22
CURVE_6,72,0.01,2019-04-03
CURVE_6,78,0.02,2023-11-17
CURVE_6,84,0.02,2025-11-05
CURVE_6,90,0.05,2020-10-24
CURVE_6,96,0.05,2022-07-27
CURVE_6,102,0.05,2019-11-16
CURVE_6,108,0.05,2022-12-08
CURVE_6,114,0.04,2018-12-13
CURVE_6,120,0.03,2025-09-02
CURVE_7,6,0.06,2022-08-01
CURVE_7,12,0.01,2020-05-03
CURVE_7,18,0.03,2022-02-26
CURVE_7,24,0.06,2020-04-25
CURVE_7,30,0.05,2023-11-16
CURVE_7,36,0.06,2021-07-31
CURVE_7,42,0.03,2022-06-08
CURVE_7,48,0.07,2023-06-06
CURVE_7,54,0.04,2025-03-24
CURVE_7,60,0.06,2019-03-06
CURVE_7,66,0.04,2018-12-10
CURVE_7,72,0.04,2018-04-24
CURVE_7,78,0.04,2018-03-07
CURVE_7,84,0.07,2023-11-11
CURVE_7,90,0.06,2019-05-04
CURVE_7,96,0.03,2024-11-28
CURVE_7,102,0.05,2021-09-09
CURVE_7,108,0.05,2022-05-24
CURVE_7,114,0.06,2022-02-26
CURVE_7,120,0.04,2022-12-27
CURVE_8,6,0.05,2022-01-14
CURVE_8,12,0.02,2025-02-22
CURVE_8,18,0.05,2023-07-21
CURVE_8,24,0.07,2019-02-07
CURVE_8,30,0.06,2018-09-11
CURVE_8,36,0.02,2018-12-12
CURVE_8,42,0.03,2023-02-11
CURVE_8,48,0.02,2023-10-11
CURVE_8,54,0.03,2023-03-15
CURVE_8,60,0.05,2019-12-31
CURVE_8,66,0.01,2021-03-12
CURVE_8,72,0.02,2021-01-08
CURVE_8,78,0.05,2024-08-19
CURVE_8,84,0.06,2024-12-03
CURVE_8,90,0.04,2018-01-06
CURVE_8,96,0.01,2021-05-25
CURVE_8,102,0.06,2018-02-07
CURVE_8,108,0.03,2018-06-05
CURVE_8,114,0.03,2020-10-07
CURVE_8,120,0.03,2024-01-25
CURVE_9,6,0.06,2023-09-04
CURVE_9,12,0.03,2022-09-03
CURVE_9,18,0.01,2021-01-13
CURVE_9,24,0.03,2024-04-15
CURVE_9,30,0.07,2022-11-18
CURVE_9,36,0.07,2023-03-07
CURVE_9,42,0.06,2020-02-03
CURVE_9,48,0.03,2018-10-21
CURVE_9,54,0.04,2019-07-07
CURVE_9,60,0.05,2020-06-01
CURVE_9,66,0.01,2021-02-27
CURVE_9,72,0.03,2018-07-19
CURVE_9,78,0.04,2023-08-10
CURVE_9,84,0.02,2025-12-22
CURVE_9,90,0.04,2021-04-03
CURVE_9,96,0.02,2018-12-22
CURVE_9,102,0.07,2022-08-02
CURVE_9,108,0.02,2022-12-07
CURVE_9,114,0.06,2020-08-30
CURVE_9,120,0.03,2019-11-22
CURVE_10,6,0.03,2023-10-07
CURVE_10,12,0.05,2020-11-08
CURVE_10,18,0.04,2022-01-31
CURVE_10,24,0.06,2022-03-18
CURVE_10,30,0.07,2025-05-13
CURVE_10,36,0.04,2020-12-24
CURVE_10,42,0.07,2020-08-25
CURVE_10,48,0.01,2022-03-11
CURVE_10,54,0.06,2023-03-09
CURVE_10,60,0.05,2022-08-22
CURVE_10,66,0.04,2022-11-23
CURVE_10,72,0.03,2021-01-27
CURVE_10,78,0.02,2020-05-05
CURVE_10,84,0.04,2025-01-16
CURVE_10,90,0.06,2021-11-03
CURVE_10,96,0.04,2022-12-16
CURVE_10,102,0.06,2019-05-10
CURVE_10,108,0.06,2025-10-17
CURVE_10,114,0.06,2020-06-16
CURVE_10,120,0.02,2021-12-11
CURVE_11,6,0.02,2023-04-08
CURVE_11,12,0.04,2024-11-20
CURVE_11,18,0.01,2022-07-26
CURVE_11,24,0.05,2021-11-05
CURVE_11,30,0.06,2024-08-15
CURVE_11,36,0.07,2019-10-01
CURVE_11,42,0.04,2021-04-03
CURVE_11,48,0.03,2022-03-20
CURVE_11,54,0.04,2023-05-30
CURVE_11,60,0.03,2019-08-03
CURVE_11,66,0.02,2023-11-01
CURVE_11,72,0.05,2022-02-18
CURVE_11,78,0.06,2018-04-24
CURVE_11,84,0.04,2020-09-25
CURVE_11,90,0.07,2021-06-11
CURVE_11,96,0.07,2018-07-03
CURVE_11,102,0.04,2022-11-28
CURVE_11,108,0.06,2024-02-15
CURVE_11,114,0.02,2020-11-14
CURVE_11,120,0.05,2019-03-02
CURVE_12,6,0.05,2018-12-04
CURVE_12,12,0.02,2023-08-15
CURVE_12,18,0.03,2020-11-07
CURVE_12,24,0.06,2023-11-16
CURVE_12,30,0.06,2019-12-07
CURVE_12,36,0.05,2021-03-21
CURVE_12,42,0.03,2025-12-06
CURVE_12,48,0.05,2022-02-06
CURVE_12,54,0.05,2024-10-20
CURVE_12,60,0.05,2024-07-09
CURVE_12,66,0.04,2024-04-01
CURVE_12,72,0.06,2020-11-14
CURVE_12,78,0.05,2020-07-20
CURVE_12,84,0.07,2022-07-27
CURVE_12,90,0.07,2025-09-01
CURVE_12,96,0.06,2025-11-14
CURVE_12,102,0.04,2022-09-22
CURVE_12,108,0.04,2025-08-05
CURVE_12,114,0.04,2020-07-06
CURVE_12,120,0.05,2023-02-15
CURVE_13,6,0.04,2023-06-29
CURVE_13,12,0.07,2021-10-18
CURVE_13,18,0.03,2025-10-13
CURVE_13,24,0.04,2023-05-03
CURVE_13,30,0.04,2021-12-16
CURVE_13,36,0.05,2025-12-04
CURVE_13,42,0.05,2020-09-28
CURVE_13,48,0.05,2022-11-20
CURVE_13,54,0.03,2025-04-13
CURVE_13,60,0.06,2022-08-22
CURVE_13,66,0.04,2020-01-18
CURVE_13,72,0.05,2019-10-11
CURVE_13,78,0.06,2023-06-26
CURVE_13,84,0.07,2021-06-07
CURVE_13,90,0.01,2025-07-02
CURVE_13,96,0.05,2020-05-14
CURVE_13,102,0.03,2023-04-17
CURVE_13,108,0.05,2024-01-30
CURVE_13,114,0.04,2025-09-02
CURVE_13,120,0.02,2018-06-19
CURVE_14,6,0.06,2023-12-05
CURVE_14,12,0.02,2023-01-19
CURVE_14,18,0.02,2025-02-19
CURVE_14,24,0.03,2019-08-27
CURVE_14,30,0.07,2021-11-12
CURVE_14,36,0.04,2020-05-18
CURVE_14,42,0.04,2020-06-22
CURVE_14,48,0.04,2020-12-21
CURVE_14,54,0.04,2021-04-01
CURVE_14,60,0.02,2021-08-05
CURVE_14,66,0.04,2023-08-16
CURVE_14,72,0.06,2022-02-02
CURVE_14,78,0.02,2018-12-24
CURVE_14,84,0.02,2022-05-29
CURVE_14,90,0.04,2022-07-21
CURVE_14,96,0.07,2025-06-02
CURVE_14,102,0.04,2020-07-21
CURVE_14,108,0.04,2023-07-07
CURVE_14,114,0.07,2019-02-07
CURVE_14,120,0.06,2020-04-23
