treaty_id,treaty_type,coverage_start_date,coverage_end_date,ceding_company,reinsurer_name,limit_amount,retention_amount,quota_share_percent,commission_percent,profit_commission_flag
TREATY864039,Quota Share,2017-12-01,2022-10-07,Lyons-Scott,Miller and Sons,9036023.67,73611.81,80.54,9.72,True
TREATY299298,Quota Share,2018-03-11,2019-07-05,Nielsen LLC,Wells Group,7336052.61,483322.41,89.18,7.95,True
TREATY488967,XoL,2017-04-29,2019-03-29,"Jackson, Johnson and Johnson","Gonzalez, Preston and Miranda",2227997.29,126429.16,38.61,10.63,True
TREATY272151,XoL,2016-06-13,2017-06-25,Hernandez Inc,Morris-Mathews,6661493.08,946871.47,45.77,14.62,True
TREATY108341,Quota Share,2021-10-22,2026-03-05,"Rivas, Miller and Johnson",Murphy-Clark,6485675.66,993590.52,42.88,5.26,True
TREATY385536,Quota Share,2018-10-11,2021-02-20,"Anthony, Mills and Cameron",Ramirez-Mendez,9529075.79,226997.55,77.33,9.82,True
TREATY086785,Quota Share,2019-07-27,2021-11-15,Carson Inc,Gordon LLC,6166819.73,63246.06,89.99,5.27,False
TREATY493417,Surplus,2022-04-06,2025-12-06,Rhodes-Schmidt,Copeland-Barr,4008161.38,298123.12,35.92,21.45,False
TREATY982735,Surplus,2015-04-11,2018-01-19,"Preston, Sims and Mann","Coleman, Collier and Scott",4430463.72,286169.04,62.49,8.97,False
TREATY306762,Quota Share,2020-09-22,2024-12-28,"Marshall, Evans and Martin","Nguyen, Ellison and Avery",1149097.58,654521.46,54.73,22.48,False
TREATY805567,Facultative,2022-12-23,2027-12-05,"Hall, Robinson and Burch","Smith, Robinson and Smith",922402.6,478910.01,53.24,5.21,False
TREATY807781,XoL,2019-02-25,2020-04-26,Fuentes-Jones,"Greene, King and Zimmerman",6662104.7,233158.8,27.69,5.24,True
TREATY730438,Surplus,2019-08-18,2021-02-22,"Fleming, Brown and Day",Kemp-Anderson,7785460.02,364930.77,77.44,15.45,True
TREATY702017,XoL,2017-01-10,2020-08-02,Ritter-Hester,Adams-Goodwin,9229393.61,744160.28,12.6,17.5,False
TREATY779742,XoL,2021-01-16,2024-10-26,Massey-Christensen,Gonzales-Harrington,2302823.12,963199.85,61.85,18.63,False
TREATY378040,Facultative,2015-04-17,2020-02-29,Davis LLC,Price and Sons,2609938.69,533817.61,51.27,9.27,True
TREATY134660,XoL,2023-02-05,2027-03-21,Roberts LLC,Mitchell-Adams,9114900.82,431397.3,29.02,11.41,False
TREATY889300,Quota Share,2018-03-01,2022-05-01,Dorsey and Sons,Ball-Rogers,1836043.58,730170.45,84.47,24.7,True
TREATY668110,Quota Share,2023-02-10,2026-04-04,Garrison-Cooper,"Padilla, Rodriguez and Villarreal",1837269.82,606135.1,81.14,15.3,True
TREATY620073,Facultative,2021-04-13,2025-09-07,Glenn Group,Navarro Group,9146332.22,59491.92,84.11,18.74,True
TREATY870558,Surplus,2018-05-03,2021-04-17,Donovan Ltd,White-Kirby,6601963.13,67363.08,55.88,5.92,True
TREATY024689,XoL,2023-11-22,2025-12-10,Conrad and Sons,Zavala-Weaver,6705880.55,126023.97,43.93,11.17,True
TREATY693351,Facultative,2023-03-01,2025-04-06,Glenn Group,"Castillo, Cisneros and Lewis",1803861.75,402262.42,35.21,16.31,False
TREATY786282,XoL,2021-04-01,2023-11-18,"Perez, Alexander and Williams","Hill, Hutchinson and Alvarez",3191037.74,850711.67,45.86,7.22,True
TREATY868850,XoL,2017-06-25,2022-04-13,Wall Inc,"Curtis, Hays and Davis",9431075.64,928429.43,10.36,13.61,True
TREATY266953,XoL,2021-09-28,2025-01-29,Hendrix-Ramirez,Martinez-White,5668717.93,601259.93,84.52,9.8,True
TREATY173623,Quota Share,2020-08-06,2021-09-08,"Rose, Long and Lin",Cochran-Franco,9993921.4,594781.37,38.91,20.3,True
TREATY494959,Surplus,2019-04-14,2023-08-13,Miranda-Coleman,"Scott, Horton and Smith",345216.54,697036.97,34.68,24.87,True
TREATY787650,Surplus,2017-11-15,2021-03-18,Taylor Inc,Shelton PLC,3213364.15,386964.87,18.8,19.87,True
TREATY422008,Facultative,2018-04-08,2023-01-11,"Olson, Vincent and Reyes","Williams, Stewart and Wright",2465356.56,199605.94,53.74,17.34,False
TREATY991304,Facultative,2019-03-02,2023-08-09,Jones-Martin,"Owens, White and Cruz",4806006.96,946762.94,80.0,21.91,False
TREATY715181,Surplus,2019-04-11,2023-08-31,"Oconnor, Gardner and Cruz","Cruz, Castro and Gardner",9615090.97,906603.19,18.48,15.81,True
TREATY369988,Facultative,2023-11-15,2027-07-09,"Bush, Robinson and Baker",Roberson-Carpenter,7873177.76,981178.2,81.43,15.15,True
TREATY345521,Surplus,2020-02-04,2021-03-04,"Smith, Smith and Cole",Hall-Johnson,9591303.44,800240.38,55.4,15.96,True
TREATY893868,Surplus,2018-12-11,2022-08-31,Miller Inc,"Smith, Ward and Foster",3982854.51,842981.6,76.47,15.57,False
TREATY475073,Quota Share,2016-04-14,2020-06-28,Munoz Inc,"Bishop, Orozco and Bryant",3530213.28,733819.49,73.7,11.43,True
TREATY441239,XoL,2021-05-02,2023-05-24,"Thomas, Bates and Murphy","Perry, Stone and Landry",7685979.28,793368.72,44.44,15.67,False
TREATY980231,Surplus,2020-11-04,2022-06-15,White PLC,Martin-Anthony,6951770.97,706689.82,49.86,21.39,False
TREATY959054,Facultative,2018-07-15,2021-10-17,"Yates, Leon and Perez","Cannon, Martinez and Johnson",2276206.72,153298.08,50.38,18.42,False
TREATY283247,Surplus,2015-08-18,2016-08-29,"Dunn, Watson and Pratt",Vargas-Black,5048880.05,163056.67,13.19,14.0,True
TREATY674284,XoL,2018-07-02,2020-02-13,Griffin-Williamson,Webb PLC,5693304.56,320600.71,72.93,5.63,True
TREATY370953,XoL,2023-08-25,2024-09-11,Lozano Ltd,Gibson-Campbell,3760809.19,153712.9,41.64,13.96,True
TREATY499770,Quota Share,2020-07-22,2024-05-10,"Blair, Prince and Fisher",Taylor-Jackson,5358875.23,356220.93,56.15,18.92,False
TREATY960081,Facultative,2019-04-19,2020-06-22,"Jones, Pham and Williams","Fields, Mcclain and Holden",1743103.93,423943.06,83.07,15.58,True
TREATY019962,Facultative,2023-09-21,2028-09-03,Howard-Flores,Howard LLC,4237299.32,828233.95,50.59,19.77,True
TREATY667424,Surplus,2021-08-20,2022-10-04,Vaughn-Mann,Landry-Ortiz,9286796.09,182386.56,69.58,14.55,False
TREATY545035,Quota Share,2016-06-07,2018-04-04,"Peterson, Rasmussen and Rodgers","Austin, Figueroa and Moore",8442571.27,768588.71,53.89,21.94,True
TREATY083671,XoL,2022-02-11,2025-05-20,"Gray, Carney and Brady",Nelson Group,7646308.92,526141.09,59.84,13.54,True
TREATY966562,Surplus,2017-09-10,2019-01-29,Mills Ltd,"Ortiz, Rodriguez and Freeman",2714635.81,372745.76,45.15,15.71,True
TREATY514375,Facultative,2022-06-14,2025-11-30,"Torres, Clark and Carter","Pope, Brown and Rogers",8093220.65,407635.12,78.85,12.5,True
TREATY732795,Surplus,2015-05-28,2017-10-06,Allison-Barajas,Evans Ltd,8441256.61,578069.9,55.08,10.58,True
TREATY085629,XoL,2021-04-30,2025-02-27,Lewis-Wilson,"Malone, Moore and Phelps",4152719.5,860507.79,72.36,5.53,False
TREATY199725,Quota Share,2015-07-01,2018-06-30,Murphy PLC,Soto Inc,2233666.05,238607.09,73.22,18.7,True
TREATY862140,Quota Share,2022-03-16,2026-12-28,"Molina, Kim and Jenkins",Anderson Group,4272067.23,640691.38,24.5,18.85,True
TREATY312379,Surplus,2020-02-02,2024-11-04,"Carey, Day and May",Dixon Inc,8541411.32,607487.3,72.15,8.43,True
TREATY208278,Surplus,2017-08-25,2019-01-07,"Smith, Mays and Harris",Terrell LLC,2635314.36,630664.35,52.3,15.68,True
TREATY409238,Facultative,2018-11-02,2021-12-06,Johnson-Christensen,Castro LLC,1052244.48,622036.5,47.1,14.17,False
TREATY036764,Quota Share,2015-02-15,2018-08-09,Valencia-Lewis,"Davis, Fisher and Johnson",6156623.21,690710.93,61.68,22.32,True
TREATY863210,Facultative,2020-05-02,2023-09-03,Walters PLC,"Jimenez, Thompson and Andrade",1219425.05,380977.06,46.94,12.37,False
TREATY184365,Facultative,2020-10-03,2024-12-02,"Hall, Simon and Reyes",Stafford Group,9508646.13,218939.45,44.6,6.3,True
TREATY152506,Facultative,2016-09-16,2021-05-09,"Cervantes, Alexander and Savage","York, Mckay and Lawson",6878019.15,582581.23,77.93,8.44,False
TREATY490215,Quota Share,2022-09-11,2026-10-22,Smith-Reynolds,"Page, Blackburn and Ward",8676397.08,558832.16,77.25,21.74,True
TREATY738283,Surplus,2017-03-03,2019-04-11,"Garner, Norton and Jones",West-Peters,8010867.32,228638.98,39.97,7.37,True
TREATY908773,Quota Share,2018-01-08,2021-10-06,Payne Group,King-Smith,4749001.28,79184.54,52.71,10.53,True
TREATY373895,Quota Share,2019-10-31,2022-02-02,Brooks Ltd,Powell-Montgomery,5342672.09,105640.94,55.87,19.68,True
TREATY722596,Quota Share,2018-07-04,2022-09-18,Freeman-Patel,Roberts and Sons,2908675.77,510696.07,33.91,14.33,True
TREATY149206,XoL,2021-12-01,2026-09-04,Dean and Sons,"Reid, Willis and Crane",8934489.42,198444.23,29.22,17.24,False
TREATY235986,Surplus,2023-05-02,2024-07-29,Moore-Andrews,"Davidson, Li and Torres",1005860.79,888081.26,28.15,13.29,True
TREATY306381,Facultative,2022-05-10,2024-06-27,Murphy Ltd,"Vazquez, Benitez and Jennings",9525076.44,252443.81,59.57,17.29,True
TREATY034379,Surplus,2017-01-23,2018-02-06,"Johnson, Sherman and Flores",Figueroa Ltd,6661351.67,369514.11,66.53,23.47,False
TREATY357878,Surplus,2015-12-04,2017-10-20,King-Johnson,Williams Group,2936923.98,714934.77,85.84,14.38,False
TREATY634203,Quota Share,2016-01-27,2018-07-23,Barnes-Rivera,"Johnson, Morton and Davis",4050075.36,265498.56,13.62,18.88,False
TREATY495934,Quota Share,2016-03-15,2018-05-29,Li-Larsen,"Hansen, Morales and Smith",5767823.03,764427.11,13.56,15.44,True
TREATY703851,XoL,2015-05-12,2017-01-12,"Carlson, Brown and Young",Mckinney-Wood,261855.73,467621.98,88.68,13.49,True
TREATY088807,XoL,2021-03-29,2026-01-12,Kane LLC,"Kelley, Jordan and Reyes",7464975.79,205369.85,63.55,22.8,True
TREATY326555,XoL,2021-12-16,2026-12-09,Day PLC,"Smith, Nicholson and Delacruz",9963719.17,510649.34,47.92,13.5,False
TREATY606610,Facultative,2016-04-11,2019-05-28,Lindsey-Larson,"Miller, Lopez and Barker",9805957.52,73102.16,14.13,5.78,False
TREATY787697,XoL,2015-09-29,2020-08-13,"Clarke, Fry and Brown","Green, Barnes and Beasley",7751863.88,366851.91,55.53,10.03,False
TREATY897372,Quota Share,2019-05-05,2023-12-30,Holloway Inc,Gross-Phillips,7390913.05,438449.45,82.84,8.97,True
TREATY961835,XoL,2018-11-01,2020-08-17,Sanford Inc,Underwood PLC,6563511.12,369080.77,78.32,14.69,True
TREATY680259,Facultative,2017-04-01,2018-12-10,"Clark, Nicholson and Carter",Nguyen and Sons,2816041.26,293444.57,72.37,8.55,True
TREATY267680,XoL,2020-03-19,2024-09-12,Rogers LLC,Jackson-Curry,5834415.48,952920.06,36.89,18.04,False
TREATY921547,Surplus,2021-04-04,2023-07-27,Costa-Stone,Kidd-Quinn,250548.8,520607.84,58.79,20.7,True
TREATY789168,Facultative,2019-03-04,2022-01-05,"Thompson, Cunningham and Young",Fernandez-Martinez,6434394.18,63439.92,55.23,22.93,False
TREATY300112,XoL,2020-09-22,2024-05-24,"Graham, Armstrong and Hamilton",Miller-Thompson,6081185.41,66983.02,40.15,15.19,True
TREATY108351,Quota Share,2017-03-30,2018-12-13,Mcdaniel-Daniels,Bell-Jones,120760.16,187827.24,82.38,5.88,False
TREATY389832,Facultative,2018-09-29,2023-01-24,Turner LLC,"Mcclain, Contreras and Andersen",8572950.02,965928.31,12.68,7.65,True
TREATY999681,Surplus,2023-03-25,2027-01-01,Cunningham Group,"Benton, Roberts and Bailey",4702938.92,320294.49,46.52,18.3,True
TREATY676987,Surplus,2021-05-01,2022-10-20,"Taylor, Harrington and Coleman","Fleming, Baker and Martinez",9064144.53,327081.21,79.21,13.53,False
TREATY372729,XoL,2018-10-26,2021-12-22,Baker-Spencer,"Velasquez, Schwartz and Nelson",9813752.46,218520.42,36.36,22.95,True
TREATY829359,XoL,2016-03-17,2019-02-12,Turner Group,King Ltd,3986625.36,320680.63,31.99,12.19,True
TREATY341297,Facultative,2017-12-25,2021-03-27,"Townsend, Lester and Chavez","Dixon, Morales and Nelson",7102342.49,540462.78,30.12,21.99,True
TREATY674003,Facultative,2015-01-14,2019-10-15,"Rowe, Rush and Orr",Huffman Inc,883522.65,599985.33,50.82,7.71,False
TREATY101645,Facultative,2021-01-25,2023-01-03,"Reese, Morrison and Miller",Wells and Sons,5993783.13,211965.94,26.42,23.24,False
TREATY873532,Surplus,2015-07-04,2019-06-23,Roberts-Patel,Wiley and Sons,5133290.7,830042.37,82.06,10.08,True
TREATY156770,XoL,2022-01-12,2025-09-10,"Williams, Smith and Nelson",Michael-Gilbert,345799.97,168024.48,36.84,14.53,False
TREATY310775,Quota Share,2020-01-03,2022-12-01,Oneal Ltd,"Jordan, Elliott and Miranda",8424373.58,299797.67,46.86,8.98,True
TREATY531136,XoL,2021-03-03,2025-12-23,"Hill, Hall and Jackson","Perry, Myers and Frye",4792924.18,171084.19,38.24,14.8,True
TREATY852985,Quota Share,2015-03-16,2017-02-04,"Rhodes, Norman and Guzman",Martin-Webb,8604499.07,206720.96,86.31,17.45,True
TREATY179860,Facultative,2016-08-22,2021-01-26,"Fox, Turner and Robertson","Lowery, Johnson and Manning",9313280.04,454711.31,30.61,6.54,False
TREATY474794,XoL,2016-03-21,2019-06-29,"White, Brewer and Swanson","Moyer, Sawyer and Wilson",9545762.86,477710.46,60.35,11.03,True
TREATY021201,Quota Share,2022-03-07,2024-07-23,"Hunt, Gonzalez and Cole",Lin LLC,4312601.43,181623.45,62.27,23.39,True
TREATY619175,Quota Share,2015-09-17,2020-09-04,Daniels Inc,Dyer LLC,6849446.17,341731.11,71.46,22.47,True
TREATY732985,XoL,2015-04-02,2018-09-28,Baker-Wiggins,"Norris, Lee and Perkins",728508.84,719180.75,19.66,19.63,True
TREATY746182,Facultative,2018-05-25,2022-04-12,"Guzman, Phelps and Daniel",Evans Group,4034172.33,147112.07,72.04,10.26,True
TREATY563452,XoL,2016-08-07,2018-01-09,Walker-Greer,Stewart Inc,8436046.89,227203.88,68.14,12.87,True
TREATY495966,Facultative,2022-06-17,2026-11-22,Mahoney LLC,Cameron and Sons,4808543.61,545892.88,89.53,22.26,True
TREATY419599,Quota Share,2015-10-22,2018-04-10,Williams-Miles,"Richardson, Wright and Ortiz",5391287.36,185009.97,62.87,20.7,True
TREATY438742,Surplus,2015-11-23,2018-11-25,Dixon-Davis,Kelley PLC,6981329.65,930570.99,68.31,23.42,True
TREATY045069,Facultative,2023-11-26,2026-11-10,"Ross, Thomas and Gonzalez",Schwartz Ltd,6025207.73,834548.26,48.2,7.88,False
TREATY618797,Surplus,2016-08-21,2018-10-19,Rice Group,Joyce-Krueger,4733291.24,411829.26,79.96,9.98,False
TREATY602253,Surplus,2018-04-01,2020-02-17,Scott Inc,"Solomon, Schultz and Martin",8988547.5,678064.32,56.13,10.03,True
TREATY956310,Quota Share,2019-06-03,2022-07-16,Callahan-Martinez,Sullivan-Kelly,9195959.1,429267.33,85.04,6.33,True
TREATY514609,XoL,2016-09-20,2019-04-22,Ortiz Inc,Moran-Tucker,5569981.31,638377.11,68.07,23.23,True
TREATY478200,XoL,2021-02-17,2025-06-30,Figueroa-Young,"Williams, Perez and Howell",7207988.56,687817.41,43.16,24.34,False
TREATY515401,Facultative,2023-11-21,2028-08-04,"Rollins, Hernandez and Phelps",Gonzales-Barnett,9416170.31,124307.62,36.79,22.67,False
TREATY434984,XoL,2015-01-07,2017-04-27,Alexander-Carr,Schneider Group,2861410.59,780338.79,16.11,6.69,True
TREATY916514,XoL,2022-12-09,2025-01-18,Hensley Inc,"Bowman, Christensen and Allison",928453.72,658123.83,13.88,22.26,True
TREATY081970,Quota Share,2016-03-18,2020-08-15,"Henderson, Miller and Miller",Nash-Gonzalez,7331219.57,281990.21,58.73,8.16,False
TREATY584351,XoL,2022-04-19,2026-05-20,"Terry, Jones and Escobar","Taylor, Daniels and Peters",9553240.31,867528.22,43.18,10.79,True
TREATY778266,Quota Share,2022-11-13,2027-11-01,Fernandez-Watson,"Johnson, Murray and Cobb",5808170.69,326215.4,55.23,16.3,False
TREATY600460,Surplus,2021-12-08,2025-01-27,"Gordon, Roth and Floyd","Taylor, Black and Moore",9692016.26,280010.15,27.26,6.12,False
TREATY620556,XoL,2018-12-31,2022-06-21,"Rogers, Ramsey and Garcia",Martinez and Sons,3673473.77,584580.92,75.01,21.57,False
TREATY903386,Quota Share,2017-05-14,2021-09-28,"Wilson, Woodard and Murphy","Mclaughlin, Horton and Allen",9890128.66,140054.96,37.37,18.07,True
TREATY152701,XoL,2019-06-02,2021-06-06,Wilkinson-Park,"Cantu, Mitchell and Murray",6167356.5,432616.91,88.08,7.62,True
TREATY230234,Facultative,2017-01-22,2020-10-17,Larson-Johnson,"Owen, Anderson and Walters",5360404.15,922429.32,72.77,7.93,False
TREATY142696,Surplus,2023-05-20,2027-03-29,Horton Ltd,Johnson Ltd,5692504.73,804707.34,76.14,16.52,True
TREATY625353,Quota Share,2023-05-30,2025-02-17,Thomas Group,Kennedy-Reed,2575025.99,658828.76,58.83,21.05,False
TREATY498977,Quota Share,2023-10-16,2026-09-14,Foley-Lee,Pena and Sons,3686770.16,960956.87,86.64,15.27,True
TREATY246380,Quota Share,2022-12-31,2027-11-09,Clayton-Miller,Shepard-Summers,8458274.97,233105.26,13.4,11.25,False
TREATY565529,Facultative,2021-08-19,2024-07-16,"Anderson, Chavez and Key",Kerr and Sons,8711138.07,881171.56,51.11,19.79,True
TREATY880986,Facultative,2018-04-17,2020-09-19,"Mason, Heath and Schultz",Steele-Alvarez,6881423.93,910226.79,49.78,12.91,True
TREATY939539,XoL,2016-06-05,2019-09-24,Meyer Group,Thompson Ltd,9954038.11,927737.88,60.94,9.0,False
TREATY641473,Quota Share,2022-07-09,2025-01-16,Bryant Inc,"Gregory, Williams and Johnson",9967877.62,323359.5,16.82,10.57,False
TREATY248156,Surplus,2019-08-25,2020-08-30,"Reid, White and Austin",Fowler-Moon,3758637.68,619933.7,51.59,21.02,True
TREATY791844,Quota Share,2021-02-17,2025-09-20,Wiggins-Rodriguez,"Morales, Cole and Monroe",3047993.89,305396.89,82.12,5.74,True
TREATY194543,Surplus,2022-11-06,2026-02-12,Smith-Estrada,Obrien Inc,2351068.38,371833.11,85.94,14.41,False
TREATY960290,XoL,2022-09-20,2024-10-01,Smith-Herring,Osborne-Hoffman,7719970.75,768558.19,86.25,10.87,True
TREATY707872,Quota Share,2017-08-17,2018-09-29,Hayden-Reed,"Holmes, Russo and Norman",5152635.4,541484.45,27.99,17.83,False
TREATY658734,Facultative,2020-07-16,2024-11-20,Barajas LLC,"Manning, Perry and Farmer",4774215.62,273749.58,76.68,11.97,False
TREATY329906,XoL,2015-10-16,2018-12-29,"Stuart, Walsh and Patel",Hunter-Klein,9136659.19,63001.23,58.05,15.57,True
TREATY355493,XoL,2019-06-27,2024-06-05,"Bailey, Mercado and Jones",Morris-Wilson,3398611.31,936766.5,43.8,23.92,False
TREATY925875,Facultative,2018-12-04,2020-12-07,"Phillips, Baker and Simmons",Douglas Ltd,616670.46,945972.64,43.31,15.65,False
TREATY235924,Surplus,2022-04-10,2023-07-27,"Turner, Thompson and Cooper","Le, Payne and Hernandez",6047394.52,127583.0,84.09,23.48,True
TREATY741211,Facultative,2015-06-04,2018-09-28,Johnson Ltd,Charles PLC,1965119.35,376681.3,73.68,17.62,True
TREATY734230,XoL,2017-04-23,2020-08-10,"Johnson, Williamson and Singleton",Scott Inc,8780941.15,950792.43,71.41,12.26,False
TREATY692569,XoL,2017-04-12,2021-02-15,Johnson-Doyle,"Sanchez, Jackson and Leach",2918609.03,311629.4,33.75,17.41,False
TREATY300110,Quota Share,2016-08-14,2018-03-30,Clark PLC,Leblanc-Murphy,3496227.95,117612.72,68.68,19.71,True
TREATY508315,Facultative,2023-10-08,2025-06-19,Johnson Ltd,"Allen, Smith and Johnson",3436942.25,257923.9,37.41,20.58,False
TREATY818355,Quota Share,2015-12-16,2017-06-14,Snyder-Morgan,"Rivera, Romero and Rivera",6710210.3,999592.71,61.05,12.28,False
TREATY118927,Facultative,2017-05-26,2019-09-01,Murillo-Holland,Evans Inc,5045656.06,401439.72,87.72,6.66,True
TREATY257433,Facultative,2017-09-09,2021-10-03,Craig LLC,Cardenas and Sons,3895105.74,534158.4,20.34,7.68,True
TREATY477986,Quota Share,2019-06-05,2020-11-30,"Ross, Hunter and Robinson","Lawson, Adams and Bonilla",5395793.47,762000.11,73.63,18.14,False
TREATY810654,Surplus,2018-10-22,2019-11-28,Ramirez-Walker,"Harris, Hernandez and Soto",9830139.57,341482.57,48.48,5.55,False
TREATY961671,Surplus,2020-11-19,2024-03-10,"Joseph, Snow and Hall","Russell, Burch and Reyes",7532052.12,176408.71,57.88,18.07,True
TREATY563192,Surplus,2017-12-31,2020-02-26,"Rodriguez, Bishop and Williamson","Miller, Williams and Wallace",9992713.15,395563.26,53.42,19.62,True
