scenario_id,description,premium_growth_rate,claim_frequency_shift,catastrophe_factor,discount_curve_override,lapse_rate,run_date
SCEN_ee9f5e,Line church history letter entire build.,0.05,0.11,2.31,CURVE_4,0.1,2022-03-28
SCEN_e600ae,Though make away director per continue.,0.11,0.17,2.29,CURVE_2,0.07,2025-01-26
SCEN_6899a6,Series not senior strategy.,0.11,0.15,2.48,CURVE_1,0.05,2019-09-10
SCEN_48d18d,Your bar station argue not.,0.01,-0.04,2.35,CURVE_1,0.02,2025-05-28
SCEN_05160d,Music federal determine start.,0.1,0.11,1.69,CURVE_4,0.03,2023-12-19
SCEN_88fb77,Prevent century though.,0.05,0.19,2.15,CURVE_1,0.05,2023-12-19
SCEN_0cefdf,Actually my owner.,0.01,-0.02,1.42,CURVE_3,0.08,2020-09-01
SCEN_f47528,Set event may fund sort.,0.04,0.15,1.82,CURVE_1,0.08,2023-01-14
SCEN_c2b7e8,Power six practice standard story act.,0.09,0.18,2.45,CURVE_1,0.09,2023-06-03
SCEN_85b463,Upon else career sound.,0.14,0.13,1.59,CURVE_4,0.06,2023-01-14
SCEN_b066f9,Whose always rather center.,0.05,0.17,1.27,CURVE_4,0.02,2023-04-12
SCEN_8ab0d9,Region south health.,0.06,0.14,1.57,CURVE_4,0.07,2020-01-29
SCEN_2ea803,Show success north face.,0.1,-0.05,1.62,CURVE_4,0.09,2025-01-18
SCEN_f88f09,Base road those young in.,0.09,-0.03,2.45,CURVE_1,0.07,2024-09-14
SCEN_d7e1a4,Wrong table unit add those.,0.04,0.03,1.91,CURVE_1,0.04,2021-06-20
SCEN_4bf83e,Top available friend in result individual.,0.1,0.15,1.34,CURVE_2,0.07,2020-03-12
SCEN_75da83,Serve nearly forward add.,0.06,0.02,1.4,CURVE_4,0.06,2023-05-10
SCEN_71d74f,Find democratic free open.,0.05,0.13,2.41,CURVE_5,0.08,2021-04-29
SCEN_407608,Another put prove common official.,0.06,0.2,1.48,CURVE_5,0.09,2019-04-22
SCEN_ac865c,Article collection on break.,0.12,0.16,1.91,CURVE_4,0.09,2024-03-21
SCEN_ba69f1,Agency who price.,0.01,0.02,2.02,CURVE_5,0.01,2024-11-10
SCEN_1fc471,Civil join see claim prove.,0.11,0.04,0.97,CURVE_1,0.08,2018-08-10
SCEN_865823,House fly but single body per.,0.12,0.09,1.89,CURVE_2,0.08,2018-08-14
SCEN_74591f,Piece well who past too he.,0.11,-0.02,2.26,CURVE_4,0.01,2020-01-06
SCEN_c9fdac,Drop approach help city purpose.,0.07,0.17,1.63,CURVE_5,0.05,2020-01-08
SCEN_0a1264,Fill professor find.,0.03,0.14,1.0,CURVE_2,0.04,2023-05-04
SCEN_a48afd,Daughter play seat.,0.09,0.14,1.15,CURVE_5,0.02,2020-12-12
SCEN_207ed3,Accept police letter.,0.05,0.02,0.99,CURVE_3,0.06,2023-12-13
SCEN_abfd09,Floor where him store.,0.12,0.09,2.03,CURVE_2,0.09,2024-07-03
SCEN_09ac29,Measure capital civil while.,0.1,0.11,2.03,CURVE_3,0.08,2018-07-30
SCEN_32b79f,Firm tax create common personal crime.,0.11,0.03,1.25,CURVE_5,0.07,2019-08-04
SCEN_8468fb,Along here fast scientist.,0.1,0.12,1.71,CURVE_5,0.02,2018-06-20
SCEN_2c33f3,Create take down American.,0.11,0.12,1.52,CURVE_1,0.02,2024-12-08
SCEN_e5e670,Art fact leave often campaign our.,0.14,-0.05,2.34,CURVE_4,0.08,2021-01-10
SCEN_a691af,Allow wind perhaps foreign up let.,0.06,0.06,1.27,CURVE_3,0.08,2019-04-19
SCEN_51cd9e,Give imagine claim ago.,0.11,-0.02,1.69,CURVE_1,0.07,2019-09-08
SCEN_c3951f,Religious case edge.,0.07,0.2,2.24,CURVE_2,0.06,2018-02-06
SCEN_3d5453,Few stand avoid increase success item.,0.03,0.15,2.47,CURVE_3,0.09,2021-06-10
SCEN_727b66,Society country bad adult mother.,0.03,0.05,1.54,CURVE_1,0.09,2018-07-29
SCEN_6b08fe,Teacher learn head I.,0.14,0.04,1.42,CURVE_3,0.01,2021-11-21
SCEN_f9b89c,Recent quickly government speak.,0.08,0.13,1.62,CURVE_4,0.02,2025-03-23
SCEN_723828,Win health grow.,0.09,0.03,1.99,CURVE_1,0.04,2018-03-18
SCEN_5988b1,Travel approach general it.,0.12,-0.02,1.92,CURVE_2,0.03,2019-12-20
SCEN_f54392,Begin sure song.,0.03,0.18,2.01,CURVE_5,0.09,2023-06-03
SCEN_e67ece,Anything responsibility seat no pick him.,0.14,-0.01,1.59,CURVE_3,0.04,2018-04-27
SCEN_7c6403,Clear specific almost.,0.13,0.19,1.94,CURVE_1,0.01,2019-12-28
SCEN_e383ed,Mind almost effort while explain media.,0.03,0.1,2.38,CURVE_1,0.06,2022-03-22
SCEN_679f59,Scientist program light instead sport paper.,0.07,0.16,1.06,CURVE_5,0.04,2018-09-21
SCEN_6019ea,Magazine always structure event close.,0.05,0.18,2.27,CURVE_1,0.09,2018-10-11
SCEN_7ca79d,Value edge have huge soon same.,0.09,-0.03,1.13,CURVE_2,0.02,2018-07-10
SCEN_8eb43f,Political five focus.,0.14,0.03,2.1,CURVE_5,0.05,2023-09-06
SCEN_f7d111,Husband into my less economy might.,0.07,-0.04,2.0,CURVE_5,0.02,2024-05-03
SCEN_9afc36,Involve history across shoulder type suggest.,0.06,-0.03,1.97,CURVE_5,0.09,2022-01-30
SCEN_d51e68,Store fill involve front though.,0.12,0.09,1.66,CURVE_4,0.09,2018-03-31
SCEN_8132cb,Once whole become economic.,0.09,0.15,1.08,CURVE_1,0.08,2024-05-18
SCEN_02ab66,Eye low join address stage.,0.06,-0.05,1.69,CURVE_4,0.07,2022-09-29
SCEN_461f78,Age bring much.,0.11,0.19,2.26,CURVE_3,0.08,2023-09-09
SCEN_819024,Money enough wear.,0.02,0.1,1.27,CURVE_4,0.06,2022-06-17
SCEN_badf53,Reason approach administration employee heavy season.,0.14,0.04,1.06,CURVE_5,0.05,2025-04-02
SCEN_c8ad5e,Because station particular wait easy.,0.08,0.04,1.46,CURVE_4,0.03,2021-01-28
SCEN_93bf55,Along player town interest.,0.08,0.06,2.16,CURVE_2,0.08,2023-06-14
SCEN_93ab69,Feel major after.,0.11,0.04,1.28,CURVE_1,0.05,2021-07-27
SCEN_43c20c,Require begin foot argue former.,0.11,0.18,1.17,CURVE_3,0.02,2022-07-31
SCEN_661cd2,Clearly exist shake since.,0.07,0.14,2.4,CURVE_1,0.08,2021-11-29
SCEN_00400a,Plant leg almost lot kind candidate.,0.02,-0.01,2.21,CURVE_5,0.09,2021-11-20
SCEN_54f80b,Continue foot with population coach.,0.07,0.07,2.48,CURVE_5,0.02,2024-02-08
SCEN_817539,Discuss attack program industry outside there.,0.07,0.08,1.34,CURVE_5,0.01,2021-07-08
