id,projectID,projectName,overallBudget,startDate,plannedEndDate,actualEndDate
proj_42,PROJECT-1042,MegaDataCenter_42,179895923.18,2024-01-19T11:28:06,2025-07-30T11:28:06,
proj_43,PROJECT-1043,MegaDataCenter_43,61779837.44,2023-07-12T22:55:34,2024-08-24T22:55:34,
proj_44,PROJECT-1044,MegaDataCenter_44,52708434.86,2023-05-04T07:17:02,2024-04-28T07:17:02,
proj_45,PROJECT-1045,MegaDataCenter_45,336115674.32,2023-03-03T19:22:59,2024-08-06T19:22:59,
proj_46,PROJECT-1046,MegaDataCenter_46,272080720.55,2023-12-20T14:30:25,2024-10-27T14:30:25,
proj_47,PROJECT-1047,MegaDataCenter_47,54264623.44,2023-09-30T02:32:32,2025-07-03T02:32:32,
proj_48,PROJECT-1048,MegaDataCenter_48,357279336.31,2023-04-05T16:27:48,2024-05-28T16:27:48,
proj_49,PROJECT-1049,MegaDataCenter_49,348671864.69,2023-04-27T08:30:11,2024-11-18T08:30:11,
proj_50,PROJECT-1050,MegaDataCenter_50,446871814.55,2024-02-04T12:27:16,2025-02-25T12:27:16,
proj_51,PROJECT-1051,MegaDataCenter_51,460276857.52,2023-11-12T20:18:00,2024-12-24T20:18:00,
proj_52,PROJECT-1052,MegaDataCenter_52,235983482.05,2023-06-20T00:29:37,2024-05-01T00:29:37,
proj_53,PROJECT-1053,MegaDataCenter_53,375615230.11,2023-10-20T05:21:31,2025-05-27T05:21:31,
proj_54,PROJECT-1054,MegaDataCenter_54,370860362.76,2023-12-26T11:04:19,2025-02-23T11:04:19,
proj_55,PROJECT-1055,MegaDataCenter_55,364901454.34,2023-11-11T07:12:54,2025-10-31T07:12:54,
proj_56,PROJECT-1056,MegaDataCenter_56,74311177.23,2023-12-25T00:26:25,2025-07-09T00:26:25,
proj_57,PROJECT-1057,MegaDataCenter_57,260328669.95,2023-02-24T21:47:26,2025-01-22T21:47:26,
proj_58,PROJECT-1058,MegaDataCenter_58,140309950.1,2023-12-05T09:09:34,2025-01-31T09:09:34,
proj_59,PROJECT-1059,MegaDataCenter_59,66863679.39,2023-05-23T03:28:23,2024-06-08T03:28:23,
proj_60,PROJECT-1060,MegaDataCenter_60,441634370.12,2023-05-18T06:11:57,2024-04-14T06:11:57,
proj_61,PROJECT-1061,MegaDataCenter_61,266981935.21,2023-05-12T20:25:36,2025-07-19T20:25:36,
proj_62,PROJECT-1062,MegaDataCenter_62,479698911.71,2023-07-24T09:48:14,2024-07-02T09:48:14,
proj_63,PROJECT-1063,MegaDataCenter_63,259576568.24,2023-10-04T00:51:14,2024-09-10T00:51:14,
proj_64,PROJECT-1064,MegaDataCenter_64,197351748.57,2023-10-12T21:01:25,2025-09-18T21:01:25,
proj_65,PROJECT-1065,MegaDataCenter_65,32324425.83,2023-04-25T17:11:32,2024-02-23T17:11:32,
proj_66,PROJECT-1066,MegaDataCenter_66,28387138.62,2023-09-19T15:23:24,2025-04-06T15:23:24,
proj_67,PROJECT-1067,MegaDataCenter_67,198507969.93,2023-12-24T14:19:55,2025-11-28T14:19:55,
proj_68,PROJECT-1068,MegaDataCenter_68,261221330.5,2024-01-29T00:44:53,2025-07-23T00:44:53,
proj_69,PROJECT-1069,MegaDataCenter_69,296071715.07,2023-05-12T01:14:15,2024-03-15T01:14:15,
proj_70,PROJECT-1070,MegaDataCenter_70,338907208.17,2024-02-12T08:51:28,2025-07-29T08:51:28,
proj_71,PROJECT-1071,MegaDataCenter_71,254331684.04,2024-01-19T16:10:52,2025-11-03T16:10:52,
proj_72,PROJECT-1072,MegaDataCenter_72,36890955.56,2023-11-19T05:45:31,2024-12-26T05:45:31,
proj_73,PROJECT-1073,MegaDataCenter_73,464065868.33,2023-10-03T09:13:59,2025-05-27T09:13:59,
proj_74,PROJECT-1074,MegaDataCenter_74,377734987.49,2023-09-03T07:25:52,2024-12-03T07:25:52,
proj_75,PROJECT-1075,MegaDataCenter_75,476892202.52,2023-11-20T13:30:59,2025-04-09T13:30:59,
proj_76,PROJECT-1076,MegaDataCenter_76,354895749.56,2023-04-05T06:36:42,2024-10-16T06:36:42,
proj_77,PROJECT-1077,MegaDataCenter_77,296786543.39,2023-11-30T18:05:09,2025-08-15T18:05:09,
proj_78,PROJECT-1078,MegaDataCenter_78,28722648.36,2023-03-20T22:45:08,2024-11-08T22:45:08,
proj_79,PROJECT-1079,MegaDataCenter_79,440815798.17,2023-05-30T10:32:49,2025-03-09T10:32:49,
proj_80,PROJECT-1080,MegaDataCenter_80,201911669.44,2023-07-21T22:55:05,2024-08-01T22:55:05,
proj_81,PROJECT-1081,MegaDataCenter_81,243407756.6,2023-07-12T01:52:12,2024-09-08T01:52:12,
proj_82,PROJECT-1082,MegaDataCenter_82,289621737.38,2023-05-28T22:18:00,2024-05-25T22:18:00,
proj_83,PROJECT-1083,MegaDataCenter_83,91868889.68,2023-11-06T16:49:42,2025-12-28T16:49:42,
proj_84,PROJECT-1084,MegaDataCenter_84,95869038.74,2023-08-02T13:30:15,2024-12-28T13:30:15,
proj_85,PROJECT-1085,MegaDataCenter_85,439273314.63,2023-03-26T17:54:50,2025-04-14T17:54:50,
proj_86,PROJECT-1086,MegaDataCenter_86,222463617.09,2024-01-17T20:53:09,2025-03-18T20:53:09,
proj_87,PROJECT-1087,MegaDataCenter_87,398497466.06,2023-03-12T23:56:36,2024-06-01T23:56:36,
proj_88,PROJECT-1088,MegaDataCenter_88,125418910.8,2023-05-31T15:47:02,2024-05-31T15:47:02,
proj_89,PROJECT-1089,MegaDataCenter_89,215487716.65,2023-08-27T22:15:51,2025-07-31T22:15:51,
proj_90,PROJECT-1090,MegaDataCenter_90,24090093.9,2023-12-22T17:08:58,2025-02-19T17:08:58,
proj_91,PROJECT-1091,MegaDataCenter_91,153900714.43,2024-02-10T13:24:33,2024-12-22T13:24:33,
proj_92,PROJECT-1092,MegaDataCenter_92,311040786.63,2023-11-24T00:34:38,2024-12-02T00:34:38,
proj_93,PROJECT-1093,MegaDataCenter_93,40208018.28,2023-10-26T20:21:04,2025-05-20T20:21:04,
proj_94,PROJECT-1094,MegaDataCenter_94,402251229.88,2024-02-11T00:41:16,2025-04-27T00:41:16,
proj_95,PROJECT-1095,MegaDataCenter_95,321003730.71,2023-12-04T07:22:02,2025-02-18T07:22:02,
proj_96,PROJECT-1096,MegaDataCenter_96,113177446.66,2023-03-01T11:07:21,2025-03-05T11:07:21,
proj_97,PROJECT-1097,MegaDataCenter_97,37038850.64,2023-12-10T11:31:56,2025-06-25T11:31:56,
proj_98,PROJECT-1098,MegaDataCenter_98,204533171.61,2023-07-25T15:35:38,2025-01-14T15:35:38,
proj_99,PROJECT-1099,MegaDataCenter_99,312702564.96,2023-10-06T00:21:22,2025-10-09T00:21:22,
