id,equipmentID,equipmentName,equipmentType,dailyRentalCost,capacityOrSpecs,supplierID
equip_84,EQ-1084,AirCompressor_84,AirCompressor,1160.03,AirCompressor spec details,sup_22
equip_85,EQ-1085,Pumps_85,Pumps,1654.42,Pumps spec details,sup_39
equip_86,EQ-1086,Generator_86,Generator,628.77,Generator spec details,
equip_87,EQ-1087,PortableLifts_87,PortableLifts,1917.2,PortableLifts spec details,sup_72
equip_88,EQ-1088,Pumps_88,Pumps,1408.78,Pumps spec details,sup_77
equip_89,EQ-1089,AirCompressor_89,AirCompressor,1575.23,AirCompressor spec details,
equip_90,EQ-1090,PortableLifts_90,PortableLifts,778.44,PortableLifts spec details,
equip_91,EQ-1091,RoadRoller_91,RoadRoller,1172.72,RoadRoller spec details,
equip_92,EQ-1092,BoomLift_92,BoomLift,774.09,BoomLift spec details,sup_27
equip_93,EQ-1093,RoadRoller_93,RoadRoller,440.25,RoadRoller spec details,
equip_94,EQ-1094,Excavator_94,Excavator,156.73,Excavator spec details,sup_13
equip_95,EQ-1095,GroundPenetradar_95,GroundPenetradar,1143.86,GroundPenetradar spec details,
equip_96,EQ-1096,RoadRoller_96,RoadRoller,1237.03,RoadRoller spec details,sup_74
equip_97,EQ-1097,GroundPenetradar_97,GroundPenetradar,1102.32,GroundPenetradar spec details,
equip_98,EQ-1098,MobileScaffolding_98,MobileScaffolding,1733.58,MobileScaffolding spec details,
equip_99,EQ-1099,ConcreteMixer_99,ConcreteMixer,565.87,ConcreteMixer spec details,
