id,workStreamID,name,description,startDate,endDate,budgetAllocated,projectID
ws_105,WS-5105,Workstream_105_Bring,Economic writer yet interview mouth.,2023-11-01T02:55:09,2024-04-29T02:55:09,863085.81,proj_1
ws_106,WS-5106,Workstream_106_Parent,Detail thank arm make office reduce north reflect.,2024-03-26T02:55:09,2024-09-26T02:55:09,1758583.45,proj_1
ws_107,WS-5107,Workstream_107_Avoid,She sit drug animal.,2023-12-11T02:55:09,2024-05-26T02:55:09,2431619.71,proj_1
ws_108,WS-5108,Workstream_108_Industry,Guess speech across employee technology mouth whether if reality.,2023-09-04T02:55:09,2024-02-10T02:55:09,1583125.14,proj_1
ws_109,WS-5109,Workstream_109_Rather,Sound against food move crime world culture quickly stuff.,2024-03-27T02:55:09,2024-09-24T02:55:09,2851933.02,proj_1
ws_110,WS-5110,Workstream_110_Face,Beautiful own head another feel.,2024-04-04T02:55:09,2024-08-19T02:55:09,1639013.89,proj_1
ws_111,WS-5111,Workstream_111_Model,Democratic exactly end truth consider until.,2023-11-15T02:55:09,2024-03-25T02:55:09,2867241.64,proj_1
ws_112,WS-5112,Workstream_112_Message,Begin down project people night my tonight thing public range reduce.,2024-03-25T02:55:09,2024-06-05T02:55:09,4869217.27,proj_1
ws_113,WS-5113,Workstream_113_Tend,Story special leg effort land best.,2024-04-30T02:55:09,2024-07-13T02:55:09,2804160.7,proj_1
ws_114,WS-5114,Workstream_114_Born,College beat through laugh suffer foreign them.,2024-04-12T02:55:09,2024-08-26T02:55:09,3929400.27,proj_1
ws_115,WS-5115,Workstream_115_Difference,Find machine generation protect cell say.,2024-02-29T02:55:09,2024-07-08T02:55:09,2517439.58,proj_1
ws_116,WS-5116,Workstream_116_Per,Chance toward realize idea try.,2024-06-11T02:55:09,2024-11-01T02:55:09,1759264.59,proj_1
ws_117,WS-5117,Workstream_117_The,Final foot western data.,2024-04-29T02:55:09,2024-11-08T02:55:09,3339282.56,proj_1
ws_118,WS-5118,Workstream_118_Act,Source modern somebody road threat.,2024-04-11T02:55:09,2024-06-19T02:55:09,4212343.25,proj_1
ws_119,WS-5119,Workstream_119_Pick,Receive cold everything citizen white each because environmental.,2024-05-09T02:55:09,2024-10-20T02:55:09,1011032.64,proj_1
ws_120,WS-5120,Workstream_120_Deep,Born reflect of why beat.,2024-01-20T02:55:09,2024-07-07T02:55:09,3429896.6,proj_1
ws_121,WS-5121,Workstream_121_Alone,Today interest hour before under person audience message.,2024-03-23T02:55:09,2024-06-07T02:55:09,4162163.39,proj_1
ws_122,WS-5122,Workstream_122_Edge,Rate thing teach win decide message be our order call.,2023-12-17T02:55:09,2024-04-28T02:55:09,2846043.48,proj_1
ws_123,WS-5123,Workstream_123_Listen,Defense environmental bad perhaps field.,2024-02-23T02:55:09,2024-05-19T02:55:09,904607.75,proj_1
ws_124,WS-5124,Workstream_124_Fact,Check from common from course spring.,2023-11-15T02:55:09,2024-03-03T02:55:09,3914385.06,proj_1
ws_125,WS-5125,Workstream_125_Hour,Daughter cold middle rule determine.,2023-10-22T02:55:09,2024-05-09T02:55:09,1081384.83,proj_1
ws_126,WS-5126,Workstream_126_Camera,Wear generation skill build investment military.,2024-04-25T02:55:09,2024-07-16T02:55:09,4201942.07,proj_1
ws_127,WS-5127,Workstream_127_Development,Hot lose although another.,2024-06-06T02:55:09,2024-11-22T02:55:09,580705.5,proj_1
ws_128,WS-5128,Workstream_128_Listen,Benefit her need according happy woman.,2024-04-18T02:55:09,2024-07-18T02:55:09,972401.67,proj_1
ws_129,WS-5129,Workstream_129_Job,Choose develop stay many together painting.,2024-03-17T02:55:09,2024-06-25T02:55:09,4510584.4,proj_1
ws_130,WS-5130,Workstream_130_History,Drop training force let seem fire performance successful.,2023-11-19T02:55:09,2024-02-10T02:55:09,2753887.55,proj_1
ws_131,WS-5131,Workstream_131_Now,Work store relate choose door.,2024-05-20T02:55:09,2024-10-14T02:55:09,3001274.49,proj_1
ws_132,WS-5132,Workstream_132_Late,Tax human play easy expect.,2024-05-11T02:55:09,2024-10-30T02:55:09,4129419.81,proj_1
ws_133,WS-5133,Workstream_133_Several,Power relate democratic Mr far.,2023-09-24T02:55:09,2023-12-03T02:55:09,2613115.72,proj_1
ws_134,WS-5134,Workstream_134_Somebody,Appear history trial newspaper they.,2024-03-15T02:55:09,2024-07-29T02:55:09,2139188.08,proj_1
ws_135,WS-5135,Workstream_135_Growth,Include dinner reach address.,2024-06-09T02:55:09,2024-10-17T02:55:09,1123093.86,proj_1
ws_136,WS-5136,Workstream_136_Challenge,There affect every do play week finish.,2023-08-12T02:55:09,2024-01-17T02:55:09,2159179.34,proj_1
ws_137,WS-5137,Workstream_137_Professor,Herself financial here upon leave threat lay decision.,2023-10-09T02:55:09,2024-01-10T02:55:09,2866060.04,proj_1
ws_138,WS-5138,Workstream_138_Myself,Rich my nearly answer stay hair power lose card.,2023-12-07T02:55:09,2024-03-05T02:55:09,4690440.26,proj_1
ws_139,WS-5139,Workstream_139_Whole,Friend low news nature agent.,2023-11-11T02:55:09,2024-04-10T02:55:09,1976499.4,proj_1
ws_140,WS-5140,Workstream_140_West,Beat training find could account.,2023-08-15T02:55:09,2023-11-13T02:55:09,2922621.0,proj_1
ws_141,WS-5141,Workstream_141_Happy,Among far indeed room human across writer federal.,2023-08-29T02:55:09,2023-12-15T02:55:09,3564170.71,proj_1
ws_142,WS-5142,Workstream_142_Party,Nation after something young industry read travel other two popular.,2023-11-10T02:55:09,2024-05-11T02:55:09,3610042.36,proj_1
ws_143,WS-5143,Workstream_143_Pressure,Contain bar big whose cause.,2024-03-17T02:55:09,2024-06-17T02:55:09,1186456.32,proj_1
ws_144,WS-5144,Workstream_144_Force,Worry significant pretty movement material dinner whether sometimes.,2024-02-24T02:55:09,2024-07-22T02:55:09,3217774.95,proj_1
ws_145,WS-5145,Workstream_145_Technology,Entire unit fear mouth statement establish civil only ten everyone.,2024-01-04T02:55:09,2024-07-22T02:55:09,3341418.24,proj_1
ws_146,WS-5146,Workstream_146_Listen,North wear population call moment.,2023-10-25T02:55:09,2023-12-24T02:55:09,4464371.51,proj_1
ws_147,WS-5147,Workstream_147_Opportunity,More however student firm of.,2024-03-19T02:55:09,2024-07-16T02:55:09,1755416.69,proj_1
ws_148,WS-5148,Workstream_148_Bar,Score consider short account edge though finish hold imagine forward.,2024-04-19T02:55:09,2024-10-12T02:55:09,3505054.71,proj_1
ws_149,WS-5149,Workstream_149_Control,Despite this compare down and professional.,2023-09-29T02:55:09,2024-01-29T02:55:09,3720317.91,proj_1
ws_150,WS-5150,Workstream_150_Must,Know think area suffer professional environment over trade.,2023-10-15T02:55:09,2024-03-22T02:55:09,3970235.67,proj_1
ws_151,WS-5151,Workstream_151_Vote,Next get inside this well do result respond.,2024-04-11T02:55:09,2024-08-03T02:55:09,3440584.0,proj_1
ws_152,WS-5152,Workstream_152_Speech,Name talk appear way partner level different.,2023-11-30T02:55:09,2024-04-30T02:55:09,1559945.05,proj_1
ws_153,WS-5153,Workstream_153_Wonder,There control affect society claim move man environmental let size.,2023-10-04T02:55:09,2024-01-20T02:55:09,3767735.87,proj_1
ws_154,WS-5154,Workstream_154_Official,Behind seat last data very choice.,2024-05-02T02:55:09,2024-07-18T02:55:09,2384067.52,proj_1
ws_155,WS-5155,Workstream_155_Cell,Style pass make watch instead car chance side ball score be.,2024-06-02T02:55:09,2024-10-25T02:55:09,3429270.75,proj_1
ws_156,WS-5156,Workstream_156_Operation,Even air gas section activity describe team fill.,2023-11-27T02:55:09,2024-02-06T02:55:09,1692607.82,proj_1
ws_157,WS-5157,Workstream_157_Total,Base present thousand what last assume first mention land direction.,2024-02-16T02:55:09,2024-06-23T02:55:09,4914353.45,proj_1
ws_158,WS-5158,Workstream_158_Police,Grow guess than have like range.,2023-10-15T02:55:09,2024-02-16T02:55:09,1864402.63,proj_1
ws_159,WS-5159,Workstream_159_Mention,Become former local center same bit management type often.,2023-12-05T02:55:09,2024-04-28T02:55:09,3702397.81,proj_1
ws_160,WS-5160,Workstream_160_Expect,Officer activity cause writer carry.,2024-04-01T02:55:09,2024-06-09T02:55:09,4530512.64,proj_1
ws_161,WS-5161,Workstream_161_Just,Experience operation total likely development.,2023-11-16T02:55:09,2024-02-17T02:55:09,4204029.91,proj_1
ws_162,WS-5162,Workstream_162_Language,Star serve member figure each sit occur.,2024-03-21T02:55:09,2024-09-27T02:55:09,2817183.61,proj_1
ws_163,WS-5163,Workstream_163_Official,Reach exist a from almost right.,2024-01-29T02:55:09,2024-05-25T02:55:09,1921081.62,proj_1
ws_164,WS-5164,Workstream_164_Police,Talk sister check interest agreement second vote arm evidence.,2024-01-10T02:55:09,2024-04-09T02:55:09,1804526.24,proj_1
ws_165,WS-5165,Workstream_165_Attack,Win thank those water teach likely rock technology thing pay.,2024-02-27T02:55:09,2024-05-19T02:55:09,1148091.96,proj_1
ws_166,WS-5166,Workstream_166_Mouth,Mr drop provide live leg hope.,2023-10-15T02:55:09,2024-04-03T02:55:09,2381304.17,proj_1
ws_167,WS-5167,Workstream_167_Tough,Week lawyer certain prevent pretty.,2023-10-19T02:55:09,2024-01-28T02:55:09,2827357.56,proj_1
ws_168,WS-5168,Workstream_168_Program,System see president sometimes time.,2023-12-01T02:55:09,2024-05-04T02:55:09,3462528.43,proj_1
ws_169,WS-5169,Workstream_169_Billion,Hotel plan card event three.,2023-12-08T02:55:09,2024-03-18T02:55:09,4129754.81,proj_1
ws_170,WS-5170,Workstream_170_Over,Without again read model difficult class home black true material.,2024-06-09T02:55:09,2024-08-20T02:55:09,2226577.5,proj_1
ws_171,WS-5171,Workstream_171_According,Easy military project occur nor.,2023-10-20T02:55:09,2024-02-29T02:55:09,1893203.59,proj_1
ws_172,WS-5172,Workstream_172_Would,See simply responsibility budget six force.,2024-03-29T02:55:09,2024-06-24T02:55:09,2500182.31,proj_1
ws_173,WS-5173,Workstream_173_Ahead,Cause bit future like realize force available fund quality.,2023-10-03T02:55:09,2024-01-17T02:55:09,3683876.77,proj_1
ws_174,WS-5174,Workstream_174_Lot,Institution media above detail detail.,2024-02-17T02:55:09,2024-05-20T02:55:09,1600463.37,proj_1
ws_175,WS-5175,Workstream_175_Threat,At perform soldier great guy.,2023-12-17T02:55:09,2024-05-29T02:55:09,2669465.99,proj_1
ws_176,WS-5176,Workstream_176_To,Glass like theory can think cell evidence free recognize week.,2023-12-22T02:55:09,2024-04-06T02:55:09,2453436.64,proj_1
ws_177,WS-5177,Workstream_177_Lawyer,Day trip seek concern evening economic politics animal everyone garden.,2023-09-09T02:55:09,2023-12-22T02:55:09,4677139.14,proj_1
ws_178,WS-5178,Workstream_178_Mean,Case bill down money chair system water wonder well watch and.,2023-12-29T02:55:09,2024-03-08T02:55:09,530515.79,proj_1
ws_179,WS-5179,Workstream_179_Several,Sister share country water pretty back left.,2024-07-07T22:51:29,2024-10-21T22:51:29,873427.79,proj_2
ws_180,WS-5180,Workstream_180_Not,Very politics avoid he two during will lawyer.,2024-04-13T22:51:29,2024-08-17T22:51:29,4356289.81,proj_2
ws_181,WS-5181,Workstream_181_Rule,See she movie true attention collection.,2024-06-28T22:51:29,2024-10-12T22:51:29,2452950.37,proj_2
ws_182,WS-5182,Workstream_182_Lead,Toward player student month situation performance film turn.,2024-05-07T22:51:29,2024-08-10T22:51:29,3122424.74,proj_2
ws_183,WS-5183,Workstream_183_Despite,Again whatever animal seat religious right near.,2024-07-25T22:51:29,2024-10-09T22:51:29,4076921.31,proj_2
ws_184,WS-5184,Workstream_184_Car,Reduce recent current stuff even network.,2024-04-28T22:51:29,2024-07-12T22:51:29,2119052.71,proj_2
ws_185,WS-5185,Workstream_185_Recognize,Behavior three newspaper my sing as enough decide everyone.,2024-07-06T22:51:29,2024-11-24T22:51:29,3770206.31,proj_2
ws_186,WS-5186,Workstream_186_Animal,Dog training decision yet high responsibility.,2024-08-03T22:51:29,2024-11-28T22:51:29,4138402.29,proj_2
ws_187,WS-5187,Workstream_187_Record,Time third camera professional father alone cause wear.,2024-06-10T22:51:29,2024-11-23T22:51:29,1158820.98,proj_2
ws_188,WS-5188,Workstream_188_Career,Various bar radio air nor culture here method left.,2024-02-16T22:51:29,2024-07-19T22:51:29,1078046.21,proj_2
ws_189,WS-5189,Workstream_189_Training,Chair consumer dog window kind believe fact image.,2024-05-19T22:51:29,2024-07-29T22:51:29,1217353.67,proj_2
