market_id,name,sector,region_id,currency_code,five_year_growth_projection,risk_rating,data_source_references
M-3b76123e,TRA_Jones-Butl,TRANSMISSION_DISTRIBUTION,R-a687c182,EUR,1.0,4.72,['Source_ever']
M-9f8dbe74,"TRA_Medina, Ba",TRANSMISSION_DISTRIBUTION,R-a52b7d66,EUR,0.55,5.95,['Source_none']
M-a17da19b,"TRA_Johnson, C",TRANSMISSION_DISTRIBUTION,R-0e74b550,CAD,5.04,2.8,['Source_final']
M-8bf74760,TRA_Clayton-Ha,TRANSMISSION_DISTRIBUTION,R-2bdbbe63,GBP,6.64,9.17,['Source_among']
M-ae9ca3d5,OIL_Ross-Ho,OIL_GAS,R-ef8dbee4,EUR,5.58,7.51,['Source_professional']
M-695119c0,"TRA_Alexander,",TRANSMISSION_DISTRIBUTION,R-bc395143,EUR,4.47,8.54,['Source_throw']
M-0ea53fc5,OIL_Chang-Rile,OIL_GAS,R-a25f4ec8,CAD,7.99,2.68,['Source_strong']
M-af373a7b,OIL_Bowen LLC,OIL_GAS,R-72fb80d1,GBP,8.83,1.08,['Source_itself']
M-fbdb40a8,"OIL_Morgan, Du",OIL_GAS,R-a4055e8c,GBP,3.2,9.9,['Source_develop']
M-f6f0cf41,TRA_Davis-May,TRANSMISSION_DISTRIBUTION,R-d042e617,EUR,8.59,5.21,['Source_back']
M-ddad234a,OIL_Nolan-Vasq,OIL_GAS,R-f9778880,GBP,2.04,5.13,['Source_election']
M-d843ea2b,OIL_Peterson-N,OIL_GAS,R-5ce2c20c,USD,7.5,8.12,['Source_give']
M-c2742c80,OIL_Lyons-Carr,OIL_GAS,R-a4055e8c,EUR,2.17,8.71,['Source_phone']
M-e66833a8,TRA_Juarez and,TRANSMISSION_DISTRIBUTION,R-c01ad354,CAD,5.4,1.78,['Source_nearly']
M-2d614002,TRA_Johnson-Be,TRANSMISSION_DISTRIBUTION,R-3488b1ca,EUR,5.04,9.42,['Source_organization']
M-6738fd50,TRA_Reeves-Par,TRANSMISSION_DISTRIBUTION,R-680f6311,EUR,4.74,3.4,['Source_sense']
M-b2557679,TRA_Bradley LL,TRANSMISSION_DISTRIBUTION,R-2d90a8d6,AUD,0.61,6.88,['Source_may']
M-c93a5774,"TRA_Gonzales, ",TRANSMISSION_DISTRIBUTION,R-d86eedb2,USD,4.92,2.44,['Source_run']
M-52dfc7db,TRA_Thomas LLC,TRANSMISSION_DISTRIBUTION,R-6bef309c,GBP,7.06,6.75,['Source_town']
M-e0e868b8,TRA_Scott-Pere,TRANSMISSION_DISTRIBUTION,R-9ff92b57,AUD,2.6,9.62,['Source_today']
M-698d5911,TRA_Aguilar an,TRANSMISSION_DISTRIBUTION,R-1537d968,AUD,4.05,7.32,['Source_pattern']
M-499348dd,TRA_Green Ltd,TRANSMISSION_DISTRIBUTION,R-16a1192e,AUD,8.12,8.43,['Source_movie']
M-be2cd154,"TRA_Berg, Blac",TRANSMISSION_DISTRIBUTION,R-8332859f,AUD,8.79,1.74,['Source_we']
M-f2882440,TRA_Compton Lt,TRANSMISSION_DISTRIBUTION,R-5df7c50b,GBP,1.24,6.08,['Source_clearly']
M-516ea63b,"OIL_Farrell, E",OIL_GAS,R-59345c46,AUD,2.42,5.83,['Source_tree']
M-8fbc11f9,TRA_Wong-Harre,TRANSMISSION_DISTRIBUTION,R-764379f5,AUD,4.7,7.12,['Source_meet']
M-ef95db30,TRA_Webb Group,TRANSMISSION_DISTRIBUTION,R-a52b7d66,USD,9.04,5.01,['Source_address']
M-07b6174a,"TRA_Arroyo, Pe",TRANSMISSION_DISTRIBUTION,R-4d624965,AUD,4.45,6.08,['Source_door']
M-1dff21fa,TRA_Ramirez Lt,TRANSMISSION_DISTRIBUTION,R-61c8add7,GBP,7.37,4.56,['Source_strategy']
M-4c77fa59,TRA_Santos LLC,TRANSMISSION_DISTRIBUTION,R-e24b15cf,EUR,5.99,1.41,['Source_moment']
M-e8139d1e,OIL_Hudson-Fow,OIL_GAS,R-9402202e,AUD,9.94,9.41,['Source_actually']
M-1830c1f8,"OIL_Singleton,",OIL_GAS,R-9fc778d0,CAD,0.8,4.68,['Source_drive']
M-5d90d649,"TRA_Harris, Be",TRANSMISSION_DISTRIBUTION,R-60bcf44f,CAD,4.06,9.02,['Source_bit']
M-11c16f37,OIL_Romero-Nel,OIL_GAS,R-6d11c6c3,CAD,4.07,7.14,['Source_nor']
M-a0c224a3,"OIL_Medina, Mi",OIL_GAS,R-266b5719,EUR,6.71,4.13,['Source_likely']
M-78e17444,"OIL_Mills, San",OIL_GAS,R-8fff68c6,CAD,5.52,7.55,['Source_cover']
M-72685bd2,"OIL_Mayer, Mat",OIL_GAS,R-e1eef3ca,USD,9.8,5.17,['Source_series']
M-53d3113d,TRA_Thompson-K,TRANSMISSION_DISTRIBUTION,R-f836d5c1,AUD,4.1,3.07,['Source_exactly']
M-0e2c9c15,"TRA_Ramirez, P",TRANSMISSION_DISTRIBUTION,R-13dc6739,GBP,2.29,8.88,['Source_whose']
M-a604ddd7,TRA_Escobar an,TRANSMISSION_DISTRIBUTION,R-5f977e63,CAD,6.34,9.43,['Source_necessary']
M-1ca90bd5,TRA_Brown-Pere,TRANSMISSION_DISTRIBUTION,R-51bed50d,EUR,1.14,6.35,['Source_pay']
M-4acdeb60,"TRA_Woods, Gar",TRANSMISSION_DISTRIBUTION,R-5df7c50b,USD,2.82,1.4,['Source_approach']
M-a744510c,TRA_Tyler-Jone,TRANSMISSION_DISTRIBUTION,R-002ad448,EUR,7.67,7.98,['Source_mean']
M-091fbc81,TRA_Ramos Grou,TRANSMISSION_DISTRIBUTION,R-78dea8a6,GBP,2.72,9.25,['Source_decade']
M-adabedb4,TRA_Daniels an,TRANSMISSION_DISTRIBUTION,R-3c978378,AUD,7.84,8.37,['Source_piece']
M-681bcaa4,TRA_Evans-Smit,TRANSMISSION_DISTRIBUTION,R-2bc439de,EUR,9.86,5.69,['Source_law']
M-953bf962,TRA_Cortez Gro,TRANSMISSION_DISTRIBUTION,R-ff82c8b7,USD,5.79,6.33,['Source_star']
M-0a486873,"OIL_Lee, Shaff",OIL_GAS,R-0973c283,CAD,5.78,1.42,['Source_loss']
M-a4c59ac6,OIL_King Group,OIL_GAS,R-9402202e,CAD,7.97,3.87,['Source_plant']
M-e1e7eb86,TRA_Vasquez-Th,TRANSMISSION_DISTRIBUTION,R-abc39b25,GBP,4.08,7.79,['Source_movement']
M-895c9966,TRA_Palmer-Bea,TRANSMISSION_DISTRIBUTION,R-84d58d08,EUR,3.36,7.37,['Source_firm']
M-a75b0fb3,TRA_Camacho-Wr,TRANSMISSION_DISTRIBUTION,R-84c9f11a,USD,5.84,9.71,['Source_face']
M-32379237,"TRA_Hoffman, P",TRANSMISSION_DISTRIBUTION,R-3aba1eb7,CAD,2.81,2.83,['Source_something']
M-b33b1228,TRA_Freeman LL,TRANSMISSION_DISTRIBUTION,R-e65c0df5,CAD,8.55,1.83,['Source_walk']
M-e1776c4e,"OIL_Ruiz, Mart",OIL_GAS,R-581e6d2c,USD,3.05,7.06,['Source_lay']
M-cd2dd21a,"TRA_Torres, Sc",TRANSMISSION_DISTRIBUTION,R-d889b833,USD,2.29,7.86,['Source_pull']
M-cab70851,"OIL_Ryan, Whit",OIL_GAS,R-581e6d2c,EUR,5.05,8.83,['Source_source']
M-7be77359,TRA_Lewis PLC,TRANSMISSION_DISTRIBUTION,R-9d9d23ed,USD,2.51,2.71,['Source_focus']
M-8591a79c,TRA_Miranda-Ke,TRANSMISSION_DISTRIBUTION,R-0385dc74,CAD,9.19,7.26,['Source_reveal']
M-71f37738,TRA_Pennington,TRANSMISSION_DISTRIBUTION,R-975e9810,EUR,5.74,7.98,['Source_remember']
M-0561ec79,TRA_Morris and,TRANSMISSION_DISTRIBUTION,R-c572a440,GBP,3.43,4.24,['Source_space']
M-88903a99,TRA_Floyd-Phel,TRANSMISSION_DISTRIBUTION,R-c8e92f5f,USD,8.13,7.5,['Source_poor']
M-bf8ac16e,"OIL_Moore, Fry",OIL_GAS,R-ffd4b46a,EUR,4.02,4.73,['Source_ready']
M-42243a40,"OIL_Kramer, Ch",OIL_GAS,R-7cbe65f5,EUR,0.65,5.98,['Source_worker']
M-3bb0240f,TRA_Kennedy-Ch,TRANSMISSION_DISTRIBUTION,R-6526bfaf,CAD,3.3,2.77,['Source_floor']
M-a6078d90,TRA_Thomas-Coo,TRANSMISSION_DISTRIBUTION,R-2ad93402,EUR,5.24,6.89,['Source_health']
M-983b7cb7,"TRA_Stewart, P",TRANSMISSION_DISTRIBUTION,R-4367b85a,CAD,9.68,6.78,['Source_sound']
M-af339913,TRA_Smith-Case,TRANSMISSION_DISTRIBUTION,R-eb51f75d,GBP,2.11,7.48,['Source_around']
M-66faef1f,TRA_Gomez-Truj,TRANSMISSION_DISTRIBUTION,R-6096ae91,AUD,9.91,9.62,['Source_loss']
M-2efe2269,TRA_Smith-Bush,TRANSMISSION_DISTRIBUTION,R-e143e3d6,USD,9.48,7.01,['Source_detail']
M-78f21383,"TRA_Moran, Phi",TRANSMISSION_DISTRIBUTION,R-f4a2a4e4,EUR,8.5,3.08,['Source_fund']
M-73339061,TRA_Gibbs-Nguy,TRANSMISSION_DISTRIBUTION,R-2ba34b31,EUR,5.3,4.36,['Source_opportunity']
M-9b916360,"OIL_Gonzalez, ",OIL_GAS,R-65dde31d,AUD,9.17,6.93,['Source_total']
M-e14f07b2,TRA_Rodriguez-,TRANSMISSION_DISTRIBUTION,R-d48954d8,AUD,4.41,1.15,['Source_gas']
M-8523af76,"TRA_Castillo, ",TRANSMISSION_DISTRIBUTION,R-72398e14,GBP,0.66,8.32,['Source_your']
M-49f0a33e,TRA_Harrington,TRANSMISSION_DISTRIBUTION,R-ac9565cd,EUR,1.52,1.87,['Source_rise']
M-1e18dd3e,"TRA_Tucker, Ra",TRANSMISSION_DISTRIBUTION,R-b89827af,AUD,5.5,8.34,['Source_how']
M-6752f543,OIL_Garcia Ltd,OIL_GAS,R-649b3b3a,USD,4.04,4.65,['Source_guess']
M-618ca280,TRA_Medina-Kim,TRANSMISSION_DISTRIBUTION,R-a847c4ec,EUR,3.35,8.45,['Source_feel']
M-8de289c7,OIL_Ruiz Ltd,OIL_GAS,R-a3f87308,USD,1.39,4.41,['Source_back']
M-fb8e79ab,TRA_Rowland-Oc,TRANSMISSION_DISTRIBUTION,R-af1cfc59,USD,7.18,1.74,['Source_thank']
M-bef20d74,TRA_Sawyer PLC,TRANSMISSION_DISTRIBUTION,R-e23c98bc,GBP,5.88,8.72,['Source_firm']
M-cbe2fe25,"OIL_Gonzalez, ",OIL_GAS,R-b45d339d,USD,2.68,9.11,['Source_page']
M-3f6b1564,"OIL_Farmer, Gr",OIL_GAS,R-008079a8,CAD,3.08,9.32,['Source_film']
M-3f883ce3,"OIL_Johnson, B",OIL_GAS,R-75e88960,AUD,5.85,1.3,['Source_stock']
M-cfef7f16,"OIL_Dawson, Ed",OIL_GAS,R-0e74b550,USD,9.63,6.28,['Source_west']
M-cb2abe31,OIL_Burgess-Le,OIL_GAS,R-93dd205b,CAD,9.32,3.69,['Source_full']
M-d0adc6a2,TRA_Perez-Cox,TRANSMISSION_DISTRIBUTION,R-d4b074ad,CAD,6.93,5.87,['Source_decide']
M-e8b841c9,"OIL_Mata, Gree",OIL_GAS,R-2048f651,EUR,8.01,7.2,['Source_worker']
M-359ebf3c,TRA_Taylor Ltd,TRANSMISSION_DISTRIBUTION,R-6329c1c4,GBP,1.01,4.93,['Source_item']
M-b7a93c15,TRA_Foster-Tuc,TRANSMISSION_DISTRIBUTION,R-a7ad00b8,AUD,7.81,9.59,['Source_anything']
M-2a64a761,"OIL_Brown, May",OIL_GAS,R-14729973,GBP,0.78,3.46,['Source_others']
M-c87e4415,TRA_Forbes-Moy,TRANSMISSION_DISTRIBUTION,R-c88b3320,GBP,5.75,4.38,['Source_TV']
M-024b7749,OIL_Tyler-Vasq,OIL_GAS,R-fbdbea25,CAD,1.31,6.57,['Source_paper']
M-9d7bedc1,TRA_Walters-Na,TRANSMISSION_DISTRIBUTION,R-c50fb8c3,USD,1.28,2.39,['Source_other']
M-0b3901bc,OIL_Mccann Inc,OIL_GAS,R-4f416b44,EUR,7.53,3.85,['Source_night']
M-7a56bd13,TRA_Lindsey In,TRANSMISSION_DISTRIBUTION,R-7204d489,GBP,4.72,7.85,['Source_painting']
M-e227c14e,TRA_Bishop-Kai,TRANSMISSION_DISTRIBUTION,R-b4078017,EUR,4.59,6.01,['Source_society']
M-571ad44d,TRA_Wang Group,TRANSMISSION_DISTRIBUTION,R-a73eb4a7,USD,1.35,5.99,['Source_television']
M-3886ada2,TRA_Owens-Pres,TRANSMISSION_DISTRIBUTION,R-7240c67e,GBP,8.71,1.11,['Source_single']
M-97e6afbf,TRA_Santos Inc,TRANSMISSION_DISTRIBUTION,R-ff82c8b7,USD,7.39,6.04,['Source_court']
M-cf78ac61,"TRA_Johnston, ",TRANSMISSION_DISTRIBUTION,R-abb2ea43,EUR,7.01,2.53,['Source_sister']
M-f39ef012,TRA_Preston-Mo,TRANSMISSION_DISTRIBUTION,R-7ac78dfb,CAD,1.89,2.5,['Source_finally']
M-de1f4917,TRA_Hanson Gro,TRANSMISSION_DISTRIBUTION,R-5941429c,CAD,7.94,4.25,['Source_after']
M-3ff11f2c,TRA_Perez Grou,TRANSMISSION_DISTRIBUTION,R-12f51596,CAD,6.14,2.76,['Source_city']
M-2ccba9c5,TRA_Foley-Silv,TRANSMISSION_DISTRIBUTION,R-7204d489,USD,9.51,3.99,['Source_special']
M-6ce26b99,TRA_Patel-Vald,TRANSMISSION_DISTRIBUTION,R-9eda6b25,GBP,4.68,4.88,['Source_deep']
M-d03e2b6c,"OIL_Schaefer, ",OIL_GAS,R-629d37ae,AUD,1.79,3.89,['Source_part']
M-3e56897b,OIL_Lopez and ,OIL_GAS,R-d7f5066e,CAD,3.48,9.68,['Source_design']
M-0d9d735d,TRA_White-John,TRANSMISSION_DISTRIBUTION,R-37c6f34a,CAD,9.69,8.04,['Source_play']
M-f3314018,TRA_Chan PLC,TRANSMISSION_DISTRIBUTION,R-0d35953a,CAD,3.97,9.39,['Source_happen']
M-ac814b03,TRA_Murphy LLC,TRANSMISSION_DISTRIBUTION,R-c231ce4f,AUD,2.21,7.91,['Source_without']
M-4ff8f6b5,OIL_Barrett an,OIL_GAS,R-6a652975,CAD,9.46,2.89,['Source_floor']
M-fea77d9f,TRA_Coleman LL,TRANSMISSION_DISTRIBUTION,R-aa20cca6,USD,8.28,8.16,['Source_early']
M-b776c361,OIL_Barton Inc,OIL_GAS,R-2953ae00,EUR,6.52,3.18,['Source_certain']
M-b9e31290,TRA_Martinez-G,TRANSMISSION_DISTRIBUTION,R-0b4118eb,CAD,8.0,1.67,['Source_agree']
M-bc6e9d53,TRA_Dillon-Dic,TRANSMISSION_DISTRIBUTION,R-7ea1cdfe,CAD,5.58,9.31,['Source_detail']
M-7b0bfb59,OIL_Williams-G,OIL_GAS,R-84d5baf1,AUD,0.85,9.72,['Source_decide']
M-c83a132b,OIL_Wise PLC,OIL_GAS,R-4c3865cd,AUD,6.14,9.23,['Source_teacher']
M-750c3f2b,OIL_Davis and ,OIL_GAS,R-406d4edb,GBP,2.08,6.51,['Source_move']
M-2b642405,"OIL_Ramsey, Ma",OIL_GAS,R-7cbe65f5,CAD,9.68,3.98,['Source_camera']
M-dac3617f,TRA_Yang-Howar,TRANSMISSION_DISTRIBUTION,R-c722bd44,USD,1.44,3.0,['Source_free']
M-a243a3fd,TRA_Lee-Gallow,TRANSMISSION_DISTRIBUTION,R-5ac03f0d,AUD,7.03,2.99,['Source_successful']
M-d7aa5234,"TRA_Ward, Scot",TRANSMISSION_DISTRIBUTION,R-0b4d31f6,AUD,7.06,2.36,['Source_loss']
M-b8395709,TRA_Smith Grou,TRANSMISSION_DISTRIBUTION,R-e53e6e32,GBP,4.45,9.66,['Source_instead']
M-8f5f8f66,OIL_Gomez LLC,OIL_GAS,R-3b250403,EUR,3.81,4.09,['Source_think']
M-3d47dd1e,TRA_Hamilton L,TRANSMISSION_DISTRIBUTION,R-43595ce9,CAD,3.81,1.88,['Source_first']
M-cdeb273b,OIL_Key Inc,OIL_GAS,R-72398e14,GBP,1.14,1.4,['Source_rather']
M-b6e689c3,"TRA_Patrick, L",TRANSMISSION_DISTRIBUTION,R-b70badbd,GBP,6.66,7.09,['Source_face']
M-8e899497,"OIL_Holland, M",OIL_GAS,R-764379f5,EUR,5.4,5.97,['Source_energy']
M-92790223,TRA_Cunningham,TRANSMISSION_DISTRIBUTION,R-8edebe1e,CAD,2.7,4.65,['Source_natural']
M-5b92b0f3,TRA_Taylor Gro,TRANSMISSION_DISTRIBUTION,R-dc66f8d4,CAD,4.26,7.64,['Source_sound']
M-415bd7d0,TRA_Brown and ,TRANSMISSION_DISTRIBUTION,R-ba1820ab,AUD,4.58,1.04,['Source_trial']
M-b5821dc0,"TRA_Guerrero, ",TRANSMISSION_DISTRIBUTION,R-84354dbc,USD,5.98,8.2,['Source_coach']
M-a425a04c,TRA_Thompson-M,TRANSMISSION_DISTRIBUTION,R-05fd9ecd,GBP,2.37,2.03,['Source_civil']
M-34fa4fe0,"OIL_Pacheco, B",OIL_GAS,R-1800349a,AUD,9.68,3.82,['Source_wish']
M-30398366,OIL_Buchanan I,OIL_GAS,R-a573ef8c,AUD,1.59,4.17,['Source_modern']
M-842e606b,OIL_Torres Ltd,OIL_GAS,R-9152b0d3,GBP,9.23,6.31,['Source_hour']
M-f3c205f2,TRA_Howell-Joh,TRANSMISSION_DISTRIBUTION,R-6954b7ec,USD,2.77,2.05,['Source_agree']
M-6950e10b,OIL_Johnson-Ru,OIL_GAS,R-e47ae86d,AUD,4.19,6.37,['Source_simple']
M-5f6e32fe,TRA_Mcintyre I,TRANSMISSION_DISTRIBUTION,R-362602d7,EUR,5.12,5.84,['Source_notice']
M-c3415331,OIL_Farmer-Sha,OIL_GAS,R-88fb2674,EUR,5.77,5.41,['Source_condition']
M-f94b6abf,TRA_Garcia LLC,TRANSMISSION_DISTRIBUTION,R-78dea8a6,CAD,6.38,8.79,['Source_watch']
M-b2cf476a,TRA_Davis Inc,TRANSMISSION_DISTRIBUTION,R-55a04bf0,EUR,2.35,4.46,['Source_budget']
M-6c8fc7bc,TRA_Marshall-P,TRANSMISSION_DISTRIBUTION,R-c7f06c74,CAD,4.39,5.43,['Source_water']
M-e65f5da3,"OIL_Alexander,",OIL_GAS,R-b70badbd,CAD,2.09,6.09,['Source_a']
M-b36f7b6a,OIL_Alvarez-La,OIL_GAS,R-fa1b9da1,GBP,0.81,3.02,['Source_even']
M-2bd56758,TRA_Morris PLC,TRANSMISSION_DISTRIBUTION,R-ab4b47b5,CAD,5.87,7.95,['Source_history']
M-7c994297,"TRA_Barnett, D",TRANSMISSION_DISTRIBUTION,R-4da39053,USD,5.94,3.41,['Source_theory']
M-e1205361,"OIL_Gonzalez, ",OIL_GAS,R-d042e617,GBP,5.65,7.81,['Source_year']
M-00d873ba,OIL_Perez Inc,OIL_GAS,R-92bfd988,AUD,2.58,4.83,['Source_six']
M-3405f426,OIL_Love LLC,OIL_GAS,R-a1b58226,EUR,3.33,9.99,['Source_very']
