workforce_id,region_id,year,total_employees,industry_skilled_labor_pct,avg_salary_usd,skill_availability_index,training_programs_count,data_source_references
WF-0bd738d8,R-53a0e936,2018,1966005,0.09880000000000001,85536.86,6.35,68,['WF_could']
WF-07e62a40,R-53a0e936,2019,859192,0.19390000000000002,110401.83,9.97,59,['WF_help']
WF-1d1d5376,R-53a0e936,2020,499279,0.052000000000000005,28217.81,5.63,33,['WF_medical']
WF-90f09111,R-53a0e936,2021,1205058,0.2673,149438.35,4.29,44,['WF_great']
WF-144d4f58,R-53a0e936,2022,1032252,0.33049999999999996,71211.13,7.52,32,['WF_begin']
WF-60bcf451,R-53a0e936,2023,798062,0.060700000000000004,65893.22,9.4,43,['WF_artist']
WF-ac6ece7f,R-53a0e936,2024,191648,0.3775,142560.83,1.61,46,['WF_seek']
WF-487180da,R-35a17c83,2018,1487658,0.2139,64471.8,6.39,64,['WF_operation']
WF-b02c1da5,R-35a17c83,2019,1425159,0.1989,97333.75,4.79,27,['WF_raise']
WF-147d1b05,R-35a17c83,2020,1440217,0.37479999999999997,105330.39,3.6,93,['WF_service']
WF-f2ced5bc,R-35a17c83,2021,1870561,0.0689,48399.98,8.42,41,['WF_be']
WF-0f9f75b1,R-35a17c83,2022,1373273,0.2345,22382.97,9.01,49,['WF_pay']
WF-8a326249,R-35a17c83,2023,619775,0.2768,92918.54,9.52,36,['WF_task']
WF-ad2e3238,R-35a17c83,2024,228755,0.36700000000000005,73009.38,6.94,92,['WF_real']
WF-6ae849bd,R-5cbc62c1,2018,373978,0.26039999999999996,23216.05,1.81,96,['WF_development']
WF-36e1e339,R-5cbc62c1,2019,566803,0.24100000000000002,79171.6,7.54,41,['WF_us']
WF-96ef39ca,R-5cbc62c1,2020,809240,0.3664,115662.67,9.23,18,['WF_political']
WF-31674cb5,R-5cbc62c1,2021,1394025,0.11320000000000001,21233.26,1.67,80,['WF_wide']
WF-8d1aee6a,R-5cbc62c1,2022,1131425,0.0709,71525.29,5.09,51,['WF_will']
WF-00e87ed4,R-5cbc62c1,2023,843281,0.18289999999999998,122518.93,7.36,21,['WF_approach']
WF-4c487d72,R-5cbc62c1,2024,227142,0.17559999999999998,120373.48,0.52,24,['WF_yard']
WF-48034547,R-680f6311,2018,618142,0.1962,83321.44,8.15,60,['WF_candidate']
WF-1b08203d,R-680f6311,2019,51529,0.0668,65704.29,9.17,100,['WF_religious']
WF-442b2dac,R-680f6311,2020,595827,0.12390000000000001,118845.63,9.44,36,['WF_hair']
WF-92696c6f,R-680f6311,2021,1876321,0.2764,27471.7,8.62,39,['WF_follow']
WF-fc631872,R-680f6311,2022,1968264,0.0803,89325.74,4.57,58,['WF_space']
WF-6c279c95,R-680f6311,2023,1410581,0.2705,144101.63,2.39,7,['WF_agency']
WF-96281b77,R-680f6311,2024,333541,0.23670000000000002,22672.92,4.84,63,['WF_free']
WF-f8559469,R-eb24951e,2018,16802,0.37329999999999997,138083.63,0.36,56,['WF_you']
WF-00ac5f88,R-eb24951e,2019,1217008,0.1689,28002.92,4.93,4,['WF_surface']
WF-686fee2a,R-eb24951e,2020,1852490,0.12380000000000001,59000.71,2.34,94,['WF_information']
WF-437d09e4,R-eb24951e,2021,1286419,0.205,83517.64,4.94,8,['WF_condition']
WF-299cca3a,R-eb24951e,2022,1792640,0.38880000000000003,27010.27,1.34,60,['WF_issue']
WF-bdf12c18,R-eb24951e,2023,1340261,0.32270000000000004,111811.21,1.3,100,['WF_other']
WF-fb734344,R-eb24951e,2024,1146444,0.1765,38479.12,3.18,44,['WF_record']
WF-5840e005,R-fb54d982,2018,609745,0.34840000000000004,57960.91,8.6,96,['WF_generation']
WF-1bc99aa6,R-fb54d982,2019,919113,0.07730000000000001,27442.38,2.72,65,['WF_performance']
WF-d772d31d,R-fb54d982,2020,918830,0.31670000000000004,113268.33,2.76,95,['WF_hour']
WF-77bf60d7,R-fb54d982,2021,675280,0.2525,91089.85,6.46,31,['WF_blood']
WF-ab8ae696,R-fb54d982,2022,245712,0.33659999999999995,102636.36,9.06,21,['WF_over']
WF-1dfd4a4c,R-fb54d982,2023,1719659,0.073,97639.13,7.05,16,['WF_middle']
WF-137ec031,R-fb54d982,2024,1161917,0.1578,132678.5,8.02,62,['WF_generation']
WF-64c8b8ab,R-fcabcd35,2018,30782,0.3898,134038.65,5.03,75,['WF_describe']
WF-8804e2d8,R-fcabcd35,2019,730232,0.0665,63266.97,9.61,94,['WF_player']
WF-ad49c770,R-fcabcd35,2020,1303229,0.1362,62352.89,9.16,73,['WF_wind']
WF-f02061eb,R-fcabcd35,2021,1699255,0.13720000000000002,70616.37,7.9,36,['WF_number']
WF-420a46ff,R-fcabcd35,2022,291898,0.1244,63217.93,8.95,7,['WF_our']
WF-78241bcd,R-fcabcd35,2023,747774,0.1877,32373.37,6.93,22,['WF_happy']
WF-b78df7e6,R-fcabcd35,2024,49258,0.3273,35517.47,6.02,37,['WF_finally']
WF-f13b26c6,R-2acf6952,2018,1406876,0.2725,40087.24,6.97,16,['WF_white']
WF-81a7f68b,R-2acf6952,2019,1410085,0.1134,118419.86,9.95,53,['WF_listen']
WF-52a822e3,R-2acf6952,2020,1610323,0.32020000000000004,58120.55,8.77,19,['WF_kid']
WF-4c34fddc,R-2acf6952,2021,1055056,0.2245,114201.65,9.8,58,['WF_plan']
WF-6bac953b,R-2acf6952,2022,1489337,0.3347,50992.36,3.51,23,['WF_put']
WF-e7f3fa21,R-2acf6952,2023,588497,0.1209,78311.98,9.63,51,['WF_your']
WF-cebbda5c,R-2acf6952,2024,258724,0.3403,49623.5,2.81,89,['WF_act']
WF-b16f514c,R-a56fa919,2018,514392,0.0557,29170.94,9.61,46,['WF_participant']
WF-7e7a7154,R-a56fa919,2019,238576,0.20679999999999998,63594.1,5.69,1,['WF_example']
WF-51eb7f51,R-a56fa919,2020,130273,0.34850000000000003,65477.82,6.26,74,['WF_best']
WF-1b0b42fd,R-a56fa919,2021,1620114,0.29410000000000003,38136.18,4.27,47,['WF_green']
WF-3a31fbf6,R-a56fa919,2022,765891,0.0636,37175.94,0.36,26,['WF_natural']
WF-144fd4ba,R-a56fa919,2023,486391,0.3558,39017.76,7.99,53,['WF_if']
WF-963393d5,R-a56fa919,2024,1003356,0.2278,44016.0,8.22,92,['WF_dog']
WF-7683fdab,R-2cbbcf37,2018,1188132,0.2875,52766.99,1.04,53,['WF_book']
WF-a200ef74,R-2cbbcf37,2019,770506,0.3104,57787.35,3.25,42,['WF_participant']
WF-c072090e,R-2cbbcf37,2020,297045,0.36719999999999997,139117.51,8.83,73,['WF_home']
WF-f8d77fe3,R-2cbbcf37,2021,564409,0.0518,21952.64,6.35,63,['WF_thing']
WF-b34e3f53,R-2cbbcf37,2022,548850,0.3771,108963.45,0.68,41,['WF_owner']
WF-6dd953e3,R-2cbbcf37,2023,423098,0.1061,117833.0,1.88,74,['WF_appear']
WF-5fcac0d5,R-2cbbcf37,2024,772930,0.0832,103977.57,4.32,28,['WF_else']
WF-0c063fa5,R-99266b30,2018,915872,0.34240000000000004,134916.05,1.09,12,['WF_growth']
WF-1604496e,R-99266b30,2019,244261,0.21789999999999998,51080.37,3.82,4,['WF_model']
WF-74c0c08a,R-99266b30,2020,220241,0.21739999999999998,42478.05,4.32,85,['WF_spend']
WF-a948de5d,R-99266b30,2021,852507,0.2803,107819.29,6.54,73,['WF_rise']
WF-a959dc7b,R-99266b30,2022,557982,0.0883,106316.45,2.37,28,['WF_pass']
WF-6bd019e6,R-99266b30,2023,1197864,0.3477,131506.29,3.27,0,['WF_artist']
WF-1a87d9a4,R-99266b30,2024,226410,0.069,26759.7,4.8,79,['WF_investment']
WF-ccc8d965,R-7158f265,2018,1615235,0.26280000000000003,101314.01,1.91,7,['WF_couple']
WF-1a5aa9d5,R-7158f265,2019,112806,0.2669,26366.62,2.57,78,['WF_recognize']
WF-af63e465,R-7158f265,2020,570714,0.2163,125611.34,9.0,86,['WF_coach']
WF-183963e4,R-7158f265,2021,289107,0.366,30365.56,5.57,12,['WF_example']
WF-f0694edf,R-7158f265,2022,76803,0.3795,84584.05,6.13,76,['WF_officer']
WF-bfc01d67,R-7158f265,2023,726701,0.2034,49684.31,1.03,18,['WF_soon']
WF-ce25d114,R-7158f265,2024,490460,0.384,80824.28,7.14,10,['WF_bank']
WF-42f662ee,R-acbe1283,2018,327371,0.0771,45289.54,3.13,19,['WF_economy']
WF-53a44a9d,R-acbe1283,2019,546946,0.2091,23645.52,6.27,45,['WF_too']
WF-997f96e6,R-acbe1283,2020,139996,0.31739999999999996,68135.49,6.61,5,['WF_parent']
WF-9a1faeb7,R-acbe1283,2021,620429,0.1054,109373.01,0.79,62,['WF_unit']
WF-f5e23a5a,R-acbe1283,2022,880661,0.3945,116995.35,2.16,15,['WF_various']
WF-b1eb753e,R-acbe1283,2023,825696,0.3342,115844.64,7.07,100,['WF_right']
WF-bcef1fc6,R-acbe1283,2024,610464,0.3739,24279.43,7.42,47,['WF_cell']
WF-7763523b,R-d48954d8,2018,1357481,0.24100000000000002,33845.48,4.84,24,['WF_peace']
WF-610825ec,R-d48954d8,2019,1991842,0.3166,89125.91,7.66,94,['WF_some']
WF-f1d05540,R-d48954d8,2020,45363,0.2091,121520.78,0.35,92,['WF_region']
WF-5755849a,R-d48954d8,2021,739093,0.198,101786.98,2.94,67,['WF_ever']
WF-cba8c437,R-d48954d8,2022,1592717,0.38130000000000003,45601.31,3.55,84,['WF_vote']
WF-ff91ff40,R-d48954d8,2023,1668894,0.15990000000000001,68226.65,1.2,61,['WF_cultural']
WF-cd8074cd,R-d48954d8,2024,1593893,0.2711,80641.78,8.23,5,['WF_start']
WF-d3d82e7d,R-a80c66a1,2018,482742,0.24280000000000002,36886.24,5.65,75,['WF_site']
WF-10c4fb5d,R-a80c66a1,2019,1366577,0.1106,46098.62,5.59,78,['WF_natural']
WF-d67d882f,R-a80c66a1,2020,1209617,0.13970000000000002,100775.27,5.1,90,['WF_medical']
WF-2bc351ea,R-a80c66a1,2021,1890270,0.365,144300.75,9.53,88,['WF_care']
WF-2166d49a,R-a80c66a1,2022,417125,0.2928,136686.08,8.19,31,['WF_value']
WF-569204ac,R-a80c66a1,2023,205607,0.2721,120442.01,8.83,97,['WF_million']
WF-7f2509b1,R-a80c66a1,2024,911557,0.0849,41700.76,9.7,19,['WF_key']
WF-37c51f82,R-3f6b3e1c,2018,1065787,0.3356,69371.38,6.73,43,['WF_fund']
WF-c0ad24da,R-3f6b3e1c,2019,630287,0.3592,54024.33,4.7,6,['WF_authority']
WF-2a4fe3f9,R-3f6b3e1c,2020,897646,0.08070000000000001,46283.65,8.91,5,['WF_save']
WF-957be4ed,R-3f6b3e1c,2021,528083,0.1369,111763.68,9.21,53,['WF_you']
WF-9dc0fa56,R-3f6b3e1c,2022,411864,0.3063,140854.95,1.38,90,['WF_by']
WF-ae706fec,R-3f6b3e1c,2023,686411,0.3243,117492.56,3.54,39,['WF_single']
WF-9bb73e70,R-3f6b3e1c,2024,1567800,0.2842,21984.62,0.49,29,['WF_first']
WF-fe15174f,R-d7d723d4,2018,987732,0.3948,21764.13,9.28,72,['WF_already']
WF-8ce9258f,R-d7d723d4,2019,51524,0.1106,84890.04,5.67,96,['WF_college']
WF-de9362bd,R-d7d723d4,2020,628866,0.302,83315.32,0.13,46,['WF_though']
WF-eb7a547d,R-d7d723d4,2021,1719500,0.2664,109105.99,3.37,55,['WF_and']
WF-c4e2316c,R-d7d723d4,2022,1486034,0.2486,110716.45,4.91,58,['WF_success']
WF-c5029f89,R-d7d723d4,2023,734156,0.1979,64616.93,8.25,18,['WF_affect']
WF-07171c64,R-d7d723d4,2024,1294320,0.2343,147525.01,5.94,52,['WF_simple']
WF-1e40c3a5,R-0cb5b2ae,2018,1069373,0.3319,63229.45,3.21,55,['WF_moment']
WF-d8bca495,R-0cb5b2ae,2019,863350,0.1506,140894.78,6.99,33,['WF_reality']
WF-8d58dad5,R-0cb5b2ae,2020,935461,0.1204,28937.96,5.86,23,['WF_sometimes']
WF-c937e5e5,R-0cb5b2ae,2021,1981720,0.15259999999999999,144774.34,6.35,60,['WF_rule']
WF-0d82c332,R-0cb5b2ae,2022,1884535,0.2072,139447.51,0.8,4,['WF_cup']
WF-56b1d3fe,R-0cb5b2ae,2023,456343,0.16899999999999998,76096.98,8.27,50,['WF_buy']
WF-58d57e8a,R-0cb5b2ae,2024,1687485,0.17379999999999998,68389.82,2.47,83,['WF_program']
WF-259ef887,R-17d75e18,2018,1553434,0.3857,126966.35,0.92,69,['WF_agent']
WF-69dd7d9f,R-17d75e18,2019,1659376,0.2357,73640.63,2.17,50,['WF_idea']
WF-ce7ba917,R-17d75e18,2020,1105175,0.0922,91509.64,1.75,27,['WF_relate']
WF-c654d0c3,R-17d75e18,2021,413101,0.09050000000000001,94548.21,5.71,7,['WF_his']
WF-bc7d02f2,R-17d75e18,2022,1960843,0.359,87781.53,2.47,38,['WF_community']
WF-e07ffe52,R-17d75e18,2023,87954,0.2767,101444.52,7.8,77,['WF_huge']
WF-17ba23eb,R-17d75e18,2024,1386560,0.1887,24512.59,5.4,31,['WF_medical']
WF-76b0fd83,R-198e9e79,2018,972231,0.1216,29811.14,8.86,55,['WF_middle']
WF-89e3b8b6,R-198e9e79,2019,574455,0.08070000000000001,29937.45,0.31,88,['WF_international']
WF-ddd0b8fa,R-198e9e79,2020,1343088,0.1772,43154.06,4.51,42,['WF_low']
WF-7989eba4,R-198e9e79,2021,859769,0.253,103718.33,6.67,29,['WF_later']
WF-ed60d090,R-198e9e79,2022,1174859,0.3393,81476.58,4.2,29,['WF_education']
WF-95637f02,R-198e9e79,2023,538893,0.1635,30683.04,8.39,38,['WF_paper']
WF-6e8193a6,R-198e9e79,2024,1962414,0.1426,29918.18,3.24,85,['WF_western']
WF-3aff80c0,R-9bdd3734,2018,1685555,0.2206,36236.19,5.05,34,['WF_structure']
WF-5a3cf591,R-9bdd3734,2019,319886,0.3146,82645.09,7.98,82,['WF_business']
WF-95574c8d,R-9bdd3734,2020,90891,0.312,145978.79,9.41,79,['WF_major']
WF-cec047df,R-9bdd3734,2021,571828,0.1231,136652.29,2.96,12,['WF_space']
WF-1d0794f2,R-9bdd3734,2022,1934891,0.10869999999999999,88953.37,0.08,57,['WF_baby']
WF-3c8a6a3a,R-9bdd3734,2023,112541,0.3166,34725.92,3.68,85,['WF_air']
WF-eda2f710,R-9bdd3734,2024,829653,0.1483,67424.28,1.03,55,['WF_figure']
WF-d4607997,R-4e8b8037,2018,1224710,0.2968,26438.05,5.78,79,['WF_resource']
WF-dadd6eb3,R-4e8b8037,2019,584512,0.3669,30122.96,0.49,72,['WF_employee']
WF-0cd72055,R-4e8b8037,2020,1114757,0.0506,146926.26,5.79,86,['WF_entire']
WF-025379a0,R-4e8b8037,2021,395076,0.2462,112711.01,3.61,28,['WF_seek']
WF-2352b696,R-4e8b8037,2022,1664465,0.2572,27198.78,2.58,3,['WF_total']
WF-eced6313,R-4e8b8037,2023,1545405,0.1514,114238.45,4.48,43,['WF_attention']
WF-a02b60d3,R-4e8b8037,2024,904763,0.3197,92128.22,4.69,86,['WF_along']
WF-1716ba22,R-e53e6e32,2018,34974,0.2888,113333.19,9.46,11,['WF_security']
WF-d7bf2549,R-e53e6e32,2019,34621,0.37939999999999996,49726.93,5.56,75,['WF_information']
WF-95771c77,R-e53e6e32,2020,458290,0.17800000000000002,53770.98,6.73,92,['WF_catch']
WF-b380dfc6,R-e53e6e32,2021,560253,0.1636,33590.0,7.07,17,['WF_mouth']
WF-b65498fb,R-e53e6e32,2022,1000497,0.2072,109151.3,1.76,40,['WF_inside']
WF-25a8bdd6,R-e53e6e32,2023,405044,0.2583,25841.11,3.09,75,['WF_same']
WF-4e879920,R-e53e6e32,2024,951279,0.207,42367.53,7.4,75,['WF_enter']
WF-d870812f,R-0f1c819b,2018,1660204,0.38909999999999995,140647.03,3.97,100,['WF_moment']
WF-f7255d39,R-0f1c819b,2019,1330646,0.2005,125576.79,6.72,9,['WF_production']
WF-d008f8f5,R-0f1c819b,2020,1297296,0.09789999999999999,70934.32,4.39,64,['WF_PM']
WF-af0e6948,R-0f1c819b,2021,1765428,0.17670000000000002,104158.36,5.34,83,['WF_could']
WF-a17b65cc,R-0f1c819b,2022,917189,0.07400000000000001,130955.69,5.45,89,['WF_deep']
WF-8d247a93,R-0f1c819b,2023,973326,0.17800000000000002,90559.87,8.27,18,['WF_bed']
WF-0f411fce,R-0f1c819b,2024,1704939,0.20149999999999998,22908.64,0.69,44,['WF_measure']
WF-bc520a85,R-6a652975,2018,164841,0.3552,126196.03,3.56,6,['WF_seek']
WF-af662ce2,R-6a652975,2019,1369852,0.3151,105121.3,7.98,8,['WF_skin']
WF-2c2c8b49,R-6a652975,2020,293942,0.39799999999999996,89768.7,2.54,28,['WF_seem']
WF-97ffce35,R-6a652975,2021,591338,0.2663,91112.77,8.24,6,['WF_if']
WF-b6ee3b85,R-6a652975,2022,974004,0.1681,84604.56,2.27,63,['WF_be']
WF-83577bc5,R-6a652975,2023,8683,0.15789999999999998,111641.24,5.0,59,['WF_size']
WF-94cb13b2,R-6a652975,2024,991391,0.19079999999999997,137430.48,1.68,28,['WF_us']
WF-f147519f,R-dd0fcfe8,2018,207409,0.3106,53659.56,6.2,38,['WF_resource']
WF-fc253aba,R-dd0fcfe8,2019,1675724,0.0876,55250.66,0.38,87,['WF_billion']
WF-5c444524,R-dd0fcfe8,2020,1629725,0.11720000000000001,92258.49,7.02,42,['WF_evidence']
WF-fcc7e902,R-dd0fcfe8,2021,1558910,0.35090000000000005,109473.11,1.31,68,['WF_let']
WF-2cecb3b6,R-dd0fcfe8,2022,1399950,0.3259,81439.94,0.78,47,['WF_side']
WF-0e7759a8,R-dd0fcfe8,2023,172043,0.1974,71099.61,3.9,76,['WF_thought']
WF-ea2abd13,R-dd0fcfe8,2024,1927303,0.1378,89513.0,9.4,52,['WF_protect']
WF-d812927f,R-a6259ae7,2018,971814,0.29350000000000004,89341.21,1.36,3,['WF_national']
WF-c551e56c,R-a6259ae7,2019,258142,0.0644,128249.19,3.79,7,['WF_my']
WF-cb7ef822,R-a6259ae7,2020,1877124,0.145,29874.49,6.18,71,['WF_carry']
WF-4446043d,R-a6259ae7,2021,464069,0.0776,123297.1,2.26,19,['WF_focus']
WF-a1f60cc3,R-a6259ae7,2022,1641022,0.1502,113854.7,1.55,34,['WF_two']
WF-d387124a,R-a6259ae7,2023,1039434,0.2575,40568.55,1.46,29,['WF_even']
WF-b304da10,R-a6259ae7,2024,1622615,0.2343,29241.09,8.3,53,['WF_number']
WF-6e5f62f8,R-d3d42064,2018,1513532,0.1833,134938.18,4.62,12,['WF_blood']
WF-a56bbedd,R-d3d42064,2019,1675758,0.1355,55005.78,6.7,5,['WF_thing']
WF-e8caf692,R-d3d42064,2020,1401981,0.0644,78589.85,3.2,77,['WF_general']
WF-ec1558a0,R-d3d42064,2021,765418,0.10869999999999999,84675.02,4.26,19,['WF_successful']
WF-795cd6f7,R-d3d42064,2022,1376249,0.3143,127291.65,4.27,54,['WF_wrong']
WF-2dc8f4b8,R-d3d42064,2023,1447172,0.2489,48192.81,1.57,45,['WF_leader']
WF-1ca22017,R-d3d42064,2024,222764,0.3226,149270.93,7.51,98,['WF_family']
WF-26c5a879,R-7eb18c72,2018,1362986,0.2833,86695.09,9.72,4,['WF_cause']
WF-4cdcc1c7,R-7eb18c72,2019,1371819,0.1589,67919.83,3.24,1,['WF_inside']
WF-cecae7cc,R-7eb18c72,2020,1610477,0.321,32126.14,4.32,97,['WF_find']
WF-33398aa5,R-7eb18c72,2021,1880878,0.21420000000000003,70607.32,5.56,44,['WF_threat']
WF-91bc0c45,R-7eb18c72,2022,868367,0.26,31674.95,0.6,90,['WF_decade']
WF-a204990b,R-7eb18c72,2023,1907404,0.2366,97999.02,4.45,13,['WF_practice']
WF-c3ce67d4,R-7eb18c72,2024,892442,0.3608,129129.51,3.74,97,['WF_relationship']
WF-0b03afd6,R-57d90026,2018,1731873,0.33740000000000003,137294.57,7.81,86,['WF_last']
WF-2ef9f28e,R-57d90026,2019,391319,0.08560000000000001,118233.43,5.64,54,['WF_position']
WF-d687183a,R-57d90026,2020,463247,0.2184,123389.74,0.45,58,['WF_experience']
WF-8c298562,R-57d90026,2021,355932,0.1789,71125.64,2.25,2,['WF_word']
WF-8517810a,R-57d90026,2022,661743,0.3148,131536.89,8.81,60,['WF_health']
WF-7c8de257,R-57d90026,2023,654110,0.1625,79264.91,5.14,14,['WF_place']
WF-fa3b5de4,R-57d90026,2024,333859,0.0986,92323.06,6.81,61,['WF_boy']
WF-761b40ba,R-f6e72e90,2018,1455755,0.0783,26893.07,3.57,98,['WF_happen']
WF-ebc15d96,R-f6e72e90,2019,1712145,0.22519999999999998,68735.02,6.04,24,['WF_build']
WF-ffd4f1ed,R-f6e72e90,2020,1650243,0.0702,87891.73,3.9,93,['WF_relate']
WF-99ac3ed7,R-f6e72e90,2021,1510261,0.3406,63308.24,9.77,3,['WF_back']
WF-44448eb6,R-f6e72e90,2022,520161,0.2408,133352.46,5.92,39,['WF_husband']
WF-76536899,R-f6e72e90,2023,1673023,0.1934,98508.29,5.98,5,['WF_before']
WF-b7d19638,R-f6e72e90,2024,701928,0.3046,116287.55,2.19,58,['WF_election']
WF-d72747a4,R-bb309815,2018,710068,0.1668,73054.18,2.3,53,['WF_blue']
WF-c62dcc6a,R-bb309815,2019,302136,0.17370000000000002,96250.44,6.26,78,['WF_thousand']
WF-d6b431be,R-bb309815,2020,796155,0.3589,29905.68,3.35,92,['WF_fill']
WF-a51b562f,R-bb309815,2021,307420,0.14800000000000002,72549.39,3.66,48,['WF_serious']
WF-f1857835,R-bb309815,2022,1906911,0.15410000000000001,148358.39,6.33,91,['WF_my']
WF-4d483390,R-bb309815,2023,1259914,0.1434,35778.54,9.39,36,['WF_spring']
WF-b6d4ff77,R-bb309815,2024,201118,0.2618,138792.58,9.29,45,['WF_president']
WF-b13f65c5,R-bea45acc,2018,748765,0.17190000000000003,25377.03,1.0,93,['WF_less']
WF-87d7775b,R-bea45acc,2019,1146881,0.39909999999999995,51246.31,6.11,62,['WF_run']
WF-c727fc00,R-bea45acc,2020,1244873,0.2148,29734.14,5.26,50,['WF_back']
WF-5b706a43,R-bea45acc,2021,1951064,0.20920000000000002,37678.37,0.1,94,['WF_why']
WF-8db4c51c,R-bea45acc,2022,1964561,0.187,47792.97,9.71,94,['WF_six']
WF-e9b2fdad,R-bea45acc,2023,795113,0.07719999999999999,35122.56,2.94,88,['WF_owner']
WF-12f196c4,R-bea45acc,2024,1450950,0.1294,124705.62,0.18,12,['WF_girl']
WF-60e570bb,R-f0cad20a,2018,1998104,0.2486,135080.05,3.92,83,['WF_goal']
WF-c823d804,R-f0cad20a,2019,557950,0.3301,40093.88,4.52,69,['WF_whether']
WF-5a5ffe0b,R-f0cad20a,2020,1850118,0.3933,148599.23,1.96,61,['WF_brother']
WF-22a29dbe,R-f0cad20a,2021,542666,0.0795,117174.67,3.97,54,['WF_everything']
WF-08a06a6b,R-f0cad20a,2022,1612493,0.3114,100612.4,4.61,58,['WF_I']
WF-980e5c9e,R-f0cad20a,2023,1610513,0.193,61651.24,3.57,97,['WF_couple']
WF-6d0e8a4a,R-f0cad20a,2024,828620,0.16879999999999998,80462.26,7.61,21,['WF_employee']
WF-72cd9de0,R-0681ea8c,2018,1067537,0.1168,42768.11,5.55,19,['WF_work']
WF-6f304d3e,R-0681ea8c,2019,1610880,0.07690000000000001,42877.97,3.86,81,['WF_affect']
WF-a814553c,R-0681ea8c,2020,695339,0.3265,104122.53,8.98,57,['WF_sign']
WF-66b3b68b,R-0681ea8c,2021,1383969,0.2144,36411.55,3.76,10,['WF_together']
WF-2c520c39,R-0681ea8c,2022,581906,0.34259999999999996,48989.83,1.47,7,['WF_business']
WF-7d802b1d,R-0681ea8c,2023,1711848,0.3592,46348.38,4.57,100,['WF_staff']
WF-dabbbc19,R-0681ea8c,2024,940216,0.1168,113872.86,6.99,2,['WF_should']
WF-10b4bf64,R-7c9effa6,2018,1754005,0.12539999999999998,134526.78,6.96,77,['WF_sure']
WF-c3400738,R-7c9effa6,2019,959111,0.3849,26019.75,2.54,86,['WF_professional']
WF-afd0327a,R-7c9effa6,2020,1256276,0.1972,66828.87,8.98,83,['WF_director']
WF-d90fde43,R-7c9effa6,2021,908384,0.28800000000000003,42762.59,6.39,71,['WF_mind']
WF-2d93bdab,R-7c9effa6,2022,1121435,0.1449,58561.73,3.35,23,['WF_wish']
WF-73d9f3e8,R-7c9effa6,2023,433416,0.2791,136123.85,5.16,99,['WF_whether']
WF-87f0a97c,R-7c9effa6,2024,1625212,0.17559999999999998,101169.81,7.26,32,['WF_suffer']
WF-f96b6b32,R-8b751b5a,2018,915869,0.1233,73335.69,0.41,37,['WF_build']
WF-77f52811,R-8b751b5a,2019,569691,0.1864,80850.84,2.02,45,['WF_third']
WF-7aa044ba,R-8b751b5a,2020,862349,0.22089999999999999,133198.4,5.82,87,['WF_once']
WF-f55818fa,R-8b751b5a,2021,1160275,0.2004,27141.27,7.92,8,['WF_top']
WF-6c37ccca,R-8b751b5a,2022,310146,0.3014,72446.3,0.32,44,['WF_yard']
WF-75a1a8c6,R-8b751b5a,2023,1256096,0.3318,30520.42,1.13,61,['WF_physical']
WF-6f8cf05d,R-8b751b5a,2024,947190,0.1699,110303.68,5.2,79,['WF_suffer']
WF-22c1bef3,R-39c88911,2018,1122142,0.30820000000000003,36518.28,1.85,83,['WF_dark']
