og_profile_id,market_id,total_proven_reserves_barrels,total_gas_reserves_bcfe,pipeline_miles,production_capacity_barrels_per_day,active_well_count,refining_capacity_barrels_per_day
OG-f51a0484,M-5d40b0db,7815.11,3477.67,12126.38,2908024.54,638,219117.16
OG-288b9126,M-c6287e07,7368.41,3826.97,49453.16,1639583.23,1478,345683.6
OG-45b6c2a1,M-7d7f82c1,1772.65,1855.2,25840.78,4823140.41,380,578661.33
OG-e566a669,M-6e59bd27,3199.36,2504.71,45857.31,3829516.61,376,1622110.29
OG-9780785b,M-5937110c,4657.64,3859.6,16680.49,4552093.97,589,1194261.49
OG-1f3a16bb,M-26f48931,5148.1,2064.16,6733.19,3504469.46,325,411862.97
OG-f2ca2918,M-7c70bae2,4652.07,3173.4,47843.31,649426.66,1532,149460.25
OG-5f86acc5,M-c3d06550,9623.29,24.36,31584.53,2423493.07,485,1661000.34
OG-781f9380,M-18ed8f1d,2745.2,1046.06,34002.19,11296.96,1340,1999522.02
OG-03705bad,M-1d3c367a,8866.88,1883.05,48008.03,1228946.17,760,796760.7
OG-ae675a03,M-43a4577e,747.63,2023.27,9002.45,4023657.49,1369,1885270.64
OG-c8486c6c,M-a289c520,386.92,863.57,7579.84,1800573.17,1488,1751829.56
OG-51e0f77b,M-0ce42d1f,2697.15,3202.75,36390.05,4735595.7,1759,1745104.64
OG-bd6e51ab,M-f4b75c92,4753.73,3251.61,33444.05,4615019.74,759,88070.14
OG-b586adda,M-ad0a252f,7304.91,3973.48,15633.91,1818955.49,805,103531.68
OG-401ca2df,M-97f9aa78,8837.4,717.14,36135.01,1229830.47,598,1310620.83
OG-0e04607a,M-d39ff951,1546.11,850.6,1824.8,1598464.04,1493,1865674.57
OG-f7b7aacf,M-03c60628,8029.64,4483.96,2320.65,2028625.93,167,1922435.52
OG-f0f11b35,M-bda85eea,9934.19,3067.91,263.18,1828488.93,1097,1825568.47
OG-db470491,M-08e3fc42,1360.69,1825.32,31746.23,982409.49,115,1013655.61
OG-a4674723,M-f09ec742,367.25,1876.5,28142.32,4512986.43,1371,451705.65
OG-cc16608c,M-12b1e520,3351.34,4750.61,20122.16,2546085.32,1218,1110074.65
OG-524e4ff0,M-58eaed01,5262.9,777.66,13068.72,1050268.22,1164,1556043.31
OG-25904c36,M-3f39de3b,2977.91,3953.14,29013.44,212673.13,1800,691126.96
OG-8bcb7249,M-22a85f0d,3602.13,3560.08,10464.61,4317704.09,424,1814972.07
OG-5b7fa7ed,M-47000cc9,42.95,3122.5,36732.69,629742.17,1299,777238.9
OG-b0ec5689,M-038a87bb,5784.27,1451.81,15233.91,2280300.37,1871,741171.02
OG-6b37b7ed,M-3d7b0201,1034.87,4038.45,825.19,2062459.13,1727,783965.1
OG-5be680f0,M-eb290e36,7819.87,2583.96,38278.18,3169532.2,1541,78785.51
OG-f78e07b3,M-c3a67018,3983.27,2679.19,19875.39,2954158.75,1782,1578458.73
OG-7025063e,M-fdffaa44,7120.4,674.02,10137.68,1448076.56,96,504862.87
OG-f1e31631,M-d358bbb6,191.25,2002.49,34525.52,2871194.87,1786,75319.82
OG-3c189ba5,M-2f459895,4301.56,2822.88,41914.49,504549.79,1746,493251.99
OG-e564b0f6,M-8a00bfa7,7590.41,1706.01,3972.77,3358605.57,1654,182730.51
OG-50c58460,M-6f48596d,3019.21,3596.52,41676.29,4879587.64,325,1095626.49
OG-5636fae6,M-e4288542,1097.02,4080.48,10854.08,2769309.83,1401,1712641.86
OG-ab1fc7bf,M-0f1b899a,9718.8,611.87,148.84,3857550.09,1312,575841.96
OG-6dc0b7fb,M-7453c7e0,3305.55,690.46,13099.33,2973507.46,359,575200.22
OG-723ee20e,M-d7edca3c,233.37,1164.89,6618.47,3512591.84,40,55431.49
OG-88655b7b,M-e1964b27,1914.91,2243.48,46915.35,857326.53,1360,1344485.59
OG-75ca6c7f,M-c74464d4,2654.92,1186.62,3115.53,2930672.19,1010,1134781.77
OG-bd7fb5ef,M-1304ff6a,7144.32,1174.34,11551.16,809833.74,670,1946381.6
OG-bc78e7a6,M-7ec428e2,1174.58,4705.5,49871.2,919783.21,584,1788648.2
OG-ce8b6c20,M-e788e1c2,6966.37,1381.23,36775.87,3999428.61,595,112953.15
OG-75727139,M-28e48497,7678.56,3770.55,44917.36,2980809.64,940,917285.65
OG-d51b26cf,M-a3f1da27,9340.06,1085.5,3502.28,1376080.05,1140,379249.18
OG-daf41546,M-04cd87ce,6422.97,208.32,2735.0,1230673.24,1914,475726.35
OG-3702c593,M-a7cf8760,556.95,2430.92,9425.04,610782.76,1995,669383.31
OG-2b0d57d3,M-741af805,4704.13,3622.93,21098.77,2449925.77,1919,1828385.55
OG-0a39179a,M-b97b5b3e,1986.09,943.22,7321.73,1606934.51,1235,1337353.15
OG-6e5d76f8,M-5ababbab,5726.17,3541.39,43254.64,978216.81,1497,1482748.03
OG-67132bd0,M-940fbe43,6915.18,979.28,25147.39,321075.4,895,333186.96
OG-8722a006,M-10eefba0,1608.19,938.51,8072.7,2650862.83,466,394389.88
OG-d46e85cf,M-a8d930ce,7210.0,422.75,25030.13,4639079.62,371,1444019.26
OG-113a8f18,M-097b1e60,2182.53,3010.92,1446.0,723594.94,1405,55785.54
OG-0e2df44c,M-5f8cebcb,5813.22,3529.86,45972.57,4091172.52,96,1755016.64
OG-7a076538,M-9c25f38f,6877.52,4993.37,14999.75,859678.35,703,1848959.62
OG-cecf8aa0,M-d779af5c,1863.39,4936.87,12619.42,1849035.34,916,1351026.55
OG-a737a5bf,M-490137af,5228.8,4122.48,28386.62,2876834.93,474,1810205.9
OG-2c787f39,M-55733e39,6976.42,1748.78,14013.12,4544479.0,1431,1930878.58
OG-427267ed,M-a9b24c6d,6918.76,991.11,47725.05,1392394.87,731,1846366.43
OG-d99c122b,M-0cc7c98a,8592.09,2768.56,40632.3,4424309.52,1779,469345.47
OG-cf1e95b4,M-284611fa,7159.64,2239.43,32214.43,2912970.27,1623,1248652.65
OG-db9e7277,M-30f4ba28,7316.34,4035.08,30490.01,1702386.84,1571,65506.41
OG-17d1fb93,M-80634a4c,6393.69,1347.16,28091.57,1807681.01,717,119332.62
OG-b1bf53af,M-6916877e,6996.15,933.98,40440.65,2385522.18,470,364626.08
OG-869f8f22,M-67a46c80,6984.45,963.53,333.59,23387.93,872,1748079.03
OG-0ef9c978,M-0c2d4a8c,709.69,2184.3,40678.71,2515273.66,620,788237.47
OG-e5b70456,M-6dc3514c,4569.24,2337.23,31523.82,1751057.4,1531,1239923.3
OG-cf398871,M-934b6aec,2696.08,1255.57,18368.31,3231962.52,1790,726752.38
OG-ff691738,M-2c518b86,5564.43,3857.83,28590.24,3323194.49,295,916690.84
OG-e95845dc,M-a75e099f,9387.76,4676.51,83.75,864389.71,1686,261244.98
OG-e6de6534,M-75b30076,6834.88,4016.22,31775.24,3534245.08,1837,1252174.82
OG-b87b9d5e,M-a4f501d7,7961.86,3732.52,3151.89,3752421.55,763,710818.13
OG-cd39f7cf,M-e6808f3a,4110.69,3270.19,48923.91,715030.65,1361,816905.98
OG-25c8a6ee,M-c2f8f150,4214.6,3227.82,1357.2,3237167.86,1176,1654980.73
OG-f9d72316,M-40d9c795,9497.15,3697.45,28442.79,1511783.5,82,497461.99
OG-c733b646,M-e98330ab,4248.72,1340.52,42076.31,4212106.15,675,1519698.21
OG-13fd05af,M-68f5fbcd,9784.34,787.85,21537.26,1354000.68,1497,1465274.16
OG-804db259,M-55036bde,1410.92,2045.8,3404.26,4942735.09,621,1737084.65
OG-908576d1,M-e79dcd82,6957.93,4529.36,42064.05,4974408.9,435,957432.77
OG-c1fd50e8,M-dcfbb576,3458.85,4449.26,35577.45,951130.96,255,86978.27
OG-31dd1afe,M-57cfa4e7,658.94,3382.35,46797.2,2667948.93,1342,1820790.8
OG-79efc309,M-41889fb5,6194.77,4467.34,18289.56,3633305.98,1951,156981.57
OG-4766088d,M-5e9e8b95,9875.57,826.03,18204.37,3688400.35,1589,804301.37
OG-f6d2b8b6,M-fcdbee53,5868.76,1415.81,27473.73,309630.03,907,1301400.89
OG-68707317,M-33deeb2d,6683.16,1459.45,8208.12,2068472.81,1927,1738336.51
OG-48680f5c,M-72114f8f,379.77,4913.5,36865.74,2301554.44,172,1469347.44
OG-4e6a7ce4,M-acbfce58,7320.05,3668.48,5501.37,1472333.44,1728,1939891.06
OG-070b351f,M-0b95409d,5241.88,56.25,19616.85,3201208.47,1940,258559.69
OG-3c706b63,M-b6bd937b,1133.58,2551.24,15404.15,2932473.97,50,52011.62
OG-305c8aef,M-47500283,2569.21,357.19,2779.51,4844755.92,1490,124397.9
OG-d290f21d,M-594c9a69,1703.79,969.79,3615.75,4199928.38,610,1835113.36
OG-361b9ffa,M-0313f5a9,1738.15,163.53,28443.58,1040797.5,1470,1915277.82
OG-cc9a5408,M-9a32406a,2898.74,4442.0,4325.65,367849.27,948,81161.7
OG-abc74113,M-2a234ce6,8475.61,3428.44,10386.87,147078.52,722,741566.34
OG-d0f50200,M-f9db1538,103.24,449.94,36410.6,2568306.37,1135,633678.32
OG-29dcf33d,M-a19153ff,3876.5,86.94,21561.11,4833363.62,742,1295317.19
OG-f1d270b5,M-616799af,2680.06,1331.75,11435.81,4686229.93,690,806872.28
OG-3bda0298,M-ef8dc5de,5672.41,611.0,35982.88,4656728.53,981,104449.12
OG-2a23bb5e,M-fe355577,1569.26,1720.38,11555.19,1942018.93,224,1929265.14
OG-5d67a1f2,M-7c296da0,1230.43,405.57,35482.17,871655.61,1494,942294.24
OG-022a52fb,M-a6ba96f7,971.19,1046.95,18520.76,964847.55,239,72487.03
OG-c66c0b9a,M-1a966fd4,1059.33,4286.47,48176.08,53077.25,531,1907600.73
OG-5d553681,M-0dfe8e71,8733.92,942.01,15913.97,1078039.23,1749,1397832.21
OG-073e4e96,M-ec165527,4972.81,2501.32,3765.37,728982.52,908,290918.07
OG-92f4b68b,M-036c1104,7339.29,2733.24,49423.24,1605083.56,1493,1495482.56
OG-90b78e81,M-abd12f76,3013.4,109.8,25902.14,3596333.46,80,1479639.09
OG-40908a2a,M-6d0e3019,4290.85,2968.97,15914.17,4726337.52,1674,470344.2
OG-40eb3c43,M-aaf2bf76,399.37,3364.04,46141.65,2912017.28,1351,1226588.29
OG-ccc73bb3,M-663ac6ce,2383.14,381.12,43578.81,4915523.11,1943,1546311.67
OG-8ce20b44,M-e05e71a9,8374.94,3865.24,1335.73,2975812.93,1408,1010632.68
OG-1edd091c,M-33af437d,1655.76,3597.06,31235.41,4707522.96,236,1987887.03
OG-04df70ea,M-d28f13d6,5876.44,3312.21,42273.02,3214793.85,1067,1042053.65
OG-bf079643,M-089f252e,8577.63,1536.46,3889.86,3550181.23,1778,1807804.03
OG-5d1eb176,M-b9f09e4e,6230.0,4004.6,13271.19,959398.91,1459,662221.81
OG-0205b7bd,M-7e2675c2,449.08,2031.82,13066.91,869383.77,507,1065560.14
OG-70fd221b,M-3d9c3e26,7101.22,3130.5,42718.93,4199394.38,1841,557643.51
OG-3229cf48,M-9a7398e7,634.89,424.22,16747.02,4761020.21,360,1131487.08
OG-9a0e85d1,M-fed77e11,7298.61,3497.21,23442.95,4096147.63,397,39440.96
OG-7a2c5ab2,M-f374cca9,4266.41,2359.02,30895.65,1168664.06,799,911578.03
OG-68d97507,M-fddc8af4,5080.91,67.75,202.08,3456137.85,285,503636.64
OG-496ac13c,M-e740ea3a,547.54,3052.3,11193.17,1793194.04,1476,1389536.2
OG-aa398d4d,M-77a3796f,8865.24,963.07,38110.56,4966832.9,940,1153090.28
OG-9d0aa0bc,M-d65aa272,557.08,909.65,12484.92,2161930.36,181,1657428.85
OG-aae4db73,M-888c2c00,3879.88,828.24,4163.15,4131502.87,1888,302908.0
OG-1b25ef68,M-57ed1b62,8117.32,1633.71,5900.9,702978.95,1329,1685468.56
OG-56b957eb,M-aae48fab,4017.7,4409.25,28134.53,4317472.71,1957,1173270.62
OG-ef7e747a,M-ba044faf,7761.09,4887.98,42550.25,100485.45,564,4289.45
OG-ef88384b,M-9fc8a6b1,2401.29,144.56,28420.91,3291786.85,1385,1892258.81
OG-2160aa17,M-c1a8e619,4780.59,4491.95,10856.85,2060532.69,1596,1057735.21
OG-24c74e50,M-1e63170f,2292.98,4023.45,10966.27,2916491.54,1337,1940378.63
OG-b2a30bda,M-7aa987f6,450.0,1961.31,20249.91,4986866.19,886,18166.09
OG-3d183afb,M-7134cd9a,7162.9,1777.56,26329.99,133518.79,85,680178.24
OG-cb61a1c4,M-cdb18255,9215.37,3397.1,2714.29,1091347.73,862,1251841.28
OG-9ff058b2,M-23c05e2c,1876.32,249.3,35499.58,3808404.21,1708,72268.5
OG-fc99771a,M-668dcff0,9835.55,4817.23,44562.43,4640705.31,648,1600170.12
OG-920615d4,M-935aa704,5854.54,3746.55,38753.08,4221272.16,545,423153.86
OG-8f7b10e6,M-fd2c05f3,667.67,250.38,691.93,901112.43,1311,1503431.34
OG-e3be7d22,M-22c68ffb,5847.83,4843.68,22038.88,461968.96,250,1524881.96
OG-db16624e,M-bf81b992,5052.49,3712.46,45010.77,3056883.14,1108,421778.25
OG-5bcdc042,M-a4211698,4938.22,1325.0,766.66,670527.04,1946,188254.64
OG-da435dff,M-d658379a,4430.05,2821.82,47785.25,468784.44,253,1533882.43
OG-075e811b,M-41582376,4360.18,1670.87,1213.37,3465807.0,1377,1580632.31
OG-2fd022a5,M-5c8e03c8,2797.98,4130.38,16982.59,4354121.63,1521,1749107.75
OG-35377405,M-47bb7c5e,3330.72,2234.42,32248.98,3324438.53,280,1786373.21
OG-8b601071,M-f048113c,6211.74,271.66,26942.09,4116389.73,816,72521.13
OG-56678272,M-7b8badfc,1986.33,2920.35,10684.78,2479015.08,1147,859265.02
OG-8a92d57a,M-4a45ce0b,8504.74,4413.62,23625.48,1836750.43,426,1544271.32
OG-21e2e7ca,M-ca431dd6,3256.66,384.3,15808.13,1294297.15,1440,1961977.35
OG-e421afd5,M-817db08d,4943.09,1017.68,46707.46,2482847.93,1071,210202.63
OG-be320233,M-d42b908c,576.64,2733.0,38139.52,3576318.88,434,985666.33
OG-02ef6890,M-6ccc12ff,899.09,20.64,202.81,3170429.15,1652,1731008.51
OG-5036cd21,M-cf36756a,5032.75,4236.91,12891.29,485087.93,1583,810624.22
OG-f9086888,M-1bc411d4,5976.82,3076.44,28861.31,1738133.84,1452,1040990.51
OG-aeb74b23,M-62ec7bc2,8068.33,1774.2,44336.9,1993530.88,1162,37934.13
OG-c7e22093,M-70c2f9f9,8801.7,1311.05,13329.77,2996518.25,584,447546.71
OG-3b12b453,M-d7f0a95d,5903.91,3726.83,35319.29,4434825.56,1479,150709.56
OG-6ce10a7f,M-3719eb1c,9586.52,715.14,34488.66,4925968.5,1422,1680288.9
OG-8952ff2c,M-ee330c4f,4444.67,2163.32,981.78,1343568.3,1337,1583426.26
OG-02215942,M-4128ccea,9465.58,855.17,19109.17,3728585.17,378,1046922.51
OG-349d3dba,M-65963eb8,3029.72,3978.06,17817.25,1656127.66,301,1805772.51
OG-ef879d8d,M-4f4e3676,7075.83,2942.88,19183.84,2536205.72,830,1806548.55
OG-e819ef5e,M-656d0fa2,8736.72,3127.56,44888.2,4249203.64,1379,1170396.66
OG-2e5960dd,M-3f892607,9792.51,1767.86,43847.36,4816983.6,1100,86257.1
OG-2b4138b3,M-bb1f053c,2340.45,1477.24,22072.69,422208.63,1318,608153.27
OG-fccdf4ab,M-ce04a360,2557.62,3662.27,42368.87,3348458.0,1583,882893.47
OG-97121a3e,M-7f6000b8,2326.15,3857.97,32315.37,3102781.87,1741,124812.62
OG-56966ef7,M-4ed004e6,3299.59,1703.86,38906.8,2339755.32,636,886131.59
OG-fb2c6c8f,M-4dba6610,7540.0,532.39,35780.56,3269969.19,378,1421250.46
OG-a200a3c7,M-d2d28a78,170.22,800.65,46627.66,830534.46,1007,1074902.14
OG-6e50d2f6,M-67eea775,7963.76,793.78,10172.99,1998073.96,1956,1317306.86
OG-977f6557,M-1ad4916c,3180.27,3949.57,44879.67,799085.69,1557,1628697.12
OG-b01f5763,M-3a22aaa5,4924.47,3678.39,41039.27,4656965.61,847,89405.11
OG-df2cddaf,M-5218de39,207.12,4727.68,21388.53,1587395.42,1823,1243743.28
OG-0b31c7cf,M-a2cc8309,5025.35,808.73,15556.16,3675502.82,1745,843666.8
OG-17b94c6a,M-d8bd987c,5528.12,3779.75,10965.71,4090112.9,523,1405190.02
OG-a3b4e20e,M-23345773,9166.35,3143.49,15062.14,1473605.32,699,36507.44
OG-f75eec88,M-971d35d5,2333.3,2875.56,20000.11,2635500.31,1863,397777.83
OG-02e36580,M-207ccdd8,2545.07,4900.65,49506.35,3013763.41,56,1046827.05
OG-3e83141b,M-32d09bfb,9989.54,1478.13,26576.33,4982165.28,291,1210436.45
OG-9d526e63,M-91c950f7,4050.22,1660.4,11295.18,3436970.62,1463,1784582.51
OG-7f44d8b2,M-f07fce84,8659.22,1729.32,46781.36,111775.44,44,933124.92
OG-d985fee7,M-fa14dd44,6013.23,4952.74,30917.54,3979847.81,1454,1054189.14
OG-7a485bef,M-66e50146,4966.94,2129.9,1192.59,1795208.23,1065,1421863.0
OG-5357edfd,M-f58b4b3c,6376.39,1137.21,48071.79,4649588.3,577,1618932.82
OG-fe0fecbc,M-9452e140,713.69,3034.83,7490.93,4958928.23,1533,503689.35
OG-a6816208,M-750ec734,2741.01,443.94,10476.33,3893919.25,1157,1042231.49
OG-dec7d6fc,M-8a791e8a,3050.15,2462.35,45313.54,1538521.7,1819,700766.22
OG-b830f784,M-f539fa58,4583.98,4575.25,11157.56,4220956.13,103,1641739.64
OG-76564667,M-e2dee74b,5952.38,4132.09,3025.53,3555231.35,123,887123.75
OG-9768c66d,M-01b803fc,4283.75,2237.84,16680.48,3931.93,1601,642379.52
OG-163cba6c,M-7e4f0da7,9718.29,1600.23,39781.59,4251623.42,1304,1785563.46
OG-74efafc5,M-2d49a75f,3844.05,307.65,11036.31,4293283.39,437,435336.58
OG-88401122,M-44e7efec,3896.62,1352.93,48606.27,2359342.13,183,1990190.13
OG-4dc838a8,M-08b6b5ef,7647.16,474.83,21755.66,1120248.23,1271,632660.95
OG-7ce532fa,M-026ba0c3,4163.28,331.31,13798.88,4404965.15,1637,1591099.07
OG-024ac334,M-63598dc0,1571.08,3500.26,32646.51,2083460.82,1127,684703.11
OG-97dcaf7f,M-550094f1,4441.71,818.2,22507.59,1809064.09,1024,948670.84
OG-a4814b39,M-08f5754a,611.13,1940.25,13058.59,4562149.66,70,160971.54
OG-37580f46,M-be7003ea,6700.29,3831.79,29793.54,1533563.36,1849,1451670.54
OG-4a2a01bb,M-acacea27,623.41,3644.76,7796.46,2062182.65,1056,1580352.09
OG-f5f47bf4,M-560bf853,9050.2,3387.52,46364.52,3274222.35,883,1658140.05
OG-54559ae0,M-b5bbba5f,4466.63,1254.54,40368.05,2784744.87,988,957603.29
OG-1cafd681,M-21fa81b9,3291.56,10.74,11259.35,4694556.49,974,1524051.52
OG-2d227392,M-483361bc,2838.37,581.25,9703.55,1363458.64,1808,14012.2
OG-c1da086e,M-6144e82b,1285.88,3240.99,8210.72,4092431.28,1643,1626277.6
OG-a862622f,M-fc525767,7717.38,4820.92,9082.92,1114535.82,1377,753476.54
OG-01b0d425,M-25b431f9,3625.83,901.94,18523.25,1259862.37,1390,1650056.93
OG-047d060f,M-52bf53df,148.62,3897.62,29228.1,4843268.25,1558,1974583.11
OG-5872757f,M-3f01b6c2,5728.44,3029.23,18094.38,1790796.33,495,799221.19
OG-7ccb3fbd,M-83805141,2991.0,4696.12,9101.09,246423.95,1194,524745.38
OG-eb9887c9,M-99cfad2d,345.93,1292.63,13035.33,4328157.75,743,1009150.06
OG-7643536d,M-184578a6,7089.95,1012.43,33095.32,3836167.69,1759,1933619.22
OG-59a25b93,M-b5f104cd,689.94,2815.35,32770.16,1926065.95,1425,1747722.92
OG-cb803fe9,M-8b714168,1652.13,2236.91,13664.35,1200743.53,1116,662991.61
OG-e006dfae,M-8af56fb2,7229.72,4332.09,25997.37,314825.41,1804,707016.38
OG-eba13c1f,M-2bd95b7a,6899.22,1174.38,32589.34,3243374.13,555,450195.61
OG-f06f6807,M-c2992fe6,1323.22,2919.18,34473.92,2331275.88,1478,480883.5
