id,orderID,orderType,side,quantity,limitPrice,timeInForce,status,creationDateTime,investorID,brokerID,exchangeID,instrumentID
ord_66,ORD-693422,Limit,Sell,628,10.83,DAY,Open,2024-03-26T17:31:11,inv_21,broker_3,exch_2,instr_54
ord_67,ORD-732673,Stop,Sell,359,,GTC,Cancelled,2024-09-12T02:08:05,inv_18,,exch_6,instr_17
ord_68,ORD-289576,Stop,Buy,200,,GTC,Open,2024-02-26T17:01:18,inv_23,,exch_3,instr_25
ord_69,ORD-779444,Market,Buy,184,,GTC,PartiallyFilled,2024-05-25T16:24:30,inv_7,broker_7,exch_3,instr_21
ord_70,ORD-388887,Stop,Sell,621,,GTC,Open,2024-08-27T23:53:09,inv_7,broker_10,exch_4,instr_0
ord_71,ORD-793947,Market,Sell,403,,DAY,Cancelled,2024-11-06T21:54:09,inv_9,,exch_3,instr_68
ord_72,ORD-803605,Limit,Buy,463,371.85,GTC,Filled,2024-10-16T04:48:36,inv_27,,exch_5,instr_7
ord_73,ORD-325840,Stop,Sell,187,,DAY,Filled,2024-09-12T09:54:23,inv_18,broker_6,exch_5,instr_56
ord_74,ORD-457377,Stop,Buy,52,,DAY,Cancelled,2025-01-26T06:06:41,inv_16,broker_3,exch_1,instr_14
ord_75,ORD-521773,Limit,Buy,197,468.42,GTC,PartiallyFilled,2024-10-28T15:00:53,inv_11,broker_11,exch_3,instr_15
ord_76,ORD-575016,Stop,Buy,128,,GTC,Filled,2024-08-19T21:28:14,inv_28,broker_10,exch_2,instr_55
ord_77,ORD-766149,Market,Sell,103,,DAY,Cancelled,2024-11-19T13:53:50,inv_29,broker_5,exch_0,instr_43
ord_78,ORD-968422,Stop,Buy,843,,GTC,Open,2024-03-10T15:39:40,inv_7,broker_1,exch_6,instr_56
ord_79,ORD-331937,Limit,Sell,127,52.87,DAY,PartiallyFilled,2024-12-02T17:13:38,inv_21,broker_0,exch_0,instr_30
ord_80,ORD-897020,Market,Sell,346,,DAY,PartiallyFilled,2024-11-27T06:12:40,inv_9,broker_1,exch_7,instr_33
ord_81,ORD-917107,Limit,Sell,408,234.29,GTC,PartiallyFilled,2024-07-23T03:08:37,inv_26,,exch_3,instr_16
ord_82,ORD-613546,Stop,Buy,638,,GTC,PartiallyFilled,2024-11-16T16:07:50,inv_24,broker_0,exch_7,instr_64
ord_83,ORD-453103,Market,Sell,315,,GTC,Cancelled,2025-02-05T18:59:14,inv_21,broker_7,exch_0,instr_53
ord_84,ORD-896117,Limit,Buy,858,184.8,DAY,Filled,2025-01-25T08:13:45,inv_25,broker_9,exch_6,instr_45
ord_85,ORD-257052,Stop,Buy,795,,DAY,Filled,2024-08-19T17:07:30,inv_2,broker_4,exch_1,instr_17
ord_86,ORD-503545,Market,Buy,503,,DAY,Cancelled,2024-07-08T05:18:43,inv_9,,exch_2,instr_6
ord_87,ORD-937385,Limit,Buy,919,217.51,GTC,Cancelled,2024-09-18T08:36:50,inv_19,,exch_2,instr_44
ord_88,ORD-665235,Limit,Buy,873,85.81,DAY,Cancelled,2024-09-28T03:13:59,inv_0,broker_6,exch_6,instr_70
ord_89,ORD-577745,Market,Buy,976,,GTC,Open,2024-08-12T04:50:46,inv_23,,exch_4,instr_30
ord_90,ORD-740264,Limit,Sell,56,490.27,GTC,Filled,2024-10-10T12:56:03,inv_29,broker_5,exch_4,instr_79
ord_91,ORD-344171,Limit,Buy,540,209.55,DAY,PartiallyFilled,2024-08-20T16:21:55,inv_10,broker_8,exch_1,instr_6
ord_92,ORD-924265,Stop,Sell,287,,DAY,Cancelled,2024-03-02T05:58:52,inv_29,broker_14,exch_7,instr_1
ord_93,ORD-884653,Stop,Sell,319,,GTC,Filled,2024-05-17T19:01:24,inv_2,broker_1,exch_3,instr_32
ord_94,ORD-810445,Limit,Buy,519,446.97,GTC,Open,2024-04-06T21:55:56,inv_27,,exch_3,instr_69
ord_95,ORD-282264,Stop,Sell,580,,DAY,Open,2024-10-28T21:56:27,inv_25,broker_12,exch_4,instr_21
ord_96,ORD-536323,Stop,Buy,990,,DAY,Open,2024-12-09T08:18:46,inv_12,broker_2,exch_5,instr_18
ord_97,ORD-569746,Limit,Sell,162,405.86,GTC,Cancelled,2024-07-25T20:30:57,inv_22,broker_1,exch_6,instr_45
ord_98,ORD-723146,Market,Sell,620,,GTC,Open,2024-12-17T23:34:22,inv_9,,exch_6,instr_37
ord_99,ORD-420900,Stop,Sell,827,,DAY,PartiallyFilled,2024-06-12T08:32:09,inv_10,broker_2,exch_4,instr_66
ord_100,ORD-413019,Limit,Sell,931,266.37,DAY,Filled,2024-04-11T06:40:14,inv_26,broker_10,exch_1,instr_70
ord_101,ORD-449526,Limit,Sell,311,218.76,GTC,Filled,2025-01-28T23:56:58,inv_23,broker_9,exch_1,instr_28
ord_102,ORD-454728,Stop,Buy,935,,GTC,PartiallyFilled,2025-01-27T11:51:54,inv_14,,exch_2,instr_9
ord_103,ORD-997624,Limit,Sell,631,72.76,GTC,Filled,2024-07-24T08:14:45,inv_0,broker_13,exch_7,instr_72
ord_104,ORD-194365,Market,Sell,806,,GTC,Cancelled,2024-02-29T05:16:13,inv_29,broker_9,exch_2,instr_50
ord_105,ORD-490080,Limit,Sell,40,54.25,GTC,Open,2024-05-13T17:17:53,inv_13,broker_9,exch_2,instr_37
ord_106,ORD-585414,Market,Sell,196,,DAY,PartiallyFilled,2024-07-13T10:00:33,inv_11,broker_10,exch_2,instr_11
ord_107,ORD-352997,Market,Sell,725,,DAY,PartiallyFilled,2025-01-14T01:16:02,inv_20,broker_2,exch_1,instr_79
ord_108,ORD-875610,Market,Buy,504,,DAY,PartiallyFilled,2024-08-30T05:32:18,inv_20,broker_10,exch_3,instr_52
ord_109,ORD-882663,Limit,Buy,680,231.8,GTC,Cancelled,2025-01-19T06:07:01,inv_2,,exch_0,instr_41
ord_110,ORD-149720,Stop,Buy,886,,GTC,PartiallyFilled,2024-03-10T20:42:54,inv_15,broker_9,exch_2,instr_68
ord_111,ORD-781914,Limit,Sell,392,337.57,DAY,Cancelled,2024-08-02T21:59:12,inv_16,broker_5,exch_6,instr_75
ord_112,ORD-211708,Limit,Buy,652,206.25,GTC,PartiallyFilled,2024-07-14T12:53:21,inv_1,,exch_0,instr_56
ord_113,ORD-280282,Stop,Buy,47,,DAY,Cancelled,2024-11-15T17:00:06,inv_8,broker_2,exch_1,instr_76
ord_114,ORD-630069,Stop,Buy,238,,GTC,Filled,2024-12-03T23:23:25,inv_21,broker_10,exch_4,instr_52
ord_115,ORD-729307,Stop,Sell,685,,GTC,Filled,2024-02-21T05:05:12,inv_15,broker_10,exch_7,instr_5
ord_116,ORD-131987,Stop,Buy,771,,GTC,Open,2024-06-13T04:47:51,inv_20,,exch_4,instr_78
ord_117,ORD-583772,Limit,Sell,381,78.96,DAY,Filled,2024-07-14T15:26:43,inv_4,,exch_0,instr_29
ord_118,ORD-986622,Market,Sell,495,,GTC,Cancelled,2024-05-01T00:28:29,inv_9,broker_7,exch_7,instr_72
ord_119,ORD-538457,Market,Sell,112,,DAY,Open,2024-10-16T00:28:03,inv_10,broker_8,exch_2,instr_36
ord_120,ORD-910436,Stop,Sell,130,,DAY,Filled,2024-12-12T22:07:49,inv_13,broker_7,exch_1,instr_79
ord_121,ORD-727625,Stop,Buy,393,,DAY,Cancelled,2024-04-06T08:51:18,inv_3,broker_3,exch_6,instr_49
ord_122,ORD-427731,Limit,Sell,39,471.61,DAY,Open,2024-08-26T13:11:34,inv_5,broker_1,exch_0,instr_41
ord_123,ORD-514862,Stop,Buy,29,,DAY,Filled,2024-05-28T18:00:43,inv_21,broker_1,exch_1,instr_11
ord_124,ORD-843515,Stop,Sell,438,,DAY,Filled,2024-11-13T00:02:58,inv_4,broker_10,exch_3,instr_73
ord_125,ORD-903899,Stop,Sell,443,,GTC,Filled,2024-10-11T20:04:44,inv_10,broker_10,exch_0,instr_4
ord_126,ORD-582381,Stop,Buy,615,,GTC,PartiallyFilled,2024-03-20T12:23:01,inv_4,broker_13,exch_3,instr_56
ord_127,ORD-421006,Limit,Buy,247,174.21,DAY,Cancelled,2024-04-30T11:15:16,inv_28,,exch_3,instr_78
ord_128,ORD-579794,Limit,Buy,796,287.23,GTC,Cancelled,2024-07-23T04:00:08,inv_11,broker_4,exch_3,instr_37
ord_129,ORD-982114,Stop,Buy,439,,GTC,PartiallyFilled,2024-07-01T21:25:02,inv_2,broker_8,exch_1,instr_9
ord_130,ORD-210976,Limit,Buy,890,488.96,DAY,Open,2024-11-07T19:43:01,inv_27,broker_7,exch_5,instr_71
ord_131,ORD-603256,Stop,Sell,157,,GTC,Filled,2024-09-27T15:40:42,inv_10,broker_6,exch_3,instr_52
ord_132,ORD-563868,Market,Buy,387,,DAY,PartiallyFilled,2024-06-04T18:04:45,inv_12,,exch_3,instr_69
ord_133,ORD-769734,Limit,Sell,913,370.43,DAY,PartiallyFilled,2024-10-06T17:31:35,inv_11,broker_8,exch_4,instr_39
ord_134,ORD-905982,Market,Buy,356,,GTC,Cancelled,2024-05-08T05:54:10,inv_22,,exch_6,instr_1
ord_135,ORD-622257,Limit,Buy,275,303.93,DAY,Open,2025-01-24T15:54:41,inv_26,broker_2,exch_5,instr_0
ord_136,ORD-890416,Limit,Buy,513,174.76,GTC,PartiallyFilled,2024-08-12T17:19:35,inv_8,broker_10,exch_1,instr_63
ord_137,ORD-912192,Stop,Sell,835,,GTC,Filled,2024-10-15T14:32:53,inv_14,broker_1,exch_4,instr_32
ord_138,ORD-900627,Market,Sell,838,,GTC,Cancelled,2024-10-05T08:06:34,inv_7,broker_14,exch_1,instr_35
ord_139,ORD-296826,Limit,Buy,530,334.03,DAY,Filled,2024-07-19T18:12:49,inv_17,broker_11,exch_4,instr_50
ord_140,ORD-901484,Market,Buy,937,,GTC,Open,2024-10-17T01:32:39,inv_19,broker_12,exch_7,instr_25
ord_141,ORD-843235,Limit,Sell,95,359.96,GTC,Cancelled,2024-05-27T15:16:11,inv_22,broker_4,exch_2,instr_50
ord_142,ORD-810850,Market,Buy,233,,GTC,Filled,2024-05-17T00:03:57,inv_15,broker_13,exch_3,instr_66
ord_143,ORD-406056,Market,Sell,14,,DAY,Open,2025-02-12T15:02:10,inv_14,broker_4,exch_2,instr_46
ord_144,ORD-664907,Stop,Buy,12,,DAY,Filled,2024-09-17T11:12:15,inv_8,,exch_6,instr_50
ord_145,ORD-936933,Limit,Buy,953,392.05,DAY,Cancelled,2024-03-28T15:44:01,inv_7,broker_2,exch_6,instr_67
ord_146,ORD-911070,Market,Sell,612,,GTC,Filled,2024-08-30T23:02:37,inv_22,broker_0,exch_1,instr_7
ord_147,ORD-160257,Market,Sell,965,,GTC,PartiallyFilled,2024-09-29T20:53:34,inv_17,broker_4,exch_1,instr_0
ord_148,ORD-416199,Stop,Buy,297,,GTC,Cancelled,2024-11-10T16:07:34,inv_17,broker_10,exch_4,instr_24
ord_149,ORD-496472,Market,Sell,260,,GTC,Cancelled,2025-01-09T10:56:48,inv_8,broker_4,exch_3,instr_1
