id,invoiceNumber,invoiceDate,amount,status,invoicedByID,invoicedToID
invoice_57,INV-17947,2023-07-26,24490.18,Open,subcontractor_35,company_16
invoice_58,INV-99092,2024-09-18,22745.81,Open,supplier_28,company_2
invoice_59,INV-94512,2024-12-28,22345.22,Overdue,subcontractor_7,company_12
invoice_60,INV-69288,2023-03-05,16555.31,Overdue,subcontractor_4,company_11
invoice_61,INV-97841,2024-01-22,32710.08,Overdue,subcontractor_17,company_14
invoice_62,INV-52554,2024-10-09,21655.1,Paid,subcontractor_38,company_14
invoice_63,INV-31015,2023-06-05,27183.57,Overdue,supplier_11,company_17
invoice_64,INV-42528,2024-09-29,19658.62,Overdue,subcontractor_14,company_1
invoice_65,INV-99542,2024-03-10,10398.12,Paid,supplier_18,company_9
invoice_66,INV-23214,2025-02-11,4532.25,Open,subcontractor_35,company_0
invoice_67,INV-34683,2023-06-24,26260.19,Cancelled,supplier_5,company_13
invoice_68,INV-54219,2024-11-02,14703.11,Paid,subcontractor_30,company_14
invoice_69,INV-32751,2023-05-14,24458.54,Paid,supplier_7,company_14
invoice_70,INV-61236,2024-10-14,37950.06,Paid,subcontractor_7,company_16
invoice_71,INV-77223,2024-11-01,36915.94,Paid,subcontractor_11,company_14
invoice_72,INV-75210,2023-08-19,44107.89,Cancelled,supplier_22,company_4
invoice_73,INV-85370,2023-06-06,11575.33,Open,supplier_8,company_4
invoice_74,INV-54416,2023-05-18,37835.46,Paid,subcontractor_10,company_18
invoice_75,INV-98247,2023-06-29,38337.46,Overdue,supplier_9,company_4
invoice_76,INV-99535,2024-01-01,42786.65,Open,subcontractor_13,company_4
invoice_77,INV-33838,2023-10-15,26478.01,Overdue,subcontractor_4,company_17
invoice_78,INV-63546,2024-03-14,16846.11,Overdue,subcontractor_13,company_1
invoice_79,INV-63656,2023-11-23,6871.71,Paid,subcontractor_24,company_0
