id,warehouseName,location,capacity,productIDs
warehouse_25,Ray Ltd Distribution,Port Saraland,17490,"['product_92', 'product_9', 'product_70', 'product_17', 'product_15', 'product_42', 'product_32', 'product_69', 'product_1', 'product_50', 'product_68', 'product_88', 'product_54', 'product_20', 'product_74', 'product_79', 'product_89', 'product_95', 'product_38', 'product_10']"
warehouse_26,"Collins, Williams and Blackwell Distribution",Brooksstad,15954,"['product_55', 'product_64', 'product_14', 'product_94', 'product_28', 'product_38', 'product_49', 'product_53', 'product_84', 'product_77', 'product_41', 'product_76', 'product_92']"
warehouse_27,Johnson-Hill Distribution,Lake Erin,18938,"['product_41', 'product_65', 'product_56', 'product_92', 'product_94', 'product_19', 'product_76', 'product_62', 'product_51', 'product_95', 'product_38', 'product_45', 'product_77', 'product_46', 'product_74', 'product_11', 'product_58', 'product_80', 'product_36', 'product_20']"
warehouse_28,Phillips and Sons Distribution,East Kelly,18932,"['product_21', 'product_13', 'product_50', 'product_84', 'product_55', 'product_87', 'product_79', 'product_12', 'product_14', 'product_74', 'product_85']"
warehouse_29,Juarez Group Distribution,Deborahview,12478,"['product_85', 'product_73', 'product_7', 'product_41', 'product_45', 'product_67', 'product_32', 'product_49', 'product_10', 'product_44', 'product_37', 'product_95', 'product_79', 'product_89', 'product_56', 'product_60']"
warehouse_30,Rodriguez-Howell Distribution,Gibsonbury,18729,"['product_7', 'product_89', 'product_38', 'product_58', 'product_68', 'product_24', 'product_37', 'product_77', 'product_32', 'product_0', 'product_10', 'product_49', 'product_94']"
warehouse_31,Cooper-Bradley Distribution,Carterhaven,18290,"['product_76', 'product_78', 'product_15', 'product_19', 'product_0', 'product_36', 'product_52', 'product_88', 'product_41', 'product_64', 'product_17', 'product_89', 'product_67', 'product_94', 'product_44', 'product_80']"
warehouse_32,Joyce and Sons Distribution,East Patricia,15325,"['product_69', 'product_58', 'product_38', 'product_42', 'product_24', 'product_32', 'product_49', 'product_88', 'product_70', 'product_89', 'product_45', 'product_62', 'product_52', 'product_74', 'product_26', 'product_21', 'product_79', 'product_1', 'product_73']"
warehouse_33,Thompson-White Distribution,South Ronald,10760,"['product_3', 'product_67', 'product_28', 'product_58', 'product_84', 'product_64', 'product_24', 'product_62', 'product_32', 'product_92', 'product_37', 'product_44', 'product_88', 'product_53', 'product_90', 'product_95', 'product_80', 'product_45', 'product_12', 'product_1']"
warehouse_34,Fields Ltd Distribution,North Ashley,15304,"['product_51', 'product_17', 'product_46', 'product_89', 'product_73', 'product_52', 'product_10', 'product_70', 'product_11', 'product_74', 'product_69', 'product_21', 'product_90', 'product_7', 'product_68', 'product_37']"
warehouse_35,Foster-Oliver Distribution,Glovershire,12991,"['product_42', 'product_15', 'product_86', 'product_16', 'product_4', 'product_75', 'product_85', 'product_52', 'product_56', 'product_87']"
warehouse_36,"Johnson, Fields and Acevedo Distribution",Jefferychester,17077,"['product_12', 'product_45', 'product_37', 'product_55', 'product_7', 'product_38', 'product_67', 'product_75', 'product_65', 'product_20', 'product_51', 'product_66', 'product_52', 'product_54', 'product_35', 'product_76']"
warehouse_37,"Lee, Dudley and Dickson Distribution",East Jasmine,15152,"['product_32', 'product_95', 'product_68', 'product_12', 'product_45', 'product_56', 'product_4', 'product_76', 'product_1', 'product_58', 'product_35', 'product_49', 'product_28', 'product_91', 'product_57']"
warehouse_38,Spears-Parker Distribution,Leeland,16999,"['product_10', 'product_38', 'product_85', 'product_80', 'product_52', 'product_77', 'product_55', 'product_45', 'product_13', 'product_56', 'product_21', 'product_46', 'product_73', 'product_95', 'product_76', 'product_48', 'product_20', 'product_49', 'product_91', 'product_58']"
warehouse_39,Arellano and Sons Distribution,Schneiderville,7669,"['product_57', 'product_64', 'product_21', 'product_28', 'product_35', 'product_37', 'product_42', 'product_1', 'product_65', 'product_36', 'product_52', 'product_60']"
