id,productName,sku,productType,unitPrice
product_68,De-engineered fresh-thinking solution,SKU-68-257,FinishedGood,88.65
product_69,Re-contextualized foreground Graphic Interface,SKU-69-978,FinishedGood,64.54
product_70,Reduced attitude-oriented challenge,SKU-70-356,Component,12.5
product_71,Synchronized 5thgeneration Local Area Network,SKU-71-652,RawMaterial,22.11
product_72,Automated static parallelism,SKU-72-860,RawMaterial,198.03
product_73,Re-engineered asynchronous policy,SKU-73-972,Component,61.08
product_74,Exclusive intermediate middleware,SKU-74-310,Component,136.57
product_75,Business-focused eco-centric capacity,SKU-75-199,Component,30.05
product_76,Monitored full-range software,SKU-76-487,Component,181.65
product_77,Streamlined static contingency,SKU-77-696,Component,156.31
product_78,Cloned modular knowledge user,SKU-78-824,FinishedGood,132.94
product_79,Proactive disintermediate monitoring,SKU-79-297,Component,50.63
product_80,Visionary interactive process improvement,SKU-80-551,FinishedGood,121.06
product_81,Inverse uniform definition,SKU-81-215,RawMaterial,66.79
product_82,Ameliorated context-sensitive function,SKU-82-897,RawMaterial,117.78
product_83,Centralized grid-enabled task-force,SKU-83-434,RawMaterial,128.26
product_84,Seamless scalable time-frame,SKU-84-789,FinishedGood,29.88
product_85,Organic full-range system engine,SKU-85-398,Component,177.63
product_86,Polarized impactful knowledge user,SKU-86-318,FinishedGood,124.86
product_87,De-engineered interactive functionalities,SKU-87-933,FinishedGood,18.89
product_88,Focused solution-oriented concept,SKU-88-293,Component,72.22
product_89,Monitored static middleware,SKU-89-947,Component,114.68
product_90,Organic fault-tolerant implementation,SKU-90-144,FinishedGood,33.19
product_91,Assimilated discrete intranet,SKU-91-961,FinishedGood,115.68
product_92,Multi-channeled 24/7 function,SKU-92-331,Component,142.7
product_93,Fully-configurable 24hour workforce,SKU-93-779,RawMaterial,23.03
product_94,Customizable value-added adapter,SKU-94-402,FinishedGood,43.73
product_95,Down-sized local process improvement,SKU-95-281,Component,130.09
product_96,Advanced web-enabled conglomeration,SKU-96-200,RawMaterial,103.75
product_97,Exclusive fresh-thinking initiative,SKU-97-349,RawMaterial,88.2
product_98,Customer-focused maximized middleware,SKU-98-261,RawMaterial,186.54
product_99,Reduced full-range budgetary management,SKU-99-784,Component,114.38
