id,shipmentID,shipDate,carrier,trackingNumber,orderID,shipperID
shipment_29,SHIP-29-7179,2024-09-23,DHL,TRK-7060311,order_1166,warehouse_34
shipment_30,SHIP-30-6276,2024-08-16,FedEx,TRK-6066453,order_1318,warehouse_19
shipment_31,SHIP-31-2157,2024-12-23,UPS,TRK-4273666,order_481,warehouse_8
shipment_32,SHIP-32-9520,2025-01-30,DHL,TRK-9408392,order_1201,warehouse_28
shipment_33,SHIP-33-1677,2024-04-17,UPS,TRK-5340753,order_517,warehouse_7
shipment_34,SHIP-34-6555,2024-07-12,FedEx,TRK-6383023,order_417,manufacturer_9
shipment_35,SHIP-35-2393,2024-11-25,DHL,TRK-4444453,order_320,manufacturer_1
shipment_36,SHIP-36-1592,2025-01-25,FedEx,TRK-3524673,order_996,manufacturer_16
shipment_37,SHIP-37-1441,2024-04-25,DHL,TRK-4081664,order_273,manufacturer_18
shipment_38,SHIP-38-6018,2024-09-24,USPS,TRK-7934217,order_409,warehouse_32
shipment_39,SHIP-39-8373,2024-09-10,FedEx,TRK-6469933,order_750,warehouse_26
shipment_40,SHIP-40-5086,2024-01-12,DHL,TRK-7141913,order_1427,warehouse_15
shipment_41,SHIP-41-6454,2025-01-20,UPS,TRK-6103807,order_558,manufacturer_15
shipment_42,SHIP-42-7732,2024-08-06,FedEx,TRK-4051203,order_1110,manufacturer_3
shipment_43,SHIP-43-5407,2025-02-13,UPS,TRK-2293242,order_1234,warehouse_4
shipment_44,SHIP-44-8162,2024-01-31,FedEx,TRK-1317752,order_1389,warehouse_10
shipment_45,SHIP-45-1770,2024-11-14,USPS,TRK-4073808,order_49,manufacturer_6
shipment_46,SHIP-46-1338,2024-12-04,DHL,TRK-8937395,order_1129,warehouse_36
shipment_47,SHIP-47-1356,2025-01-07,DHL,TRK-6289997,order_727,warehouse_13
shipment_48,SHIP-48-1601,2024-12-08,USPS,TRK-4666344,order_98,warehouse_11
shipment_49,SHIP-49-4368,2024-11-03,DHL,TRK-9533077,order_826,manufacturer_18
shipment_50,SHIP-50-2595,2025-01-18,USPS,TRK-9141908,order_1363,warehouse_3
shipment_51,SHIP-51-7791,2025-02-16,FedEx,TRK-6508473,order_62,warehouse_23
shipment_52,SHIP-52-7382,2024-12-06,USPS,TRK-8522683,order_125,manufacturer_2
shipment_53,SHIP-53-7845,2024-10-15,DHL,TRK-3394763,order_646,warehouse_22
shipment_54,SHIP-54-2329,2025-01-13,DHL,TRK-2318906,order_1363,warehouse_3
shipment_55,SHIP-55-7227,2024-10-16,FedEx,TRK-5336151,order_614,manufacturer_1
shipment_56,SHIP-56-1253,2024-09-22,FedEx,TRK-9503221,order_958,warehouse_30
shipment_57,SHIP-57-3574,2024-08-23,UPS,TRK-1482914,order_1105,warehouse_3
shipment_58,SHIP-58-5227,2025-02-10,DHL,TRK-2027720,order_699,warehouse_18
shipment_59,SHIP-59-2997,2025-01-17,DHL,TRK-7342087,order_587,warehouse_6
shipment_60,SHIP-60-8819,2024-01-18,FedEx,TRK-1725672,order_1155,warehouse_31
shipment_61,SHIP-61-8896,2024-07-10,FedEx,TRK-3871516,order_1293,manufacturer_11
shipment_62,SHIP-62-5159,2024-04-27,DHL,TRK-9239888,order_467,warehouse_32
shipment_63,SHIP-63-5927,2025-01-02,USPS,TRK-8064028,order_293,warehouse_14
shipment_64,SHIP-64-9914,2023-08-02,USPS,TRK-5447978,order_1069,warehouse_13
shipment_65,SHIP-65-3995,2025-01-02,FedEx,TRK-5610852,order_986,warehouse_15
shipment_66,SHIP-66-2806,2024-11-30,UPS,TRK-8596743,order_1081,warehouse_19
shipment_67,SHIP-67-1328,2024-11-25,USPS,TRK-2876396,order_386,warehouse_37
shipment_68,SHIP-68-2205,2024-11-28,UPS,TRK-2045406,order_1220,manufacturer_5
shipment_69,SHIP-69-6066,2024-12-24,FedEx,TRK-7212398,order_326,warehouse_26
shipment_70,SHIP-70-4331,2024-12-15,USPS,TRK-6828860,order_453,warehouse_22
shipment_71,SHIP-71-7414,2023-08-16,FedEx,TRK-5991564,order_1089,warehouse_36
shipment_72,SHIP-72-1430,2024-11-30,UPS,TRK-2704489,order_1265,warehouse_3
shipment_73,SHIP-73-2463,2024-04-15,USPS,TRK-9277016,order_1444,manufacturer_19
shipment_74,SHIP-74-8021,2024-11-28,UPS,TRK-1774966,order_219,warehouse_26
shipment_75,SHIP-75-7908,2024-02-05,DHL,TRK-5853391,order_896,warehouse_29
shipment_76,SHIP-76-1123,2024-12-14,DHL,TRK-2760213,order_165,warehouse_5
shipment_77,SHIP-77-5586,2024-11-19,FedEx,TRK-1341775,order_998,manufacturer_2
shipment_78,SHIP-78-8180,2024-12-11,DHL,TRK-4804163,order_1117,warehouse_3
shipment_79,SHIP-79-8110,2023-12-29,DHL,TRK-2955514,order_1359,warehouse_38
shipment_80,SHIP-80-5700,2024-05-13,DHL,TRK-4161851,order_1183,manufacturer_6
shipment_81,SHIP-81-6600,2024-12-12,FedEx,TRK-3827046,order_1330,warehouse_25
shipment_82,SHIP-82-1358,2024-07-28,USPS,TRK-2605120,order_562,warehouse_9
shipment_83,SHIP-83-1014,2025-01-27,USPS,TRK-8641504,order_1097,warehouse_2
shipment_84,SHIP-84-8970,2025-01-16,USPS,TRK-7172092,order_1274,warehouse_6
shipment_85,SHIP-85-3101,2024-10-06,UPS,TRK-8134967,order_833,manufacturer_14
shipment_86,SHIP-86-7972,2025-02-12,DHL,TRK-2273206,order_258,manufacturer_7
shipment_87,SHIP-87-1592,2025-02-08,USPS,TRK-3012711,order_235,warehouse_23
shipment_88,SHIP-88-3268,2024-08-04,DHL,TRK-3107637,order_920,warehouse_4
shipment_89,SHIP-89-5368,2023-10-19,FedEx,TRK-7411848,order_90,warehouse_33
shipment_90,SHIP-90-8305,2025-02-03,FedEx,TRK-2803245,order_814,warehouse_31
shipment_91,SHIP-91-7075,2024-08-25,UPS,TRK-6770036,order_462,manufacturer_4
shipment_92,SHIP-92-6297,2024-10-04,FedEx,TRK-9172578,order_917,warehouse_9
shipment_93,SHIP-93-9039,2024-07-24,UPS,TRK-5346692,order_892,warehouse_36
shipment_94,SHIP-94-7998,2023-09-10,UPS,TRK-6107543,order_735,warehouse_20
shipment_95,SHIP-95-3027,2024-09-09,FedEx,TRK-8304561,order_1433,manufacturer_5
shipment_96,SHIP-96-7265,2024-09-12,DHL,TRK-9454865,order_792,manufacturer_10
shipment_97,SHIP-97-1040,2024-01-18,DHL,TRK-1119809,order_203,warehouse_1
shipment_98,SHIP-98-9063,2023-11-14,USPS,TRK-4525331,order_1213,warehouse_1
shipment_99,SHIP-99-1882,2025-02-10,FedEx,TRK-9288401,order_699,warehouse_18
shipment_100,SHIP-100-6592,2024-12-09,USPS,TRK-7177715,order_344,warehouse_37
shipment_101,SHIP-101-5244,2025-01-20,USPS,TRK-2702072,order_913,warehouse_15
shipment_102,SHIP-102-7033,2024-12-18,FedEx,TRK-3527321,order_737,manufacturer_17
shipment_103,SHIP-103-2763,2023-10-05,USPS,TRK-5496666,order_1309,manufacturer_5
shipment_104,SHIP-104-1400,2024-09-11,FedEx,TRK-1786396,order_1032,warehouse_16
shipment_105,SHIP-105-8970,2024-11-07,FedEx,TRK-8413743,order_765,manufacturer_8
shipment_106,SHIP-106-2358,2025-01-03,FedEx,TRK-7764888,order_983,warehouse_31
shipment_107,SHIP-107-8694,2023-05-17,UPS,TRK-8141169,order_122,manufacturer_6
shipment_108,SHIP-108-5911,2025-02-16,USPS,TRK-1854897,order_699,warehouse_18
shipment_109,SHIP-109-5991,2023-10-04,DHL,TRK-2401310,order_257,warehouse_34
shipment_110,SHIP-110-7105,2024-06-14,UPS,TRK-5997520,order_176,warehouse_18
shipment_111,SHIP-111-6526,2024-06-29,FedEx,TRK-9832644,order_452,warehouse_7
shipment_112,SHIP-112-5974,2024-01-26,USPS,TRK-9665241,order_141,warehouse_17
shipment_113,SHIP-113-8423,2024-07-30,UPS,TRK-6982145,order_373,warehouse_37
shipment_114,SHIP-114-6199,2024-01-12,FedEx,TRK-2210698,order_1346,warehouse_38
shipment_115,SHIP-115-9541,2025-02-09,FedEx,TRK-2631655,order_982,warehouse_0
shipment_116,SHIP-116-2097,2024-07-24,UPS,TRK-6899608,order_1043,warehouse_24
shipment_117,SHIP-117-5281,2023-12-22,DHL,TRK-2052789,order_342,warehouse_24
shipment_118,SHIP-118-1136,2024-09-28,DHL,TRK-1616437,order_167,warehouse_8
shipment_119,SHIP-119-8604,2025-02-06,FedEx,TRK-4921716,order_996,manufacturer_16
shipment_120,SHIP-120-7984,2024-11-07,DHL,TRK-6550413,order_1378,manufacturer_1
shipment_121,SHIP-121-5560,2024-10-10,USPS,TRK-6374263,order_432,warehouse_28
shipment_122,SHIP-122-5978,2023-05-22,UPS,TRK-2060237,order_1026,manufacturer_2
shipment_123,SHIP-123-7711,2024-12-17,UPS,TRK-5145537,order_477,warehouse_17
shipment_124,SHIP-124-5071,2024-10-02,UPS,TRK-3798764,order_1344,manufacturer_7
shipment_125,SHIP-125-4816,2025-02-12,UPS,TRK-3024480,order_706,warehouse_21
shipment_126,SHIP-126-2613,2024-08-12,USPS,TRK-6631912,order_465,warehouse_5
shipment_127,SHIP-127-7576,2025-01-28,USPS,TRK-5261935,order_585,warehouse_22
shipment_128,SHIP-128-7497,2024-11-28,USPS,TRK-9299986,order_1047,warehouse_35
shipment_129,SHIP-129-9603,2024-10-30,USPS,TRK-9169967,order_47,manufacturer_2
shipment_130,SHIP-130-8311,2025-02-09,DHL,TRK-3511474,order_1223,warehouse_12
shipment_131,SHIP-131-7920,2024-11-26,FedEx,TRK-1087138,order_1195,warehouse_7
shipment_132,SHIP-132-3726,2024-09-26,DHL,TRK-4095334,order_1000,warehouse_39
shipment_133,SHIP-133-2503,2024-03-23,USPS,TRK-6003558,order_403,manufacturer_2
shipment_134,SHIP-134-2315,2024-08-16,FedEx,TRK-3365843,order_1372,warehouse_11
shipment_135,SHIP-135-9362,2024-01-10,USPS,TRK-2310945,order_557,manufacturer_6
shipment_136,SHIP-136-2294,2024-05-25,UPS,TRK-9138575,order_662,warehouse_38
shipment_137,SHIP-137-4734,2025-01-11,UPS,TRK-4619414,order_1193,warehouse_35
shipment_138,SHIP-138-7061,2023-10-07,FedEx,TRK-3238780,order_196,warehouse_4
shipment_139,SHIP-139-6093,2025-02-08,UPS,TRK-4115954,order_577,manufacturer_10
shipment_140,SHIP-140-5270,2023-11-09,UPS,TRK-1763694,order_53,warehouse_18
shipment_141,SHIP-141-4775,2025-01-27,FedEx,TRK-3756951,order_78,manufacturer_8
shipment_142,SHIP-142-5438,2024-11-12,UPS,TRK-8073469,order_141,warehouse_17
shipment_143,SHIP-143-2202,2025-01-21,UPS,TRK-3124636,order_520,warehouse_31
shipment_144,SHIP-144-7065,2024-10-24,UPS,TRK-5264378,order_248,warehouse_37
shipment_145,SHIP-145-8262,2024-03-28,UPS,TRK-2008449,order_988,warehouse_28
shipment_146,SHIP-146-9491,2024-06-16,UPS,TRK-7130845,order_319,warehouse_16
shipment_147,SHIP-147-5279,2024-09-11,USPS,TRK-3869274,order_573,manufacturer_16
shipment_148,SHIP-148-1128,2025-01-08,USPS,TRK-7397309,order_171,warehouse_1
shipment_149,SHIP-149-2794,2023-10-10,UPS,TRK-3181117,order_608,warehouse_5
shipment_150,SHIP-150-7959,2024-04-03,DHL,TRK-3635884,order_693,warehouse_29
shipment_151,SHIP-151-9434,2024-10-20,UPS,TRK-2258241,order_310,warehouse_14
shipment_152,SHIP-152-8224,2025-01-31,DHL,TRK-3258890,order_1483,warehouse_33
shipment_153,SHIP-153-2228,2025-01-15,FedEx,TRK-8707533,order_226,warehouse_11
shipment_154,SHIP-154-8234,2024-07-09,UPS,TRK-4682595,order_5,warehouse_28
shipment_155,SHIP-155-9951,2024-12-03,DHL,TRK-6595130,order_361,warehouse_1
shipment_156,SHIP-156-8771,2024-04-11,USPS,TRK-6976428,order_629,warehouse_5
shipment_157,SHIP-157-6738,2024-06-26,DHL,TRK-6280259,order_1381,warehouse_19
shipment_158,SHIP-158-1639,2024-09-02,UPS,TRK-3666692,order_754,manufacturer_17
shipment_159,SHIP-159-3300,2024-06-13,DHL,TRK-6031469,order_1155,warehouse_31
shipment_160,SHIP-160-2382,2024-11-18,USPS,TRK-8995424,order_784,warehouse_9
shipment_161,SHIP-161-5076,2025-02-02,DHL,TRK-3447181,order_843,manufacturer_15
shipment_162,SHIP-162-9835,2025-01-27,UPS,TRK-9846752,order_1151,warehouse_27
shipment_163,SHIP-163-7035,2024-04-05,USPS,TRK-7124996,order_675,warehouse_5
shipment_164,SHIP-164-4481,2025-02-11,FedEx,TRK-5203202,order_57,manufacturer_6
shipment_165,SHIP-165-8913,2025-01-02,DHL,TRK-5021970,order_420,manufacturer_19
shipment_166,SHIP-166-5457,2024-05-05,USPS,TRK-8765998,order_138,manufacturer_13
shipment_167,SHIP-167-1187,2023-07-06,FedEx,TRK-8444394,order_1008,manufacturer_13
shipment_168,SHIP-168-7493,2024-10-11,FedEx,TRK-6541681,order_975,warehouse_30
shipment_169,SHIP-169-1759,2024-11-03,UPS,TRK-8053938,order_623,warehouse_24
shipment_170,SHIP-170-1669,2024-02-27,DHL,TRK-7847702,order_1432,manufacturer_19
shipment_171,SHIP-171-9099,2024-10-09,FedEx,TRK-6406701,order_161,manufacturer_18
shipment_172,SHIP-172-4364,2025-01-03,UPS,TRK-7763948,order_836,warehouse_34
shipment_173,SHIP-173-1263,2023-04-17,FedEx,TRK-4549531,order_956,warehouse_14
shipment_174,SHIP-174-1260,2024-09-03,DHL,TRK-7391630,order_940,warehouse_13
shipment_175,SHIP-175-3425,2024-04-28,FedEx,TRK-5490458,order_788,warehouse_35
shipment_176,SHIP-176-3018,2024-06-30,USPS,TRK-7660721,order_376,warehouse_22
shipment_177,SHIP-177-6557,2024-06-08,UPS,TRK-4617369,order_288,warehouse_31
shipment_178,SHIP-178-3073,2024-12-06,DHL,TRK-4267000,order_826,manufacturer_18
shipment_179,SHIP-179-3119,2024-10-07,DHL,TRK-1801092,order_1330,warehouse_25
shipment_180,SHIP-180-1578,2024-07-12,UPS,TRK-6009749,order_223,warehouse_8
shipment_181,SHIP-181-5580,2025-02-03,UPS,TRK-4251223,order_1008,manufacturer_13
shipment_182,SHIP-182-7751,2024-04-20,DHL,TRK-6821749,order_190,warehouse_24
shipment_183,SHIP-183-7071,2024-03-22,UPS,TRK-5218362,order_156,manufacturer_5
shipment_184,SHIP-184-3617,2024-07-06,FedEx,TRK-7050041,order_1478,warehouse_36
shipment_185,SHIP-185-3819,2024-06-20,FedEx,TRK-9905999,order_944,manufacturer_18
shipment_186,SHIP-186-9688,2024-12-26,UPS,TRK-2215172,order_239,warehouse_17
shipment_187,SHIP-187-5096,2023-09-19,DHL,TRK-3279281,order_334,warehouse_14
shipment_188,SHIP-188-8649,2024-02-15,USPS,TRK-1546747,order_156,manufacturer_5
shipment_189,SHIP-189-2585,2024-09-25,USPS,TRK-2159970,order_1390,warehouse_9
shipment_190,SHIP-190-8016,2025-02-11,FedEx,TRK-2383120,order_756,warehouse_29
shipment_191,SHIP-191-9029,2024-12-21,DHL,TRK-9337158,order_719,warehouse_19
shipment_192,SHIP-192-6418,2024-09-06,FedEx,TRK-9916063,order_476,manufacturer_9
shipment_193,SHIP-193-2611,2024-11-10,DHL,TRK-5810239,order_1396,manufacturer_18
shipment_194,SHIP-194-5036,2025-01-11,USPS,TRK-5245521,order_569,manufacturer_4
shipment_195,SHIP-195-8317,2024-11-24,DHL,TRK-8531279,order_87,warehouse_22
shipment_196,SHIP-196-3985,2025-01-09,USPS,TRK-9542104,order_825,warehouse_1
shipment_197,SHIP-197-9875,2025-02-16,UPS,TRK-1176406,order_931,warehouse_13
shipment_198,SHIP-198-3192,2024-12-01,DHL,TRK-4406147,order_1227,manufacturer_18
shipment_199,SHIP-199-1493,2024-11-23,UPS,TRK-7056283,order_1176,manufacturer_6
shipment_200,SHIP-200-1656,2024-11-17,UPS,TRK-8067894,order_1005,warehouse_24
shipment_201,SHIP-201-4791,2024-08-10,FedEx,TRK-4857739,order_1330,warehouse_25
shipment_202,SHIP-202-8716,2023-05-11,UPS,TRK-6661403,order_630,warehouse_26
shipment_203,SHIP-203-7904,2024-11-27,FedEx,TRK-2472211,order_1205,warehouse_20
shipment_204,SHIP-204-9358,2024-06-29,USPS,TRK-7768329,order_150,warehouse_1
shipment_205,SHIP-205-2394,2023-07-25,DHL,TRK-8379818,order_833,manufacturer_14
shipment_206,SHIP-206-8800,2024-12-08,UPS,TRK-2999655,order_469,warehouse_3
shipment_207,SHIP-207-7375,2024-10-30,USPS,TRK-1994459,order_137,warehouse_11
shipment_208,SHIP-208-4870,2024-11-22,UPS,TRK-4110170,order_1419,warehouse_5
shipment_209,SHIP-209-2988,2025-01-23,DHL,TRK-5134055,order_781,warehouse_28
shipment_210,SHIP-210-4944,2024-04-04,DHL,TRK-6642450,order_459,warehouse_28
shipment_211,SHIP-211-4776,2024-05-10,UPS,TRK-4758471,order_286,warehouse_3
shipment_212,SHIP-212-3961,2024-07-21,UPS,TRK-1604283,order_215,warehouse_25
shipment_213,SHIP-213-3668,2024-11-18,USPS,TRK-7120240,order_515,warehouse_20
shipment_214,SHIP-214-2900,2024-05-18,USPS,TRK-8850132,order_8,manufacturer_16
shipment_215,SHIP-215-4893,2024-03-24,USPS,TRK-4145071,order_1195,warehouse_7
shipment_216,SHIP-216-5434,2024-10-14,FedEx,TRK-2952049,order_692,manufacturer_14
shipment_217,SHIP-217-1912,2024-12-30,DHL,TRK-4275214,order_446,manufacturer_1
shipment_218,SHIP-218-6698,2024-01-10,FedEx,TRK-8646795,order_403,manufacturer_2
shipment_219,SHIP-219-2980,2025-01-09,USPS,TRK-5713023,order_187,warehouse_32
shipment_220,SHIP-220-3450,2023-08-13,UPS,TRK-2306555,order_972,manufacturer_12
shipment_221,SHIP-221-4602,2024-09-10,DHL,TRK-6636961,order_1196,manufacturer_3
shipment_222,SHIP-222-8042,2024-01-12,USPS,TRK-2853636,order_998,manufacturer_2
shipment_223,SHIP-223-3849,2025-01-04,UPS,TRK-9164200,order_610,warehouse_24
shipment_224,SHIP-224-7791,2024-12-25,USPS,TRK-3875166,order_279,warehouse_27
shipment_225,SHIP-225-4039,2024-09-30,DHL,TRK-6865104,order_341,warehouse_12
shipment_226,SHIP-226-8027,2025-02-04,USPS,TRK-1033949,order_690,manufacturer_13
shipment_227,SHIP-227-4032,2025-01-23,UPS,TRK-5632718,order_719,warehouse_19
shipment_228,SHIP-228-8409,2024-08-11,DHL,TRK-6155849,order_820,warehouse_31
shipment_229,SHIP-229-7120,2024-08-19,UPS,TRK-4697162,order_1089,warehouse_36
shipment_230,SHIP-230-6420,2024-12-06,USPS,TRK-8328594,order_344,warehouse_37
shipment_231,SHIP-231-6346,2024-09-27,FedEx,TRK-7598535,order_725,warehouse_39
shipment_232,SHIP-232-1936,2024-04-10,FedEx,TRK-5306787,order_1123,manufacturer_19
shipment_233,SHIP-233-1642,2024-12-24,USPS,TRK-6714472,order_293,warehouse_14
shipment_234,SHIP-234-9475,2024-12-25,UPS,TRK-6284341,order_959,warehouse_22
shipment_235,SHIP-235-1320,2024-08-20,DHL,TRK-1378257,order_1286,warehouse_19
shipment_236,SHIP-236-9017,2024-09-15,UPS,TRK-5457672,order_211,warehouse_21
shipment_237,SHIP-237-8112,2023-11-15,DHL,TRK-5919198,order_1055,warehouse_37
shipment_238,SHIP-238-2853,2024-10-26,UPS,TRK-2897734,order_632,warehouse_17
shipment_239,SHIP-239-2884,2024-01-17,DHL,TRK-6103431,order_220,manufacturer_12
shipment_240,SHIP-240-2529,2024-09-10,DHL,TRK-2568451,order_1100,manufacturer_9
shipment_241,SHIP-241-2846,2024-11-07,DHL,TRK-9372147,order_924,warehouse_15
shipment_242,SHIP-242-2832,2024-11-30,USPS,TRK-1850815,order_1446,manufacturer_13
shipment_243,SHIP-243-7792,2024-03-21,FedEx,TRK-8797647,order_1286,warehouse_19
shipment_244,SHIP-244-8583,2024-11-03,FedEx,TRK-2923695,order_1356,manufacturer_8
shipment_245,SHIP-245-8328,2024-01-24,USPS,TRK-3885316,order_1474,warehouse_24
shipment_246,SHIP-246-9236,2024-12-23,DHL,TRK-4429180,order_1231,manufacturer_6
shipment_247,SHIP-247-3976,2025-01-05,DHL,TRK-5096226,order_914,manufacturer_12
shipment_248,SHIP-248-7183,2024-05-11,USPS,TRK-3819356,order_1271,warehouse_18
shipment_249,SHIP-249-7790,2024-10-02,USPS,TRK-9866470,order_846,warehouse_37
shipment_250,SHIP-250-2917,2024-05-17,USPS,TRK-6866633,order_687,manufacturer_19
shipment_251,SHIP-251-6112,2024-08-29,UPS,TRK-4970008,order_1367,manufacturer_14
shipment_252,SHIP-252-5374,2024-05-26,DHL,TRK-8909178,order_709,warehouse_6
shipment_253,SHIP-253-5363,2025-01-12,DHL,TRK-7679599,order_898,warehouse_30
shipment_254,SHIP-254-3478,2024-08-28,USPS,TRK-3054911,order_1094,warehouse_9
shipment_255,SHIP-255-5173,2024-02-01,UPS,TRK-4504057,order_993,warehouse_39
shipment_256,SHIP-256-1806,2024-12-24,DHL,TRK-1825628,order_993,warehouse_39
shipment_257,SHIP-257-6366,2024-02-12,USPS,TRK-3824952,order_1187,manufacturer_2
shipment_258,SHIP-258-1673,2024-09-11,FedEx,TRK-5401981,order_1104,warehouse_13
shipment_259,SHIP-259-3396,2024-09-18,USPS,TRK-1154481,order_1411,manufacturer_7
shipment_260,SHIP-260-2566,2025-01-03,USPS,TRK-9907471,order_172,warehouse_7
shipment_261,SHIP-261-3622,2024-05-25,FedEx,TRK-8118118,order_1381,warehouse_19
shipment_262,SHIP-262-4324,2024-01-20,USPS,TRK-1122430,order_1343,warehouse_7
shipment_263,SHIP-263-4758,2025-01-14,DHL,TRK-5908043,order_773,manufacturer_6
shipment_264,SHIP-264-2367,2025-02-11,DHL,TRK-5087558,order_943,warehouse_26
shipment_265,SHIP-265-4384,2024-09-14,DHL,TRK-1196349,order_1458,warehouse_17
shipment_266,SHIP-266-4012,2025-02-04,FedEx,TRK-9427649,order_86,warehouse_2
shipment_267,SHIP-267-1381,2024-10-16,USPS,TRK-8256885,order_1296,manufacturer_19
shipment_268,SHIP-268-5631,2025-01-04,USPS,TRK-7968008,order_1081,warehouse_19
shipment_269,SHIP-269-5943,2024-02-25,USPS,TRK-6956397,order_1428,warehouse_9
shipment_270,SHIP-270-8207,2024-08-29,DHL,TRK-1930146,order_1227,manufacturer_18
shipment_271,SHIP-271-3007,2024-11-25,DHL,TRK-6861514,order_1391,warehouse_19
shipment_272,SHIP-272-5983,2024-09-23,USPS,TRK-5674291,order_1250,manufacturer_0
shipment_273,SHIP-273-2418,2024-03-23,UPS,TRK-4946148,order_1080,manufacturer_7
shipment_274,SHIP-274-7653,2025-01-14,FedEx,TRK-4631148,order_1355,warehouse_25
shipment_275,SHIP-275-7900,2023-06-09,USPS,TRK-2914026,order_1466,warehouse_37
shipment_276,SHIP-276-2622,2024-10-10,DHL,TRK-5271980,order_655,warehouse_1
shipment_277,SHIP-277-3510,2024-11-29,DHL,TRK-1223601,order_450,warehouse_17
shipment_278,SHIP-278-2666,2025-01-09,FedEx,TRK-6512513,order_1018,warehouse_20
shipment_279,SHIP-279-9005,2025-01-31,UPS,TRK-7572158,order_1113,manufacturer_6
shipment_280,SHIP-280-2104,2024-01-08,USPS,TRK-6525603,order_347,warehouse_15
shipment_281,SHIP-281-5672,2024-12-31,USPS,TRK-7683486,order_1019,warehouse_8
shipment_282,SHIP-282-8322,2024-09-28,UPS,TRK-4286274,order_1324,warehouse_37
shipment_283,SHIP-283-6203,2024-07-20,DHL,TRK-2990674,order_547,warehouse_24
shipment_284,SHIP-284-1468,2024-03-22,USPS,TRK-2096182,order_734,warehouse_12
shipment_285,SHIP-285-7420,2024-03-04,FedEx,TRK-3200486,order_874,warehouse_27
shipment_286,SHIP-286-3453,2024-04-29,DHL,TRK-2457726,order_1376,manufacturer_12
shipment_287,SHIP-287-6630,2025-02-07,USPS,TRK-3188551,order_564,warehouse_38
shipment_288,SHIP-288-8804,2024-10-13,FedEx,TRK-4222235,order_579,manufacturer_16
shipment_289,SHIP-289-8227,2025-01-12,DHL,TRK-7316511,order_346,warehouse_36
shipment_290,SHIP-290-3291,2024-11-17,USPS,TRK-5852650,order_330,warehouse_17
shipment_291,SHIP-291-3270,2024-11-20,FedEx,TRK-3434836,order_77,warehouse_24
shipment_292,SHIP-292-8675,2024-12-11,FedEx,TRK-2517268,order_1302,warehouse_36
shipment_293,SHIP-293-4772,2024-12-12,FedEx,TRK-5563545,order_154,warehouse_1
shipment_294,SHIP-294-2107,2025-01-13,UPS,TRK-5103616,order_298,manufacturer_18
shipment_295,SHIP-295-2229,2024-12-10,FedEx,TRK-5952683,order_737,manufacturer_17
shipment_296,SHIP-296-5762,2024-03-06,FedEx,TRK-3662299,order_1086,warehouse_0
