id,claimNumber,claimDate,claimType,amountClaimed,amountSettled,status,policyID,policyHolderID,insurerID
claim_53,CL-62247,2024-08-06,Water Damage,11728.13,11016.2,Pending Review,policy_653,holder_154,insurer_8
claim_54,CL-68293,2023-04-20,Accident,15539.58,6229.47,Settled,policy_366,holder_79,insurer_1
claim_55,CL-38391,2025-08-27,Water Damage,14490.86,9183.96,Pending Review,policy_872,holder_425,insurer_9
claim_56,CL-71544,2022-04-09,Vandalism,28946.64,11766.44,Denied,policy_65,holder_514,insurer_1
claim_57,CL-25058,2024-06-29,Liability,16855.31,459.26,Open,policy_928,holder_412,insurer_1
claim_58,CL-56374,2024-12-15,Accident,24814.73,24707.1,Open,policy_490,holder_5,insurer_6
claim_59,CL-66976,2025-11-10,Fire,4037.68,152.55,Open,policy_1060,holder_186,insurer_0
claim_60,CL-80868,2025-03-19,Weather,25652.74,13475.8,Settled,policy_216,holder_365,insurer_3
claim_61,CL-47952,2025-01-09,Water Damage,2068.27,1231.26,Settled,policy_2,holder_479,insurer_1
claim_62,CL-21116,2024-12-17,Accident,23174.03,8625.58,Denied,policy_1118,holder_23,insurer_1
claim_63,CL-64071,2024-11-22,Liability,7287.72,4061.7,Pending Review,policy_168,holder_17,insurer_1
claim_64,CL-64459,2025-04-20,Weather,12888.41,3211.49,Open,policy_249,holder_540,insurer_4
claim_65,CL-87551,2022-12-16,Water Damage,29717.22,9524.32,Open,policy_1062,holder_385,insurer_4
claim_66,CL-87112,2025-05-23,Fire,20867.84,3288.2,Pending Review,policy_87,holder_61,insurer_2
claim_67,CL-93908,2024-06-20,Liability,23379.9,2691.06,Denied,policy_151,holder_137,insurer_8
claim_68,CL-47270,2024-12-11,Fire,11901.85,2172.57,Settled,policy_355,holder_24,insurer_8
claim_69,CL-13310,2024-06-04,Theft,3416.46,1877.24,Denied,policy_1121,holder_85,insurer_9
claim_70,CL-99365,2024-09-24,Theft,7727.91,2258.26,Pending Review,policy_243,holder_145,insurer_9
claim_71,CL-86359,2024-04-04,Accident,14215.0,13962.46,Pending Review,policy_100,holder_150,insurer_2
claim_72,CL-55066,2023-07-15,Theft,8591.85,2441.4,Settled,policy_236,holder_135,insurer_7
claim_73,CL-34436,2025-12-10,Weather,26596.16,14271.0,Open,policy_1128,holder_241,insurer_6
claim_74,CL-46397,2024-12-27,Fire,15360.63,11583.96,Pending Review,policy_563,holder_236,insurer_5
claim_75,CL-66823,2025-01-17,Fire,28169.75,5622.4,Open,policy_908,holder_147,insurer_0
claim_76,CL-70109,2023-11-13,Liability,27934.94,11460.57,Open,policy_423,holder_162,insurer_2
claim_77,CL-63410,2024-09-13,Theft,27292.06,11235.02,Pending Review,policy_408,holder_546,insurer_2
claim_78,CL-97395,2027-04-20,Water Damage,28059.5,9003.15,Pending Review,policy_630,holder_294,insurer_3
claim_79,CL-18435,2024-11-23,Theft,13688.12,7469.54,Pending Review,policy_1129,holder_88,insurer_5
claim_80,CL-83852,2025-01-27,Water Damage,1434.93,934.57,Open,policy_481,holder_474,insurer_7
claim_81,CL-64996,2024-09-24,Accident,26465.09,2997.39,Denied,policy_582,holder_460,insurer_3
claim_82,CL-24506,2023-12-31,Liability,17368.29,3736.65,Settled,policy_742,holder_226,insurer_8
claim_83,CL-50735,2023-10-13,Fire,28285.94,19097.79,Pending Review,policy_1059,holder_332,insurer_7
claim_84,CL-99789,2023-08-07,Accident,6069.72,5959.78,Pending Review,policy_69,holder_556,insurer_3
claim_85,CL-31673,2024-03-08,Accident,5798.03,1191.75,Open,policy_1003,holder_76,insurer_9
claim_86,CL-39398,2023-09-24,Fire,23307.4,22798.21,Denied,policy_836,holder_136,insurer_1
claim_87,CL-99610,2023-06-23,Water Damage,27880.59,22995.75,Open,policy_525,holder_225,insurer_1
claim_88,CL-28398,2025-06-28,Liability,28536.21,12044.43,Open,policy_609,holder_333,insurer_9
claim_89,CL-90415,2026-02-19,Theft,18248.57,14764.4,Denied,policy_1198,holder_64,insurer_3
claim_90,CL-60074,2025-08-21,Fire,8108.89,3403.66,Pending Review,policy_406,holder_505,insurer_2
claim_91,CL-93248,2025-02-09,Accident,24438.97,9829.69,Open,policy_976,holder_348,insurer_8
claim_92,CL-56445,2024-11-13,Fire,22030.52,15868.56,Open,policy_580,holder_477,insurer_3
claim_93,CL-21540,2024-03-27,Liability,11719.13,10393.37,Denied,policy_128,holder_397,insurer_0
claim_94,CL-63548,2022-09-28,Theft,11570.74,1673.31,Denied,policy_916,holder_438,insurer_0
claim_95,CL-17262,2024-06-06,Accident,14532.15,3133.97,Settled,policy_800,holder_33,insurer_6
claim_96,CL-79999,2025-02-25,Weather,7604.89,2786.7,Settled,policy_499,holder_116,insurer_6
claim_97,CL-36749,2024-04-23,Water Damage,23348.9,14878.81,Open,policy_464,holder_40,insurer_6
claim_98,CL-69796,2023-04-11,Vandalism,20591.56,8212.38,Pending Review,policy_887,holder_599,insurer_3
claim_99,CL-62712,2026-04-12,Fire,21463.1,17506.56,Pending Review,policy_758,holder_86,insurer_8
claim_100,CL-16135,2023-05-13,Liability,27403.53,23289.07,Open,policy_881,holder_471,insurer_6
claim_101,CL-99222,2025-08-22,Fire,2837.36,2006.96,Settled,policy_132,holder_509,insurer_5
claim_102,CL-70247,2027-01-28,Weather,19367.48,7367.15,Open,policy_157,holder_13,insurer_7
claim_103,CL-91360,2024-05-01,Fire,14292.23,6086.35,Denied,policy_565,holder_439,insurer_2
claim_104,CL-42486,2024-01-14,Liability,3921.43,636.18,Denied,policy_1130,holder_559,insurer_1
claim_105,CL-52984,2024-09-29,Liability,23577.56,2900.72,Pending Review,policy_55,holder_301,insurer_4
claim_106,CL-11957,2023-09-27,Weather,22183.12,19816.56,Settled,policy_170,holder_232,insurer_5
claim_107,CL-37993,2026-01-11,Vandalism,10188.73,9378.04,Denied,policy_494,holder_350,insurer_8
claim_108,CL-99568,2024-02-21,Liability,14722.39,9816.12,Open,policy_695,holder_152,insurer_8
claim_109,CL-91887,2023-07-07,Water Damage,13431.03,5330.47,Pending Review,policy_992,holder_28,insurer_5
claim_110,CL-43308,2023-10-21,Accident,14834.76,1586.59,Settled,policy_934,holder_305,insurer_3
claim_111,CL-47311,2025-04-13,Vandalism,27900.63,17827.88,Pending Review,policy_902,holder_77,insurer_6
claim_112,CL-75580,2023-07-18,Liability,4352.77,2032.15,Pending Review,policy_707,holder_527,insurer_1
claim_113,CL-22080,2022-10-18,Fire,21655.26,16475.39,Open,policy_344,holder_358,insurer_3
claim_114,CL-72288,2025-09-03,Fire,24438.81,10195.73,Denied,policy_450,holder_572,insurer_4
claim_115,CL-86441,2024-01-17,Vandalism,29680.96,25716.59,Pending Review,policy_1003,holder_76,insurer_9
claim_116,CL-59270,2026-12-23,Fire,25815.52,636.49,Open,policy_527,holder_353,insurer_5
claim_117,CL-22563,2023-06-19,Accident,8872.73,2808.19,Denied,policy_1079,holder_77,insurer_3
claim_118,CL-85740,2025-07-12,Fire,3026.87,2901.21,Denied,policy_540,holder_112,insurer_5
claim_119,CL-64961,2025-02-01,Accident,29419.44,9296.56,Open,policy_756,holder_61,insurer_0
claim_120,CL-70519,2022-09-07,Liability,12938.98,6592.67,Open,policy_876,holder_212,insurer_0
claim_121,CL-49894,2022-12-07,Water Damage,18829.07,13571.16,Denied,policy_359,holder_117,insurer_2
claim_122,CL-20930,2024-03-13,Accident,6983.47,6127.68,Open,policy_556,holder_418,insurer_0
claim_123,CL-83848,2022-08-30,Water Damage,24498.89,15066.41,Denied,policy_641,holder_226,insurer_2
claim_124,CL-85851,2023-02-02,Fire,25664.74,4057.28,Settled,policy_555,holder_24,insurer_5
claim_125,CL-12596,2024-11-18,Accident,4466.72,2499.18,Open,policy_955,holder_204,insurer_4
claim_126,CL-85648,2023-02-24,Fire,9137.6,8037.38,Settled,policy_184,holder_6,insurer_2
claim_127,CL-32521,2024-04-16,Accident,11160.45,1533.99,Open,policy_176,holder_227,insurer_9
claim_128,CL-10466,2023-10-25,Theft,18222.65,8394.5,Denied,policy_556,holder_418,insurer_0
claim_129,CL-65802,2024-02-09,Theft,3370.3,1940.45,Denied,policy_378,holder_138,insurer_9
claim_130,CL-93276,2023-11-17,Water Damage,15181.24,13155.11,Denied,policy_629,holder_525,insurer_4
claim_131,CL-82861,2025-03-01,Vandalism,29860.53,6346.47,Open,policy_779,holder_104,insurer_3
claim_132,CL-34697,2025-01-12,Theft,11218.49,2077.66,Denied,policy_756,holder_61,insurer_0
claim_133,CL-63734,2023-03-30,Vandalism,17370.23,15694.59,Pending Review,policy_255,holder_347,insurer_6
claim_134,CL-46379,2024-12-26,Fire,10849.41,4294.2,Settled,policy_761,holder_144,insurer_6
claim_135,CL-94713,2024-05-25,Liability,1038.71,66.51,Open,policy_398,holder_575,insurer_7
claim_136,CL-39311,2023-05-17,Water Damage,26100.98,11391.52,Pending Review,policy_47,holder_207,insurer_6
claim_137,CL-67566,2024-02-18,Water Damage,14740.31,7071.9,Open,policy_974,holder_561,insurer_6
claim_138,CL-52164,2025-01-23,Accident,18220.26,1773.57,Pending Review,policy_407,holder_342,insurer_3
claim_139,CL-15696,2024-12-14,Water Damage,7603.31,1068.94,Pending Review,policy_984,holder_547,insurer_8
claim_140,CL-41936,2026-04-29,Vandalism,17680.36,4921.77,Open,policy_1023,holder_229,insurer_8
claim_141,CL-60591,2025-11-10,Theft,18967.79,15756.51,Pending Review,policy_209,holder_126,insurer_4
claim_142,CL-41449,2025-03-26,Water Damage,4544.73,2644.45,Open,policy_625,holder_89,insurer_0
claim_143,CL-65620,2025-04-12,Liability,23021.29,12188.8,Denied,policy_1192,holder_181,insurer_7
claim_144,CL-41640,2023-02-03,Accident,27938.58,18799.07,Pending Review,policy_774,holder_230,insurer_6
claim_145,CL-98460,2023-12-05,Fire,25405.38,22276.95,Pending Review,policy_368,holder_63,insurer_4
claim_146,CL-26056,2025-03-06,Liability,8002.12,941.85,Settled,policy_1177,holder_129,insurer_0
claim_147,CL-35953,2024-06-08,Vandalism,24111.06,10185.93,Denied,policy_906,holder_209,insurer_8
claim_148,CL-95485,2023-12-15,Weather,17481.55,5100.95,Denied,policy_1135,holder_172,insurer_8
claim_149,CL-60186,2024-05-13,Fire,16143.76,15554.49,Denied,policy_880,holder_337,insurer_2
claim_150,CL-73951,2023-07-31,Fire,22793.12,5831.57,Settled,policy_399,holder_324,insurer_4
claim_151,CL-22901,2023-07-22,Weather,2531.21,1088.16,Denied,policy_640,holder_304,insurer_4
claim_152,CL-10614,2026-02-02,Fire,5164.0,3789.24,Settled,policy_917,holder_95,insurer_3
claim_153,CL-68647,2024-11-12,Theft,18207.41,5014.56,Settled,policy_489,holder_339,insurer_4
claim_154,CL-67427,2024-10-01,Vandalism,4886.21,2412.52,Open,policy_852,holder_548,insurer_6
claim_155,CL-84858,2024-10-30,Theft,22717.65,19161.7,Denied,policy_1007,holder_564,insurer_4
claim_156,CL-42352,2025-03-04,Liability,29033.72,12414.12,Open,policy_808,holder_381,insurer_1
claim_157,CL-14194,2023-08-14,Fire,12387.18,11035.45,Settled,policy_335,holder_178,insurer_8
claim_158,CL-71736,2025-04-11,Weather,20510.61,11247.24,Settled,policy_653,holder_154,insurer_8
claim_159,CL-88159,2024-05-23,Water Damage,5085.42,4991.67,Open,policy_520,holder_381,insurer_6
claim_160,CL-74451,2024-02-16,Liability,2082.26,734.01,Settled,policy_890,holder_502,insurer_6
claim_161,CL-24015,2023-08-30,Accident,12208.06,1561.87,Denied,policy_967,holder_442,insurer_9
claim_162,CL-91263,2023-01-27,Water Damage,12468.14,147.0,Pending Review,policy_892,holder_281,insurer_5
claim_163,CL-60149,2024-08-24,Theft,24310.68,15949.28,Open,policy_818,holder_154,insurer_3
claim_164,CL-22822,2025-07-08,Liability,21454.44,14560.84,Denied,policy_823,holder_329,insurer_0
claim_165,CL-18061,2024-07-10,Weather,6069.45,493.2,Pending Review,policy_350,holder_187,insurer_2
claim_166,CL-69042,2025-07-10,Water Damage,826.28,586.29,Settled,policy_1181,holder_126,insurer_1
claim_167,CL-21368,2025-01-22,Liability,20158.51,14904.09,Open,policy_348,holder_595,insurer_8
claim_168,CL-94819,2026-01-12,Fire,22255.48,19398.81,Settled,policy_307,holder_378,insurer_9
claim_169,CL-73399,2026-03-29,Accident,4849.21,3219.48,Pending Review,policy_506,holder_118,insurer_4
claim_170,CL-13225,2024-11-05,Weather,18801.98,4432.9,Open,policy_847,holder_235,insurer_4
claim_171,CL-76535,2023-04-29,Weather,27341.94,24612.71,Denied,policy_0,holder_194,insurer_5
claim_172,CL-37623,2024-07-21,Theft,3034.36,926.42,Open,policy_716,holder_86,insurer_9
claim_173,CL-40405,2024-08-07,Vandalism,12544.86,3979.54,Denied,policy_380,holder_133,insurer_2
claim_174,CL-76863,2025-01-02,Theft,6961.22,5979.16,Open,policy_788,holder_144,insurer_4
claim_175,CL-53918,2024-06-13,Fire,10755.65,4289.16,Pending Review,policy_29,holder_122,insurer_5
claim_176,CL-92420,2025-08-25,Vandalism,10425.3,4411.53,Pending Review,policy_526,holder_567,insurer_9
claim_177,CL-30220,2024-05-18,Liability,12024.96,7712.04,Open,policy_251,holder_185,insurer_0
claim_178,CL-20356,2025-01-23,Fire,7038.55,2210.14,Open,policy_144,holder_206,insurer_4
claim_179,CL-28928,2025-10-11,Liability,23792.39,20658.92,Settled,policy_1184,holder_123,insurer_4
claim_180,CL-71212,2024-06-02,Water Damage,19989.51,13960.68,Pending Review,policy_558,holder_489,insurer_7
claim_181,CL-80465,2024-01-22,Vandalism,15242.4,5211.76,Open,policy_1067,holder_248,insurer_3
claim_182,CL-43371,2026-11-23,Vandalism,12164.9,3127.13,Open,policy_823,holder_329,insurer_0
claim_183,CL-69491,2022-12-07,Weather,13811.04,10211.15,Open,policy_208,holder_38,insurer_6
claim_184,CL-72740,2025-08-18,Water Damage,27618.96,17918.22,Open,policy_869,holder_301,insurer_2
claim_185,CL-49680,2025-10-25,Liability,6639.55,6273.01,Pending Review,policy_483,holder_246,insurer_0
claim_186,CL-25117,2024-06-02,Vandalism,18339.1,4323.43,Settled,policy_718,holder_169,insurer_5
claim_187,CL-63791,2024-01-26,Weather,3898.58,903.09,Pending Review,policy_1007,holder_564,insurer_4
claim_188,CL-67969,2026-06-08,Accident,19766.38,2902.43,Settled,policy_585,holder_582,insurer_4
claim_189,CL-36658,2025-02-22,Water Damage,7932.92,317.53,Denied,policy_189,holder_173,insurer_7
claim_190,CL-61451,2024-11-07,Accident,8645.83,7910.51,Pending Review,policy_608,holder_16,insurer_2
claim_191,CL-55846,2025-09-03,Liability,24754.17,23351.42,Open,policy_945,holder_447,insurer_7
claim_192,CL-17369,2024-06-24,Vandalism,14812.67,996.89,Open,policy_298,holder_98,insurer_7
claim_193,CL-58132,2026-01-14,Theft,21744.83,18541.72,Settled,policy_819,holder_316,insurer_0
claim_194,CL-98954,2024-02-06,Fire,13393.03,6790.0,Settled,policy_369,holder_442,insurer_9
claim_195,CL-40214,2023-11-22,Liability,17039.2,5023.95,Open,policy_786,holder_104,insurer_4
claim_196,CL-81752,2023-03-11,Liability,16662.91,3092.55,Denied,policy_452,holder_545,insurer_6
claim_197,CL-45007,2025-07-30,Fire,21956.5,17100.91,Pending Review,policy_21,holder_334,insurer_2
claim_198,CL-30166,2024-01-21,Fire,25205.09,23883.36,Settled,policy_282,holder_14,insurer_3
claim_199,CL-41821,2024-05-01,Weather,28504.86,5651.27,Pending Review,policy_7,holder_236,insurer_7
claim_200,CL-13078,2024-10-24,Vandalism,10657.84,2487.89,Pending Review,policy_115,holder_51,insurer_3
claim_201,CL-55981,2023-03-21,Liability,21785.67,1476.72,Open,policy_24,holder_333,insurer_6
claim_202,CL-66388,2024-03-09,Theft,15506.83,2942.48,Open,policy_369,holder_442,insurer_9
claim_203,CL-18538,2024-05-02,Accident,11105.82,8041.25,Denied,policy_1082,holder_395,insurer_8
claim_204,CL-12712,2024-12-18,Fire,4045.08,920.28,Pending Review,policy_262,holder_578,insurer_1
claim_205,CL-57977,2023-11-01,Vandalism,8464.21,7408.59,Settled,policy_572,holder_236,insurer_0
claim_206,CL-54728,2023-04-06,Weather,28259.3,10136.42,Open,policy_898,holder_4,insurer_3
claim_207,CL-83453,2023-10-14,Fire,4671.24,2061.96,Open,policy_146,holder_520,insurer_8
claim_208,CL-91766,2023-11-15,Theft,22963.79,7346.86,Open,policy_239,holder_486,insurer_9
claim_209,CL-26593,2023-11-11,Weather,3367.87,777.29,Open,policy_326,holder_443,insurer_8
claim_210,CL-96308,2025-07-15,Fire,27561.63,4283.5,Open,policy_1150,holder_478,insurer_0
claim_211,CL-81096,2024-06-09,Weather,1981.9,171.7,Denied,policy_1073,holder_104,insurer_4
claim_212,CL-89070,2024-08-01,Liability,23514.39,21684.05,Pending Review,policy_1,holder_176,insurer_0
claim_213,CL-30592,2024-04-06,Accident,8233.12,1945.73,Settled,policy_652,holder_567,insurer_1
claim_214,CL-32847,2024-06-26,Weather,16291.5,14457.93,Settled,policy_904,holder_306,insurer_0
claim_215,CL-93286,2024-08-09,Water Damage,15723.18,993.59,Pending Review,policy_707,holder_527,insurer_1
claim_216,CL-57198,2023-09-04,Theft,26435.84,22996.75,Settled,policy_37,holder_599,insurer_3
claim_217,CL-59324,2025-09-27,Vandalism,27567.3,23068.98,Denied,policy_810,holder_307,insurer_6
claim_218,CL-19579,2023-04-01,Weather,13608.39,11003.4,Settled,policy_404,holder_27,insurer_6
claim_219,CL-16222,2022-09-01,Vandalism,17128.7,8620.85,Settled,policy_1045,holder_34,insurer_6
claim_220,CL-39515,2024-03-20,Theft,6184.38,1331.4,Denied,policy_363,holder_57,insurer_0
claim_221,CL-35471,2024-11-11,Weather,20450.96,5287.09,Denied,policy_797,holder_288,insurer_4
claim_222,CL-87402,2025-02-24,Weather,4895.27,1240.64,Settled,policy_432,holder_568,insurer_3
claim_223,CL-52132,2024-11-08,Vandalism,8040.56,955.08,Pending Review,policy_657,holder_365,insurer_0
claim_224,CL-59782,2022-09-15,Fire,18820.48,14634.02,Settled,policy_1195,holder_101,insurer_5
claim_225,CL-18966,2024-08-02,Fire,12135.99,8403.7,Settled,policy_1072,holder_267,insurer_7
claim_226,CL-28379,2023-01-19,Fire,26302.69,16548.47,Pending Review,policy_215,holder_142,insurer_2
claim_227,CL-95108,2024-08-21,Accident,3084.27,2760.46,Open,policy_1113,holder_399,insurer_8
claim_228,CL-45561,2022-09-17,Theft,27444.0,15501.96,Open,policy_376,holder_178,insurer_8
claim_229,CL-64674,2022-07-31,Weather,16110.66,14678.5,Open,policy_491,holder_462,insurer_0
claim_230,CL-99468,2024-01-26,Liability,26511.59,23242.37,Open,policy_675,holder_79,insurer_2
claim_231,CL-75617,2025-02-13,Water Damage,20889.82,18723.93,Denied,policy_513,holder_417,insurer_9
claim_232,CL-73747,2024-01-21,Water Damage,8529.61,848.31,Denied,policy_268,holder_187,insurer_0
claim_233,CL-57617,2023-11-19,Theft,11280.39,3274.02,Denied,policy_456,holder_181,insurer_1
claim_234,CL-63640,2025-10-04,Liability,2907.05,1664.85,Settled,policy_357,holder_406,insurer_8
claim_235,CL-65527,2024-01-04,Weather,17292.14,10289.87,Open,policy_37,holder_599,insurer_3
claim_236,CL-52640,2025-01-09,Liability,7669.04,3334.8,Open,policy_935,holder_353,insurer_1
claim_237,CL-94991,2025-04-10,Weather,26582.3,23339.03,Pending Review,policy_379,holder_57,insurer_8
claim_238,CL-32533,2026-07-18,Accident,5174.0,3563.43,Open,policy_474,holder_510,insurer_1
claim_239,CL-65656,2023-06-01,Water Damage,9785.43,2773.82,Denied,policy_380,holder_133,insurer_2
claim_240,CL-66897,2023-08-04,Water Damage,9942.91,4121.44,Denied,policy_388,holder_227,insurer_0
claim_241,CL-76870,2026-03-17,Theft,22255.81,11406.02,Denied,policy_132,holder_509,insurer_5
claim_242,CL-40976,2023-06-27,Fire,9817.15,7941.08,Open,policy_1095,holder_297,insurer_4
claim_243,CL-49086,2024-03-19,Vandalism,15951.86,4879.68,Denied,policy_736,holder_455,insurer_3
claim_244,CL-60654,2023-10-26,Water Damage,19552.97,8794.13,Pending Review,policy_691,holder_459,insurer_2
claim_245,CL-40552,2026-09-28,Fire,2784.67,2067.84,Open,policy_185,holder_561,insurer_7
claim_246,CL-31306,2023-12-20,Fire,28580.26,17787.21,Pending Review,policy_920,holder_512,insurer_6
claim_247,CL-80926,2024-09-01,Water Damage,29856.17,651.76,Pending Review,policy_1171,holder_347,insurer_9
claim_248,CL-51964,2025-03-18,Vandalism,19467.22,14573.9,Settled,policy_1031,holder_63,insurer_4
claim_249,CL-30345,2026-11-03,Liability,26353.69,12675.13,Settled,policy_259,holder_295,insurer_6
claim_250,CL-73874,2023-11-26,Theft,27530.48,439.92,Settled,policy_131,holder_62,insurer_5
claim_251,CL-32016,2025-02-18,Vandalism,18010.75,8156.3,Settled,policy_617,holder_225,insurer_5
claim_252,CL-27459,2025-07-11,Accident,25568.26,23605.55,Open,policy_536,holder_169,insurer_5
claim_253,CL-30445,2024-01-10,Weather,8796.99,2499.42,Open,policy_887,holder_599,insurer_3
claim_254,CL-58849,2025-03-10,Fire,18265.12,14111.73,Settled,policy_1065,holder_587,insurer_7
claim_255,CL-29776,2024-05-28,Fire,1468.74,708.28,Open,policy_226,holder_173,insurer_0
claim_256,CL-80988,2023-12-07,Vandalism,22374.3,17488.17,Denied,policy_1156,holder_529,insurer_7
claim_257,CL-41576,2024-11-26,Fire,23842.97,287.95,Settled,policy_609,holder_333,insurer_9
claim_258,CL-25303,2023-10-22,Liability,23323.17,14807.53,Settled,policy_820,holder_218,insurer_8
claim_259,CL-43066,2023-03-17,Water Damage,16903.22,10269.82,Settled,policy_990,holder_141,insurer_2
claim_260,CL-53295,2024-05-07,Weather,21084.2,8017.84,Open,policy_181,holder_283,insurer_3
claim_261,CL-70136,2023-02-25,Liability,19612.77,15162.93,Pending Review,policy_1029,holder_28,insurer_5
claim_262,CL-41502,2023-10-29,Theft,2999.11,538.25,Denied,policy_238,holder_82,insurer_1
